Time	[Galpha_GTP]	[APLC]	[IP3]	[Calcium{ER}]	[Calcium{Cytosol}]	[PLC]	[Diacylglycerol]
0	1	9	1	1000	200	1	1
1	0.39698	7.98228	50.5075	993.315	264.696	2.01772	50.5075
2	0.140114	7.07965	51.5116	984.003	350.808	2.92035	51.5116
3	0.079451	6.27909	46.5955	974.901	430.3	3.72091	46.5955
4	0.0678802	5.56905	41.4495	966.231	501.626	4.43095	41.4495
5	0.0682668	4.93931	36.7791	958.132	564.031	5.06069	36.7791
6	0.0727921	4.38077	32.6224	950.732	616.804	5.61923	32.6224
7	0.0801719	3.8854	28.9337	944.15	659.311	6.1146	28.9337
8	0.090797	3.44604	25.662	938.472	691.192	6.55396	25.662
9	0.105926	3.05636	22.7601	933.738	712.532	6.94364	22.7601
10	0.127914	2.71075	20.1864	929.929	723.959	7.28925	20.1864
11	0.1611	2.40422	17.9038	926.971	726.588	7.59578	17.9038
12	0.213907	2.13235	15.8792	924.754	721.859	7.86765	15.8792
13	0.303892	1.89122	14.0836	923.15	711.324	8.10878	14.0836
14	0.47091	1.67737	12.491	922.029	696.466	8.32263	12.491
15	0.814703	1.48769	11.0786	921.28	678.582	8.51231	11.0786
16	1.61356	1.31949	9.82588	920.806	658.731	8.68051	9.82588
17	3.74163	1.17091	8.71644	920.533	637.741	8.82909	8.71644
18	10.261	1.06498	7.79315	920.402	616.251	8.93502	7.79315
19	26.1408	1.89683	9.59566	920.285	595.554	8.10317	9.59566
20	18.0716	4.18227	22.8685	918.302	594.15	5.81773	22.8685
21	6.03334	4.01475	28.184	912.8	627.142	5.98525	28.184
22	2.14924	3.56533	26.3097	907.061	660.973	6.43467	26.3097
23	0.939455	3.16226	23.516	902.086	685.9	6.83774	23.516
24	0.532506	2.80468	20.8814	898.02	700.909	7.19532	20.8814
25	0.397882	2.48753	18.5235	894.827	706.759	7.51247	18.5235
26	0.380465	2.20624	16.4293	892.409	704.792	7.79376	16.4293
27	0.443387	1.95676	14.5716	890.64	696.547	8.04324	14.5716
