Time	[Dshi]	[Dsha]	[APC_ast/Axin_ast/GSK3beta]	[APC/Axin/GSK3beta]	[GSK3beta]	[APC/Axin]	[APC]	[bCatenin/APC_Ast/Axin_ast/GSK3beta]	[bCatenin_ast/APC_ast/Axin_ast/GSK3beta]	[bCatenin_ast]	[bCatenin]	[Axin]	[TCF]	[bCatenin/TCF]	[bCatenin/APC]	[Rasi]	[Rasa]	[Raf-1]	[Raf-1_ast]	[MEK]	[MEK_ast]	[ERK]	[ERK_ast]	[Raf1/RKIP]	[RKIP]	[RKIP_ast]	[unknown molecule X]	[GSK3beta]
0	100	0	0.0153	0.0076	49.1372	0.0015	96.6019	0.002	0.002	0.9881	42.7224	0.0008	6.1879	8.8121	3.4392	200	0	112.559	6.486	296.114	3.8863	297.89	2.1103	180.959	418.179	0.8619	10.263	49.1372
1	100	0	0.015284	0.00757385	49.1382	0.00154024	96.6019	0.00200294	0.00200295	0.988652	42.7218	0.000797196	6.18797	8.81203	3.43917	200	0	112.558	6.48601	296.114	3.88636	297.89	2.11029	180.96	418.179	0.861877	10.263	49.1382
2	100	0	0.0152767	0.0075804	49.1382	0.00154228	96.602	0.00200197	0.00200198	0.988838	42.7214	0.000798265	6.188	8.812	3.43914	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861881	10.263	49.1382
3	100	0	0.0152714	0.00758569	49.1383	0.00154347	96.602	0.00200127	0.00200127	0.988822	42.7211	0.000798881	6.18802	8.81198	3.43912	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861883	10.263	49.1383
4	100	0	0.0152676	0.00758956	49.1383	0.00154434	96.602	0.00200075	0.00200075	0.98871	42.721	0.000799329	6.18804	8.81196	3.43911	200	0	112.558	6.48601	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861883	10.263	49.1383
5	100	0	0.0152647	0.0075924	49.1383	0.00154497	96.602	0.00200038	0.00200038	0.988563	42.7209	0.000799656	6.18804	8.81196	3.4391	200	0	112.558	6.486	296.114	3.88637	297.89	2.1103	180.96	418.179	0.861883	10.263	49.1383
6	100	0	0.0152627	0.00759447	49.1383	0.00154543	96.602	0.0020001	0.00200011	0.988412	42.7208	0.000799895	6.18805	8.81195	3.4391	200	0	112.558	6.486	296.114	3.88636	297.89	2.1103	180.96	418.179	0.861882	10.263	49.1383
7	100	0	0.0152612	0.00759598	49.1383	0.00154577	96.602	0.00199991	0.00199991	0.988274	42.7209	0.00080007	6.18805	8.81195	3.4391	200	0	112.558	6.486	296.114	3.88636	297.89	2.1103	180.96	418.179	0.861881	10.263	49.1383
8	100	0	0.0152601	0.00759709	49.1383	0.00154602	96.602	0.00199977	0.00199977	0.988156	42.7209	0.000800199	6.18804	8.81196	3.4391	200	0	112.558	6.48599	296.114	3.88636	297.89	2.1103	180.96	418.179	0.861881	10.263	49.1383
9	100	0	0.0152593	0.00759791	49.1383	0.0015462	96.602	0.00199967	0.00199967	0.988057	42.721	0.000800293	6.18804	8.81196	3.43911	200	0	112.558	6.48599	296.114	3.88636	297.89	2.1103	180.96	418.179	0.86188	10.263	49.1383
