Time	[p53]	[Mdm2]	[precursor Mdm2]
0	0.28	0.73	0
1	0.268293	0.56669	0.00413177
2	0.444285	0.526956	0.00677255
3	0.923706	0.728809	0.0141491
4	0.842336	0.996623	0.0131103
5	0.498719	0.96349	0.0077836
6	0.329222	0.780423	0.00511315
7	0.309301	0.624697	0.00476635
8	0.470903	0.582231	0.00719571
9	0.854577	0.747828	0.0131107
10	0.837031	0.986996	0.013021
11	0.508071	0.961017	0.00792681
12	0.340308	0.785775	0.00528412
13	0.323339	0.635528	0.00498196
14	0.488284	0.598679	0.00746514
15	0.847083	0.761895	0.013007
16	0.820684	0.984482	0.0127667
17	0.504792	0.953484	0.00787278
18	0.345394	0.782667	0.00536089
19	0.336014	0.639473	0.00517517
20	0.510998	0.61254	0.0078146
21	0.849715	0.78028	0.0130608
22	0.793236	0.982823	0.0123416
23	0.495585	0.940607	0.00772503
24	0.350772	0.775078	0.00544069
25	0.354579	0.642975	0.00545758
26	0.545212	0.632083	0.00834136
27	0.852069	0.806482	0.0131164
28	0.7546	0.980153	0.0117431
29	0.481533	0.921955	0.00750035
30	0.357586	0.763434	0.00554106
31	0.380923	0.647254	0.00585828
32	0.590215	0.658734	0.00903645
33	0.847237	0.838134	0.0130662
34	0.706713	0.973726	0.0109996
35	0.465122	0.897786	0.00723759
36	0.367694	0.749169	0.00569067
37	0.416891	0.654349	0.00640611
38	0.641736	0.693299	0.00983701
39	0.828052	0.870539	0.0127962
40	0.653918	0.960948	0.010177
41	0.449794	0.869393	0.00699046
42	0.383444	0.73473	0.00592595
43	0.463277	0.666787	0.00711457
44	0.690902	0.734817	0.010609
45	0.791254	0.897559	0.0122506
46	0.602065	0.940682	0.00936611
47	0.439106	0.839132	0.00681453
48	0.407096	0.723202	0.00628215
49	0.518245	0.686725	0.00795765
50	0.726009	0.779595	0.0111721
51	0.740157	0.913774	0.0114761
52	0.556726	0.913904	0.00865401
53	0.435995	0.810058	0.00675558
54	0.439931	0.717657	0.0067799
55	0.575925	0.714734	0.00884789
56	0.737798	0.82156	0.0113793
57	0.683085	0.916668	0.0105999
58	0.521803	0.883382	0.00810235
59	0.442317	0.785317	0.0068426
60	0.481199	0.720353	0.00740907
61	0.626905	0.748833	0.00964213
62	0.724778	0.854395	0.0112012
63	0.628972	0.907282	0.00976192
64	0.499155	0.852665	0.00774074
65	0.458599	0.767524	0.00708414
66	0.527291	0.731992	0.00811596
67	0.661644	0.784566	0.0101924
68	0.693605	0.87415	0.0107354
69	0.584083	0.889184	0.00906206
70	0.489004	0.825114	0.00757309
71	0.483782	0.758302	0.00746453
72	0.571949	0.751261	0.00880572
73	0.675134	0.81646	0.0104174
74	0.654498	0.880452	0.0101388
75	0.551307	0.866813	0.00854742
76	0.490408	0.803284	0.00758509
77	0.515035	0.757978	0.00794108
78	0.608071	0.774977	0.00936906
79	0.669057	0.840126	0.0103384
80	0.616377	0.875829	0.0095509
81	0.531043	0.84422	0.00822576
82	0.501517	0.788676	0.0077485
83	0.547984	0.765489	0.00844724
84	0.630513	0.798977	0.00972497
85	0.64989	0.853655	0.0100526
86	0.584749	0.864152	0.00905924
87	0.522237	0.824443	0.00808161
88	0.51963	0.78168	0.00802202
89	0.577604	0.778533	0.00890579
90	0.638072	0.819414	0.00985202
91	0.625227	0.857665	0.00967667
92	0.561985	0.849301	0.00870253
93	0.52302	0.80938	0.00808662
94	0.541325	0.781632	0.00835333
95	0.599698	0.794091	0.00925135
96	0.633346	0.833838	0.00978779
97	0.601098	0.854398	0.00930487
98	0.548355	0.834415	0.00848632
99	0.531041	0.799857	0.00820484
100	0.562915	0.787014	0.00868573
