Time	[ERDensity_ERM]	[PA_D_Cytosol]	[PABCa_D_Cytosol]	[Ca_D_ER]	[h_D_ERM]	[PABMg_D_Cytosol]	[ERDensity_D_ERM]	[CG_D_Cytosol]	[D28kB_D_Cytosol]	[PA_Cytosol]	[CG_Cytosol]	[PABCa_Cytosol]	[Mg_Cytosol]	[D28k_high_Cytosol]	[D28k_high_D_Cytosol]	[Ca_ER]	[D28kB_high_D_Cytosol]	[CGB_D_Cytosol]	[Ca_D_Cytosol]	[CGB_Cytosol]	[D28k_Cytosol]	[D28kB_high_Cytosol]	[PABMg_Cytosol]	[IP3_Cytosol]	[Ca_Extracellular]	[D28k_D_Cytosol]	[IP3_D_Cytosol]	[Mg_D_Cytosol]	[Ca_Cytosol]	[h_ERM]	[Ca_D_Extracellular]	[D28kB_Cytosol]
0	1	1928.19	9827.54	240800	0.8	36404.3	1	84566.4	2510.05	1928.19	84566.4	9827.54	355180	43952.6	43952.6	240800	4207.35	11753.6	27.09	11753.6	45650	4207.35	36404.3	96.32	602000	45650	96.32	355180	27.09	0.8	602000	2510.05
1	1	1927.8	9834.92	240800	0.807401	36397.3	1	84543.2	2515.26	1927.79	84542.9	9835.02	355180	43946.6	43946.7	240800	4213.3	11776.7	27.3028	11777.1	45644.7	4213.38	36397.2	96.32	602000	45644.7	96.32	355180	27.3037	0.8074	602000	2515.37
2	1	1927.29	9844.86	240800	0.811092	36387.8	1	84527.8	2518.83	1927.28	84527.2	9845.1	355180	43940.7	43940.8	240800	4219.17	11792.2	27.3436	11792.8	45641.2	4219.34	36387.6	96.32	602000	45641.2	96.32	355180	27.3453	0.811088	602000	2519.03
3	1	1926.85	9853.56	240800	0.8129	36379.6	1	84515.3	2521.72	1926.84	84514.4	9853.92	355180	43935.9	43936.1	240800	4223.87	11804.7	27.3766	11805.6	45638.3	4224.11	36379.2	96.32	602000	45638.3	96.32	355180	27.3789	0.812892	602000	2521.99
4	1	1926.49	9860.84	240800	0.813752	36372.7	1	84505	2524.1	1926.46	84503.9	9861.3	355180	43932	43932.3	240800	4227.73	11815	27.4039	11816.1	45635.9	4228.02	36372.2	96.32	602000	45635.9	96.32	355180	27.4067	0.813741	602000	2524.42
5	1	1926.18	9866.87	240800	0.814125	36366.9	1	84496.4	2526.06	1926.15	84495.2	9867.41	355180	43928.7	43929.1	240800	4230.91	11823.5	27.4264	11824.7	45633.9	4231.25	36366.4	96.32	602000	45633.9	96.32	355180	27.4296	0.814112	602000	2526.44
6	1	1925.93	9871.86	240800	0.814263	36362.2	1	84489.4	2527.69	1925.9	84488.1	9872.47	355180	43926.1	43926.4	240800	4233.55	11830.6	27.445	11831.9	45632.3	4233.92	36361.6	96.32	602000	45632.3	96.32	355180	27.4486	0.814247	602000	2528.1
7	1	1925.72	9875.98	240800	0.81429	36358.3	1	84483.6	2529.03	1925.69	84482.1	9876.65	355180	43923.9	43924.3	240800	4235.72	11836.4	27.4604	11837.8	45631	4236.13	36357.7	96.32	602000	45631	96.32	355180	27.4642	0.814271	602000	2529.48
8	1	1925.55	9879.38	240800	0.814266	36355.1	1	84478.8	2530.14	1925.51	84477.2	9880.1	355180	43922	43922.5	240800	4237.52	11841.2	27.4731	11842.7	45629.9	4237.95	36354.4	96.32	602000	45629.9	96.32	355180	27.4772	0.814246	602000	2530.62
9	1	1925.41	9882.2	240800	0.814223	36352.4	1	84474.8	2531.06	1925.37	84473.2	9882.95	355180	43920.5	43921	240800	4239.01	11845.2	27.4836	11846.8	45629	4239.46	36351.7	96.32	602000	45629	96.32	355180	27.4879	0.814202	602000	2531.56
10	1	1925.29	9884.53	240800	0.814176	36350.2	1	84471.5	2531.82	1925.25	84469.8	9885.31	355180	43919.3	43919.7	240800	4240.24	11848.5	27.4923	11850.1	45628.2	4240.71	36349.4	96.32	602000	45628.2	96.32	355180	27.4968	0.814153	602000	2532.34
11	1	1925.19	9886.45	240800	0.814131	36348.4	1	84468.8	2532.45	1925.15	84467.1	9887.26	355180	43918.2	43918.7	240800	4241.26	11851.2	27.4995	11852.9	45627.6	4241.74	36347.6	96.32	602000	45627.6	96.32	355180	27.5041	0.814107	602000	2532.98
12	1	1925.11	9888.04	240800	0.81409	36346.8	1	84466.5	2532.97	1925.07	84464.8	9888.88	355180	43917.4	43917.9	240800	4242.1	11853.4	27.5055	11855.2	45627.1	4242.59	36346	96.32	602000	45627.1	96.32	355180	27.5102	0.814066	602000	2533.51
