Time	[D]	[E]	[RS]	[R]	[X]	[E2F]	[RP]
0	0.1	0.6	1	0.5	0.7	0.5	1
1	0.159802	0.755545	1.06886	0.47194	0.39628	0.431142	0.959202
2	0.195236	0.922263	1.09652	0.43008	0.260122	0.403482	0.973402
3	0.208869	1.09373	1.09887	0.386149	0.209699	0.401126	1.01498
4	0.206274	1.26444	1.08732	0.346553	0.200073	0.412677	1.06612
5	0.193969	1.43014	1.06927	0.314194	0.209793	0.430726	1.11653
6	0.177598	1.58744	1.04928	0.290001	0.229289	0.450716	1.16072
7	0.161033	1.73344	1.03008	0.273857	0.254439	0.46992	1.19606
8	0.146357	1.86552	1.0133	0.265128	0.283566	0.486702	1.22157
9	0.134339	1.98122	0.999955	0.262985	0.316134	0.500045	1.23706
10	0.124997	2.07825	0.990703	0.266605	0.352206	0.509297	1.24269
11	0.118033	2.1544	0.985962	0.275291	0.392234	0.514038	1.23875
12	0.113087	2.20761	0.985963	0.288533	0.43702	0.514037	1.2255
13	0.109862	2.2359	0.990778	0.306037	0.487793	0.509222	1.20319
14	0.10816	2.23738	1.00033	0.327721	0.546398	0.499668	1.17195
15	0.107888	2.21016	1.01443	0.353717	0.615689	0.485573	1.13186
16	0.109061	2.15217	1.03277	0.384373	0.700329	0.467234	1.08286
17	0.111821	2.06082	1.05497	0.420282	0.808542	0.445026	1.02474
18	0.116486	1.93218	1.08063	0.46236	0.956451	0.419371	0.957011
19	0.123677	1.75918	1.10932	0.512022	1.1805	0.390683	0.878661
20	0.134647	1.52683	1.14072	0.571526	1.58138	0.359279	0.787753
21	0.152272	1.19825	1.17485	0.644296	2.53674	0.325147	0.680852
22	0.184638	0.679811	1.21272	0.732287	6.27876	0.287276	0.554989
23	0.250296	0.131462	1.25546	0.817508	16.0629	0.244537	0.427029
24	0.336102	0.0783186	1.28344	0.870423	10.9114	0.216556	0.346133
25	0.417447	0.117445	1.28756	0.895306	5.7905	0.212436	0.31713
26	0.485978	0.187011	1.27619	0.898016	2.86183	0.223814	0.325799
27	0.533503	0.288654	1.25629	0.877125	1.3348	0.243707	0.366581
28	0.552255	0.421774	1.2319	0.828121	0.611584	0.268097	0.439976
29	0.538725	0.579661	1.20495	0.752777	0.305299	0.295046	0.542268
30	0.496489	0.752746	1.17675	0.663143	0.192177	0.323255	0.660112
31	0.435335	0.932373	1.14874	0.573344	0.160914	0.351264	0.77792
32	0.36738	1.11211	1.1223	0.492749	0.162881	0.377702	0.884953
33	0.302955	1.28742	1.09829	0.425659	0.178485	0.401714	0.976055
34	0.248338	1.45492	1.07696	0.373081	0.200178	0.423044	1.04996
35	0.205666	1.61195	1.0582	0.334239	0.225184	0.441796	1.10756
36	0.174183	1.75625	1.04188	0.307552	0.252619	0.458121	1.15057
37	0.151775	1.88576	1.02801	0.291212	0.282376	0.471991	1.18078
38	0.13611	1.99855	1.01685	0.283513	0.314696	0.48315	1.19964
39	0.125228	2.09271	1.00882	0.283001	0.350016	0.491184	1.20818
40	0.117708	2.1664	1.00435	0.28853	0.388942	0.495647	1.20712
41	0.112618	2.21782	1.00384	0.299272	0.432294	0.496161	1.19689
42	0.109388	2.24523	1.00751	0.314689	0.481202	0.492486	1.1778
43	0.107699	2.24695	1.01546	0.334509	0.537276	0.484538	1.15003
44	0.107403	2.22134	1.02761	0.358691	0.602904	0.472386	1.11369
45	0.108485	2.1667	1.04377	0.387408	0.681812	0.456234	1.06883
46	0.11105	2.08109	1.0636	0.421032	0.780195	0.436398	1.01537
47	0.115349	1.96186	1.08672	0.460159	0.909234	0.413275	0.953117
48	0.121853	1.80477	1.11268	0.505652	1.09142	0.387315	0.881663
49	0.13144	1.60192	1.14103	0.558754	1.37887	0.358967	0.800213
50	0.14585	1.33696	1.17141	0.621151	1.91761	0.328592	0.70744
51	0.168974	0.975275	1.20372	0.69424	3.23005	0.296284	0.602045
52	0.210067	0.487085	1.23831	0.773767	7.20956	0.261688	0.487921
53	0.278795	0.155653	1.27131	0.839779	10.3139	0.228685	0.388906
54	0.358337	0.125135	1.28747	0.877909	6.59313	0.212533	0.334623
55	0.430833	0.175509	1.28464	0.891301	3.41396	0.215363	0.324061
56	0.486481	0.264878	1.26957	0.880856	1.62542	0.230435	0.349578
57	0.51686	0.388255	1.24768	0.842855	0.743793	0.252316	0.409461
58	0.516738	0.539124	1.22206	0.776762	0.357359	0.277937	0.501176
59	0.487195	0.707892	1.1945	0.692133	0.208444	0.305497	0.613365
60	0.435886	0.885348	1.1666	0.603192	0.162299	0.333397	0.730205
61	0.37399	1.06449	1.13984	0.520682	0.158125	0.360164	0.839481
62	0.312139	1.24037	1.11519	0.450164	0.171009	0.384808	0.934643
63	0.257634	1.40944	1.09305	0.393516	0.191259	0.406947	1.01343
64	0.213756	1.56892	1.07338	0.350512	0.215257	0.426622	1.07611
65	0.180633	1.7165	1.05601	0.319883	0.241776	0.443987	1.1241
66	0.156656	1.85012	1.04094	0.299976	0.270561	0.459062	1.15909
67	0.139692	1.96785	1.02836	0.289127	0.30177	0.471636	1.18251
68	0.127801	2.0678	1.01868	0.28586	0.33578	0.481318	1.19546
69	0.119505	2.14813	1.01236	0.288967	0.373126	0.487644	1.19868
70	0.1138	2.20704	1.00981	0.297539	0.41453	0.490193	1.19265
71	0.110051	2.24278	1.01134	0.310949	0.460973	0.488661	1.17771
72	0.10789	2.25368	1.0171	0.328833	0.513829	0.482897	1.15406
73	0.107129	2.23812	1.02709	0.351062	0.575098	0.472907	1.12184
74	0.107713	2.19447	1.04116	0.377718	0.647818	0.458841	1.08112
75	0.109704	2.12099	1.05903	0.409076	0.736875	0.44097	1.03189
76	0.11329	2.01546	1.08034	0.44561	0.850702	0.419659	0.974049
77	0.118833	1.87467	1.10466	0.488015	1.0053	0.395343	0.907327
78	0.126996	1.69301	1.13151	0.53728	1.23487	0.368487	0.831207
79	0.139029	1.45952	1.16047	0.594758	1.62517	0.339527	0.744768
80	0.157523	1.15155	1.19125	0.661942	2.44017	0.308753	0.646811
81	0.188444	0.731379	1.22387	0.738104	4.65181	0.276127	0.538024
82	0.242979	0.281493	1.25771	0.811591	9.20733	0.242293	0.430702
83	0.318657	0.134747	1.28246	0.862095	8.03017	0.217536	0.355441
84	0.394592	0.154989	1.28785	0.886254	4.49153	0.212155	0.325901
85	0.458136	0.227066	1.2779	0.886743	2.21521	0.222097	0.335354
86	0.500145	0.336104	1.25888	0.8613	1.02503	0.241119	0.379819
87	0.513595	0.476229	1.23486	0.806916	0.475684	0.265144	0.458228
88	0.496641	0.638471	1.2081	0.728898	0.251454	0.291905	0.563007
89	0.454297	0.813012	1.18028	0.640685	0.173537	0.31972	0.679036
90	0.396609	0.991857	1.153	0.554965	0.156473	0.347004	0.792039
91	0.334727	1.1693	1.12747	0.479316	0.164026	0.372535	0.893219
92	0.277438	1.34129	1.10431	0.41694	0.181848	0.395692	0.978752
93	0.229626	1.5048	1.08362	0.368359	0.204477	0.41638	1.04802
94	0.192592	1.65737	1.06526	0.332674	0.229958	0.43474	1.10207
95	0.165328	1.79688	1.04914	0.308366	0.257733	0.450862	1.1425
