Time	[pRB_E2F]	[E2F]	[pRB_P]	[i_cyclinE_CDK2]	[a_cyclinE_CDK2]	[pRB]	[CycD_CDK4]	[p27]	[cycE_CDK2_p27]	[p16]	[cycD_CDK4_p27]
0	1.95	0	0.01	0.01	0	0.05	0	15	1	5	0
1	1.94879	0.00120558	0.0112026	0.0116393	0.00112985	0.0661622	0.000808059	14.954	0.997779	4.71177	0.000564228
2	1.94692	0.0030416	0.0130589	0.0154472	0.00113211	0.0822912	0.000843098	14.9058	0.996647	4.45063	0.00117188
3	1.94442	0.00547524	0.015545	0.0221835	0.00113438	0.0983799	0.000877533	14.8577	0.995513	4.21451	0.00179723
4	1.94127	0.00851045	0.0186739	0.0326331	0.00113668	0.114421	0.000911214	14.8097	0.994379	4.00104	0.00243945
5	1.93747	0.0121494	0.022457	0.0475694	0.00113901	0.130409	0.000944005	14.7617	0.993243	3.80805	0.0030976
6	1.933	0.0163924	0.0269037	0.0677525	0.00114136	0.146337	0.000975787	14.7139	0.992107	3.6336	0.00377067
7	1.92786	0.0212376	0.0320215	0.0939258	0.00114374	0.162199	0.00100646	14.6661	0.990971	3.4759	0.00445758
8	1.92203	0.0266816	0.037816	0.126815	0.00114616	0.17799	0.00103593	14.6183	0.989836	3.33336	0.00515721
9	1.91552	0.0327187	0.0442907	0.167123	0.00114863	0.193704	0.00106414	14.5707	0.988703	3.20452	0.0058684
10	1.90833	0.0393412	0.051447	0.215532	0.00115113	0.209337	0.00109103	14.5231	0.987572	3.08809	0.00658997
11	1.90044	0.0465398	0.0592845	0.272697	0.00115369	0.224883	0.00111659	14.4756	0.986445	2.98286	0.00732073
12	1.89187	0.054303	0.0678004	0.339246	0.0011563	0.24034	0.00114079	14.4282	0.985322	2.88777	0.00805949
13	1.88263	0.0626177	0.0769903	0.415776	0.00115896	0.255703	0.00116363	14.3808	0.984206	2.80184	0.0088051
14	1.8727	0.071469	0.0868477	0.502854	0.00116169	0.27097	0.00118512	14.3335	0.983096	2.7242	0.0095564
15	1.86212	0.0808404	0.0973644	0.601013	0.00116449	0.286136	0.00120529	14.2862	0.981994	2.65404	0.0103123
16	1.85087	0.090714	0.10853	0.71075	0.00116736	0.3012	0.00122418	14.2391	0.980901	2.59066	0.0110717
17	1.83899	0.10107	0.120333	0.832527	0.0011703	0.316159	0.00124182	14.1919	0.979819	2.53339	0.0118336
18	1.82647	0.111889	0.132761	0.966769	0.00117333	0.33101	0.00125826	14.1449	0.97875	2.48165	0.0125971
19	1.81333	0.123148	0.145798	1.11386	0.00117644	0.345753	0.00127355	14.0979	0.977694	2.4349	0.0133612
