Time	[Cytoplasmic Calcium]	[Calcium in ER]	[IP3]
0	0.1	1.5	0.1
1	0.30164	1.19965	0.116118
2	0.299252	1.10152	0.131298
3	0.291212	1.01177	0.144869
4	0.279822	0.930296	0.156579
5	0.266606	0.856852	0.166326
6	0.252553	0.791096	0.174104
7	0.238308	0.732628	0.179973
8	0.224292	0.681009	0.184037
9	0.210783	0.635775	0.186432
10	0.197957	0.596448	0.187314
11	0.185922	0.562547	0.186853
12	0.174738	0.533602	0.185226
13	0.164428	0.509158	0.182607
14	0.154984	0.488784	0.179164
15	0.146383	0.472078	0.175058
16	0.13858	0.458672	0.170431
17	0.131523	0.448234	0.165415
18	0.125149	0.440467	0.160121
19	0.119389	0.435117	0.154648
20	0.114172	0.431965	0.149074
21	0.109424	0.430832	0.143467
22	0.105072	0.431574	0.137877
23	0.101043	0.434086	0.132344
24	0.0972657	0.438296	0.126898
25	0.0936678	0.444167	0.121557
26	0.0901781	0.451698	0.116334
27	0.0867239	0.460927	0.111231
28	0.0832282	0.471931	0.106247
29	0.0796073	0.484836	0.101375
30	0.075769	0.499819	0.0966007
31	0.0716125	0.517115	0.0919088
32	0.0670369	0.537009	0.0872796
33	0.061972	0.559801	0.082694
34	0.0564516	0.5857	0.0781387
35	0.0507175	0.614641	0.0736159
36	0.0452326	0.646159	0.0691516
37	0.0404562	0.67955	0.0647918
38	0.0365869	0.714196	0.0605863
39	0.0335689	0.749708	0.0565736
40	0.0312442	0.785855	0.0527762
41	0.0294542	0.82249	0.0492039
42	0.0280713	0.859506	0.0458575
43	0.0269999	0.896821	0.0427324
44	0.0261699	0.934367	0.0398208
45	0.0255294	0.97209	0.0371129
46	0.0250396	1.00994	0.0345981
47	0.0246714	1.04789	0.0322653
48	0.0244021	1.08589	0.0301037
49	0.0242141	1.12393	0.0281025
50	0.0240934	1.16198	0.0262512
51	0.0240289	1.20001	0.0245399
52	0.0240115	1.23802	0.0229592
53	0.0240337	1.27599	0.0215001
54	0.0240895	1.3139	0.0201542
55	0.0241736	1.35176	0.0189135
56	0.0242819	1.38953	0.0177707
57	0.0244107	1.42723	0.0167188
58	0.0245569	1.46485	0.0157513
59	0.0247179	1.50237	0.0148622
60	0.0248916	1.53979	0.0140459
61	0.0250759	1.57711	0.0132969
62	0.0252692	1.61434	0.0126106
63	0.0254702	1.65145	0.0119823
64	0.0256777	1.68846	0.0114077
65	0.0258905	1.72535	0.010883
66	0.0261079	1.76213	0.0104046
67	0.0263289	1.7988	0.00996888
68	0.026553	1.83536	0.00957287
69	0.0267796	1.8718	0.0092136
70	0.0270082	1.90812	0.00888835
71	0.0272383	1.94433	0.00859463
72	0.0274697	1.98042	0.00833009
73	0.027702	2.0164	0.00809257
74	0.0279349	2.05226	0.00788009
75	0.0281683	2.088	0.00769078
76	0.0284019	2.12362	0.00752292
77	0.0286357	2.15913	0.00737494
78	0.0288695	2.19452	0.00724535
79	0.0291031	2.22979	0.0071328
80	0.0293366	2.26495	0.00703602
81	0.0295698	2.29999	0.00695386
82	0.0298028	2.33491	0.00688524
83	0.0300354	2.36972	0.00682915
84	0.0302677	2.40441	0.00678469
85	0.0304996	2.43899	0.006751
86	0.0307312	2.47345	0.00672729
87	0.0309625	2.50779	0.00671284
88	0.0311934	2.54202	0.00670699
89	0.0314241	2.57614	0.00670911
90	0.0316545	2.61014	0.00671863
91	0.0318846	2.64402	0.00673504
92	0.0321145	2.67779	0.00675785
93	0.0323443	2.71145	0.0067866
94	0.032574	2.74499	0.0068209
95	0.0328036	2.77842	0.00686036
96	0.0330331	2.81173	0.00690464
97	0.0332628	2.84492	0.00695342
98	0.0334924	2.87801	0.00700642
99	0.0337223	2.91097	0.00706335
100	0.0339524	2.94382	0.00712399
