Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[damDNA]	[Sink]	[Source]	[p53deg]	[p53syn]	[mdm2deg]	[mdm2syn]	[Mdm2mRNAdeg]	[Mdm2mRNAsyn]	[totp53]	[totMdm2]
0	5	5	95	10	10	0	200	0	0	0	1	1	0	0	0	0	0	0	100	100
1	5.0531	5.03198	94.9497	9.9995	10	0	200	0	0	0	1	1	0.0783542	0.06	0.00217652	0.00494988	0.000999975	0.000501603	99.9816	100.003
2	5.10565	5.06346	94.8999	9.99901	10	0	200	0	0	0	1	1	0.156667	0.12	0.00437591	0.00989951	0.0019999	0.00100638	99.9633	100.006
3	5.15764	5.09445	94.8506	9.99851	10	0	200	0	0	0	1	1	0.234939	0.18	0.00659793	0.0148489	0.00299978	0.00151428	99.9451	100.008
4	5.20908	5.12495	94.8019	9.99803	10	0	200	0	0	0	1	1	0.313171	0.24	0.00884234	0.019798	0.0039996	0.00202525	99.9268	100.011
5	5.25997	5.15497	94.7537	9.99754	10	0	200	0	0	0	1	1	0.391362	0.3	0.0111089	0.0247469	0.00499938	0.00253925	99.9086	100.014
6	5.31032	5.18451	94.706	9.99706	10	0	200	0	0	0	1	1	0.469514	0.36	0.0133974	0.0296956	0.00599911	0.00305623	99.8905	100.016
7	5.36013	5.21356	94.6588	9.99658	10	0	200	0	0	0	1	1	0.547627	0.42	0.0157076	0.034644	0.00699879	0.00357614	99.8724	100.019
8	5.4094	5.24214	94.6122	9.9961	10	0	200	0	0	0	1	1	0.625702	0.48	0.0180392	0.0395922	0.00799843	0.00409893	99.8543	100.022
9	5.45813	5.27025	94.566	9.99563	10	0	200	0	0	0	1	1	0.703738	0.54	0.020392	0.0445402	0.00899801	0.00462455	99.8363	100.024
10	5.50634	5.29788	94.5204	9.99516	10	0	200	0	0	0	1	1	0.781736	0.6	0.0227659	0.0494879	0.00999755	0.00515296	99.8183	100.027
11	5.55401	5.32504	94.4753	9.99469	10	0	200	0	0	0	1	1	0.859696	0.66	0.0251604	0.0544354	0.010997	0.00568411	99.8003	100.029
12	5.60117	5.35174	94.4306	9.99422	10	0	200	0	0	0	1	1	0.93762	0.72	0.0275756	0.0593826	0.0119965	0.00621795	99.7824	100.032
13	5.64781	5.37798	94.3865	9.99376	10	0	200	0	0	0	1	1	1.01551	0.78	0.030011	0.0643297	0.0129959	0.00675444	99.7645	100.034
14	5.69393	5.40376	94.3429	9.9933	10	0	200	0	0	0	1	1	1.09336	0.84	0.0324665	0.0692764	0.0139952	0.00729353	99.7466	100.037
15	5.73954	5.42909	94.2997	9.99284	10	0	200	0	0	0	1	1	1.17117	0.9	0.0349418	0.074223	0.0149945	0.00783518	99.7288	100.039
16	5.78464	5.45396	94.2571	9.99239	10	0	200	0	0	0	1	1	1.24895	0.96	0.0374369	0.0791694	0.0159938	0.00837934	99.711	100.042
17	5.82925	5.47839	94.2149	9.99193	10	0	200	0	0	0	1	1	1.3267	1.02	0.0399513	0.0841155	0.016993	0.00892596	99.6933	100.044
18	5.87335	5.50237	94.1732	9.99148	10	0	200	0	0	0	1	1	1.40441	1.08	0.0424849	0.0890614	0.0179922	0.009475	99.6756	100.047
19	5.91696	5.52591	94.132	9.99104	10	0	200	0	0	0	1	1	1.48208	1.14	0.0450375	0.094007	0.0189913	0.0100264	99.6579	100.049
20	5.96008	5.54901	94.0913	9.99059	10	0	200	0	0	0	1	1	1.55973	1.2	0.0476089	0.0989525	0.0199904	0.0105802	99.6403	100.051
21	6.00272	5.57169	94.051	9.99015	10	0	200	0	0	0	1	1	1.63733	1.26	0.0501989	0.103898	0.0209894	0.0111362	99.6227	100.054
22	6.04487	5.59393	94.0112	9.98971	10	0	200	0	0	0	1	1	1.71491	1.32	0.0528072	0.108843	0.0219884	0.0116945	99.6051	100.056
23	6.08655	5.61575	93.9718	9.98927	10	0	200	0	0	0	1	1	1.79245	1.38	0.0554337	0.113788	0.0229874	0.012255	99.5875	100.058
24	6.12776	5.63714	93.9329	9.98883	10	0	200	0	0	0	1	1	1.86996	1.44	0.0580781	0.118732	0.0239863	0.0128176	99.57	100.061
25	6.1685	5.65812	93.8944	9.9884	10	0	200	0	0	0	1	1	1.94744	1.5	0.0607403	0.123676	0.0249851	0.0133824	99.5526	100.063
26	6.20878	5.67869	93.8564	9.98797	10	0	200	0	0	0	1	1	2.02489	1.56	0.0634199	0.128621	0.025984	0.0139492	99.5351	100.065
27	6.2486	5.69885	93.8188	9.98754	10	0	200	0	0	0	1	1	2.10231	1.62	0.066117	0.133565	0.0269827	0.0145181	99.5177	100.067
28	6.28797	5.7186	93.7817	9.98711	10	0	200	0	0	0	1	1	2.17969	1.68	0.0688312	0.138508	0.0279815	0.015089	99.5003	100.07
29	6.32689	5.73795	93.745	9.98668	10	0	200	0	0	0	1	1	2.25705	1.74	0.0715623	0.143452	0.0289802	0.0156618	99.483	100.072
30	6.36536	5.75691	93.7087	9.98626	10	0	200	0	0	0	1	1	2.33437	1.8	0.0743102	0.148395	0.0299788	0.0162366	99.4656	100.074
31	6.4034	5.77547	93.6729	9.98584	10	0	200	0	0	0	1	1	2.41166	1.86	0.0770746	0.153338	0.0309774	0.0168132	99.4483	100.076
32	6.441	5.79364	93.6374	9.98542	10	0	200	0	0	0	1	1	2.48893	1.92	0.0798555	0.158281	0.031976	0.0173916	99.4311	100.078
33	6.47817	5.81143	93.6024	9.985	10	0	200	0	0	0	1	1	2.56617	1.98	0.0826525	0.163224	0.0329745	0.0179719	99.4138	100.081
34	6.51492	5.82884	93.5678	9.98458	10	0	200	0	0	0	1	1	2.64337	2.04	0.0854655	0.168166	0.033973	0.0185539	99.3966	100.083
35	6.55124	5.84587	93.5336	9.98417	10	0	200	0	0	0	1	1	2.72055	2.1	0.0882943	0.173108	0.0349714	0.0191377	99.3794	100.085
36	6.58715	5.86253	93.4998	9.98375	10	0	200	0	0	0	1	1	2.7977	2.16	0.0911388	0.178051	0.0359698	0.0197231	99.3623	100.087
37	6.62265	5.87883	93.4663	9.98334	10	0	200	0	0	0	1	1	2.87483	2.22	0.0939987	0.182992	0.0369682	0.0203102	99.3452	100.089
38	6.65774	5.89476	93.4333	9.98293	10	0	200	0	0	0	1	1	2.95192	2.28	0.096874	0.187934	0.0379665	0.0208988	99.3281	100.091
39	6.69243	5.91033	93.4007	9.98252	10	0	200	0	0	0	1	1	3.02899	2.34	0.0997643	0.192876	0.0389648	0.0214891	99.311	100.093
40	6.72673	5.92555	93.3684	9.98212	10	0	200	0	0	0	1	1	3.10604	2.4	0.10267	0.197817	0.039963	0.0220809	99.294	100.095
41	6.76063	5.94041	93.3365	9.98171	10	0	200	0	0	0	1	1	3.18305	2.46	0.10559	0.202758	0.0409612	0.0226742	99.2769	100.097
42	6.79415	5.95493	93.305	9.98131	10	0	200	0	0	0	1	1	3.26004	2.52	0.108524	0.207699	0.0419593	0.023269	99.26	100.099
43	6.82728	5.96911	93.2739	9.98091	10	0	200	0	0	0	1	1	3.337	2.58	0.111473	0.212639	0.0429574	0.0238652	99.243	100.101
44	6.86004	5.98295	93.2431	9.98051	10	0	200	0	0	0	1	1	3.41394	2.64	0.114437	0.21758	0.0439555	0.0244628	99.2261	100.103
45	6.89242	5.99646	93.2127	9.98011	10	0	200	0	0	0	1	1	3.49086	2.7	0.117414	0.22252	0.0449535	0.0250617	99.2091	100.105
46	6.92443	6.00963	93.1826	9.97971	10	0	200	0	0	0	1	1	3.56774	2.76	0.120405	0.22746	0.0459515	0.0256621	99.1923	100.107
47	6.95608	6.02248	93.1529	9.97931	10	0	200	0	0	0	1	1	3.64461	2.82	0.123411	0.2324	0.0469495	0.0262637	99.1754	100.109
48	6.98737	6.03501	93.1235	9.97892	10	0	200	0	0	0	1	1	3.72145	2.88	0.126429	0.23734	0.0479474	0.0268665	99.1586	100.111
49	7.0183	6.04723	93.0945	9.97853	10	0	200	0	0	0	1	1	3.79826	2.94	0.129462	0.242279	0.0489453	0.0274707	99.1417	100.113
50	7.04889	6.05913	93.0658	9.97813	10	0	200	0	0	0	1	1	3.87505	3	0.132507	0.247218	0.0499431	0.028076	99.1249	100.115
