Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[ARF]	[ARF_Mdm2]	[damDNA]	[Sink]	[Source]	[p53deg]	[p53syn]	[mdm2deg]	[mdm2syn]	[Mdm2mRNAdeg]	[Mdm2mRNAsyn]	[totdamDNA]	[totp53]	[totMdm2]
0	5	5	95	0	0	0	0	1	1	0	0	0	0	0	0	0	100	100
1	5.04812	5.04994	94.9497	0.000502477	0	0	0	1	1	0.0783542	0.078	0.00217544	1.24159e-07	2.50826e-08	0.000502502	0	99.9996	99.9978
2	5.0956	5.09931	94.9	0.00100987	0	0	0	1	1	0.156667	0.156	0.00437158	4.98263e-07	1.00659e-07	0.00100997	0	99.9993	99.9956
3	5.14246	5.14811	94.851	0.00152212	0	0	0	1	1	0.234939	0.234	0.00658814	1.12473e-06	2.27218e-07	0.00152234	0	99.9991	99.9934
4	5.18869	5.19634	94.8025	0.00203917	0	0	0	1	1	0.313171	0.312	0.00882486	2.00595e-06	4.05242e-07	0.00203957	0	99.9988	99.9912
5	5.2343	5.24401	94.7546	0.00256096	0	0	0	1	1	0.391364	0.39	0.0110815	3.14429e-06	6.35209e-07	0.00256159	0	99.9986	99.9889
6	5.27929	5.29113	94.7074	0.00308744	0	0	0	1	1	0.469517	0.468	0.0133577	4.54207e-06	9.1759e-07	0.00308836	0	99.9985	99.9866
7	5.32366	5.33768	94.6607	0.00361855	0	0	0	1	1	0.547631	0.546	0.0156532	6.20161e-06	1.25285e-06	0.0036198	0	99.9984	99.9844
8	5.36742	5.38367	94.6146	0.00415423	0	0	0	1	1	0.625707	0.624	0.0179679	8.12519e-06	1.64145e-06	0.00415587	0	99.9983	99.982
9	5.41057	5.42911	94.5691	0.00469443	0	0	0	1	1	0.703745	0.702	0.0203013	1.0315e-05	2.08385e-06	0.00469652	0	99.9983	99.9797
10	5.45311	5.474	94.5243	0.0052391	0	0	0	1	1	0.781746	0.78	0.0226533	1.27734e-05	2.58049e-06	0.00524168	0	99.9983	99.9774
11	5.49505	5.51834	94.4799	0.00578817	0	0	0	1	1	0.85971	0.858	0.0250236	1.55025e-05	3.13181e-06	0.0057913	0	99.9983	99.975
12	5.53638	5.56214	94.4362	0.00634159	0	0	0	1	1	0.937638	0.936	0.027412	1.85044e-05	3.73827e-06	0.00634533	0	99.9984	99.9726
13	5.57713	5.60539	94.3931	0.00689931	0	0	0	1	1	1.01553	1.014	0.0298181	2.17814e-05	4.40028e-06	0.00690371	0	99.9985	99.9702
14	5.61728	5.6481	94.3505	0.00746127	0	0	0	1	1	1.09339	1.092	0.0322417	2.53354e-05	5.11827e-06	0.00746639	0	99.9986	99.9678
15	5.65684	5.69028	94.3085	0.00802742	0	0	0	1	1	1.17121	1.17	0.0346825	2.91687e-05	5.89267e-06	0.00803331	0	99.9988	99.9653
16	5.69582	5.73193	94.2671	0.0085977	0	0	0	1	1	1.249	1.248	0.0371404	3.32833e-05	6.72389e-06	0.00860443	0	99.999	99.9629
17	5.73422	5.77304	94.2262	0.00917207	0	0	0	1	1	1.32675	1.326	0.039615	3.76811e-05	7.61235e-06	0.00917968	0	99.9993	99.9604
18	5.77204	5.81364	94.1859	0.00975046	0	0	0	1	1	1.40447	1.404	0.0421062	4.23643e-05	8.55844e-06	0.00975902	0	99.9995	99.9579
19	5.8093	5.85371	94.1461	0.0103328	0	0	0	1	1	1.48216	1.482	0.0446135	4.73347e-05	9.56257e-06	0.0103424	0	99.9998	99.9554
20	5.84598	5.89326	94.1069	0.0109191	0	0	0	1	1	1.55981	1.56	0.0471369	5.25944e-05	1.06251e-05	0.0109297	0	100	99.9529
21	5.88211	5.9323	94.0683	0.0115093	0	0	0	1	1	1.63743	1.638	0.0496761	5.81453e-05	1.17465e-05	0.011521	0	100.001	99.9504
22	5.91768	5.97083	94.0302	0.0121033	0	0	0	1	1	1.71502	1.716	0.0522308	6.39892e-05	1.29271e-05	0.0121162	0	100.001	99.9478
23	5.9527	6.00885	93.9926	0.012701	0	0	0	1	1	1.79258	1.794	0.0548007	7.01281e-05	1.41673e-05	0.0127152	0	100.001	99.9453
24	5.98718	6.04637	93.9555	0.0133025	0	0	0	1	1	1.87011	1.872	0.0573857	7.65639e-05	1.54674e-05	0.0133179	0	100.002	99.9427
25	6.02111	6.0834	93.919	0.0139076	0	0	0	1	1	1.94761	1.95	0.0599855	8.32982e-05	1.68279e-05	0.0139244	0	100.002	99.9401
26	6.0545	6.11993	93.883	0.0145164	0	0	0	1	1	2.02508	2.028	0.0625999	9.0333e-05	1.82491e-05	0.0145346	0	100.003	99.9375
27	6.08736	6.15598	93.8475	0.0151287	0	0	0	1	1	2.10252	2.106	0.0652286	9.767e-05	1.97313e-05	0.0151484	0	100.003	99.9349
28	6.1197	6.19154	93.8125	0.0157445	0	0	0	1	1	2.17993	2.184	0.0678715	0.000105311	2.12749e-05	0.0157658	0	100.004	99.9322
29	6.15151	6.22662	93.7781	0.0163638	0	0	0	1	1	2.25731	2.262	0.0705282	0.000113258	2.28803e-05	0.0163867	0	100.005	99.9296
30	6.18281	6.26122	93.7441	0.0169865	0	0	0	1	1	2.33466	2.34	0.0731986	0.000121512	2.45478e-05	0.0170111	0	100.005	99.9269
31	6.21359	6.29536	93.7107	0.0176126	0	0	0	1	1	2.41199	2.418	0.0758825	0.000130075	2.62778e-05	0.0176389	0	100.006	99.9242
32	6.24387	6.32903	93.6777	0.0182421	0	0	0	1	1	2.48928	2.496	0.0785795	0.000138949	2.80705e-05	0.0182701	0	100.007	99.9216
33	6.27365	6.36224	93.6452	0.0188748	0	0	0	1	1	2.56655	2.574	0.0812896	0.000148135	2.99263e-05	0.0189047	0	100.007	99.9189
34	6.30294	6.39499	93.6132	0.0195107	0	0	0	1	1	2.6438	2.652	0.0840124	0.000157635	3.18455e-05	0.0195426	0	100.008	99.9161
