Time	[Arginine ex]	[Ornithine]	[Arginine in]
0	330	1	1
1	330	6.17033	163.27
2	330	16.7409	271.611
3	330	29.3538	357.444
4	330	42.6759	428.9
5	330	56.0589	490.025
6	330	69.166	543.266
7	330	81.8203	590.251
8	330	93.9323	632.139
9	330	105.463	669.785
10	330	116.402	703.844
11	330	126.757	734.828
12	330	136.545	763.149
13	330	145.789	789.14
14	330	154.515	813.077
15	330	162.75	835.19
16	330	170.522	855.673
17	330	177.857	874.694
18	330	184.781	892.393
19	330	191.319	908.896
20	330	197.493	924.311
21	330	203.327	938.731
22	330	208.841	952.241
23	330	214.055	964.914
24	330	218.986	976.818
25	330	223.651	988.01
26	330	228.067	998.545
27	330	232.249	1008.47
28	330	236.209	1017.83
29	330	239.963	1026.66
30	330	243.52	1035
31	330	246.893	1042.89
32	330	250.093	1050.34
33	330	253.128	1057.4
34	330	256.009	1064.07
35	330	258.745	1070.4
36	330	261.342	1076.4
37	330	263.81	1082.08
38	330	266.154	1087.48
39	330	268.382	1092.6
40	330	270.5	1097.46
41	330	272.514	1102.07
42	330	274.43	1106.45
43	330	276.252	1110.62
44	330	277.986	1114.58
45	330	279.636	1118.35
46	330	281.207	1121.93
47	330	282.702	1125.34
48	330	284.126	1128.58
49	330	285.482	1131.67
50	330	286.773	1134.61
51	330	288.004	1137.41
52	330	289.176	1140.07
53	330	290.293	1142.61
54	330	291.358	1145.03
55	330	292.373	1147.34
56	330	293.341	1149.53
57	330	294.263	1151.63
58	330	295.143	1153.62
59	330	295.982	1155.53
60	330	296.782	1157.34
61	330	297.545	1159.07
62	330	298.273	1160.73
63	330	298.968	1162.3
64	330	299.631	1163.8
65	330	300.263	1165.24
66	330	300.866	1166.6
67	330	301.442	1167.91
68	330	301.992	1169.16
69	330	302.517	1170.35
70	330	303.018	1171.48
71	330	303.496	1172.56
72	330	303.952	1173.6
73	330	304.388	1174.59
74	330	304.804	1175.53
75	330	305.202	1176.43
76	330	305.581	1177.29
77	330	305.944	1178.11
78	330	306.29	1178.89
79	330	306.62	1179.64
80	330	306.936	1180.36
81	330	307.237	1181.04
82	330	307.525	1181.69
83	330	307.801	1182.31
84	330	308.063	1182.91
85	330	308.314	1183.48
86	330	308.554	1184.02
87	330	308.783	1184.54
88	330	309.002	1185.04
89	330	309.211	1185.51
90	330	309.411	1185.96
91	330	309.602	1186.39
92	330	309.784	1186.81
93	330	309.959	1187.2
94	330	310.125	1187.58
95	330	310.284	1187.94
96	330	310.436	1188.28
97	330	310.582	1188.61
98	330	310.721	1188.93
99	330	310.853	1189.23
100	330	310.98	1189.51
