Time	[RanGDP_nuc]	[RCC1_RanGDP]	[GDP]	[RCC1]	[RCC1_RanGTP]	[RCC1_Ran]	[GTP]	[RanGTP_nuc]	[RanGAP]	[RanBP1]	[RanGTP_cy]	[RanGTP_RanBP1]	[RanGDP_cy]
0	0	0	1.6	0.7	0	0	500	0	0.7	2	0	0	5
1	0.0746257	0.0357927	1.6	0.447873	0.201922	0.0144127	500	0.240898	0.7	2	0.000381367	2.97014e-06	4.62118
2	0.116722	0.0403061	1.6	0.30962	0.327815	0.0222586	500	0.570733	0.7	1.99999	0.00096436	7.59029e-06	4.28047
3	0.15733	0.0421277	1.6	0.235055	0.396332	0.0264856	500	0.911887	0.7	1.99999	0.00157491	1.24372e-05	3.97564
4	0.193482	0.0427242	1.6	0.191193	0.437114	0.0289686	500	1.23896	0.7	1.99998	0.00216394	1.71169e-05	3.70365
5	0.224588	0.0427466	1.6	0.16311	0.463587	0.0305559	500	1.54254	0.7	1.99998	0.00271263	2.14778e-05	3.46125
6	0.25096	0.0424923	1.6	0.143891	0.481976	0.0316403	500	1.8201	0.7	1.99997	0.00321552	2.54756e-05	3.24531
7	0.273175	0.0421067	1.6	0.130057	0.495417	0.0324197	500	2.0719	0.7	1.99997	0.00367259	2.91097e-05	3.05295
8	0.291842	0.0416651	1.6	0.119708	0.505625	0.0330017	500	2.29931	0.7	1.99997	0.00408601	3.23972e-05	2.88158
9	0.307523	0.0412083	1.6	0.111732	0.51361	0.0334495	500	2.50414	0.7	1.99996	0.00445886	3.53623e-05	2.72888
10	0.320706	0.0407587	1.6	0.105439	0.52	0.0338023	500	2.6883	0.7	1.99996	0.00479444	3.80312e-05	2.59279
11	0.331808	0.0403287	1.6	0.100378	0.525208	0.0340856	500	2.85365	0.7	1.99996	0.00509607	4.04302e-05	2.47147
12	0.341175	0.0399246	1.6	0.0962455	0.529513	0.0343166	500	3.002	0.7	1.99996	0.0053669	4.25844e-05	2.3633
13	0.349098	0.0395492	1.6	0.092828	0.533115	0.0345074	500	3.135	0.7	1.99996	0.00560989	4.45173e-05	2.26683
14	0.355817	0.0392035	1.6	0.089972	0.536158	0.0346666	500	3.25418	0.7	1.99995	0.00582777	4.62505e-05	2.18077
15	0.36153	0.0388869	1.6	0.0875637	0.538749	0.0348008	500	3.36093	0.7	1.99995	0.00602305	4.7804e-05	2.104
16	0.366401	0.0385983	1.6	0.0855179	0.540969	0.0349146	500	3.45652	0.7	1.99995	0.006198	4.91958e-05	2.03549
17	0.370565	0.0383362	1.6	0.0837688	0.542883	0.0350118	500	3.54208	0.7	1.99995	0.00635469	5.04423e-05	1.97434
18	0.374136	0.0380987	1.6	0.0822651	0.544541	0.0350953	500	3.61867	0.7	1.99995	0.00649498	5.15585e-05	1.91976
