Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[GATA6_Gene]	[CDX2_Gene]	[GCNF_Gene]	[targetGene]	[degradation]	[p53]	[A]	[SG]	[SN]	[OCT4]	[SOX2]	[NANOG]	[GATA6]	[CDX2]	[GCNF]	[OCT4_SOX2]	[Protein]
0	0	0	0	0	0	0	0.01	0	0	25	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0
1	0	0	0	0	0	0	0.01	0	0	25	0	0	0.91298	0.0100234	0.00986837	0.330411	0.0554085	0.0259765	0.1	0
2	0	0	0	0	0	0	0.01	0	0	25	0	0	1.67882	0.0100857	0.00920328	0.843517	0.150585	0.0852193	0.1	0
3	0	0	0	0	0	0	0.01	0	0	25	0	0	2.27748	0.0101759	0.00845372	1.39998	0.248136	0.189185	0.1	0
4	0	0	0	0	0	0	0.01	0	0	25	0	0	2.72379	0.0102837	0.00772903	1.95086	0.330274	0.328591	0.1	0
5	0	0	0	0	0	0	0.01	0	0	25	0	0	3.04943	0.0104013	0.00705234	2.4768	0.397969	0.493493	0.1	0
6	0	0	0	0	0	0	0.01	0	0	25	0	0	3.28334	0.0105227	0.0064285	2.96993	0.45436	0.675536	0.1	0
7	0	0	0	0	0	0	0.01	0	0	25	0	0	3.44799	0.010644	0.00585686	3.42747	0.502077	0.868102	0.1	0
8	0	0	0	0	0	0	0.01	0	0	25	0	0	3.56019	0.0107623	0.00533481	3.84911	0.543093	1.06607	0.1	0
9	0	0	0	0	0	0	0.01	0	0	25	0	0	3.63244	0.0108755	0.00485903	4.23579	0.578874	1.2655	0.1	0
10	0	0	0	0	0	0	0.01	0	0	25	0	0	3.67416	0.0109823	0.00442601	4.58912	0.61053	1.46345	0.1	0
11	0	0	0	0	0	0	0.01	0	0	25	0	0	3.69249	0.0110819	0.00403227	4.91102	0.638911	1.65768	0.1	0
12	0	0	0	0	0	0	0.01	0	0	25	0	0	3.6929	0.0111739	0.00367451	5.20355	0.664674	1.84656	0.1	0
13	0	0	0	0	0	0	0.01	0	0	25	0	0	3.67966	0.0112579	0.0033496	5.46879	0.68834	2.02892	0.1	0
14	0	0	0	0	0	0	0.01	0	0	25	0	0	3.65609	0.0113341	0.00305466	5.70878	0.710318	2.20395	0.1	0
15	0	0	0	0	0	0	0.01	0	0	25	0	0	3.6248	0.0114026	0.00278699	5.92549	0.730935	2.37112	0.1	0
16	0	0	0	0	0	0	0.01	0	0	25	0	0	3.58786	0.0114635	0.00254415	6.12078	0.75045	2.53012	0.1	0
17	0	0	0	0	0	0	0.01	0	0	25	0	0	3.54689	0.0115174	0.00232389	6.29643	0.769074	2.68081	0.1	0
18	0	0	0	0	0	0	0.01	0	0	25	0	0	3.50319	0.0115644	0.00212414	6.45409	0.78697	2.82319	0.1	0
19	0	0	0	0	0	0	0.01	0	0	25	0	0	3.45779	0.0116051	0.00194302	6.59529	0.804272	2.95736	0.1	0
20	0	0	0	0	0	0	0.01	0	0	25	0	0	3.41151	0.01164	0.00177883	6.72149	0.821082	3.08348	0.1	0
21	0	0	0	0	0	0	0.01	0	0	25	0	0	3.36499	0.0116693	0.00162999	6.83399	0.837482	3.2018	0.1	0
22	0	0	0	0	0	0	0.01	0	0	25	0	0	3.31872	0.0116936	0.00149509	6.93403	0.853533	3.31258	0.1	0
23	0	0	0	0	0	0	0.01	0	0	25	0	0	3.2731	0.0117133	0.00137285	7.02274	0.869283	3.41613	0.1	0
24	0	0	0	0	0	0	0.01	0	0	25	0	0	3.22844	0.0117289	0.00126207	7.10118	0.884765	3.51277	0.1	0
25	0	0	0	0	0	0	0.01	0	0	25	0	0	3.18495	0.0117406	0.00116171	7.17029	0.900004	3.60282	0.1	0
26	0	0	0	0	0	0	0.01	0	0	25	0	0	3.14281	0.011749	0.00107079	7.23097	0.915015	3.68663	0.1	0
27	0	0	0	0	0	0	0.01	0	0	25	0	0	3.10214	0.0117543	0.000988423	7.28401	0.929807	3.76454	0.1	0
28	0	0	0	0	0	0	0.01	0	0	25	0	0	3.06301	0.0117569	0.000913822	7.33018	0.944383	3.83687	0.1	0
29	0	0	0	0	0	0	0.01	0	0	25	0	0	3.02549	0.0117571	0.00084626	7.37014	0.958744	3.90395	0.1	0
30	0	0	0	0	0	0	0.01	0	0	25	0	0	2.98958	0.0117553	0.000785079	7.40452	0.972885	3.9661	0.1	0
31	0	0	0	0	0	0	0.01	0	0	25	0	0	2.9553	0.0117516	0.000729682	7.43389	0.986801	4.02362	0.1	0
32	0	0	0	0	0	0	0.01	0	0	25	0	0	2.92264	0.0117463	0.000679528	7.45878	1.00048	4.07682	0.1	0
33	0	0	0	0	0	0	0.01	0	0	25	0	0	2.89156	0.0117396	0.000634126	7.47964	1.01392	4.12597	0.1	0
34	0	0	0	0	0	0	0.01	0	0	25	0	0	2.86204	0.0117318	0.000593031	7.49692	1.02711	4.17134	0.1	0
35	0	0	0	0	0	0	0.01	0	0	25	0	0	2.83403	0.011723	0.00055584	7.51101	1.04004	4.21319	0.1	0
36	0	0	0	0	0	0	0.01	0	0	25	0	0	2.80748	0.0117134	0.000522185	7.52226	1.0527	4.25175	0.1	0
37	0	0	0	0	0	0	0.01	0	0	25	0	0	2.78235	0.0117032	0.000491735	7.531	1.06508	4.28727	0.1	0
38	0	0	0	0	0	0	0.01	0	0	25	0	0	2.75858	0.0116924	0.000464188	7.53753	1.07717	4.31995	0.1	0
39	0	0	0	0	0	0	0.01	0	0	25	0	0	2.73611	0.0116813	0.000439272	7.54211	1.08897	4.35	0.1	0
40	0	0	0	0	0	0	0.01	0	0	25	0	0	2.71489	0.0116698	0.000416739	7.54497	1.10047	4.37761	0.1	0
41	0	0	0	0	0	0	0.01	0	0	25	0	0	2.69487	0.0116582	0.000396365	7.54635	1.11166	4.40296	0.1	0
42	0	0	0	0	0	0	0.01	0	0	25	0	0	2.67598	0.0116464	0.000377946	7.54642	1.12254	4.42622	0.1	0
43	0	0	0	0	0	0	0.01	0	0	25	0	0	2.65816	0.0116346	0.000361297	7.54538	1.1331	4.44754	0.1	0
44	0	0	0	0	0	0	0.01	0	0	25	0	0	2.64138	0.0116229	0.000346251	7.54337	1.14334	4.46708	0.1	0
45	0	0	0	0	0	0	0.01	0	0	25	0	0	2.62556	0.0116112	0.000332658	7.54054	1.15327	4.48496	0.1	0
46	0	0	0	0	0	0	0.01	0	0	25	0	0	2.61067	0.0115996	0.000320378	7.53702	1.16288	4.50132	0.1	0
47	0	0	0	0	0	0	0.01	0	0	25	0	0	2.59665	0.0115882	0.000309289	7.53292	1.17217	4.51628	0.1	0
48	0	0	0	0	0	0	0.01	0	0	25	0	0	2.58346	0.011577	0.000299276	7.52833	1.18114	4.52994	0.1	0
49	0	0	0	0	0	0	0.01	0	0	25	0	0	2.57105	0.0115661	0.000290238	7.52336	1.18979	4.54242	0.1	0
50	0	0	0	0	0	0	0.01	0	0	25	0	0	2.55937	0.0115554	0.000282082	7.51808	1.19813	4.55379	0.1	0
51	0	0	0	0	0	0	0.01	0	0	25	0	0	2.5484	0.011545	0.000274724	7.51255	1.20617	4.56416	0.1	0
52	0	0	0	0	0	0	0.01	0	0	25	0	0	2.53807	0.0115349	0.000268088	7.50685	1.21389	4.57361	0.1	0
