Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[GATA6_Gene]	[CDX2_Gene]	[GCNF_Gene]	[targetGene]	[degradation]	[p53]	[A]	[OCT4]	[SOX2]	[NANOG]	[GATA6]	[CDX2]	[GCNF]	[OCT4_SOX2]	[Protein]
0	0	0	0	0	0	0	0.01	0	0	10	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0
1	0	0	0	0	0	0	0.01	0	0	10	0.0262458	0.0100088	0.0119001	0.015002	0.0622719	0.0139892	0.1	0
2	0	0	0	0	0	0	0.01	0	0	10	0.0407463	0.010024	0.0137835	0.0200154	0.262902	0.0289675	0.1	0
3	0	0	0	0	0	0	0.01	0	0	10	0.0532368	0.0100443	0.0156505	0.0250401	0.658133	0.0700206	0.1	0
4	0	0	0	0	0	0	0.01	0	0	10	0.0633742	0.0100682	0.0175012	0.0300762	1.15264	0.145287	0.1	0
5	0	0	0	0	0	0	0.01	0	0	10	0.0710863	0.0100941	0.0193358	0.0351237	1.66697	0.252445	0.1	0
6	0	0	0	0	0	0	0.01	0	0	10	0.0765908	0.0101208	0.0211543	0.0401826	2.1664	0.385087	0.1	0
7	0	0	0	0	0	0	0.01	0	0	10	0.0802424	0.0101473	0.0229569	0.0452529	2.63786	0.536466	0.1	0
8	0	0	0	0	0	0	0.01	0	0	10	0.082412	0.0101728	0.0247438	0.0503346	3.07727	0.700683	0.1	0
9	0	0	0	0	0	0	0.01	0	0	10	0.083429	0.0101967	0.0265151	0.0554278	3.48435	0.872912	0.1	0
10	0	0	0	0	0	0	0.01	0	0	10	0.0835665	0.0102187	0.0282709	0.0605324	3.86042	1.04932	0.1	0
11	0	0	0	0	0	0	0.01	0	0	10	0.0830425	0.0102387	0.0300114	0.0656485	4.20745	1.22693	0.1	0
12	0	0	0	0	0	0	0.01	0	0	10	0.0820288	0.0102564	0.0317367	0.070776	4.52763	1.40344	0.1	0
13	0	0	0	0	0	0	0.01	0	0	10	0.0806594	0.0102719	0.0334469	0.0759151	4.82313	1.5771	0.1	0
14	0	0	0	0	0	0	0.01	0	0	10	0.0790384	0.0102853	0.0351422	0.0810656	5.09603	1.74662	0.1	0
15	0	0	0	0	0	0	0.01	0	0	10	0.0772468	0.0102967	0.0368226	0.0862277	5.34825	1.91105	0.1	0
16	0	0	0	0	0	0	0.01	0	0	10	0.0753474	0.0103061	0.0384884	0.0914013	5.58157	2.06972	0.1	0
17	0	0	0	0	0	0	0.01	0	0	10	0.0733884	0.0103137	0.0401396	0.0965864	5.7976	2.22218	0.1	0
18	0	0	0	0	0	0	0.01	0	0	10	0.0714073	0.0103196	0.0417764	0.101783	5.99781	2.36816	0.1	0
19	0	0	0	0	0	0	0.01	0	0	10	0.0694324	0.010324	0.0433989	0.106991	6.18352	2.5075	0.1	0
20	0	0	0	0	0	0	0.01	0	0	10	0.0674854	0.0103271	0.0450073	0.112211	6.35595	2.64018	0.1	0
21	0	0	0	0	0	0	0.01	0	0	10	0.0655824	0.0103289	0.0466015	0.117442	6.51617	2.76624	0.1	0
22	0	0	0	0	0	0	0.01	0	0	10	0.0637352	0.0103297	0.0481819	0.122685	6.66516	2.88579	0.1	0
23	0	0	0	0	0	0	0.01	0	0	10	0.0619523	0.0103295	0.0497484	0.12794	6.80382	2.99899	0.1	0
24	0	0	0	0	0	0	0.01	0	0	10	0.0602393	0.0103284	0.0513013	0.133206	6.93295	3.10603	0.1	0
25	0	0	0	0	0	0	0.01	0	0	10	0.0585998	0.0103266	0.0528405	0.138484	7.05328	3.20712	0.1	0
26	0	0	0	0	0	0	0.01	0	0	10	0.057036	0.0103242	0.0543664	0.143774	7.16548	3.3025	0.1	0
27	0	0	0	0	0	0	0.01	0	0	10	0.0555483	0.0103213	0.0558789	0.149075	7.27015	3.39241	0.1	0
28	0	0	0	0	0	0	0.01	0	0	10	0.0541366	0.010318	0.0573781	0.154388	7.36785	3.4771	0.1	0
29	0	0	0	0	0	0	0.01	0	0	10	0.0527995	0.0103142	0.0588643	0.159712	7.45908	3.55681	0.1	0
30	0	0	0	0	0	0	0.01	0	0	10	0.0515355	0.0103102	0.0603375	0.165049	7.54431	3.6318	0.1	0
31	0	0	0	0	0	0	0.01	0	0	10	0.0503424	0.010306	0.0617978	0.170397	7.62395	3.70231	0.1	0
32	0	0	0	0	0	0	0.01	0	0	10	0.0492178	0.0103016	0.0632453	0.175756	7.6984	3.76859	0.1	0
33	0	0	0	0	0	0	0.01	0	0	10	0.0481589	0.010297	0.0646802	0.181128	7.76801	3.83086	0.1	0
34	0	0	0	0	0	0	0.01	0	0	10	0.047163	0.0102924	0.0661026	0.186511	7.83311	3.88934	0.1	0
35	0	0	0	0	0	0	0.01	0	0	10	0.0462272	0.0102878	0.0675125	0.191906	7.89401	3.94427	0.1	0
