Time	[pyruvate]	[adpc]	[atpc]	[phosphoenolpyruvate]	[2phosphoglycerate]	[ampc]	[3phosphoglycerate cytosol]	[dihydroxyacetonephosphate cytosol]	[glycerol3phosphate cytosol]	[glucose]	[atpg]	[adpg]	[ampg]	[glucose6phosphate]	[fructose6phosphate]	[fructose16bisphosphate]	[dihydroxyacetonephosphate]	[glyceraldehyde3phosphate]	[nad]	[nadh]	[bisphosphoglycerate]	[glycerol3phosphate]	[3phosphoglycerate]	[glycerol]	[glucose external]	[pyruvate external]	[glycerol external]
0	10	1.31652	0.341739	0	0	2.24174	0	2.23135	2.76865	0	0.240502	1.519	4.2405	0.5	0.5	10	8.47911	2.5	2	2	0.5	10.5209	0	0	5	0	0
1	9.00217	0.867655	2.91832	1.41049	0.436902	0.11402	13.349	3.54362	1.45638	0.00658993	4.75435	1.12747	0.118179	0.823886	0.207469	13.8118	3.93878	0.126128	3.92888	0.0711193	0.0251029	1.61884	13.3492	5.15464e-06	5	0	0
2	11.6562	0.850578	2.94068	1.43361	0.452612	0.108744	15.1357	3.55566	1.44434	0.00672484	4.6417	1.21721	0.141084	0.828299	0.208624	13.8816	3.94484	0.126404	3.9291	0.0709005	0.0256067	1.60247	15.1359	5.60181e-06	5	0	0
3	12.7555	0.846435	2.94608	1.43935	0.456589	0.107489	15.6346	3.55894	1.44106	0.00676179	4.61148	1.24093	0.147596	0.829494	0.208937	13.9004	3.94652	0.12648	3.92916	0.070838	0.0257503	1.59804	15.6347	5.72123e-06	5	0	0
4	13.1849	0.845239	2.94763	1.44101	0.45775	0.107129	15.7841	3.55992	1.44008	0.00677282	4.60252	1.24793	0.149556	0.829849	0.20903	13.9061	3.94702	0.126503	3.92918	0.0708192	0.0257935	1.59673	15.7843	5.75659e-06	5	0	0
5	13.3413	0.844878	2.9481	1.44151	0.458101	0.107021	15.8298	3.56021	1.43979	0.00677618	4.59979	1.25006	0.150156	0.829957	0.209058	13.9078	3.94718	0.12651	3.92919	0.0708135	0.0258067	1.59632	15.8299	5.76736e-06	5	0	0
6	13.3951	0.844767	2.94825	1.44167	0.458209	0.106987	15.8438	3.56031	1.43969	0.00677721	4.59895	1.25071	0.15034	0.82999	0.209067	13.9083	3.94722	0.126512	3.92919	0.0708117	0.0258107	1.5962	15.844	5.77066e-06	5	0	0
7	13.4129	0.844733	2.94829	1.44172	0.458242	0.106977	15.8481	3.56033	1.43967	0.00677753	4.59869	1.25091	0.150397	0.83	0.20907	13.9085	3.94724	0.126513	3.92919	0.0708111	0.025812	1.59616	15.8483	5.77168e-06	5	0	0
8	13.4186	0.844722	2.9483	1.44173	0.458253	0.106974	15.8494	3.56034	1.43966	0.00677762	4.59861	1.25097	0.150415	0.830003	0.20907	13.9085	3.94724	0.126513	3.92919	0.070811	0.0258123	1.59615	15.8496	5.77199e-06	5	0	0
9	13.4205	0.844719	2.94831	1.44174	0.458256	0.106973	15.8499	3.56035	1.43965	0.00677765	4.59859	1.25099	0.15042	0.830004	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.85	5.77209e-06	5	0	0
