Time	[M]	[TF]	[CP]	[CP2]	[IC]	[CPtot]
0	1.4	0.13	0.037	0.046	0.37	0.869
1	1.36867	0.0789618	0.0388626	0.0705613	0.421038	1.02206
2	1.27433	0.0420058	0.0388878	0.110745	0.457994	1.17637
3	1.16362	0.0236526	0.0379359	0.160717	0.476347	1.31206
4	1.05688	0.0162581	0.0365181	0.208398	0.483742	1.4208
5	0.958502	0.0130286	0.0348461	0.245714	0.486971	1.50022
6	0.868849	0.011485	0.0330206	0.27027	0.488515	1.55059
7	0.787466	0.0108231	0.0310998	0.282015	0.489177	1.57348
8	0.713748	0.0107498	0.02912	0.28176	0.48925	1.57114
9	0.647086	0.0111752	0.0271051	0.270695	0.488825	1.54614
10	0.586932	0.0121282	0.0250717	0.250199	0.487872	1.50121
11	0.532833	0.0137522	0.0230339	0.221784	0.486248	1.4391
12	0.484499	0.0163558	0.0210069	0.187114	0.483644	1.36252
13	0.441941	0.0205443	0.0190151	0.148136	0.479456	1.2742
14	0.405867	0.0275027	0.0171054	0.107382	0.472497	1.17686
15	0.378768	0.0394941	0.0153825	0.0685337	0.460506	1.07346
16	0.367878	0.0601692	0.014092	0.0368883	0.439831	0.96753
17	0.390329	0.0924177	0.0137341	0.0175863	0.407582	0.864071
18	0.471089	0.132453	0.0148959	0.0102518	0.367547	0.770493
19	0.621193	0.17004	0.0176187	0.00933776	0.32996	0.696214
20	0.823431	0.196316	0.0213883	0.0111401	0.303684	0.651037
21	1.04324	0.205648	0.0257625	0.0149101	0.294352	0.644287
22	1.24021	0.194291	0.0304475	0.0213963	0.305709	0.684658
23	1.37245	0.1613	0.0348655	0.0324613	0.3387	0.777189
24	1.40736	0.112897	0.0379948	0.0512311	0.387103	0.914663
25	1.34961	0.0651429	0.0391701	0.0821326	0.434857	1.07315
26	1.24532	0.03407	0.0388148	0.127321	0.46593	1.22532
27	1.13406	0.0202448	0.0376831	0.17897	0.479755	1.35513
28	1.02922	0.014697	0.0361715	0.224929	0.485303	1.45664
29	0.933139	0.0121741	0.0344436	0.259204	0.487826	1.5285
30	0.845733	0.0109666	0.0325832	0.280426	0.489033	1.5715
31	0.766455	0.0104999	0.0306406	0.288912	0.4895	1.58746
32	0.69468	0.0105625	0.0286477	0.285628	0.489438	1.57878
33	0.629804	0.0111023	0.0266255	0.271838	0.488898	1.5481
34	0.571291	0.0121739	0.0245892	0.248962	0.487826	1.49816
35	0.518713	0.0139474	0.0225521	0.218539	0.486053	1.43173
36	0.471819	0.0167724	0.0205303	0.18227	0.483228	1.35153
37	0.4307	0.0213316	0.0185501	0.142175	0.478668	1.26024
38	0.396259	0.0289624	0.0166652	0.100937	0.471038	1.16062
39	0.371524	0.0421934	0.0149972	0.0625181	0.457807	1.05565
40	0.365105	0.064875	0.0138304	0.032474	0.435125	0.949029
41	0.396343	0.0992291	0.0137139	0.015428	0.400771	0.846112
42	0.490024	0.139891	0.015191	0.00966285	0.360109	0.754735
43	0.652449	0.176242	0.0181667	0.00941569	0.323758	0.684515
44	0.861992	0.200018	0.0220919	0.0115782	0.299982	0.645212
45	1.08227	0.205976	0.0265681	0.0157485	0.294024	0.646113
46	1.27217	0.190666	0.0312917	0.0228899	0.309334	0.695739
47	1.38988	0.153973	0.0355944	0.0350946	0.346027	0.797837
48	1.40675	0.103933	0.0384216	0.0557983	0.396067	0.942153
49	1.33642	0.0579703	0.0392785	0.0895896	0.44203	1.10252
50	1.22834	0.0303631	0.0387405	0.137363	0.469637	1.25274
51	1.11738	0.0186926	0.0375232	0.189387	0.481307	1.37891
52	1.01375	0.0139538	0.0359651	0.234069	0.486046	1.47619
53	0.918989	0.0117537	0.0342088	0.266523	0.488246	1.54375
54	0.83285	0.0107079	0.0323307	0.285831	0.489292	1.58258
55	0.754752	0.0103392	0.0303772	0.292476	0.489661	1.59465
56	0.684063	0.0104729	0.0283778	0.287496	0.489527	1.58242
57	0.620184	0.0110753	0.0263522	0.27219	0.488925	1.54858
58	0.562589	0.0122144	0.0243147	0.247999	0.487786	1.49588
59	0.510862	0.014076	0.0222785	0.216475	0.485924	1.42708
60	0.464777	0.0170348	0.0202601	0.179343	0.482965	1.34488
61	0.424478	0.0218217	0.0182875	0.138666	0.478178	1.25198
62	0.390992	0.0298698	0.0164184	0.0972246	0.47013	1.15113
63	0.3677	0.0438671	0.0147854	0.0591488	0.456133	1.04535
64	0.364089	0.0677472	0.0136973	0.0301177	0.432253	0.938438
65	0.400746	0.103243	0.0137284	0.0143599	0.396757	0.835962
66	0.501967	0.144102	0.0153852	0.00940715	0.355898	0.745996
67	0.671144	0.179621	0.0184963	0.0094954	0.320379	0.678246
68	0.884342	0.201887	0.022504	0.0118564	0.298113	0.642442
69	1.1043	0.205858	0.0270347	0.0162674	0.294142	0.647853
70	1.28952	0.188266	0.0317721	0.0238123	0.311734	0.702864
71	1.39841	0.149546	0.0359928	0.0367202	0.350454	0.81034
72	1.40505	0.0988236	0.0386373	0.0586115	0.401176	0.958213
73	1.32828	0.0541401	0.0393202	0.0941118	0.44586	1.11926
74	1.21857	0.028495	0.0386885	0.143234	0.471505	1.26817
75	1.10793	0.0179122	0.037427	0.195288	0.482088	1.39218
76	1.00502	0.0135706	0.0358442	0.23916	0.486429	1.48702
77	0.911008	0.0115336	0.0340728	0.270552	0.488466	1.55211
78	0.825587	0.0105719	0.0321853	0.288766	0.489428	1.58857
79	0.748157	0.0102556	0.030226	0.294365	0.489744	1.59844
80	0.678082	0.0104281	0.0282232	0.288427	0.489572	1.58422
81	0.614766	0.0110657	0.0261958	0.272269	0.488934	1.5486
82	0.557689	0.0122438	0.0241578	0.24734	0.487756	1.49435
83	0.506444	0.0141571	0.0221223	0.215203	0.485843	1.42421
84	0.460818	0.0171956	0.020106	0.177594	0.482804	1.3409
85	0.420988	0.0221195	0.018138	0.136605	0.47788	1.24711
86	0.388059	0.03042	0.0162786	0.095074	0.46958	1.14559
87	0.365631	0.0448789	0.0146671	0.0572321	0.455121	1.03937
88	0.36373	0.0694643	0.0136271	0.0288173	0.430536	0.932333
89	0.403639	0.105591	0.0137462	0.0137971	0.394409	0.830158
90	0.509234	0.146508	0.0155057	0.00928444	0.353492	0.741059
91	0.682186	0.181506	0.0186917	0.00955274	0.318494	0.674785
92	0.897306	0.202877	0.0227449	0.0120266	0.297123	0.641045
93	1.11687	0.205683	0.0273056	0.0165808	0.294317	0.649101
94	1.29918	0.186771	0.0320476	0.0243686	0.313229	0.707243
95	1.40282	0.146919	0.0362153	0.0376996	0.353081	0.817776
96	1.40362	0.0958948	0.0387518	0.0603025	0.404105	0.967567
97	1.32339	0.052028	0.0393374	0.0967999	0.447972	1.12888
98	1.21291	0.027497	0.038655	0.146646	0.472503	1.27695
99	1.10249	0.0174948	0.0373693	0.198653	0.482505	1.39969
100	1	0.0133631	0.0357729	0.242032	0.486637	1.49311
