Time	[PII]	[UTP]	[PIIUMP]	[PPi]	[GLN]	[PIIUMP2]	[PIIUMP3]	[UMP]	[GS]	[AMP]	[NH4]	[KG]	[NADPH]	[GLU]	[NADP]	[AZGLU]	[ATP]	[ADP]	[AZglu]	[AZGLN]	[AZgln]	[P_i]
0	0.003	0.5	0	0.05	1	0	0	0.01	0.014	0	0.05	0.2	0.15	1	0.05	1	2.685	2.685	0.1	1	0.1	10
1	9.45997e-05	0.5	0.000292785	0.05	0.0935811	0.000543142	0.00206947	0.01	0.0090269	0.0049731	0.05	0.2	0.15	2.31385	0.05	0.436934	5.28157	0.0884282	0.1	0.142227	0.1	10
2	1.48292e-05	0.5	8.4634e-05	0.05	0.718643	0.000482688	0.00241785	0.01	0.012829	0.00117099	0.05	0.2	0.15	4.10308	0.05	0.752019	5.14427	0.225733	0.1	0.606678	0.1	10
3	1.87718e-05	0.5	9.48644e-05	0.05	0.585014	0.000475349	0.00241101	0.01	0.0125154	0.0014846	0.05	0.2	0.15	4.01877	0.05	0.74214	5.16004	0.209964	0.1	0.520673	0.1	10
4	1.85267e-05	0.5	9.39106e-05	0.05	0.598454	0.000476154	0.00241141	0.01	0.0125466	0.00145335	0.05	0.2	0.15	4.03039	0.05	0.743506	5.15844	0.211556	0.1	0.530077	0.1	10
5	1.85322e-05	0.5	9.39085e-05	0.05	0.597554	0.000475872	0.00241169	0.01	0.0125465	0.00145348	0.05	0.2	0.15	4.02864	0.05	0.743217	5.15848	0.211517	0.1	0.529345	0.1	10
6	1.85331e-05	0.5	9.39157e-05	0.05	0.597588	0.000475912	0.00241164	0.01	0.0125463	0.00145374	0.05	0.2	0.15	4.02885	0.05	0.743257	5.15849	0.21151	0.1	0.529386	0.1	10
7	1.85329e-05	0.5	9.39147e-05	0.05	0.59759	0.000475908	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743253	5.15849	0.211511	0.1	0.529386	0.1	10
8	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
9	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
10	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
11	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
12	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
13	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
14	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
15	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
16	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
17	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
18	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
19	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
20	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
21	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
22	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
23	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
24	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
