Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[sca]	[suc]	[fa]	[mal]	[gly]	[biosyn]
0	0.5	0.0014	0.0001	9	0.15	0.2	0.04	6	0.3	5	4	0.1
1	0.5	0.0014	0.0001	0.075013	4.78013	0.0132858	0.0549491	0.492585	0.568972	0.129843	0.836925	0.1
2	0.5	0.0014	0.0001	0.0246147	0.231498	0.0126499	0.0454324	0.0819904	0.433912	0.108446	0.299538	0.1
3	0.5	0.0014	0.0001	0.0231672	0.107157	0.0120009	0.0393856	0.0648267	0.404338	0.102931	0.159305	0.1
4	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
5	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
6	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
7	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
8	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
9	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
10	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
11	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
12	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
13	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
14	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
15	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
16	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
17	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
18	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
19	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
20	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
21	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
22	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
23	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
24	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
25	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
26	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
27	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
28	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
29	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
30	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
31	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
32	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
33	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
34	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
35	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
36	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
37	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
38	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
39	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
40	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
41	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
42	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
43	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
44	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
45	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
46	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
47	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
48	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
49	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
50	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
51	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
52	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
53	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
54	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
55	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
56	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
57	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
58	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
59	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
60	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
61	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
62	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
63	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
64	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
65	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
66	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
67	0.5	0.0014	0.0001	0.0231669	0.107135	0.0120006	0.0393834	0.0648231	0.40433	0.102929	0.159263	0.1
