Time	[EGF]	[I]	[RE]	[Rd]	[Rp]	[GS]	[Rp_GS]	[Shc]	[Rp_Shc]	[Rp_pShc]	[pShc]	[Rp_pShc_GS]	[PI3K]	[Rp_PI3K]	[RasGAP]	[Rp_RasGAP]	[IRL]	[IRp]	[IRp_PI3K]	[IRp_RasGAP]	[IRS]	[IRp_IRS]	[IRp_IRSp]	[IRSp]	[iSrc]	[mIRS]	[mIRSp]	[mIRSp_GS]	[mIRSp_PI3K]	[SHP2]	[mIRSp_SHP2]	[GAB]	[mGAB]	[mGABp]	[mGABp_GS]	[mGABp_PI3K]	[mGABp_SHP2]	[mGABp_pSHP2]	[PIP3]	[dRas]	[Raf]	[aRaf]	[Mek]	[Erk]	[pErk]	[PDK1]	[Akt]	[pAkt]	[mTOR]	[Null]	[aaRaf]	[PKA]	[pShc_GS]	[ppMek]	[mGABp_pSHP2_GS]	[R]	[ppErk]	[IR]	[mPDK1]	[tRas]	[tRas_PI3K]	[ppAkt]	[mGABp_RasGAP]	[amTOR]	[iGS]	[imGAB]	[imIRS]	[aSrc]	[Ri]	[IRi]	[iPX]	[aPX]	[aPX_GS]	[IRSp_PI3K]	[IRSp_GS]	[IRSp_SHP2]	[GABp]	[GABp_PI3K]	[GABp_GS]	[GABp_RasGAP]	[GABp_SHP2]	[GABp_pSHP2]	[GABp_pSHP2_GS]	[imGABp]	[bRasGAP]	[phosphorylated_Akt]
0	1	0	0	0	0	200	0	270	0	0	0	0	200	0	50	0	0	0	0	0	300	0	0	0	518	0	0	0	0	300	0	225	0	0	0	0	0	0	0	150	100	0	200	400	0	100	100	0	100	0	0	100	0	0	0	100	0	150	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	0
1	0.826999	0	5.25093	0.283112	0.0105315	200	0.000359656	269.991	0.00887461	0.000469283	1.42298e-05	0.000103138	199.995	0.00493085	50	9.00091e-07	0	0	0	0	299.999	0	0	3.7229e-11	517.986	0.000777582	6.96058e-09	1.2203e-11	8.91804e-10	300	1.19892e-10	225	5.76873e-05	9.09331e-07	3.54793e-08	2.3529e-07	1.66515e-08	2.13306e-14	0.0021973	150	100	1.07605e-06	200	400	4.21744e-14	99.9998	100	8.22467e-06	100	0.00130933	4.52159e-10	100	5.18109e-06	3.86126e-12	2.5796e-15	94.118	4.45752e-30	150	0.000237901	0.000344545	0	6.83168e-16	4.19001e-11	1.80993e-07	2.85111e-34	4.38974e-40	5.70619e-15	0.0143384	0.00716756	0	200	0	0	4.35718e-12	6.44389e-14	6.66074e-13	4.83449e-09	1.14181e-09	1.72136e-10	2.0418e-13	9.31128e-11	8.72175e-17	9.87903e-18	1.2568e-41	1e-05	8.22467e-06
2	0.69541	0	7.52103	1.11329	0.0510669	199.991	0.00424865	269.891	0.0942122	0.00909896	0.000445078	0.0044693	199.943	0.0566845	50	1.06474e-05	0	0	0	0	299.972	0	0	2.20783e-08	517.836	0.028226	2.12346e-06	4.02124e-09	6.47977e-07	300	7.6436e-08	224.998	0.00176844	0.000218682	2.1278e-05	0.000140556	9.20097e-06	2.05439e-10	0.034463	149.987	99.9999	8.53028e-05	200	400	3.76688e-10	99.9922	99.9997	0.000319501	100	0.0481086	8.90203e-07	100	0.000432204	1.62744e-08	5.55591e-11	89.6439	3.55481e-22	150	0.00781998	0.0134367	0	4.8966e-12	2.33126e-08	1.49548e-05	4.80948e-26	2.33526e-30	3.96297e-11	0.164197	0.0844214	0	200	0	0	6.11075e-09	4.15419e-11	9.41718e-10	2.2927e-06	1.32575e-06	2.00579e-07	2.22197e-10	1.16949e-07	1.91385e-12	4.7792e-13	5.34776e-31	1e-05	0.000319501
3	0.592033	0	8.31641	1.87026	0.0948049	199.952	0.0139919	269.653	0.275041	0.0360068	0.00219736	0.029151	199.817	0.180781	50	3.51236e-05	0	0	0	0	299.828	0	0	4.51406e-07	517.478	0.172327	3.08903e-05	5.9913e-08	1.63456e-05	300	1.67084e-06	224.987	0.00782664	0.00221845	0.000403097	0.00264845	0.000157204	1.48825e-08	0.125928	149.895	99.999	0.000989604	200	400	5.68393e-08	99.957	99.9981	0.00185859	99.9999	0.297981	5.32553e-05	100	0.00418028	1.55538e-06	6.66176e-09	86.1291	8.10291e-18	150	0.042962	0.104941	0	4.07653e-10	4.01621e-07	0.000133007	1.73029e-21	3.83187e-25	3.62982e-09	0.521599	0.27706	0	200	0	0	2.16682e-07	8.72306e-10	3.31902e-08	3.33895e-05	3.55905e-05	5.41091e-06	5.49732e-09	3.35736e-06	2.34608e-10	9.57434e-11	2.04872e-25	1e-05	0.00185859
4	0.508966	0	8.52891	2.33272	0.127545	199.86	0.0287859	269.31	0.497571	0.0782312	0.00545324	0.0911587	199.627	0.358848	49.9999	7.24051e-05	0	0	0	0	299.459	0	0	2.65678e-06	516.968	0.540719	0.000148906	2.91796e-07	0.000117966	299.999	1.0412e-05	224.958	0.0174746	0.00737766	0.00214029	0.0139702	0.000741663	1.69071e-07	0.274253	149.587	99.9943	0.00495334	200	400	1.64137e-06	99.8788	99.9946	0.00540029	99.9995	0.950228	0.000767215	100	0.0175488	3.1953e-05	1.08144e-07	83.3048	6.76587e-15	150	0.121217	0.413341	0	6.33222e-09	1.91179e-06	0.000511065	2.02925e-18	1.02238e-21	6.42593e-08	1.03164	0.567935	0	200	0	0	1.91969e-06	5.19498e-09	2.88044e-07	0.000135908	0.000231188	3.53614e-05	3.24576e-08	2.284e-05	3.90301e-09	2.26173e-09	8.26423e-22	1e-05	0.0054003
5	0.441127	0	8.47691	2.54228	0.149063	199.703	0.0470399	268.908	0.71252	0.126455	0.0097111	0.19543	199.394	0.564278	49.9999	0.000118589	0	0	0	0	298.784	0	0	8.53263e-06	516.383	1.21507	0.000422071	8.3119e-07	0.000458269	299.998	3.50294e-05	224.905	0.0293934	0.015294	0.00631785	0.0409405	0.0019371	7.90591e-07	0.466485	148.894	99.9799	0.0150867	200	400	1.9169e-05	99.7543	99.9888	0.011164	99.9987	2.17322	0.00504434	100	0.0479033	0.000282347	6.54927e-07	80.9983	9.2412e-13	150	0.245665	1.10646	0	4.20798e-08	5.03647e-06	0.00128591	3.65718e-16	3.12675e-19	4.92139e-07	1.61735	0.924668	0	200	0	0	8.51436e-06	1.67825e-08	1.23566e-06	0.000314728	0.000767589	0.000118215	9.73183e-08	7.74497e-05	2.42392e-08	1.82055e-08	3.14999e-19	1e-05	0.011164
6	0.385013	0	8.28595	2.58115	0.162176	199.482	0.0674131	268.481	0.894597	0.173068	0.0144354	0.335364	199.132	0.776662	49.9998	0.00017038	0	0	0	0	297.752	0	0	1.94952e-05	515.779	2.2453	0.000888094	1.75301e-06	0.00124639	299.996	8.30439e-05	224.823	0.0431811	0.0252285	0.0136828	0.0880008	0.00372572	2.28822e-06	0.69061	147.685	99.9467	0.0331125	199.999	400	0.000126419	99.5885	99.981	0.0190063	99.9975	4.09234	0.0202171	100	0.101204	0.00146491	2.29071e-06	79.0905	4.02561e-11	150	0.411479	2.31468	0	1.70025e-07	9.76149e-06	0.00252736	2.02159e-14	2.54679e-17	2.29534e-06	2.221	1.32027	0	200	0	0	2.53434e-05	3.84567e-08	3.52217e-06	0.000552689	0.00178291	0.00027659	2.04216e-07	0.000179661	8.68674e-08	7.92991e-08	2.90508e-17	1e-05	0.0190065
7	0.338105	0	8.01855	2.51567	0.16948	199.206	0.0889469	268.051	1.03605	0.213943	0.0193014	0.498768	198.853	0.982813	49.9998	0.000225418	0	0	0	0	296.339	0	0	3.60704e-05	515.194	3.65611	0.00155247	3.06703e-06	0.00270253	299.993	0.000158201	224.711	0.0588024	0.0366784	0.0246869	0.157573	0.0060153	4.98362e-06	0.937939	145.912	99.8839	0.0581208	199.995	399.999	0.000564233	99.3889	99.9713	0.0286504	99.9958	6.79838	0.0580153	100	0.180924	0.00529168	5.74232e-06	77.4956	8.03354e-10	150	0.611054	4.08841	0	4.99218e-07	1.58635e-05	0.00424303	4.97785e-13	8.54154e-16	7.75592e-06	2.8061	1.73561	0	200	0	0	5.85875e-05	7.12431e-08	7.74132e-06	0.000834489	0.0033582	0.000524864	3.49162e-07	0.00033239	2.22722e-07	2.35974e-07	1.04701e-15	1e-05	0.0286509
8	0.298539	0	7.71102	2.39155	0.172881	198.888	0.11099	267.629	1.13848	0.247591	0.0241676	0.672762	198.564	1.17498	49.9997	0.000282098	0	0	0	0	294.537	0	0	5.80086e-05	514.648	5.45476	0.00239736	4.73592e-06	0.00502109	299.99	0.000260389	224.567	0.0763008	0.0493286	0.0395929	0.250823	0.00871073	9.0501e-06	1.20289	143.607	99.7806	0.0875637	199.985	399.998	0.00190364	99.163	99.9602	0.0398197	99.9936	10.3585	0.13182	100	0.288028	0.0147833	1.15957e-05	76.1503	9.1606e-09	150	0.836988	6.39282	0	1.17896e-06	2.30966e-05	0.00640233	6.84862e-12	1.52266e-14	2.09636e-05	3.35172	2.15778	0	200	0	0	0.000114101	1.146e-07	1.42638e-05	0.00115008	0.00553461	0.000871483	5.25919e-07	0.000532212	4.58984e-07	5.45778e-07	1.94486e-14	1e-05	0.0398209
9	0.264906	0	7.38594	2.23856	0.173699	198.539	0.133112	267.222	1.20745	0.274034	0.0289946	0.846363	198.266	1.34908	49.9996	0.000339345	0	0	0	0	292.35	0	0	8.45699e-05	514.153	7.63733	0.00339214	6.69678e-06	0.00834972	299.987	0.000386743	224.391	0.0957415	0.0629845	0.0585464	0.368165	0.0117359	1.45284e-05	1.48221	140.871	99.6276	0.118862	199.966	399.995	0.0052217	98.9167	99.9477	0.0522948	99.991	14.8256	0.253502	100	0.421438	0.0342363	2.01936e-05	75.0068	6.90503e-08	150	1.08332	9.12861	0	2.38457e-06	3.12564e-05	0.0089595	6.11355e-11	1.70162e-13	4.81914e-05	3.84717	2.57828	0	200	0	0	0.000196622	1.67001e-07	2.31844e-05	0.00149313	0.00832874	0.00132112	7.28741e-07	0.000773034	8.13798e-07	1.05946e-06	2.22173e-13	1e-05	0.0522972
