Time	[NFkB]	[IKKIkBa]	[IKKIkBaNFkB]	[IKK]	[IkBa]	[IKKIkBb]	[IKKIkBbNFkB]	[IkBb]	[IKKIkBe]	[IKKIkBeNFkB]	[IkBe]	[IkBaNFkB]	[IkBbNFkB]	[IkBeNFkB]	[source]	[IkBat]	[sink]	[NFkBn]	[IkBan]	[IkBanNFkBn]	[IkBbn]	[IkBbnNFkBn]	[IkBbt]	[IkBen]	[IkBenNFkBn]	[IkBet]
0	0.00025081	0	0	0.1	0.19028	0	0	0.021428	0	0	0.015307	0.082062	0.0090963	0.0064977	1	0.0054868	0	0.00020366	0.19326	0.0013739	0.021887	0.00030061	0.00063696	0.015635	0.00021473	0.000455
1	0.000265362	0.00042251	0.00147256	0.0979793	0.189856	1.27115e-05	4.29041e-05	0.0214162	1.36135e-05	4.45673e-05	0.0152941	0.0805747	0.00905279	0.00645257	1	0.0054868	0	0.000204095	0.193259	0.00137394	0.0218859	0.000301125	0.00063696	0.0156342	0.000215098	0.000455
2	0.000304249	0.000834115	0.00285778	0.0960608	0.189438	2.51414e-05	8.4342e-05	0.0214045	2.69112e-05	8.7364e-05	0.0152812	0.0791483	0.00901072	0.00640894	1	0.00548681	0	0.000206821	0.193258	0.00137412	0.0218849	0.000301652	0.000636959	0.0156335	0.000215475	0.000454999
3	0.000361395	0.00123528	0.0041611	0.0942386	0.189025	3.73023e-05	0.000124386	0.0213924	3.99071e-05	0.00012848	0.0152682	0.077781	0.00897026	0.0063669	1	0.00548681	0	0.000213386	0.193257	0.00137474	0.0218838	0.000302226	0.000636959	0.0156327	0.000215885	0.000454999
4	0.000431944	0.00162643	0.00538761	0.0925069	0.188615	4.92054e-05	0.000163106	0.0213799	5.26135e-05	0.000168003	0.0152551	0.0764709	0.00893153	0.00632651	1	0.00548682	0	0.000224705	0.193255	0.00137619	0.0218825	0.000302894	0.000636959	0.0156318	0.000216362	0.000454998
5	0.000512028	0.00200795	0.00654207	0.0908604	0.188205	6.08611e-05	0.000200566	0.0213668	6.50419e-05	0.000206012	0.0152415	0.0752158	0.00889459	0.00628778	1	0.00548682	0	0.000241225	0.193251	0.00137896	0.0218812	0.000303709	0.000636958	0.0156308	0.000216944	0.000454998
6	0.000598581	0.00238021	0.00762888	0.0892941	0.187795	7.2279e-05	0.00023683	0.0213531	7.72031e-05	0.000242585	0.0152276	0.0740137	0.00885946	0.00625073	1	0.00548683	0	0.000263054	0.193245	0.00138353	0.0218796	0.000304729	0.000636958	0.0156297	0.000217673	0.000454998
7	0.000689183	0.00274355	0.00865218	0.0878034	0.187385	8.34682e-05	0.000271956	0.0213386	8.91069e-05	0.000277794	0.0152133	0.0728621	0.00882616	0.00621533	1	0.00548683	0	0.000290055	0.193236	0.00139038	0.0218777	0.000306009	0.000636958	0.0156284	0.000218587	0.000454997
8	0.000781936	0.00309827	0.0096158	0.086384	0.186973	9.44369e-05	0.000305999	0.0213233	0.000100763	0.000311709	0.0151985	0.0717588	0.00879467	0.00618155	1	0.00548684	0	0.000321925	0.193225	0.00139996	0.0218755	0.000307603	0.000636957	0.0156268	0.000219726	0.000454997
9	0.000875365	0.00344469	0.0105233	0.0850319	0.186559	0.000105193	0.000339012	0.0213073	0.000112179	0.000344392	0.0151832	0.0707017	0.00876497	0.00614936	1	0.00548684	0	0.000358252	0.19321	0.00141268	0.021873	0.00030956	0.000636957	0.015625	0.000221124	0.000454996
10	0.000968332	0.00378307	0.0113781	0.0837433	0.186143	0.000115744	0.000371045	0.0212905	0.000123364	0.000375905	0.0151673	0.0696884	0.00873701	0.0061187	1	0.00548685	0	0.000398559	0.193192	0.00142889	0.02187	0.000311924	0.000636957	0.0156228	0.000222813	0.000454996
11	0.00105997	0.00411371	0.0121832	0.0825148	0.185725	0.000126097	0.000402144	0.0212728	0.000134326	0.000406304	0.015151	0.068717	0.00871074	0.00608953	1	0.00548686	0	0.000442338	0.193169	0.0014489	0.0218666	0.000314733	0.000636956	0.0156204	0.000224819	0.000454996
12	0.00114963	0.00443684	0.0129417	0.0813429	0.185304	0.000136259	0.000432353	0.0212544	0.000145073	0.000435644	0.0151342	0.0677853	0.00868611	0.00606179	1	0.00548686	0	0.000489072	0.193142	0.00147297	0.0218627	0.000318018	0.000636956	0.0156176	0.000227166	0.000454995
13	0.00123684	0.00475271	0.013656	0.0802248	0.184881	0.000146236	0.000461712	0.0212352	0.00015561	0.000463975	0.0151169	0.0668914	0.00866307	0.00603543	1	0.00548687	0	0.000538255	0.19311	0.00150129	0.0218582	0.000321807	0.000636955	0.0156144	0.000229873	0.000454995
14	0.00132125	0.00506156	0.0143289	0.0791574	0.184456	0.000156034	0.000490262	0.0212153	0.000165947	0.000491343	0.0150991	0.0660335	0.00864155	0.00601039	1	0.00548688	0	0.0005894	0.193073	0.00153402	0.0218532	0.000326121	0.000636955	0.0156108	0.000232955	0.000454994
15	0.00140265	0.00536362	0.0149627	0.0781381	0.184029	0.00016566	0.000518038	0.0211946	0.000176087	0.000517795	0.0150809	0.0652097	0.00862149	0.00598662	1	0.00548689	0	0.000642054	0.193031	0.00157124	0.0218476	0.000330974	0.000636955	0.0156068	0.000236422	0.000454994
16	0.00148088	0.00565909	0.0155596	0.0771644	0.183599	0.000175118	0.000545076	0.0211733	0.000186039	0.000543372	0.0150623	0.0644184	0.00860283	0.00596405	1	0.0054869	0	0.000695795	0.192984	0.00161303	0.0218415	0.000336378	0.000636954	0.0156024	0.000240282	0.000454994
17	0.00155587	0.00594818	0.0161217	0.0762339	0.183168	0.000184415	0.000571407	0.0211513	0.000195808	0.000568114	0.0150432	0.063658	0.00858551	0.00594264	1	0.00548691	0	0.000750239	0.192931	0.00165939	0.0218348	0.000342338	0.000636954	0.0155976	0.000244539	0.000454993
18	0.0016276	0.0062311	0.0166509	0.0753444	0.182735	0.000193555	0.000597063	0.0211287	0.0002054	0.000592058	0.0150238	0.0629269	0.00856947	0.00592234	1	0.00548693	0	0.000805041	0.192874	0.0017103	0.0218274	0.000348857	0.000636954	0.0155923	0.000249196	0.000454993
19	0.00169607	0.00650802	0.017149	0.0744937	0.182301	0.000202544	0.000622072	0.0211055	0.000214821	0.00061524	0.015004	0.0622238	0.00855466	0.00590308	1	0.00548694	0	0.000859894	0.19281	0.00176572	0.0218195	0.000355932	0.000636953	0.0155867	0.00025425	0.000454992
20	0.00176134	0.00677913	0.0176178	0.07368	0.181865	0.000211386	0.000646463	0.0210818	0.000224075	0.000637694	0.0149838	0.0615472	0.00854101	0.00588483	1	0.00548696	0	0.000914526	0.192742	0.00182557	0.021811	0.000363559	0.000636953	0.0155806	0.000259699	0.000454992
