Time	[Glucose]	[Pyruvate]	[Acetate]	[Acetaldehyde]	[EtOH]	[BM]	[BM(active)]	[BM(AcDH)]	[CO2]	[Red. Equ. (NADH)]	[Glucose(feed)]	Values[X_a]	Values[X_AcDH]
0	15	0	0	0	0	0.002	0.0002	1.5e-05	0	0	15	0.1	0.0075
1	14.9993	0.000399485	5.3448e-14	7.30923e-12	2.62525e-14	0.00201452	0.000293644	1.4229e-05	0	0	15	0.145764	0.00706323
2	14.9983	0.000940287	9.26547e-12	5.45955e-10	4.84492e-12	0.00212357	0.000431135	1.39784e-05	0	0	15	0.203024	0.0065825
3	14.9969	0.00169911	3.14769e-10	1.06613e-08	1.76727e-10	0.00236307	0.000633002	1.43922e-05	0	0	15	0.267873	0.00609046
4	14.9949	0.00278177	5.74952e-09	1.25151e-07	3.47973e-09	0.00278653	0.000929388	1.5693e-05	0	0	15	0.333528	0.00563174
5	14.992	0.0043414	7.74438e-08	1.14059e-06	5.04526e-08	0.00347327	0.00136455	1.82178e-05	0	0	15	0.392872	0.00524516
6	14.9877	0.00659158	8.71362e-07	8.9587e-06	6.13509e-07	0.00454035	0.00200346	2.24702e-05	0	0	15	0.441256	0.00494901
7	14.9816	0.00977154	8.07354e-06	6.28286e-05	6.60246e-06	0.00616027	0.00294151	2.91974e-05	0	0	15	0.477496	0.00473963
8	14.9726	0.0138387	4.85141e-05	0.000377907	6.21825e-05	0.00858677	0.00431858	3.95031e-05	0	0	15	0.502934	0.00460047
9	14.9593	0.0177443	0.000156616	0.00161695	0.000449703	0.0121922	0.00633852	5.50116e-05	0	0	15	0.519881	0.00451202
10	14.9391	0.02024	0.00033707	0.00428257	0.00211948	0.0175204	0.00929478	7.80969e-05	0	0	15	0.530513	0.00445749
11	14.9082	0.0216369	0.000600579	0.00790337	0.00672987	0.0253619	0.0136154	0.000112215	0	0	15	0.536845	0.00442455
12	14.8609	0.0226166	0.000976552	0.0119524	0.0164087	0.0368722	0.0199326	0.00016242	0	0	15	0.540587	0.00440493
13	14.7888	0.0234307	0.00151155	0.0163322	0.0339943	0.0537443	0.0291734	0.000236121	0	0	15	0.542817	0.00439341
14	14.6791	0.0241743	0.00227226	0.021291	0.0635781	0.0784572	0.0426931	0.000344178	0	0	15	0.544157	0.00438682
15	14.5123	0.0249399	0.00335176	0.0275276	0.11136	0.114639	0.0624743	0.000502499	0	0	15	0.544964	0.0043833
16	14.2569	0.0258446	0.00487893	0.036513	0.187238	0.1676	0.0914175	0.000734394	0	0	15	0.54545	0.00438182
17	13.8616	0.0270257	0.00703227	0.0511269	0.307701	0.245108	0.133765	0.00107404	0	0	15	0.545741	0.00438191
18	13.2417	0.0285933	0.0100609	0.0768175	0.500433	0.358527	0.195724	0.00157162	0	0	15	0.545912	0.00438356
19	12.2622	0.0305063	0.0143169	0.122949	0.809901	0.524477	0.286368	0.00230103	0	0	15	0.546007	0.00438727
20	10.725	0.0324509	0.0203064	0.202663	1.30151	0.767256	0.418958	0.00337168	0	0	15	0.546048	0.00439447
21	8.36022	0.0339065	0.02877	0.329827	2.06399	1.12234	0.612841	0.00494822	0	0	15	0.546039	0.00440884
22	4.81985	0.0341041	0.040814	0.509586	3.21214	1.64132	0.896064	0.00729406	0	0	15	0.545942	0.00444403
23	0.0122568	0.020821	0.0568374	0.592819	4.84887	2.38662	1.29747	0.0119498	0	0	15	0.543644	0.00500702
24	0.0117594	0.00588712	0.0424232	0.0531387	4.89628	2.67945	1.28273	0.0438702	0	0	15	0.478729	0.0163728
25	0.0117048	0.000277457	0.0841267	0.0417748	4.31427	3.0431	1.33522	0.0701218	0	0	15	0.438768	0.0230429
26	0.0112952	0.000118083	0.127862	0.0340443	3.74311	3.40359	1.39782	0.0930609	0	0	15	0.410688	0.027342
27	0.0107969	7.34793e-05	0.167907	0.0277376	3.19461	3.75691	1.46461	0.113057	0	0	15	0.389843	0.0300931
28	0.0102925	5.28967e-05	0.200246	0.0223948	2.67375	4.10069	1.5324	0.130268	0	0	15	0.373692	0.0317674
29	0.00981952	4.1214e-05	0.222037	0.017747	2.18375	4.43325	1.59929	0.144762	0	0	15	0.360749	0.0326538
30	0.00939317	3.37666e-05	0.231623	0.0136299	1.72683	4.75325	1.66404	0.156581	0	0	15	0.350083	0.0329419
31	0.00901852	2.86601e-05	0.228548	0.00994241	1.30474	5.05951	1.72565	0.165773	0	0	15	0.34107	0.0327647
32	0.00869683	2.49929e-05	0.213463	0.00662906	0.919209	5.3507	1.78311	0.172416	0	0	15	0.333247	0.0322231
33	0.00842853	2.22992e-05	0.187395	0.00368677	0.573081	5.62511	1.8351	0.17663	0	0	15	0.326233	0.0314003
34	0.00821348	2.03805e-05	0.146967	0.00127953	0.275864	5.87971	1.87921	0.178612	0	0	15	0.319609	0.0303776
35	0.00807584	1.94591e-05	0.0649542	0.000181378	0.0769603	6.10259	1.90515	0.17878	0	0	15	0.312187	0.0292957
36	0.00822754	1.98279e-05	0.00748933	2.52255e-05	0.0137415	6.26116	1.88573	0.177915	0	0	15	0.301178	0.0284156
37	0.00851418	2.06569e-05	0.000962247	4.01103e-06	0.00224206	6.37858	1.84977	0.176504	0	0	15	0.289997	0.0276714
38	0.00874825	2.13499e-05	0.000155445	6.72974e-07	0.000370998	6.48101	1.82212	0.174826	0	0	15	0.281147	0.0269751
39	0.00892251	2.18726e-05	2.64696e-05	1.16319e-07	6.28917e-05	6.57294	1.80246	0.173052	0	0	15	0.274224	0.0263279
40	0.00905404	2.22706e-05	4.60971e-06	2.05229e-08	1.0885e-05	6.65585	1.78812	0.171277	0	0	15	0.268653	0.0257332
41	0.00915386	2.25746e-05	8.14931e-07	3.67786e-09	1.91579e-06	6.7307	1.7775	0.169554	0	0	15	0.264089	0.0251911
42	0.00922939	2.28058e-05	1.45768e-07	6.67176e-10	3.41784e-07	6.79831	1.76962	0.167916	0	0	15	0.260304	0.0246997
43	0.0092863	2.29806e-05	2.63265e-08	1.22204e-10	6.16514e-08	6.8594	1.76377	0.166382	0	0	15	0.257132	0.024256
44	0.00932901	2.31122e-05	4.79324e-09	2.25588e-11	1.12215e-08	6.91461	1.75943	0.16496	0	0	15	0.254451	0.0238568
45	0.00936097	2.32109e-05	8.7884e-10	4.19185e-12	2.0575e-09	6.96452	1.7562	0.163655	0	0	15	0.252164	0.0234983
46	0.00938483	2.32846e-05	1.62604e-10	7.86133e-13	3.80103e-10	7.00965	1.75381	0.162463	0	0	15	0.250199	0.0231771
47	0.00940261	2.33397e-05	3.07984e-11	1.51495e-13	7.11474e-11	7.05045	1.75203	0.161382	0	0	15	0.248499	0.0228895
48	0.00941585	2.33807e-05	6.50226e-12	3.31909e-14	1.41271e-11	7.08735	1.75071	0.160404	0	0	15	0.24702	0.0226324
49	0.0094257	2.34112e-05	1.51422e-12	8.7212e-15	2.4002e-12	7.12073	1.74974	0.159523	0	0	15	0.245724	0.0224026
50	0.00943302	2.34339e-05	1.02098e-12	6.16496e-15	1.23783e-12	7.15091	1.74901	0.158732	0	0	15	0.244586	0.0221974
51	0.00943845	2.34508e-05	5.09389e-13	3.36233e-15	3.59195e-14	7.17822	1.74847	0.158022	0	0	15	0.24358	0.0220141
52	0.00944249	2.34633e-05	7.49903e-13	6.12482e-15	5.85649e-13	7.20292	1.74807	0.157388	0	0	15	0.242689	0.0218505
53	0.00944549	2.34726e-05	5.88073e-13	3.91282e-15	2.14057e-13	7.22527	1.74778	0.15682	0	0	15	0.241898	0.0217044
54	0.00944771	2.34795e-05	6.88804e-13	4.79113e-15	4.69422e-13	7.24549	1.74756	0.156314	0	0	15	0.241193	0.021574
55	0.00944936	2.34847e-05	6.50377e-13	4.53261e-15	3.63813e-13	7.26378	1.74739	0.155863	0	0	15	0.240563	0.0214576
56	0.00945059	2.34885e-05	6.42451e-13	4.51451e-15	3.46259e-13	7.28033	1.74727	0.155461	0	0	15	0.239999	0.0213536
57	0.00945149	2.34913e-05	6.42062e-13	4.53227e-15	3.46157e-13	7.2953	1.74718	0.155104	0	0	15	0.239495	0.0212608
58	0.00945217	2.34934e-05	6.41463e-13	4.54709e-15	3.45656e-13	7.30885	1.74712	0.154786	0	0	15	0.239042	0.0211779
59	0.00945267	2.34949e-05	6.41275e-13	4.5623e-15	3.46117e-13	7.3211	1.74707	0.154503	0	0	15	0.238635	0.0211038
60	0.00945304	2.34961e-05	6.41394e-13	4.5774e-15	3.47271e-13	7.33219	1.74703	0.154252	0	0	15	0.238269	0.0210376
61	0.00945331	2.34969e-05	6.41547e-13	4.5912e-15	3.4846e-13	7.34223	1.74701	0.154028	0	0	15	0.237939	0.0209784
