Time	[EGF]	[HRG]	[A1]	[A1_2]	[A2]	[A2_2]	[A3]	[A3_2]	[DUSPmRNA]	[ERK_c]	[pERK_c]	[ppERK_c]	[F]	[c_FOS_c]	[pc_FOS_c]	[c_FOSmRNA]	[FmRNA]	[Kin]	[Kin_2]	[pMEK]	[MEK]	[DUSP_c]	[pDUSP_c]	[RSK_c]	[pRSK_c]	[RsD]	[RsT]	[CREB_n]	[pCREB_n]	[ERK_n]	[pERK_n]	[ppERK_n]	[Elk1_n]	[pElk1_n]	[FOSn]	[FOSn_2]	[Fn]	[DUSP_n]	[pDUSP_n]	[pDUSP_n_ERK_n]	[pDUSP_n_pERK_n]	[pDUSP_n_ppERK_n]	[DUSP_n_ERK_n]	[DUSP_n_pERK_n]	[DUSP_n_ppERK_n]	[PreDUSPmRNA]	[PreFOSmRNA]	[PreFmRNA]	[pRSK_n]
0	0	10	182.352	0	25.387	0	13.0926	0	0	570.418	0	0	0	0	0	0	0	82.6657	0	0	637.321	0	0	353	0	247.404	0	1000	0	1624.9	0	0	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	10	182.352	0	25.3204	0.0666038	13.0902	0.00241867	2.0142e-63	570.418	0.000479407	1.13586e-10	0	4.64961e-76	2.29568e-90	9.11641e-70	0	82.6439	0.0218493	0.00865127	637.313	2.08137e-68	1.30526e-68	353	4.23608e-14	247.087	0.316387	1000	9.44885e-16	1624.9	5.41218e-06	7.04599e-13	1510	2.76556e-15	3.44623e-77	4.71489e-92	0	1.0778e-70	-5.35855e-73	5.63793e-75	5.43165e-82	5.1529e-91	1.05134e-71	-1.08772e-78	1.10304e-88	1.41153e-57	2.44938e-65	0	6.24239e-16
2	0	10	182.352	0	25.2541	0.13296	13.0878	0.00483643	6.24641e-55	570.415	0.00381237	7.1943e-09	2.478e-296	1.32284e-65	2.73598e-78	4.18669e-60	4.01495e-289	82.622	0.0436933	0.0345173	637.287	-2.43367e-36	2.43367e-36	353	3.30645e-12	246.771	0.632367	1000	2.89951e-13	1624.9	7.6609e-05	8.28442e-11	1510	5.97952e-13	1.65178e-66	2.18075e-79	2.26294e-300	9.99106e-41	-9.99106e-41	1.0512e-42	1.09919e-48	7.0575e-57	-1.0512e-42	-1.09919e-48	-7.0575e-57	2.89107e-49	8.19765e-56	1.79849e-282	9.79884e-14
3	0	10	182.352	0	25.188	0.19907	13.0854	0.00725328	7.41709e-50	570.406	0.0127897	8.10974e-08	3.27843e-129	1.66497e-59	3.5934e-71	2.53357e-54	1.90979e-125	82.6002	0.065532	0.0774627	637.244	5.67241e-18	-5.66496e-18	353	4.02392e-11	246.456	0.947829	1000	7.66019e-12	1624.9	0.000346306	1.30587e-09	1510	1.30678e-11	3.36336e-60	5.66629e-72	1.76696e-131	-8.79014e-23	2.32657e-22	-2.19613e-24	-4.06158e-27	-1.35994e-34	3.49657e-22	4.56459e-27	1.517e-34	2.39461e-44	3.56191e-50	4.02363e-120	1.78375e-12
4	0	10	182.352	0	25.1221	0.264933	13.083	0.0096692	2.96239e-46	570.389	0.0301339	4.50894e-07	1.11754e-122	2.83292e-55	3.62929e-66	3.19003e-50	4.48055e-119	82.5784	0.0873654	0.137347	637.184	2.1837e-17	-2.18296e-17	353	2.33021e-10	246.141	1.26267	1000	7.54755e-11	1624.89	0.000985375	9.05957e-09	1510	1.12219e-10	7.8609e-56	7.67538e-67	9.14416e-125	-5.53691e-22	8.96239e-22	-9.2193e-24	6.56442e-26	5.0547e-33	9.12372e-22	-6.2146e-26	-4.77788e-33	7.05796e-41	3.27582e-46	6.75095e-114	1.36541e-11
5	0	10	182.352	0	25.0565	0.330552	13.0805	0.0120842	1.71199e-43	570.361	0.0584992	1.70194e-06	1.10915e-118	4.6237e-52	2.38384e-62	4.2648e-47	3.75283e-115	82.5565	0.109193	0.214027	637.107	-3.2924e-16	3.29247e-16	353	9.01866e-10	245.827	1.5768	1000	4.35726e-10	1624.89	0.0021817	4.01455e-08	1510	5.79419e-10	1.57554e-52	5.99271e-63	1.06575e-120	1.40494e-20	-1.35177e-20	1.42037e-22	1.4954e-24	2.05454e-31	1.29418e-21	-1.48322e-24	-2.03491e-31	3.27404e-38	3.51838e-43	4.72069e-110	6.5365e-11
6	0	10	182.352	0	24.9911	0.395926	13.0781	0.0144983	3.0561e-41	570.319	0.100472	5.02832e-06	3.40373e-115	1.95909e-49	3.16237e-59	1.4932e-44	1.25781e-111	82.5347	0.131016	0.307353	637.014	3.45043e-16	-3.45036e-16	353	2.71011e-09	245.513	1.89014	1000	1.79867e-09	1624.89	0.00412935	1.3411e-07	1510	2.17333e-09	8.16403e-50	9.71299e-60	3.24997e-117	-1.34591e-20	1.41726e-20	-1.18204e-22	-3.85839e-23	-1.75177e-29	2.06577e-21	3.8615e-23	1.75266e-29	4.79061e-36	1.00011e-40	1.87116e-106	2.33021e-10
7	0	10	182.352	0	24.926	0.461058	13.0757	0.0169115	2.33828e-39	570.261	0.158568	1.2545e-05	5.43813e-112	2.96234e-47	1.21619e-56	1.9603e-42	1.28937e-108	82.5129	0.152833	0.417176	636.904	-4.29536e-16	4.29542e-16	353	6.84472e-09	245.201	2.2026	1000	5.8988e-09	1624.88	0.00702314	3.68903e-07	1510	6.54863e-09	1.44232e-47	4.1918e-57	7.36486e-114	1.83447e-20	-1.74541e-20	2.78956e-22	-2.73334e-22	-8.29648e-29	2.16769e-21	2.73401e-22	8.2996e-29	3.14083e-34	1.12696e-38	1.17501e-103	6.78452e-10
8	0	10	182.352	0	24.8611	0.525947	13.0733	0.0193238	9.69891e-38	570.185	0.235237	2.76543e-05	1.39701e-109	2.16792e-45	2.0062e-54	1.27249e-40	2.78357e-106	82.4911	0.174645	0.54334	636.778	-3.23514e-14	3.23514e-14	353	1.52291e-08	244.889	2.51411	1000	1.63608e-08	1624.88	0.0110558	8.8073e-07	1510	1.68297e-08	1.19902e-45	7.60756e-55	2.18488e-111	1.32217e-18	-1.32111e-18	9.4774e-21	-2.52118e-21	7.56229e-29	-6.55543e-21	2.52131e-21	-7.55344e-29	1.13686e-32	6.37652e-37	2.05279e-101	1.7042e-09
9	0	10	182.352	0	24.7964	0.590595	13.0709	0.0217351	2.5955e-36	570.087	0.332858	5.54618e-05	1.25749e-107	9.7483e-44	1.9056e-52	5.06336e-39	2.56137e-104	82.4693	0.196452	0.685689	636.636	5.40059e-14	-5.40058e-14	353	3.07652e-08	244.579	2.82461	1000	3.99494e-08	1624.87	0.0164166	1.88784e-06	1510	3.8337e-08	6.15699e-44	8.22681e-53	2.18818e-109	-2.21658e-18	2.21814e-18	-2.42031e-20	-1.50408e-22	1.98474e-27	2.81413e-20	1.5064e-22	-1.98453e-27	2.66644e-31	2.2055e-35	2.34152e-99	3.82549e-09
