Time	[x1]	[x2]	[ppERK(nucleus)]	[DUSP]	[pRSKn]	[cFOS preRNA]	[cFOS]	[pc-FOS]	[cFOSmRNA]	[ppERK(cytosol)]
0	0	0	0	0	0	0	0	0	0	0
1	0.303022	0.0061164	0.0865286	0.0449849	0.00427975	0.000353239	1.60982e-06	6.53403e-09	3.43882e-05	0.296906
2	0.521804	0.0122199	0.145315	0.163119	0.0147217	0.00479942	9.46187e-05	1.3998e-06	0.00100134	0.509584
3	0.679763	0.0183104	0.181251	0.328003	0.0280239	0.0181635	0.000862124	2.62703e-05	0.00608042	0.661453
4	0.79381	0.024388	0.20123	0.52032	0.0420023	0.0409737	0.00368376	0.00018398	0.0195625	0.769422
5	0.876151	0.0304528	0.210707	0.72698	0.0553534	0.0700724	0.0104356	0.000755717	0.0446653	0.845699
6	0.935602	0.0365048	0.213543	0.939535	0.0673844	0.101252	0.0228838	0.00222713	0.0824895	0.899097
7	0.978525	0.0425439	0.212319	1.15272	0.0777938	0.131003	0.0422049	0.00524349	0.132156	0.935981
8	1.00952	0.0485703	0.208701	1.36338	0.0865155	0.157082	0.0687934	0.0105148	0.191471	0.960945
9	1.03189	0.0545839	0.203749	1.56968	0.0936165	0.178408	0.10231	0.0187123	0.257624	0.977306
10	1.04804	0.0605848	0.198126	1.77066	0.0992326	0.194742	0.14186	0.0303867	0.32772	0.98746
11	1.05971	0.0665729	0.192242	1.96585	0.103529	0.206361	0.186205	0.0459189	0.39911	0.993135
12	1.06813	0.0725484	0.186344	2.15514	0.106679	0.213809	0.233958	0.0655016	0.469554	0.995581
13	1.07421	0.0785113	0.180579	2.33858	0.108848	0.217732	0.283728	0.0891462	0.537276	0.995698
14	1.0786	0.0844615	0.175028	2.51637	0.110189	0.218777	0.334226	0.116704	0.60095	0.994138
15	1.08177	0.0903992	0.169732	2.68873	0.11084	0.217538	0.384321	0.147895	0.659653	0.991369
