Time	[M]	[Mp]	[Mpp]	[MAPKK]	[MKP3]
0	500	0	0	50	100
1	499.555	0.41616	0.0287278	50	100
2	499.127	0.76583	0.106794	50	100
3	498.714	1.06209	0.223876	50	100
4	498.313	1.31539	0.371718	50	100
5	497.922	1.5341	0.54372	50	100
6	497.54	1.72494	0.734604	50	100
7	497.167	1.89325	0.940152	50	100
8	496.8	2.04333	1.15699	50	100
9	496.439	2.17864	1.38243	50	100
10	496.084	2.30192	1.61431	50	100
11	495.734	2.4154	1.85092	50	100
12	495.388	2.52084	2.09088	50	100
13	495.047	2.61967	2.33312	50	100
14	494.71	2.71304	2.57675	50	100
15	494.377	2.80186	2.82109	50	100
16	494.048	2.88688	3.06559	50	100
17	493.722	2.96868	3.30982	50	100
18	493.399	3.04775	3.55343	50	100
19	493.079	3.12448	3.79616	50	100
20	492.763	3.19917	4.03779	50	100
21	492.45	3.27208	4.27817	50	100
22	492.139	3.34342	4.51717	50	100
23	491.832	3.41335	4.75469	50	100
24	491.527	3.48201	4.99065	50	100
25	491.225	3.54951	5.22501	50	100
26	490.926	3.61594	5.45773	50	100
27	490.63	3.68138	5.68878	50	100
28	490.336	3.7459	5.91814	50	100
29	490.045	3.80953	6.14581	50	100
30	489.756	3.87234	6.37178	50	100
31	489.47	3.93435	6.59606	50	100
32	489.186	3.9956	6.81865	50	100
33	488.904	4.05612	7.03955	50	100
34	488.625	4.11593	7.25878	50	100
35	488.349	4.17505	7.47635	50	100
36	488.074	4.23351	7.69228	50	100
37	487.802	4.29131	7.90658	50	100
38	487.532	4.34848	8.11926	50	100
39	487.265	4.40503	8.33034	50	100
40	486.999	4.46097	8.53984	50	100
41	486.736	4.51632	8.74777	50	100
42	486.475	4.57108	8.95415	50	100
43	486.216	4.62527	9.159	50	100
44	485.959	4.6789	9.36233	50	100
45	485.704	4.73197	9.56417	50	100
46	485.451	4.7845	9.76452	50	100
47	485.2	4.8365	9.9634	50	100
48	484.951	4.88797	10.1608	50	100
49	484.704	4.93893	10.3568	50	100
50	484.459	4.98938	10.5514	50	100
51	484.216	5.03932	10.7446	50	100
52	483.975	5.08877	10.9364	50	100
53	483.735	5.13774	11.1268	50	100
54	483.498	5.18623	11.3159	50	100
55	483.262	5.23425	11.5036	50	100
56	483.028	5.2818	11.69	50	100
57	482.796	5.3289	11.875	50	100
58	482.566	5.37555	12.0588	50	100
59	482.337	5.42175	12.2413	50	100
60	482.11	5.46752	12.4225	50	100
61	481.885	5.51285	12.6025	50	100
62	481.661	5.55776	12.7812	50	100
63	481.439	5.60225	12.9587	50	100
64	481.219	5.64633	13.1349	50	100
65	481	5.69	13.31	50	100
66	480.783	5.73326	13.4838	50	100
67	480.567	5.77613	13.6565	50	100
68	480.353	5.81861	13.828	50	100
69	480.141	5.86071	13.9984	50	100
70	479.93	5.90242	14.1676	50	100
71	479.721	5.94376	14.3357	50	100
72	479.513	5.98473	14.5026	50	100
73	479.306	6.02534	14.6685	50	100
74	479.101	6.06558	14.8332	50	100
75	478.898	6.10547	14.9968	50	100
76	478.696	6.145	15.1594	50	100
77	478.495	6.1842	15.3209	50	100
78	478.296	6.22304	15.4814	50	100
79	478.098	6.26156	15.6408	50	100
80	477.901	6.29974	15.7991	50	100
81	477.706	6.33759	15.9565	50	100
82	477.512	6.37511	16.1128	50	100
83	477.32	6.41232	16.2681	50	100
84	477.128	6.4492	16.4224	50	100
85	476.938	6.48578	16.5757	50	100
86	476.75	6.52205	16.7281	50	100
87	476.563	6.55801	16.8795	50	100
88	476.376	6.59367	17.0299	50	100
89	476.192	6.62904	17.1794	50	100
90	476.008	6.66411	17.3279	50	100
91	475.826	6.69889	17.4755	50	100
92	475.644	6.73339	17.6221	50	100
93	475.464	6.7676	17.7679	50	100
94	475.286	6.80154	17.9127	50	100
95	475.108	6.83519	18.0567	50	100
96	474.932	6.86858	18.1997	50	100
97	474.756	6.90169	18.3419	50	100
98	474.582	6.93454	18.4832	50	100
99	474.409	6.96713	18.6236	50	100
100	474.237	6.99945	18.7632	50	100
