Time	[EpoR]	[Epo]	[Epo_EpoR]	[Epo_EpoRi]	[dEpoi]	[dEpoe]
0	516	2030.19	0	0	0	0
1	421.501	1934.06	92.4827	3.62785	0.00396559	0.020465
2	351.489	1859.72	157.403	12.887	0.0290021	0.14967
3	298.902	1800.81	202.922	25.9043	0.0898569	0.46372
4	259.002	1753.07	234.552	41.3567	0.196254	1.0128
5	228.502	1713.58	256.124	58.2994	0.354349	1.82867
6	205.065	1680.27	270.364	76.0542	0.567741	2.92991
7	186.992	1651.65	279.243	94.1335	0.838196	4.32563
8	173.031	1626.61	284.204	112.189	1.16616	6.01813
9	162.246	1604.35	286.314	129.974	1.55114	8.00488
10	153.928	1584.23	286.369	147.316	1.99199	10.2799
11	147.536	1565.81	284.96	164.101	2.4871	12.835
12	142.656	1548.71	282.535	180.254	3.03457	15.6604
13	138.967	1532.66	279.425	195.73	3.63233	18.7452
14	136.219	1517.44	275.88	210.51	4.27817	22.0781
15	134.218	1502.9	272.085	224.589	4.96989	25.6478
16	132.81	1488.89	268.177	237.973	5.70524	29.4427
17	131.877	1475.32	264.257	250.678	6.48206	33.4516
18	131.324	1462.11	260.395	262.727	7.29821	37.6635
19	131.075	1449.18	256.644	274.144	8.15165	42.0678
20	131.072	1436.5	253.036	284.958	9.04042	46.6544
21	131.268	1424.02	249.595	295.197	9.96264	51.4137
22	131.625	1411.71	246.334	304.892	10.9165	56.3364
23	132.113	1399.55	243.258	314.07	11.9004	61.4139
24	132.709	1387.51	240.368	322.762	12.9127	66.6379
25	133.393	1375.58	237.663	330.995	13.9519	72.0007
26	134.15	1363.75	235.136	338.795	15.0165	77.4949
27	134.968	1352	232.78	346.189	16.1053	83.1138
28	135.836	1340.33	230.588	353.2	17.217	88.8508
29	136.747	1328.74	228.55	359.851	18.3504	94.6997
30	137.695	1317.21	226.656	366.164	19.5043	100.655
31	138.673	1305.75	224.897	372.158	20.6779	106.711
32	139.678	1294.34	223.264	377.854	21.87	112.863
33	140.707	1282.99	221.747	383.267	23.0798	119.106
34	141.755	1271.69	220.338	388.415	24.3063	125.436
