Time	[ERK]	[ERK-PY]	[ERK-PT]	[ERK-PP]	[MEK]	[MKP3]	[ERK-PY_MEK]	[ERK-PT_MEK]	[ERK_MEK_Y]	[ERK_MEK_T]	[ERK-PP_MKP3]	[ERK-PY_MKP3]	[ERK-PT_MKP3_Y]	[ERK-PT_MKP3_T]	[ERK_MKP3_T]	[ERK_MKP3_Y]
0	800	0	0	0	180	100	0	0	0	0	0	0	0	0	0	0
1	536.868	10.02	1.00511	0.0026025	6.20099	21.6948	0.614133	0.0099474	9.10993	164.065	0.000742086	1.149	0.121501	0.102387	29.711	47.2205
2	516.385	17.4512	2.14624	0.0165739	6.36419	9.63448	1.6579	0.0307444	8.07604	163.871	0.0033469	1.20785	0.17592	0.130053	35.0268	53.8215
3	506.162	24.3757	3.29209	0.046083	6.44154	7.43435	2.78012	0.0556017	7.885	162.838	0.00821793	1.18604	0.207901	0.146851	36.6443	54.3724
4	497.982	30.9802	4.37828	0.0907703	6.5011	6.93031	3.8986	0.0808921	7.81131	161.708	0.0165334	1.32691	0.253083	0.178037	37.4726	53.8226
5	490.405	37.3551	5.40929	0.149631	6.55608	6.76261	4.99789	0.105544	7.75479	160.586	0.028745	1.5521	0.309206	0.21692	38.0381	53.0923
6	483.128	43.5411	6.39606	0.221955	6.60942	6.67797	6.079	0.129484	7.70136	159.481	0.044753	1.80405	0.36984	0.257647	38.4628	52.383
7	476.074	49.5552	7.34526	0.307224	6.66187	6.61965	7.14465	0.152823	7.64893	158.392	0.064324	2.05919	0.431169	0.297799	38.7862	51.7416
8	469.215	55.4054	8.26055	0.404993	6.71366	6.57214	8.19657	0.175653	7.59719	157.317	0.0872348	2.30935	0.491448	0.336587	39.0272	51.176
9	462.539	61.0974	9.14413	0.514846	6.76486	6.53043	9.23556	0.198026	7.54608	156.255	0.113295	2.55195	0.549991	0.373811	39.1978	50.6827
10	456.038	66.6359	9.99756	0.636376	6.8155	6.49264	10.262	0.21997	7.49559	155.207	0.142342	2.78642	0.606589	0.409472	39.3071	50.2555
11	449.707	72.0253	10.8221	0.76918	6.8656	6.45792	11.2758	0.2415	7.44572	154.171	0.174232	3.01283	0.66123	0.443631	39.3628	49.8874
12	443.539	77.2698	11.6189	0.912864	6.91516	6.4258	12.2772	0.262625	7.39647	153.148	0.208834	3.23149	0.713981	0.476368	39.3715	49.572
13	437.531	82.3734	12.3889	1.06704	6.96418	6.39596	13.2661	0.283352	7.34785	152.139	0.246028	3.44277	0.764934	0.507761	39.3393	49.3033
14	431.676	87.3399	13.1331	1.23131	7.01265	6.36817	14.2424	0.303688	7.29984	151.141	0.285698	3.64701	0.814189	0.537885	39.2711	49.0759
15	425.972	92.173	13.8526	1.40531	7.06059	6.34223	15.2061	0.32364	7.25247	150.157	0.327736	3.84457	0.861839	0.566811	39.1717	48.8851
16	420.413	96.8763	14.5482	1.58867	7.108	6.31797	16.1571	0.343212	7.20572	149.186	0.372041	4.03574	0.907974	0.594604	39.0452	48.7264
17	414.995	101.453	15.2208	1.78102	7.15487	6.29522	17.0955	0.362412	7.1596	148.228	0.418511	4.22081	0.952675	0.621321	38.8953	48.5962
18	409.715	105.907	15.8712	1.98201	7.2012	6.27386	18.0211	0.381245	7.11411	147.282	0.467053	4.40004	0.996018	0.64702	38.7251	48.4909
19	404.568	110.241	16.5003	2.19129	7.247	6.25376	18.9339	0.399718	7.06926	146.35	0.517574	4.57368	1.03807	0.67175	38.5376	48.4076
20	399.551	114.459	17.1088	2.40852	7.29226	6.23482	19.834	0.417838	7.02503	145.431	0.569985	4.74194	1.0789	0.69556	38.3353	48.3435
21	394.661	118.562	17.6976	2.63338	7.33699	6.21692	20.7213	0.43561	6.98144	144.525	0.624201	4.90502	1.11857	0.718492	38.1206	48.2962
22	389.893	122.556	18.2673	2.86553	7.3812	6.2	21.5959	0.453042	6.93847	143.631	0.680139	5.06312	1.15713	0.740588	37.8956	48.2635
23	385.244	126.441	18.8188	3.10467	7.42487	6.18395	22.4576	0.47014	6.89614	142.751	0.737717	5.21641	1.19463	0.761888	37.6619	48.2435
24	380.712	130.222	19.3526	3.35048	7.46802	6.16872	23.3067	0.486911	6.85443	141.884	0.796859	5.36506	1.23112	0.782427	37.4212	48.2346
25	376.293	133.9	19.8696	3.60266	7.51065	6.15424	24.143	0.503361	6.81335	141.03	0.857488	5.50922	1.26665	0.80224	37.175	48.2351
26	371.983	137.479	20.3702	3.86093	7.55275	6.14044	24.9666	0.519499	6.7729	140.188	0.919531	5.64905	1.30126	0.821359	36.9245	48.2438
27	367.781	140.961	20.8552	4.12501	7.59434	6.12728	25.7775	0.535329	6.73306	139.36	0.982916	5.78468	1.33498	0.839815	36.6708	48.2595
28	363.682	144.348	21.3252	4.3946	7.63541	6.1147	26.5759	0.550861	6.69385	138.544	1.04757	5.91625	1.36787	0.857637	36.4149	48.281
29	359.685	147.644	21.7807	4.66945	7.67596	6.10266	27.3616	0.5661	6.65525	137.741	1.11344	6.04387	1.39995	0.874853	36.1577	48.3075
30	355.786	150.85	22.2223	4.9493	7.71601	6.09112	28.1349	0.581053	6.61727	136.951	1.18045	6.16768	1.43126	0.89149	35.9	48.338
31	351.983	153.968	22.6507	5.23389	7.75555	6.08004	28.8958	0.595727	6.57989	136.173	1.24853	6.28779	1.46183	0.907571	35.6423	48.3719
32	348.273	157.002	23.0662	5.52298	7.79459	6.0694	29.6443	0.61013	6.54312	135.408	1.31764	6.4043	1.49169	0.923122	35.3854	48.4085
33	344.654	159.953	23.4694	5.81632	7.83313	6.05915	30.3805	0.624267	6.50695	134.655	1.3877	6.51732	1.52086	0.938166	35.1297	48.4471
