Time	[A]	[B]	[C]	[D]	[E]	[F]	[X]	[Y]	[Z]
0	0	0	0	0	0	0	10	2	1
1	5.64427	0.78791	0.115132	0.242371	0.0986414	0.145558	10	2	1
2	8.94056	1.39529	0.184511	0.317596	0.15611	0.189829	10	2	1
3	11.2565	1.85894	0.222223	0.352807	0.186841	0.210952	10	2	1
4	13.004	2.23019	0.246026	0.373113	0.20615	0.22337	10	2	1
5	14.3779	2.5363	0.262586	0.386484	0.219538	0.231641	10	2	1
6	15.4878	2.79367	0.274846	0.396033	0.229417	0.237581	10	2	1
7	16.4017	3.01308	0.284311	0.403221	0.237017	0.242065	10	2	1
8	17.1649	3.20203	0.291839	0.408832	0.243042	0.245569	10	2	1
9	17.8093	3.36602	0.297958	0.413329	0.247925	0.248379	10	2	1
10	18.3579	3.5092	0.303016	0.417004	0.251952	0.250675	10	2	1
11	18.8283	3.6348	0.307253	0.420055	0.255318	0.25258	10	2	1
12	19.2337	3.74542	0.310841	0.422619	0.258163	0.254181	10	2	1
13	19.5849	3.84312	0.313904	0.424794	0.260587	0.255539	10	2	1
14	19.89	3.92965	0.316538	0.426655	0.262669	0.256699	10	2	1
15	20.1561	4.00643	0.318816	0.428258	0.264467	0.257699	10	2	1
16	20.3887	4.07468	0.320797	0.429645	0.266029	0.258564	10	2	1
17	20.5924	4.13543	0.322526	0.430853	0.267391	0.259317	10	2	1
18	20.7712	4.18957	0.324041	0.431908	0.268582	0.259974	10	2	1
19	20.9284	4.23785	0.325372	0.432832	0.269628	0.260549	10	2	1
20	21.0667	4.28094	0.326543	0.433645	0.270549	0.261055	10	2	1
21	21.1885	4.31943	0.327578	0.43436	0.271361	0.261501	10	2	1
22	21.296	4.35381	0.328492	0.434992	0.272078	0.261894	10	2	1
23	21.3907	4.38454	0.329302	0.435551	0.272713	0.262241	10	2	1
24	21.4743	4.412	0.33002	0.436046	0.273276	0.262549	10	2	1
25	21.5482	4.43655	0.330657	0.436484	0.273775	0.262822	10	2	1
26	21.6134	4.4585	0.331224	0.436874	0.274219	0.263064	10	2	1
27	21.671	4.47813	0.331727	0.43722	0.274613	0.263279	10	2	1
28	21.7219	4.49568	0.332175	0.437527	0.274963	0.26347	10	2	1
29	21.7669	4.51136	0.332573	0.437801	0.275275	0.263639	10	2	1
30	21.8067	4.52538	0.332928	0.438044	0.275552	0.263791	10	2	1
31	21.8418	4.5379	0.333243	0.43826	0.275799	0.263925	10	2	1
32	21.8728	4.54909	0.333525	0.438453	0.276019	0.264045	10	2	1
33	21.9001	4.55908	0.333775	0.438625	0.276215	0.264151	10	2	1
34	21.9243	4.568	0.333998	0.438778	0.276389	0.264246	10	2	1
35	21.9456	4.57596	0.334197	0.438914	0.276544	0.26433	10	2	1
36	21.9644	4.58306	0.334374	0.439035	0.276682	0.264406	10	2	1
37	21.981	4.58939	0.334531	0.439143	0.276805	0.264473	10	2	1
38	21.9956	4.59503	0.334672	0.439239	0.276915	0.264532	10	2	1
39	22.0085	4.60006	0.334796	0.439324	0.277012	0.264585	10	2	1
40	22.0198	4.60454	0.334907	0.4394	0.277099	0.264632	10	2	1
41	22.0298	4.60852	0.335006	0.439468	0.277176	0.264674	10	2	1
42	22.0386	4.61207	0.335094	0.439528	0.277244	0.264711	10	2	1
43	22.0463	4.61522	0.335172	0.439581	0.277305	0.264744	10	2	1
44	22.0531	4.61803	0.335241	0.439629	0.277359	0.264774	10	2	1
45	22.059	4.62052	0.335303	0.439671	0.277407	0.2648	10	2	1
46	22.0642	4.62274	0.335358	0.439708	0.27745	0.264823	10	2	1
47	22.0688	4.6247	0.335406	0.439741	0.277488	0.264844	10	2	1
48	22.0728	4.62644	0.335449	0.439771	0.277522	0.264862	10	2	1
49	22.0763	4.62799	0.335487	0.439797	0.277551	0.264878	10	2	1
50	22.0794	4.62935	0.335521	0.43982	0.277578	0.264892	10	2	1
51	22.082	4.63057	0.335551	0.439841	0.277601	0.264905	10	2	1
52	22.0844	4.63164	0.335577	0.439859	0.277622	0.264916	10	2	1
53	22.0864	4.63259	0.335601	0.439875	0.27764	0.264926	10	2	1
54	22.0882	4.63343	0.335621	0.439889	0.277656	0.264935	10	2	1
55	22.0897	4.63417	0.33564	0.439901	0.27767	0.264943	10	2	1
56	22.0911	4.63482	0.335656	0.439913	0.277683	0.26495	10	2	1
57	22.0922	4.6354	0.33567	0.439922	0.277694	0.264956	10	2	1
58	22.0932	4.63591	0.335683	0.439931	0.277704	0.264961	10	2	1
59	22.0941	4.63636	0.335694	0.439939	0.277712	0.264966	10	2	1
60	22.0949	4.63675	0.335704	0.439945	0.27772	0.26497	10	2	1
61	22.0955	4.6371	0.335712	0.439951	0.277727	0.264974	10	2	1
62	22.0961	4.63741	0.33572	0.439956	0.277733	0.264977	10	2	1
63	22.0966	4.63767	0.335727	0.439961	0.277738	0.26498	10	2	1
64	22.097	4.63791	0.335732	0.439965	0.277742	0.264982	10	2	1
65	22.0973	4.63812	0.335737	0.439968	0.277746	0.264984	10	2	1
66	22.0977	4.6383	0.335742	0.439972	0.27775	0.264986	10	2	1
67	22.0979	4.63846	0.335746	0.439974	0.277753	0.264988	10	2	1
68	22.0981	4.63859	0.335749	0.439977	0.277756	0.264989	10	2	1
69	22.0983	4.63872	0.335752	0.439979	0.277758	0.264991	10	2	1
70	22.0985	4.63882	0.335755	0.43998	0.27776	0.264992	10	2	1
71	22.0986	4.63891	0.335757	0.439982	0.277762	0.264993	10	2	1
72	22.0987	4.639	0.335759	0.439983	0.277763	0.264994	10	2	1
73	22.0988	4.63907	0.335761	0.439985	0.277765	0.264994	10	2	1
74	22.0989	4.63913	0.335763	0.439986	0.277766	0.264995	10	2	1
75	22.099	4.63918	0.335764	0.439987	0.277767	0.264996	10	2	1
