Time	[sumrc1]	[r]	[c1]	[c2]	[ePI3K]	[m3PI]	[eGEF]	[mRas]	[x1]	[x2]	[y]	[yp]	[ypp]	[z]	[zp]	[zpp]	[fGEF]	[w]	[eph]
0	1	0.6	0.4	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1
1	0.912898	0.547739	0.365159	0.0394496	0.947042	0.534218	0.956464	0.599489	0.191746	0.785311	0.858768	0.117453	0.0237793	0.971304	0.0267358	0.00196011	0.999457	6.12312e-06	1
2	0.84061	0.504366	0.336244	0.0652451	0.969294	0.805022	0.825384	0.812503	0.490815	1.00823	0.621795	0.240744	0.137461	0.622741	0.139027	0.238232	0.848063	0.00245804	1.00001
3	0.77969	0.467814	0.311876	0.0813844	0.9757	0.91153	0.508888	0.707255	0.647503	1.04655	0.480662	0.292187	0.227151	0.201093	0.0714999	0.727407	0.520215	0.0187901	1.00164
4	0.727678	0.436607	0.291071	0.0907043	0.978315	0.953167	0.347102	0.525123	0.634356	1.05569	0.439858	0.310219	0.249923	0.045425	0.0364298	0.918145	0.354079	0.0458503	1.01582
5	0.682771	0.409663	0.273109	0.0952356	0.979393	0.969514	0.284209	0.397014	0.545715	1.06009	0.453966	0.312684	0.23335	0.0119944	0.0316585	0.956347	0.289667	0.0752345	1.05808
6	0.643622	0.386173	0.257449	0.0964403	0.979662	0.975889	0.261166	0.327053	0.45301	1.06323	0.488349	0.306582	0.20507	0.00611745	0.0360425	0.95784	0.266121	0.10416	1.13557
7	0.6092	0.36552	0.24368	0.0953737	0.979424	0.978208	0.252978	0.293188	0.382647	1.06545	0.523848	0.296745	0.179406	0.00629795	0.0439782	0.949724	0.257825	0.132001	1.24689
8	0.57871	0.347226	0.231484	0.0927975	0.978827	0.978773	0.250239	0.277981	0.336676	1.06686	0.552087	0.287114	0.160799	0.00857018	0.0535865	0.937843	0.255154	0.158594	1.38581
9	0.551524	0.330915	0.22061	0.0892602	0.977947	0.978497	0.2495	0.271578	0.309207	1.06765	0.571435	0.27968	0.148886	0.0121189	0.0636458	0.924235	0.254574	0.183894	1.54426
10	0.527143	0.316286	0.210857	0.0851546	0.97683	0.97775	0.249492	0.26911	0.293781	1.06802	0.58341	0.274723	0.141866	0.0166219	0.0733226	0.910055	0.254785	0.207909	1.71419
11	0.505164	0.303098	0.202065	0.08076	0.975502	0.97669	0.249741	0.268335	0.285544	1.06813	0.59028	0.271724	0.137996	0.0218007	0.0821968	0.896003	0.255297	0.230673	1.88859
12	0.485257	0.291154	0.194103	0.0762721	0.97398	0.975389	0.250064	0.268259	0.281367	1.06808	0.593973	0.270027	0.136	0.0273919	0.0901528	0.882455	0.255918	0.252239	2.06195
13	0.467154	0.280292	0.186861	0.0718255	0.972273	0.97388	0.25039	0.268453	0.279389	1.06794	0.595828	0.269114	0.135058	0.0331759	0.0972288	0.869595	0.256571	0.272665	2.23026
14	0.450628	0.270377	0.180251	0.0675106	0.970389	0.97218	0.250689	0.268731	0.27856	1.06772	0.596674	0.268643	0.134683	0.038988	0.103513	0.857499	0.257223	0.292015	2.39086
15	0.435492	0.261295	0.174197	0.0633853	0.968332	0.9703	0.250949	0.269017	0.278309	1.06746	0.596992	0.268409	0.134599	0.0447119	0.109099	0.846189	0.257859	0.310347	2.54215
16	0.421586	0.252951	0.168634	0.0594842	0.966107	0.968246	0.251165	0.269277	0.278331	1.06717	0.59705	0.268297	0.134652	0.050268	0.11407	0.835662	0.258472	0.327721	2.68336
17	0.408775	0.245265	0.16351	0.0558251	0.963717	0.966023	0.251337	0.269498	0.278468	1.06685	0.596991	0.268244	0.134764	0.0556032	0.118499	0.825898	0.259059	0.344194	2.81427
18	0.396943	0.238166	0.158777	0.0524143	0.961166	0.963635	0.251465	0.269675	0.278639	1.06649	0.596891	0.268217	0.134892	0.0606838	0.122451	0.816866	0.259616	0.35982	2.93508
19	0.38599	0.231594	0.154396	0.04925	0.958458	0.961086	0.251549	0.269807	0.278802	1.06612	0.596788	0.268198	0.135014	0.0654911	0.125982	0.808527	0.260143	0.37465	3.04623
20	0.375829	0.225498	0.150332	0.0463246	0.955597	0.95838	0.251593	0.269895	0.278937	1.06572	0.596701	0.268179	0.13512	0.0700178	0.129143	0.800839	0.26064	0.388732	3.14831
21	0.366385	0.219831	0.146554	0.0436273	0.95259	0.955522	0.251598	0.269941	0.279037	1.06529	0.596639	0.268154	0.135207	0.0742653	0.13198	0.793755	0.261107	0.402111	3.24197
22	0.357592	0.214555	0.143037	0.0411452	0.949442	0.952518	0.251569	0.269947	0.279097	1.06485	0.596606	0.268124	0.135271	0.0782413	0.134532	0.787226	0.261546	0.414829	3.32791
23	0.349392	0.209635	0.139757	0.0388641	0.94616	0.949373	0.251508	0.269917	0.279119	1.06438	0.596602	0.268085	0.135313	0.0819581	0.136836	0.781205	0.261957	0.426925	3.40677
24	0.341732	0.205039	0.136693	0.0367698	0.942753	0.946095	0.251419	0.269854	0.279103	1.06389	0.596626	0.268039	0.135335	0.0854306	0.138923	0.775647	0.262342	0.438435	3.47921
25	0.334568	0.200741	0.133827	0.0348477	0.939227	0.942691	0.251305	0.269762	0.279053	1.06338	0.596678	0.267985	0.135336	0.0886748	0.140818	0.770507	0.262703	0.449394	3.54582
26	0.327858	0.196715	0.131143	0.0330841	0.935593	0.93917	0.251169	0.269644	0.278972	1.06284	0.596756	0.267924	0.13532	0.0917075	0.142546	0.765747	0.263041	0.459832	3.60713
27	0.321566	0.19294	0.128626	0.0314657	0.931859	0.93554	0.251016	0.269503	0.278862	1.06229	0.596856	0.267857	0.135287	0.094545	0.144125	0.76133	0.263358	0.469777	3.66365
28	0.315659	0.189396	0.126264	0.0299801	0.928037	0.931811	0.250846	0.269343	0.278729	1.06172	0.596977	0.267784	0.135239	0.0972028	0.145575	0.757222	0.263656	0.479258	3.71582
29	0.310108	0.186065	0.124043	0.0286157	0.924135	0.927994	0.250665	0.269167	0.278574	1.06113	0.597116	0.267705	0.135179	0.0996956	0.146908	0.753396	0.263935	0.488298	3.76406
30	0.304887	0.182932	0.121955	0.0273618	0.920164	0.924097	0.250472	0.268978	0.278401	1.06052	0.597272	0.267622	0.135106	0.102037	0.148139	0.749824	0.264199	0.496921	3.80872
31	0.299971	0.179982	0.119988	0.0262086	0.916136	0.920132	0.250272	0.268778	0.278213	1.0599	0.597442	0.267535	0.135023	0.104239	0.149278	0.746483	0.264447	0.505148	3.85013
32	0.295338	0.177203	0.118135	0.0251469	0.912061	0.916109	0.250066	0.268569	0.278013	1.05927	0.597624	0.267445	0.134931	0.106313	0.150335	0.743352	0.264681	0.513	3.88858
33	0.290968	0.174581	0.116387	0.0241686	0.907948	0.912039	0.249855	0.268354	0.277803	1.05862	0.597817	0.267351	0.134832	0.108269	0.151318	0.740413	0.264902	0.520495	3.92433
34	0.286844	0.172106	0.114737	0.0232663	0.903809	0.907931	0.249642	0.268134	0.277585	1.05796	0.598018	0.267256	0.134726	0.110117	0.152234	0.737649	0.265111	0.527652	3.95762
35	0.282948	0.169769	0.113179	0.0224331	0.899653	0.903797	0.249427	0.267911	0.277362	1.0573	0.598227	0.267158	0.134615	0.111864	0.15309	0.735045	0.265309	0.534487	3.98865
36	0.279266	0.16756	0.111706	0.0216628	0.895491	0.899647	0.249211	0.267686	0.277134	1.05662	0.598442	0.267059	0.134499	0.113519	0.153891	0.73259	0.265497	0.541014	4.01761
37	0.275784	0.16547	0.110313	0.0209499	0.89133	0.895489	0.248996	0.267461	0.276904	1.05594	0.598661	0.266959	0.13438	0.115087	0.154642	0.730271	0.265675	0.54725	4.04468
38	0.272488	0.163493	0.108995	0.0202894	0.887181	0.891333	0.248782	0.267236	0.276673	1.05525	0.598884	0.266859	0.134257	0.116576	0.155347	0.728077	0.265845	0.553208	4.07
39	0.269367	0.16162	0.107747	0.0196766	0.88305	0.887187	0.248569	0.267012	0.276442	1.05455	0.599109	0.266758	0.134133	0.11799	0.156011	0.725999	0.266006	0.558901	4.09372
40	0.26641	0.159846	0.106564	0.0191076	0.878947	0.883061	0.24836	0.26679	0.276211	1.05386	0.599337	0.266657	0.134007	0.119334	0.156636	0.72403	0.266159	0.564341	4.11595
41	0.263608	0.158165	0.105443	0.0185785	0.874879	0.878962	0.248153	0.266571	0.275982	1.05316	0.599565	0.266556	0.133879	0.120614	0.157225	0.722161	0.266306	0.56954	4.13681
42	0.26095	0.15657	0.10438	0.018086	0.870851	0.874897	0.247949	0.266355	0.275756	1.05246	0.599793	0.266456	0.133751	0.121832	0.157782	0.720385	0.266445	0.574509	4.15641
43	0.258428	0.155057	0.103371	0.017627	0.866871	0.870873	0.24775	0.266142	0.275532	1.05177	0.600021	0.266356	0.133623	0.122994	0.158309	0.718697	0.266578	0.579259	4.17483
44	0.256034	0.15362	0.102413	0.0171989	0.862943	0.866895	0.247554	0.265933	0.275311	1.05107	0.600248	0.266258	0.133495	0.124102	0.158807	0.717091	0.266706	0.583799	4.19215
45	0.25376	0.152256	0.101504	0.016799	0.859073	0.86297	0.247362	0.265728	0.275095	1.05038	0.600473	0.26616	0.133367	0.12516	0.159279	0.715561	0.266827	0.588139	4.20847
46	0.251601	0.15096	0.10064	0.0164252	0.855266	0.859103	0.247175	0.265527	0.274882	1.0497	0.600696	0.266063	0.13324	0.12617	0.159727	0.714103	0.266943	0.592288	4.22384
