Time	[N]	[S]	[I1]	[I2]	[R1]	[R2]	[V]	[Iv2]	[J2]	[J1]	[R]
0	1	0.0588235	0.00176967	1e-06	0.439407	0	0.9	0.5	0	0	0
1	1	0.0780905	7.72483e-05	0.000167579	0.000727224	0.0635489	0.0235846	8.82385e-06	4.4709e-07	2.00158e-05	1.71595
2	1	0.0417821	0.000974908	0.00113664	0.0645538	0.048188	0.0345936	0.000149595	0.000471048	0.000272552	1.67259
3	1	0.0392402	0.0012889	0.00273653	0.0394646	0.0937464	0.0352704	0.000354207	0.000666385	0.000803307	1.63402
4	1	0.038144	0.00268159	0.0018378	0.0643555	0.0697035	0.0429987	0.000315975	0.000786305	0.00120206	1.60878
5	1	0.0378362	0.00147983	0.00319893	0.0513057	0.086421	0.0426951	0.000535321	0.00108144	0.000844733	1.58896
6	1	0.0373248	0.00269716	0.00222309	0.0563392	0.0815312	0.0452928	0.000400169	0.00082561	0.00147109	1.57012
7	1	0.0375958	0.00186432	0.00308277	0.0559539	0.0816295	0.0464506	0.000571545	0.00115289	0.000996507	1.55313
8	1	0.0379506	0.0023628	0.00256557	0.0530169	0.0854251	0.0467978	0.000470399	0.000886117	0.00134091	1.53611
9	1	0.0380072	0.00207664	0.00273735	0.0564803	0.0808014	0.0482758	0.000524953	0.0010252	0.00109506	1.52072
10	1	0.0381013	0.00207094	0.00266778	0.0526653	0.085328	0.048039	0.000502839	0.000919044	0.00116747	1.5054
11	1	0.037948	0.00213474	0.0025477	0.0552338	0.0819832	0.0491081	0.000496102	0.000929904	0.00115036	1.49074
12	1	0.0379485	0.00197288	0.00266727	0.0532727	0.0841461	0.0491358	0.000517636	0.000936421	0.00109499	1.47627
13	1	0.0378902	0.00209882	0.00251398	0.0538687	0.0833087	0.0497058	0.000494568	0.000892935	0.00115454	1.46202
14	1	0.0378911	0.00196852	0.00260235	0.0536527	0.0833357	0.0500771	0.000516338	0.000922819	0.00108104	1.44816
15	1	0.0378977	0.00201685	0.00251933	0.0530672	0.0839395	0.0503481	0.000501591	0.000881089	0.00111873	1.43445
16	1	0.0378749	0.00197127	0.00252271	0.0534816	0.0832358	0.0508366	0.000508445	0.000891859	0.00108204	1.42113
17	1	0.037881	0.00194676	0.00250936	0.0527745	0.0839544	0.0510573	0.000507128	0.000873928	0.00107978	1.40801
18	1	0.0378558	0.00195096	0.00246873	0.0529914	0.0835327	0.0514866	0.000503859	0.000864438	0.00107626	1.39518
19	1	0.0378522	0.00190612	0.00247654	0.0526463	0.0837884	0.0517801	0.000508263	0.000861638	0.00105504	1.3826
20	1	0.0378406	0.00191088	0.00243775	0.0525034	0.0838229	0.0521172	0.00050362	0.000845714	0.00105882	1.37025
21	1	0.0378291	0.00188023	0.00243274	0.0524349	0.0837418	0.0524689	0.000506333	0.000843623	0.00104053	1.35816
22	1	0.0378234	0.00186737	0.00241193	0.0521508	0.0839463	0.0527654	0.000504716	0.0008316	0.00103669	1.3463
23	1	0.0378098	0.0018534	0.0023924	0.0521094	0.0838439	0.0531175	0.000504301	0.000824748	0.00102766	1.33467
24	1	0.0378027	0.00183114	0.00238172	0.0518851	0.083969	0.0534223	0.000504958	0.00081762	0.00101718	1.32327
25	1	0.037792	0.00182131	0.00235978	0.0517549	0.0839843	0.0537471	0.000503492	0.000808227	0.00101223	1.31209
