Time	[IPTG]	[C1]	[C2]	[A1]	[A2]	[sink]	[source]
0	5	20	20	0.1	0.1	0	0
1	5	11.1777	22.4948	1.48929	0.749339	0	0
2	5	6.98243	24.4063	2.13239	1.33827	0	0
3	5	4.89437	25.9154	2.41745	1.86243	0	0
4	5	3.79702	27.2353	2.52506	2.32591	0	0
5	5	3.19663	28.4772	2.54297	2.73688	0	0
6	5	2.86737	29.6953	2.51656	3.10436	0	0
7	5	2.70007	30.9109	2.47082	3.43669	0	0
8	5	2.6389	32.1244	2.42034	3.74086	0	0
9	5	2.65397	33.3216	2.37407	4.02222	0	0
10	5	2.72891	34.478	2.3378	4.28443	0	0
11	5	2.8549	35.5619	2.31546	4.52953	0	0
12	5	3.0277	36.5372	2.30991	4.75808	0	0
13	5	3.24611	37.3659	2.32343	4.96935	0	0
14	5	3.51126	38.0104	2.35801	5.16159	0	0
15	5	3.82621	38.4351	2.41562	5.33221	0	0
16	5	4.19589	38.6084	2.49835	5.47811	0	0
17	5	4.62704	38.504	2.60859	5.59588	0	0
18	5	5.12814	38.1024	2.74915	5.68209	0	0
19	5	5.70929	37.3924	2.9234	5.7335	0	0
20	5	6.38158	36.3726	3.13526	5.74732	0	0
21	5	7.15605	35.0533	3.38927	5.72147	0	0
22	5	8.04167	33.4578	3.69033	5.6548	0	0
23	5	9.04226	31.6231	4.0434	5.54736	0	0
24	5	10.1521	29.5991	4.45277	5.40055	0	0
25	5	11.3504	27.4459	4.92098	5.21725	0	0
26	5	12.5968	25.2299	5.44743	5.00175	0	0
27	5	13.8275	23.0175	6.02667	4.75959	0	0
28	5	14.9575	20.8704	6.6469	4.49722	0	0
29	5	15.8886	18.8403	7.28904	4.22161	0	0
30	5	16.5236	16.9664	7.92703	3.93972	0	0
31	5	16.7846	15.2744	8.52967	3.65818	0	0
32	5	16.629	13.7767	9.06379	3.38285	0	0
33	5	16.0584	12.4746	9.49837	3.11864	0	0
34	5	15.1184	11.3604	9.80843	2.86936	0	0
35	5	13.8886	10.4206	9.97806	2.63773	0	0
36	5	12.4672	9.63807	10.0018	2.42541	0	0
37	5	10.9549	8.99476	9.88414	2.23321	0	0
38	5	9.44156	8.47321	9.63828	2.06119	0	0
39	5	7.99796	8.05783	9.28321	1.90888	0	0
40	5	6.67279	7.73558	8.84124	1.77547	0	0
41	5	5.49389	7.49637	8.33553	1.65993	0	0
42	5	4.47188	7.33325	7.78816	1.56119	0	0
43	5	3.60463	7.24251	7.21888	1.4782	0	0
44	5	2.88171	7.22375	6.64443	1.4101	0	0
45	5	2.28803	7.27996	6.07826	1.35619	0	0
46	5	1.80655	7.4178	5.53069	1.31611	0	0
47	5	1.42018	7.64789	5.00916	1.28982	0	0
48	5	1.11294	7.98521	4.51865	1.2777	0	0
49	5	0.870515	8.44962	4.06211	1.28058	0	0
50	5	0.680548	9.06637	3.64089	1.29987	0	0
51	5	0.532618	9.86639	3.2551	1.33756	0	0
52	5	0.418111	10.8863	2.90396	1.39631	0	0
53	5	0.330019	12.1678	2.58604	1.47948	0	0
54	5	0.262716	13.7557	2.29951	1.59115	0	0
55	5	0.211727	15.6943	2.04229	1.73596	0	0
56	5	0.173525	18.0225	1.81216	1.91896	0	0
57	5	0.145348	20.7661	1.6069	2.14524	0	0
58	5	0.125038	23.9288	1.42433	2.41931	0	0
59	5	0.110913	27.4846	1.26233	2.74447	0	0
60	5	0.101658	31.3715	1.11892	3.12194	0	0
61	5	0.0962281	35.492	0.992263	3.55017	0	0
62	5	0.0937817	39.7205	0.880625	4.0244	0	0
63	5	0.0936251	43.9175	0.782433	4.53656	0	0
64	5	0.0951794	47.9474	0.696239	5.07587	0	0
65	5	0.097964	51.6957	0.620723	5.62974	0	0
66	5	0.101591	55.0803	0.554684	6.18498	0	0
67	5	0.105765	58.0558	0.497034	6.72908	0	0
68	5	0.110273	60.6109	0.446796	7.25117	0	0
69	5	0.114979	62.7612	0.403093	7.74263	0	0
70	5	0.119805	64.5405	0.365146	8.19738	0	0
71	5	0.124721	65.9923	0.332266	8.6118	0	0
72	5	0.129723	67.1636	0.303844	8.98442	0	0
73	5	0.134827	68.1001	0.279349	9.31553	0	0
74	5	0.140058	68.8434	0.258313	9.60673	0	0
75	5	0.145445	69.43	0.240331	9.86053	0	0
76	5	0.151016	69.8908	0.225046	10.08	0	0
77	5	0.156799	70.2514	0.212151	10.2684	0	0
78	5	0.162818	70.5325	0.201375	10.4293	0	0
79	5	0.169095	70.7511	0.192486	10.5658	0	0
80	5	0.17565	70.9202	0.185277	10.6811	0	0
81	5	0.182501	71.0506	0.179574	10.778	0	0
82	5	0.189662	71.1505	0.17522	10.8592	0	0
83	5	0.19715	71.2263	0.172083	10.9269	0	0
84	5	0.204978	71.2831	0.170045	10.9832	0	0
85	5	0.213161	71.3248	0.169005	11.0298	0	0
86	5	0.221712	71.3544	0.168877	11.0681	0	0
87	5	0.230646	71.3743	0.169585	11.0996	0	0
88	5	0.239978	71.3863	0.171064	11.1253	0	0
89	5	0.249723	71.3918	0.173258	11.1462	0	0
90	5	0.259898	71.3918	0.17612	11.163	0	0
91	5	0.27052	71.3871	0.17961	11.1763	0	0
92	5	0.281608	71.3784	0.183695	11.1868	0	0
93	5	0.293182	71.366	0.188347	11.1948	0	0
94	5	0.305264	71.3503	0.193543	11.2008	0	0
95	5	0.317875	71.3315	0.199267	11.2051	0	0
96	5	0.331041	71.3098	0.205504	11.2078	0	0
97	5	0.344788	71.2852	0.212247	11.2093	0	0
98	5	0.359145	71.2577	0.219489	11.2097	0	0
99	5	0.374141	71.2273	0.227228	11.2091	0	0
100	5	0.38981	71.194	0.235466	11.2076	0	0
