Time	[R]	[S]	[Ep]	[E]
0	0	0	8.88178e-16	1
1	0.563003	0	0.927612	0.0723879
2	0.615399	0	0.958955	0.0410455
3	0.651153	0	0.96833	0.0316702
4	0.680138	0	0.97328	0.02672
5	0.705168	0	0.976458	0.0235416
6	0.727522	0	0.978719	0.0212806
7	0.74791	0	0.980433	0.0195666
8	0.766773	0	0.981791	0.0182094
9	0.78441	0	0.9829	0.0171004
10	0.801034	0	0.983828	0.016172
11	0.8168	0	0.98462	0.0153801
12	0.831829	0	0.985306	0.0146942
13	0.846216	0	0.985908	0.0140925
14	0.860037	0	0.986441	0.0135591
15	0.873353	0	0.986918	0.0130821
16	0.886216	0	0.987348	0.0126521
17	0.89867	0	0.987738	0.0122619
18	0.910751	0	0.988094	0.0119057
19	0.922491	0	0.988421	0.0115788
20	0.933917	0	0.988723	0.0112774
21	0.945053	0	0.989002	0.0109985
22	0.955921	0	0.989261	0.0107392
23	0.966538	0	0.989503	0.0104975
24	0.976921	0	0.989729	0.0102713
25	0.987085	0	0.989941	0.0100592
26	0.997043	0	0.99014	0.00985974
27	1.00681	0	0.990328	0.00967166
28	1.01639	0	0.990506	0.00949395
29	1.0258	0	0.990674	0.00932569
30	1.03504	0	0.990834	0.00916606
31	1.04413	0	0.990986	0.00901437
32	1.05308	0	0.99113	0.00886996
33	1.06188	0	0.991268	0.00873228
34	1.07054	0	0.991399	0.00860082
35	1.07908	0	0.991525	0.00847512
36	1.08749	0	0.991645	0.00835477
37	1.09579	0	0.991761	0.00823941
38	1.10397	0	0.991871	0.0081287
39	1.11205	0	0.991978	0.00802234
40	1.12002	0	0.99208	0.00792004
41	1.12789	0	0.992178	0.00782156
42	1.13566	0	0.992273	0.00772667
43	1.14335	0	0.992365	0.00763514
44	1.15094	0	0.992453	0.0075468
45	1.15844	0	0.992539	0.00746145
46	1.16586	0	0.992621	0.00737893
47	1.1732	0	0.992701	0.00729909
48	1.18046	0	0.992778	0.00722179
49	1.18764	0	0.992853	0.0071469
50	1.19475	0	0.992926	0.00707428
51	1.20179	0	0.992996	0.00700384
52	1.20876	0	0.993065	0.00693545
53	1.21566	0	0.993131	0.00686904
54	1.2225	0	0.993196	0.00680449
55	1.22927	0	0.993258	0.00674173
56	1.23598	0	0.993319	0.00668068
57	1.24263	0	0.993379	0.00662126
58	1.24923	0	0.993437	0.00656339
59	1.25576	0	0.993493	0.00650701
60	1.26224	0	0.993548	0.00645206
61	1.26867	0	0.993602	0.00639849
62	1.27504	0	0.993654	0.00634622
63	1.28136	0	0.993705	0.00629521
64	1.28763	0	0.993755	0.00624542
65	1.29385	0	0.993803	0.00619679
66	1.30002	0	0.993851	0.00614927
67	1.30615	0	0.993897	0.00610284
68	1.31223	0	0.993943	0.00605744
69	1.31826	0	0.993987	0.00601303
70	1.32426	0	0.99403	0.00596959
71	1.3302	0	0.994073	0.00592708
72	1.33611	0	0.994115	0.00588547
73	1.34198	0	0.994155	0.00584471
74	1.3478	0	0.994195	0.0058048
75	1.35359	0	0.994234	0.00576569
76	1.35933	0	0.994273	0.00572736
77	1.36504	0	0.99431	0.00568978
78	1.37071	0	0.994347	0.00565294
79	1.37635	0	0.994383	0.0056168
80	1.38194	0	0.994419	0.00558134
81	1.38751	0	0.994453	0.00554655
82	1.39304	0	0.994488	0.0055124
83	1.39853	0	0.994521	0.00547887
84	1.404	0	0.994554	0.00544595
85	1.40943	0	0.994586	0.00541362
86	1.41482	0	0.994618	0.00538185
87	1.42019	0	0.994649	0.00535064
88	1.42552	0	0.99468	0.00531996
89	1.43083	0	0.99471	0.00528981
90	1.4361	0	0.99474	0.00526016
91	1.44135	0	0.994769	0.005231
92	1.44657	0	0.994798	0.00520233
93	1.45176	0	0.994826	0.00517412
94	1.45692	0	0.994854	0.00514636
95	1.46205	0	0.994881	0.00511905
96	1.46715	0	0.994908	0.00509217
97	1.47223	0	0.994934	0.0050657
98	1.47728	0	0.99496	0.00503965
99	1.48231	0	0.994986	0.00501399
100	1.48731	0	0.995011	0.00498872
