Time	[A_dopa]	[C_dopa]	[C_3-OMD]
0	101	0	0
1	12.245	13.7539	5.82202
2	1.48456	4.28456	8.89377
3	0.179985	1.01742	9.29589
4	0.0218211	0.218101	8.95479
5	0.00264554	0.0444712	8.46724
6	0.00032074	0.0088221	7.97331
7	3.88859e-05	0.00172232	7.50155
8	4.71445e-06	0.000333014	7.05639
9	5.71571e-07	6.40068e-05	6.63739
10	6.9296e-08	1.22569e-05	6.24322
11	8.40127e-09	2.34163e-06	5.87245
12	1.01855e-09	4.46702e-07	5.5237
13	1.23487e-10	8.51357e-08	5.19566
14	1.49715e-11	1.62161e-08	4.8871
15	1.815e-12	3.08756e-09	4.59686
16	2.20032e-13	5.87764e-10	4.32386
17	2.66951e-14	1.11834e-10	4.06708
18	3.24681e-15	2.13161e-11	3.82554
19	3.5616e-16	3.99119e-12	3.59835
20	3.47617e-17	7.36837e-13	3.38465
21	2.4086e-18	1.35464e-13	3.18365
22	-1.73478e-19	2.49407e-14	2.99458
23	-1.26362e-17	-4.43134e-17	2.81674
24	-1.82728e-16	1.80516e-14	2.64945
25	-1.10584e-15	3.01924e-13	2.49211
26	-4.98448e-16	2.25294e-13	2.34411
27	-4.761e-16	1.01714e-13	2.2049
28	-9.96859e-17	1.68502e-14	2.07395
29	1.49337e-17	1.36274e-15	1.95078
30	8.13287e-18	1.03191e-16	1.83493
31	-6.32116e-16	1.34396e-14	1.72596
32	-2.06819e-15	2.7383e-14	1.62346
33	-1.89402e-15	4.05728e-15	1.52704
34	2.84811e-15	-3.61731e-14	1.43636
35	1.7801e-14	-4.24342e-14	1.35105
36	5.95941e-14	6.42672e-14	1.27082
37	1.72785e-13	3.43573e-13	1.19535
38	4.71858e-13	6.17083e-13	1.12436
39	1.17254e-14	2.30093e-13	1.05758
40	-4.27873e-14	7.94925e-14	0.994775
41	-3.46454e-15	9.2067e-15	0.935697
42	-1.30388e-15	3.00049e-15	0.880129
43	8.68883e-15	-1.34568e-14	0.82786
44	6.23762e-15	-1.23347e-14	0.778696
45	-1.14548e-14	2.15322e-14	0.732451
46	4.43284e-14	-7.52393e-14	0.688952
47	7.08112e-15	-8.75646e-15	0.648036
48	-4.71928e-15	1.00203e-14	0.609551
49	-1.06125e-15	2.24249e-15	0.573351
50	-1.54326e-16	3.35341e-16	0.5393
51	1.42827e-16	-2.42378e-16	0.507273
52	2.09777e-15	-4.11968e-15	0.477147
53	-1.32428e-15	2.58961e-15	0.448811
54	1.19878e-15	-2.28259e-15	0.422157
55	4.06176e-14	-7.9842e-14	0.397086
56	1.84602e-13	-3.63906e-13	0.373503
57	5.59397e-13	-1.10389e-12	0.351322
58	5.93868e-14	-1.17285e-13	0.330458
59	-2.92821e-14	5.77436e-14	0.310832
60	-2.42369e-15	4.77602e-15	0.292373
61	-1.48761e-15	2.9334e-15	0.275009
62	4.83609e-15	-9.54087e-15	0.258677
63	8.45577e-15	-1.66789e-14	0.243315
64	-1.02689e-14	2.02557e-14	0.228865
65	3.16932e-14	-6.25187e-14	0.215273
66	1.12124e-14	-2.21185e-14	0.202489
67	-3.94825e-15	7.78746e-15	0.190463
68	-7.64052e-16	1.50699e-15	0.179152
69	-9.13262e-17	1.80122e-16	0.168512
70	4.39625e-17	-8.67288e-17	0.158505
71	1.85087e-15	-3.65079e-15	0.149092
72	-1.085e-15	2.14013e-15	0.140238
73	7.48586e-16	-1.47659e-15	0.131909
74	3.42176e-14	-6.74932e-14	0.124075
75	1.58292e-13	-3.12226e-13	0.116707
76	4.82579e-13	-9.51873e-13	0.109776
77	5.10696e-14	-1.00733e-13	0.103256
78	-2.67367e-14	5.27374e-14	0.0971241
79	-2.23495e-15	4.40837e-15	0.0913561
80	-1.24934e-15	2.46429e-15	0.0859307
81	4.10571e-15	-8.09839e-15	0.0808275
82	7.48325e-15	-1.47605e-14	0.0760273
83	-8.90211e-15	1.75591e-14	0.0715123
84	2.67105e-14	-5.26858e-14	0.0672653
85	1.09112e-14	-2.15221e-14	0.0632705
86	-2.83333e-15	5.58866e-15	0.059513
87	-6.52646e-16	1.28733e-15	0.0559787
88	-6.98111e-17	1.377e-16	0.0526542
89	2.1324e-17	-4.2061e-17	0.0495272
90	1.62289e-15	-3.2011e-15	0.0465859
91	-9.18638e-16	1.81199e-15	0.0438193
92	5.57023e-16	-1.09871e-15	0.0412169
93	2.93543e-14	-5.79005e-14	0.0387691
94	1.36726e-13	-2.69689e-13	0.0364667
95	4.18031e-13	-8.24553e-13	0.034301
96	4.40766e-14	-8.69398e-14	0.032264
97	-2.4555e-14	4.84339e-14	0.0303479
98	-2.07466e-15	4.0922e-15	0.0285456
99	-1.05465e-15	2.08027e-15	0.0268503
100	3.4728e-15	-6.85e-15	0.0252558
