Time	[G-alpha]	[PLC]	[Calcium-Cyt]	[Calcium-ER]	[Calcium-mit]
0	0.01	0.01	0.01	10	0.001
1	0.359938	0.769686	0.000435011	10.0711	0.000999912
2	0.709407	2.30878	0.00132113	10.4197	0.000999852
3	1.05793	4.22748	0.00245799	11.1604	0.00100159
4	1.40514	6.43123	0.00379661	12.3515	0.00100827
5	1.75071	8.91342	0.00535054	14.0399	0.00102454
6	2.09432	11.6961	0.00715558	16.2666	0.00105701
7	2.43558	14.8131	0.0092619	19.0693	0.00111512
8	2.77408	18.3047	0.0117346	22.482	0.0012123
9	3.1093	22.2155	0.0146571	26.5324	0.00136774
10	3.44063	26.5931	0.0181365	31.2386	0.00160901
11	3.76731	31.4866	0.0223119	36.6033	0.00197589
12	4.08841	36.9452	0.0273667	42.607	0.00252627
13	4.40272	43.0155	0.0335469	49.1984	0.00334523
14	4.70875	49.7392	0.0411911	56.2832	0.00455937
15	5.00451	57.1493	0.0507793	63.7077	0.00636036
16	5.28737	65.2658	0.0630176	71.2392	0.00904486
17	5.5537	74.09	0.078998	78.5378	0.0130865
18	5.79831	83.5959	0.100519	85.1172	0.0192749
19	6.01327	93.7177	0.130816	90.2818	0.0290122
20	6.18546	104.328	0.176567	93.01	0.0450481
21	6.28947	115.191	0.255681	91.6615	0.0738431
22	6.21971	125.814	1.24814	80.3683	0.168672
23	0.207593	107.883	0.157548	19.3477	34.5748
24	0.504242	85.2176	0.0981312	31.3227	30.8289
25	0.803839	65.7968	0.0638802	41.4408	28.5927
26	1.11331	49.9826	0.0428504	49.8923	27.1809
27	1.43206	38.0605	0.0299031	56.8211	26.2475
28	1.75766	30.0477	0.0223313	62.4875	25.5921
29	2.08742	25.5658	0.0184553	67.2705	25.0889
30	2.41895	23.9275	0.0171296	71.5784	24.6562
31	2.75029	24.3921	0.0175893	75.7552	24.2399
32	3.07991	26.3723	0.0193823	80.0417	23.8039
33	3.4065	29.4859	0.0222981	84.5809	23.3221
34	3.72883	33.5146	0.0263037	89.4363	22.7737
35	4.04558	38.3462	0.0315039	94.6045	22.1401
36	4.35525	43.9298	0.0381324	100.018	21.4033
37	4.65596	50.2456	0.0465734	105.54	20.5447
38	4.94532	57.2858	0.0574239	110.948	19.5446
39	5.22005	65.0398	0.0716214	115.908	18.3818
40	5.47555	73.4819	0.0907114	119.942	17.0334
41	5.70488	82.5572	0.117461	122.36	15.4747
42	5.89667	92.1608	0.157567	122.14	13.6774
43	6.02898	102.097	0.226848	117.6	11.601
44	0.482445	109.285	36.7654	39.6346	27.9715
45	0.185942	84.908	0.0992144	19.2938	49.2737
46	0.502844	63.8008	0.0615852	30.2279	45.7326
47	0.820977	46.6203	0.0392409	38.9963	43.5972
48	1.1458	33.7507	0.0258351	45.8597	42.2557
49	1.47655	25.2698	0.0182278	51.1841	41.3645
50	1.81104	20.7164	0.0144992	55.4732	40.711
51	2.14705	19.2	0.0133286	59.2463	40.1605
52	2.48278	19.7933	0.0138411	62.917	39.6281
53	2.81686	21.8134	0.0155344	66.7599	39.0593
54	3.14816	24.8536	0.0181784	70.9354	38.4167
55	3.47565	28.7033	0.0217236	75.5232	37.671
56	3.79825	33.267	0.0262459	80.5429	36.7958
57	4.11473	38.5108	0.0319262	85.9615	35.7653
58	4.42355	44.4313	0.0390591	91.6896	34.5523
59	4.72281	51.037	0.0480902	97.5705	33.1273
60	5.00995	58.3356	0.0596947	103.362	31.4583
61	5.28145	66.324	0.0749326	108.706	29.5099
62	5.53229	74.9775	0.0955735	113.089	27.2435
63	5.75471	84.2361	0.124868	115.766	24.6164
64	5.93564	93.9811	0.169844	115.618	21.5778
65	6.04805	103.985	0.253234	110.688	18.0414
66	0.00950132	102.89	19.5567	23.5304	46.8408
67	0.263615	79.1451	0.0878341	22.0574	49.9505
68	0.579651	58.9799	0.0548484	32.4345	46.731
69	0.89943	42.8554	0.0351296	40.7021	44.7714
