Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]	[AT_XIa_l]
0	1400	0	0	0	20	0	0	0	10	0	0.1	0	0.7	0	0	0	90	0	0	0	170	0	0	0	0	0	300	0	0	0	0	0	60	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	2.5	3400	0	0	0	0	0	0	0	0	0	1	0	0	0	0	170000	2600	0	0	0
1	589.104	810.896	7.86161e-17	4.40368e-15	0.174094	19.8259	1.59206e-10	2.20487e-08	0.384382	9.61539	0.00135314	0.0984156	0.0042136	0.695786	5.56736e-12	3.51043e-10	0.622452	89.3775	2.67702e-08	4.44651e-06	61.2106	108.789	1.37721e-06	5.15158e-06	1.07314e-19	8.90259e-19	3.59016	296.41	6.91502e-34	7.34921e-32	2.04509e-32	4.57321e-30	24.6593	35.3407	0.00454174	0.000133275	0.000226836	3.20586e-05	0	4.16634e-05	2.44255e-05	9.20988e-13	1.38104e-17	7.67448e-15	5.53596e-18	2.32754e-06	6.76622e-08	8.38501e-16	9.49869e-17	2.36513e-18	4.78554e-15	7.69015e-16	30	1.16813e-16	1.33773e-17	1.9685e-18	3.46771e-30	2.5	3400	1.78438e-18	1.37954e-08	3.06655e-15	2.16283e-28	1.1628e-11	2.69717e-09	3.965e-08	4.73523e-16	1.23234e-17	1	6.37871e-17	1.04212e-17	1.54702e-19	8.40238e-19	32895.1	2600	4.9946e-19	1.25546e-09	8.2313e-21
2	583.768	816.232	4.64168e-14	2.01142e-12	0.1767	19.8233	3.49214e-09	4.23574e-07	0.389893	9.60967	0.00137035	0.0981882	0.00427689	0.695723	1.0951e-10	5.96476e-09	0.631789	89.3681	1.45374e-07	2.19919e-05	62.6552	107.345	7.77428e-06	2.50463e-05	2.37296e-16	1.44542e-15	3.64365	296.356	2.76825e-28	2.05521e-26	8.98318e-27	1.43883e-24	24.85	35.15	0.00412353	0.00023345	0.000433211	7.09626e-05	0	7.28444e-05	6.60069e-05	8.81469e-12	2.40665e-15	1.41385e-12	1.14191e-15	2.00278e-05	5.05757e-07	3.45022e-13	5.9569e-14	1.26864e-15	9.90217e-13	1.51984e-13	30	6.60139e-14	1.72605e-14	7.20172e-15	4.37549e-25	2.5	3400	1.72021e-15	1.79749e-07	1.55866e-13	3.07612e-23	1.42082e-10	3.51459e-08	1.96992e-07	3.22741e-13	7.36362e-15	1	5.54853e-14	1.32035e-14	2.21362e-16	2.25846e-15	32532.1	2600	4.81499e-16	1.63595e-08	2.5198e-17
3	583.672	816.328	1.35103e-12	5.39556e-11	0.176742	19.8232	1.76758e-08	2.06116e-06	0.389977	9.6094	0.00136809	0.0980039	0.00427793	0.695721	5.10415e-10	2.66279e-08	0.631943	89.3679	3.51118e-07	5.17947e-05	62.6862	107.313	1.90083e-05	5.87106e-05	1.2269e-14	6.79629e-14	3.64453	296.355	2.34515e-25	1.5113e-23	8.18433e-24	1.15195e-21	24.8532	35.1468	0.00374583	0.000320621	0.000619469	0.000104831	0	0.000100431	0.000108822	2.98241e-11	3.87628e-14	2.37527e-11	1.95672e-14	6.08382e-05	1.39992e-06	8.59653e-12	1.73194e-12	3.4528e-14	1.68236e-11	2.62662e-12	30	1.83349e-12	7.31328e-13	5.16686e-13	2.00758e-22	2.5	3400	6.78975e-14	7.00062e-07	1.31106e-12	1.53789e-20	5.44365e-10	1.36893e-07	4.64831e-07	9.99312e-12	2.15875e-13	1	2.05268e-12	5.56166e-13	1.02437e-14	1.34985e-13	32526	2600	1.9005e-14	6.37202e-08	1.70212e-15
4	583.67	816.33	1.30149e-11	4.98979e-10	0.176742	19.8231	5.20072e-08	5.9512e-06	0.389972	9.60922	0.00136583	0.0978428	0.00427794	0.695719	1.41414e-09	7.229e-08	0.631945	89.3678	6.33496e-07	9.23602e-05	62.6867	107.313	3.45462e-05	0.000104595	1.70317e-13	8.99875e-13	3.64455	296.355	2.10971e-23	1.26342e-21	7.78539e-22	1.0252e-19	24.8533	35.1467	0.00340461	0.000398669	0.000787581	0.000134903	0	0.000125141	0.000149098	6.78571e-11	2.52887e-13	1.5805e-10	1.31611e-13	0.000125603	2.7157e-06	7.47237e-11	1.63337e-11	3.13743e-13	1.12571e-10	1.77131e-11	30	1.68445e-11	9.0239e-12	9.08807e-12	1.20279e-20	2.5	3400	8.18183e-13	1.75724e-06	5.61676e-12	9.80721e-19	1.35452e-09	3.43648e-07	8.30707e-07	9.96452e-11	2.08776e-12	1	2.3452e-11	6.79957e-12	1.36846e-13	2.06349e-12	32525.9	2600	2.29015e-13	1.59959e-07	2.91768e-14
5	583.67	816.33	7.04306e-11	2.63532e-09	0.176742	19.823	1.15625e-07	1.30871e-05	0.389965	9.60906	0.00136387	0.0977041	0.00427793	0.695718	3.00729e-09	1.51948e-07	0.631945	89.3677	9.84377e-07	0.000142551	62.6866	107.313	5.39199e-05	0.000161371	1.2006e-12	6.16774e-12	3.64455	296.355	5.95317e-22	3.40946e-20	2.29301e-20	2.89986e-18	24.8533	35.1467	0.00309628	0.000469067	0.000939301	0.000161942	0	0.000147427	0.000185979	1.2519e-10	1.02965e-12	6.46613e-10	5.45557e-13	0.000212872	4.40853e-06	3.73807e-10	8.58955e-11	1.61154e-12	4.62048e-10	7.30336e-11	30	8.71134e-11	5.86231e-11	7.68473e-11	2.50506e-19	2.5	3400	5.27779e-12	3.51362e-06	1.68775e-11	2.13948e-17	2.69319e-09	6.87188e-07	1.28396e-06	5.51075e-10	1.13252e-11	1	1.4422e-10	4.3577e-11	9.54174e-13	1.55366e-11	32525.9	2600	1.47729e-12	3.19868e-07	2.44483e-13
6	583.67	816.33	2.67963e-10	9.86665e-09	0.176741	19.8229	2.16975e-07	2.43853e-05	0.389959	9.60891	0.00136223	0.0975875	0.00427792	0.695715	5.45679e-09	2.73649e-07	0.631944	89.3677	1.397e-06	0.000201418	62.6865	107.312	7.6725e-05	0.000227895	5.61164e-12	2.83005e-11	3.64455	296.355	8.28151e-21	4.60445e-19	3.29707e-19	4.05952e-17	24.8533	35.1467	0.00281763	0.000532733	0.00107621	0.000186366	0	0.00016758	0.000219482	2.02918e-10	3.14354e-12	1.96404e-09	1.68523e-12	0.000320637	6.4384e-06	1.33348e-09	3.16849e-10	5.84978e-12	1.4064e-09	2.22957e-10	30	3.17673e-10	2.57659e-10	4.15385e-10	2.74066e-18	2.49999	3400	2.31887e-11	6.1141e-06	4.07422e-11	2.42448e-16	4.66873e-09	1.19589e-06	1.81539e-06	2.12796e-09	4.31582e-11	1	6.06003e-10	1.88237e-10	4.46619e-12	7.60645e-11	32525.9	2600	6.49068e-12	5.56657e-07	1.32255e-12
7	583.67	816.33	8.04746e-10	2.92971e-08	0.176739	19.8228	3.63714e-07	4.06763e-05	0.389953	9.60876	0.00136088	0.0974926	0.0042779	0.695713	8.91241e-09	4.44617e-07	0.631944	89.3676	1.86543e-06	0.000268131	62.6864	107.312	0.000102604	0.000303152	1.9937e-11	9.92453e-11	3.64455	296.355	7.20465e-20	3.92151e-18	2.94435e-18	3.55639e-16	24.8533	35.1467	0.00256575	0.000590379	0.00119973	0.00020847	0	0.000185827	0.000249848	3.01273e-10	7.90871e-12	4.88393e-09	4.27488e-12	0.000446878	8.77007e-06	3.79101e-09	9.22538e-10	1.68357e-11	3.5024e-09	5.56378e-10	30	9.17278e-10	8.7181e-10	1.66301e-09	1.95059e-17	2.49999	3400	7.86587e-11	9.68836e-06	8.47699e-11	1.77333e-15	7.37896e-09	1.89518e-06	2.41686e-06	6.45952e-09	1.29763e-10	1	1.97008e-09	6.24115e-10	1.59856e-11	2.79427e-10	32525.9	2600	2.20171e-11	8.82154e-07	5.33342e-12
8	583.67	816.33	2.04057e-09	7.36651e-08	0.176738	19.8226	5.62747e-07	6.27089e-05	0.389947	9.60861	0.00135984	0.097419	0.00427788	0.69571	1.35092e-08	6.71371e-07	0.631943	89.3675	2.3844e-06	0.000341948	62.6863	107.312	0.000131239	0.000386235	5.82579e-11	2.87223e-10	3.64455	296.355	4.47416e-19	2.39734e-17	1.86708e-17	2.22351e-15	24.8533	35.1467	0.00233803	0.000642612	0.00131115	0.000228491	0	0.000202361	0.000277361	4.19867e-10	1.73196e-11	1.05261e-08	9.41902e-12	0.000589713	1.13722e-05	9.16436e-09	2.27016e-09	4.10689e-11	7.55669e-09	1.20224e-09	30	2.24312e-09	2.44744e-09	5.37109e-09	1.02181e-16	2.49999	3400	2.21641e-10	1.43525e-05	1.58411e-10	9.49268e-15	1.09124e-08	2.80781e-06	3.08109e-06	1.6512e-08	3.29321e-10	1	5.32867e-09	1.71307e-09	4.7198e-11	8.36795e-10	32525.9	2600	6.2039e-11	1.30696e-06	1.74279e-11
9	583.67	816.33	4.55846e-09	1.63499e-07	0.176736	19.8224	8.20304e-07	9.11588e-05	0.389941	9.60846	0.00135909	0.0973666	0.00427787	0.695707	1.93699e-08	9.5983e-07	0.631943	89.3674	2.94916e-06	0.000422201	62.6862	107.312	0.000162341	0.000476328	1.47138e-10	7.20071e-10	3.64455	296.355	2.16465e-18	1.14582e-16	9.18835e-17	1.08231e-14	24.8533	35.1467	0.00213212	0.000689969	0.00141162	0.000246639	0	0.00021735	0.000302295	5.57873e-10	3.41759e-11	2.03843e-08	1.86734e-11	0.00074743	1.42165e-05	1.96256e-08	4.92875e-09	8.85624e-11	1.4646e-08	2.33279e-09	30	4.84635e-09	5.97617e-09	1.4773e-08	4.25839e-16	2.49998	3400	5.43448e-10	2.02105e-05	2.7293e-10	4.02559e-14	1.53492e-08	3.95418e-06	3.80154e-06	3.71187e-08	7.36167e-10	1	1.25578e-08	4.08309e-09	1.20613e-10	2.15239e-09	32525.9	2600	1.52115e-10	1.84057e-06	4.86516e-11
10	583.671	816.329	9.2307e-09	3.29387e-07	0.176734	19.8222	1.14202e-06	0.000126638	0.389935	9.60831	0.00135863	0.097335	0.00427785	0.695704	2.66069e-08	1.31543e-06	0.631942	89.3673	3.55543e-06	0.000508291	62.6861	107.312	0.000195653	0.000572695	3.31997e-10	1.61528e-09	3.64455	296.355	8.62562e-18	4.52191e-16	3.71296e-16	4.33578e-14	24.8533	35.1467	0.00194591	0.000732929	0.00150221	0.000263098	0	0.000230948	0.000324902	7.14172e-10	6.21891e-11	3.63379e-08	3.41059e-11	0.000918478	1.72778e-05	3.82688e-08	9.7158e-09	1.73639e-10	2.61254e-08	4.16499e-09	30	9.51634e-09	1.30994e-08	3.58779e-08	1.48684e-15	2.49997	3400	1.19621e-09	2.73554e-05	4.41296e-10	1.42566e-13	2.07621e-08	5.35258e-06	4.57229e-06	7.55416e-08	1.4915e-09	1	2.65972e-08	8.72591e-09	2.75503e-10	4.92368e-09	32525.9	2600	3.34827e-10	2.49148e-06	1.20196e-10
11	583.671	816.329	1.72859e-08	6.14272e-07	0.176733	19.822	1.53304e-06	0.000169703	0.389929	9.60816	0.00135846	0.0973241	0.00427782	0.6957	3.53246e-08	1.74321e-06	0.631941	89.3672	4.19937e-06	0.000599675	62.686	107.311	0.00023094	0.000674674	6.8493e-10	3.3167e-09	3.64455	296.355	2.94768e-17	1.53323e-15	1.28373e-15	1.48855e-13	24.8533	35.1467	0.0017775	0.000771923	0.00158385	0.000278033	0	0.00024329	0.000345408	8.87463e-10	1.0607e-10	6.06507e-08	5.83466e-11	0.00110146	2.05331e-05	6.92678e-08	1.77414e-08	3.15684e-10	4.36281e-08	6.96037e-09	30	1.73224e-08	2.63509e-08	7.89213e-08	4.51229e-15	2.49996	3400	2.41615e-09	3.58703e-05	6.78043e-10	4.37755e-13	2.72168e-08	7.01934e-06	5.38804e-06	1.42042e-07	2.79425e-09	1	5.17442e-08	1.71e-08	5.75408e-10	1.02637e-08	32525.9	2600	6.76296e-10	3.26732e-06	2.69409e-10
