Time	[TF]	[TF_VII]	[VII]	[TF_VIIa]	[VIIa]	[Xa]	[IIa]	[TF_VIIa_X]	[X]	[TF_VIIa_Xa]	[IX]	[TF_VIIa_IX]	[IXa]	[II]	[VIII]	[VIIIa]	[IXa_VIIIa]	[IXa_VIIIa_X]	[VIIIa1_L]	[VIIIa2]	[V]	[Va]	[Xa_Va]	[Xa_Va_II]	[mIIa]	[TFPI]	[Xa_TFPI]	[TF_VIIa_Xa_TFPI]	[ATIII]	[Xa_ATIII]	[mIIa_ATIII]	[IXa_ATIII]	[IIa_ATIII]	[TF_VIIa_ATIII]
0	2.5e-11	0	1e-08	0	1e-10	0	0	0	1.6e-07	0	9e-08	0	0	1.4e-06	7e-10	0	0	0	0	0	2e-08	0	0	0	0	2.5e-09	0	0	3.4e-06	0	0	0	0	0
1	2.41583e-11	7.85198e-13	9.99921e-09	3.03557e-14	9.99451e-11	3.7176e-14	1.20513e-16	1.50615e-14	1.6e-07	4.3328e-15	9e-08	5.12791e-15	4.14299e-15	1.4e-06	7e-10	4.13195e-19	1.35379e-27	1.52885e-27	5.16982e-22	5.16982e-22	2e-08	1.18093e-17	1.68938e-17	-1.68829e-17	3.49558e-18	2.5e-09	2.59747e-17	1.56882e-15	3.4e-06	5.88812e-17	-2.82935e-22	2.15592e-18	7.13358e-19	1.28595e-17
2	2.33476e-11	1.54151e-12	9.99844e-09	5.52775e-14	9.99028e-11	1.61199e-13	1.07681e-15	2.94385e-14	1.6e-07	8.71152e-15	9e-08	1.06169e-14	1.83795e-14	1.4e-06	7e-10	7.38509e-18	1.76707e-25	2.47062e-25	1.7995e-20	1.7995e-20	2e-08	2.11513e-16	-5.53077e-19	5.56812e-19	-8.44632e-20	2.49999e-09	2.33439e-16	6.81893e-15	3.4e-06	5.29224e-16	1.59024e-22	1.95334e-17	1.2765e-17	4.65273e-17
3	2.25666e-11	2.27e-12	9.99768e-09	7.75442e-14	9.98838e-11	3.62742e-13	3.70746e-15	4.22774e-14	1.6e-07	1.26248e-14	8.99999e-08	1.55135e-14	4.19323e-14	1.4e-06	7e-10	3.8545e-17	2.91977e-24	4.48856e-24	1.40136e-19	1.40136e-19	2e-08	1.10522e-15	5.60445e-20	1.45192e-20	8.42204e-19	2.49998e-09	8.08528e-16	1.53829e-14	3.4e-06	1.83317e-15	7.74188e-21	6.85113e-17	6.67043e-17	9.86324e-17
4	2.18142e-11	2.97169e-12	9.99692e-09	9.73655e-14	9.98975e-11	6.32788e-13	8.72953e-15	5.3714e-14	1.59999e-07	1.61113e-14	8.99999e-08	1.98836e-14	7.37743e-14	1.4e-06	7e-10	1.22301e-16	2.07905e-23	3.37112e-23	5.94336e-19	5.94336e-19	2e-08	3.51079e-15	2.76829e-19	2.31963e-19	7.93935e-18	2.49997e-09	1.91531e-15	2.69032e-14	3.4e-06	4.34299e-15	9.60896e-20	1.63756e-16	2.11907e-16	1.67179e-16
5	2.10893e-11	3.64757e-12	9.99614e-09	1.14963e-13	9.9952e-11	9.63123e-13	1.67518e-14	6.38703e-14	1.59999e-07	1.92079e-14	8.99999e-08	2.37649e-14	1.12979e-13	1.4e-06	7e-10	2.96105e-16	9.65289e-23	1.62416e-22	1.81149e-18	1.81149e-18	2e-08	8.50954e-15	1.2979e-18	1.06958e-18	4.72504e-17	2.49996e-09	3.69799e-15	4.10536e-14	3.4e-06	8.38608e-15	7.42713e-19	3.18267e-16	5.13694e-16	2.50348e-16
6	2.0391e-11	4.29858e-12	9.99534e-09	1.30533e-13	1.00055e-10	1.34621e-12	2.82954e-14	7.28616e-14	1.59998e-07	2.19497e-14	8.99998e-08	2.72011e-14	1.58689e-13	1.4e-06	6.99999e-10	6.044e-16	3.25221e-22	5.60176e-22	4.44874e-18	4.44874e-18	2e-08	1.73878e-14	4.34416e-18	3.6135e-18	1.89361e-16	2.49994e-09	6.28466e-15	5.7534e-14	3.4e-06	1.42534e-14	3.53313e-18	5.43697e-16	1.04983e-15	3.46465e-16
7	1.97182e-11	4.92563e-12	9.99451e-09	1.44257e-13	1.00212e-10	1.77522e-12	4.37898e-14	8.07924e-14	1.59998e-07	2.43688e-14	8.99998e-08	3.02341e-14	2.10129e-13	1.4e-06	6.99999e-10	1.09848e-15	8.98395e-22	1.57295e-21	9.45669e-18	9.45669e-18	2e-08	3.16335e-14	1.19104e-17	9.95852e-18	5.99857e-16	2.49991e-09	9.78629e-15	7.60726e-14	3.4e-06	2.21973e-14	1.28322e-17	8.50265e-16	1.9104e-15	4.54013e-16
8	1.90699e-11	5.5296e-12	9.99364e-09	1.56306e-13	1.00429e-10	2.24402e-12	6.35801e-14	8.77588e-14	1.59997e-07	2.64942e-14	8.99997e-08	3.29001e-14	2.66601e-13	1.4e-06	6.99998e-10	1.83531e-15	2.15597e-21	3.82369e-21	1.81241e-17	1.81241e-17	1.99999e-08	5.29032e-14	2.83785e-17	2.37473e-17	1.61893e-15	2.49989e-09	1.4298e-14	9.64239e-14	3.4e-06	3.24341e-14	3.90038e-17	1.24685e-15	3.19586e-15	5.71624e-16
9	1.84453e-11	6.11133e-12	9.99273e-09	1.66835e-13	1.00711e-10	2.74704e-12	8.79433e-14	9.38504e-14	1.59997e-07	2.83532e-14	8.99996e-08	3.52324e-14	3.27468e-13	1.4e-06	6.99997e-10	2.87575e-15	4.64974e-21	8.33284e-21	3.20942e-17	3.20942e-17	1.99999e-08	8.29701e-14	6.06821e-17	5.08076e-17	3.8776e-15	2.49986e-09	1.99017e-14	1.18365e-13	3.4e-06	4.51507e-14	1.04208e-16	1.74125e-15	5.01398e-15	6.98055e-16
