Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
0	0	0.7	0	0	89.6	0	0	30.6	0	10	0	174.3	0	0	26.7	0	1394.4	0	8945.5	0	0	0	70.3	2154.3	0	0	60	50	0	0	0	0	2.5	300	0.1	0	0	375	0	0	0	1	0	0.1	450	0	0	0	0	0	0	0	0	115.475
1	0	0.7	0	0	89.6	0	0	30.6	0	10	0	174.3	0	0	26.7	0	1394.4	0	8945.5	79.3177	0	0	70.3	2154.3	0	0	60	50	0	0	0	0	2.5	300	0.1	0	0	375	0	0	0	1	0	0.1	450	79.3177	0	0	0	0	0	0	0	115.475
2	0	0.7	0	0	89.5392	0	0	30.6	0	9.97262	0	174.226	0	0	26.7	0	1394.07	0	8945.5	81.7128	0	0	70.3	2154.3	0	0	59.9302	50	0	0	0	0	2.5	299.884	0.0940672	0	0	375	0	0	0	1.0003	0.249926	0.105606	450	81.7128	0	0	0	0	0	0	1.47152	115.475
3	0	0.7	0	0	89.2807	0	0	30.6	0	9.86007	0	173.912	0	0	26.7	0	1392.67	0	8945.5	81.7852	0	0	70.3	2154.3	0	0	59.6358	50	0	0	0	0	2.5	299.387	0.0856969	0	0	375	0	0	0	1.00122	0.33692	0.112867	450	81.7852	0	0	0	0	0	0	0.541341	115.475
4	0	0.7	0	0	88.8247	0	0	30.6	0	9.66992	0	173.354	0	0	26.7	0	1390.17	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	59.1218	50	0	0	0	0	2.5	298.506	0.0782355	0	0	375	0	0	0	1.00249	0.364072	0.118575	450	81.7874	0	0	0	0	0	0	0.199148	115.476
5	0	0.7	0	0	88.2078	0	0	30.6	0	9.42455	0	172.596	0	0	26.7	0	1386.75	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	58.4341	50	0	0	0	0	2.5	297.306	0.0721097	0	0	375	0	0	0	1.00388	0.369306	0.122473	450	81.7874	0	0	0	0	0	0	0.0732625	115.476
6	0	0.7	0	0	87.4682	0	0	30.6	0	9.14505	0	171.68	0	0	26.7	0	1382.6	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	57.6197	50	0	0	0	0	2.5	295.856	0.0672402	0	0	375	0	0	0	1.00522	0.366571	0.124792	450	81.7874	0	0	0	0	0	0	0.0269517	115.476
7	0	0.7	0	0	86.6391	0	0	30.6	0	8.84845	0	170.646	0	0	26.7	0	1377.9	0	8945.5	81.7875	0	0	70.3	2154.3	0	0	56.7187	50	0	0	0	0	2.5	294.218	0.0634383	0	0	375	0	0	0	1.00642	0.360997	0.12586	450	81.7875	0	0	0	0	0	0	0.00991498	115.476
8	0	0.7	0	0	85.748	0	0	30.6	0	8.5476	0	169.527	0	0	26.7	0	1372.78	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	55.7637	50	0	0	0	0	2.5	292.442	0.0605098	0	0	375	0	0	0	1.0074	0.354468	0.125978	450	81.7874	0	0	0	0	0	0	0.00364752	115.477
9	0	0.7	0	0	84.8168	0	0	30.6	0	8.25186	0	168.348	0	0	26.7	0	1367.35	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	54.7804	50	0	0	0	0	2.5	290.57	0.058284	0	0	375	0	0	0	1.00815	0.347677	0.125404	450	81.7874	0	0	0	0	0	0	0.00134185	115.477
10	0	0.7	0	0	83.8626	0	0	30.6	0	7.96774	0	167.13	0	0	26.7	0	1361.71	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	53.7885	50	0	0	0	0	2.5	288.633	0.0566188	0	0	375	0	0	0	1.00865	0.340876	0.124343	450	81.7874	0	0	0	0	0	0	0.000493638	115.478
