Time	[NatP]	[MisP]	[Hsp70]	[Hsp90]	[Hsp70_dam]	[Hsp90_dam]	[Hsp90_Proteasome]	[Hsp70_Proteasome]	[Hsp70Client]	[Hsp90Client]	[Hsp70_Hsp70Client]	[Hsp90_Hsp90Client]	[Akt]	[Akt_Hsp90]	[CHIP]	[Akt_CHIP_Hsp90]	[Akt_Proteasome]	[Hsf1]	[Hsf1_Hsp90]	[Hsp90_MisP]	[Hsp70_MisP]	[Hsf1_Hsf1_Hsf1]	[Hsf1_Hsf1_Hsf1_P]	[Hsf1_Hsf1]	[HSEHsp70]	[HSEHsp90]	[HSEHsp70_Hsf1_Hsf1_Hsf1]	[HSEHsp70_Hsf1_Hsf1_Hsf1_P]	[HSEHsp90_Hsf1_Hsf1_Hsf1]	[HSEHsp90_Hsf1_Hsf1_Hsf1_P]	[Jnk]	[Jnk_P]	[Ppx]	[Mkp1]	[Mkp1_P]	[Mkp1_Proteasome]	[Hsp70_Ppx]	[Pkc]	[p38]	[p38_P]	[Proteasome]	[MisP_Proteasome]	[AggP]	[SeqAggP]	[AggP_Proteasome]	[ROS]	[ATP]	[ADP]	[Source]	[Sink]	[p38Death]	[JNKDeath]	[PIDeath]	[CellDeath]
0	17600	0	1400	1850	0	0	0	0	490	590	10	10	340	30	255	80	0	5	95	470	410	0	0	0	2	2	0	0	0	0	100	0	0	0	100	0	100	100	100	0	500	0	0	0	0	10	10000	1000	1	1	0	0	0	0
1	17600	0.417023	1385.79	1813.76	0.000138863	0.000181941	0.00906605	0.00830343	473.817	559.546	26.1827	40.4543	337.628	32.3714	255.001	79.9992	0.00239185	1.3596	98.6404	469.77	409.799	9.62363e-08	1.08079e-07	2.34054e-05	2	2	5.5041e-09	8.82256e-09	5.5041e-09	8.82256e-09	96.1737	3.82631	1.77206	0.0360686	99.9639	1.66046e-07	98.2279	100	96.1737	3.82631	499.936	0.0438401	-7.54724e-10	-8.5192e-19	-1.38209e-12	10.0003	10000	1000	1	1	4.66717e-07	4.66717e-07	-7.28562e-21	9.33433e-07
2	17600	0.823491	1385.91	1813.86	0.000277451	0.000363326	0.0180428	0.016534	473.739	559.414	26.2613	40.5864	337.63	32.3697	255.002	79.9985	0.00476749	1.35954	98.6404	469.545	409.602	1.5954e-07	2.50416e-07	2.93501e-05	2	2	1.75047e-08	4.28128e-08	1.75047e-08	4.28128e-08	96.1524	3.8476	1.77191	0.0360674	99.964	3.37464e-07	98.2281	100	96.1524	3.8476	499.873	0.087362	-1.85819e-09	-9.61273e-18	-8.11928e-12	10.0007	10000	1000	1	1	1.04325e-06	1.04325e-06	-9.28796e-20	2.08651e-06
3	17600	1.21966	1386.1	1814.07	0.000416062	0.000544736	0.0269597	0.0247099	473.735	559.409	26.265	40.5913	337.626	32.3731	255.002	79.9977	0.00712702	1.35939	98.6405	469.327	409.41	2.11303e-07	3.81786e-07	3.29218e-05	2	2	3.41027e-08	1.00723e-07	3.41027e-08	1.00723e-07	96.1521	3.84786	1.77167	0.0360639	99.964	5.07707e-07	98.2283	100	96.1521	3.84786	499.811	0.130569	-1.67248e-09	-2.93842e-17	-1.78037e-11	10.0011	10000	1000	1	1	1.62042e-06	1.62042e-06	-3.53445e-19	3.24084e-06
4	17600	1.6058	1386.28	1814.27	0.000554695	0.000726173	0.0358172	0.0328315	473.732	559.404	26.2683	40.5956	337.623	32.3764	255.003	79.997	0.00947054	1.35924	98.6407	469.115	409.222	2.52493e-07	4.94231e-07	3.50686e-05	2	2	5.3871e-08	1.77627e-07	5.3871e-08	1.77627e-07	96.152	3.848	1.77144	0.0360605	99.964	6.7678e-07	98.2286	100	96.152	3.848	499.748	0.173462	1.30936e-09	-3.51331e-17	-2.01733e-11	10.0015	10000	1000	1	1	2.19761e-06	2.19761e-06	-7.57822e-19	4.39522e-06
5	17600.1	1.98215	1386.46	1814.47	0.000693351	0.000907636	0.0446158	0.0408992	473.728	559.4	26.2715	40.5998	337.62	32.3796	255.004	79.9962	0.0117982	1.35909	98.6408	468.908	409.039	2.85095e-07	5.88026e-07	3.63594e-05	2	2	7.56426e-08	2.68378e-07	7.56426e-08	2.68378e-07	96.1519	3.84814	1.77122	0.0360573	99.964	8.44693e-07	98.2288	100	96.1519	3.84814	499.687	0.216046	8.47107e-09	4.77092e-17	2.25044e-12	10.0018	10000	1000	1	1	2.77482e-06	2.77482e-06	-9.96525e-19	5.54964e-06
6	17600.1	2.34897	1386.63	1814.66	0.00083203	0.00108912	0.0533558	0.0489133	473.725	559.396	26.2747	40.6038	337.616	32.3828	255.005	79.9955	0.01411	1.35895	98.641	468.706	408.86	3.11186e-07	6.66232e-07	3.71353e-05	2	2	9.85407e-08	3.68605e-07	9.85407e-08	3.68605e-07	96.1517	3.84828	1.771	0.0360541	99.964	1.01145e-06	98.229	100	96.1517	3.84828	499.625	0.258322	2.10806e-08	3.60991e-16	7.35604e-11	10.0022	10000	1000	1	1	3.35205e-06	3.35205e-06	-3.43248e-19	6.7041e-06
7	17600.1	2.70649	1386.8	1814.85	0.00097073	0.00127064	0.0620376	0.0568743	473.722	559.392	26.2778	40.6078	337.613	32.3858	255.005	79.9947	0.0164062	1.35881	98.6411	468.51	408.685	3.32537e-07	7.32389e-07	3.76011e-05	2	2	1.21942e-07	4.7493e-07	1.21942e-07	4.7493e-07	96.1516	3.84842	1.77078	0.036051	99.964	1.17707e-06	98.2292	100	96.1516	3.84842	499.564	0.300294	4.0297e-08	1.12823e-15	2.23901e-10	10.0026	10000	1000	1	1	3.9293e-06	3.9293e-06	2.47152e-18	7.85861e-06
8	17600.1	3.05494	1386.97	1815.03	0.00110945	0.00145218	0.0706615	0.0647823	473.719	559.388	26.2808	40.6116	337.61	32.3888	255.006	79.994	0.0186868	1.35867	98.6412	468.32	408.514	3.50518e-07	7.8962e-07	3.78801e-05	2	2	1.45423e-07	5.84882e-07	1.45423e-07	5.84882e-07	96.1514	3.84856	1.77057	0.036048	99.964	1.34155e-06	98.2294	100	96.1514	3.84856	499.504	0.341962	6.71774e-08	2.66613e-15	4.88938e-10	10.003	10000	1000	1	1	4.50658e-06	4.50658e-06	9.37629e-18	9.01315e-06
9	17600.1	3.39456	1387.14	1815.21	0.00124819	0.00163374	0.0792279	0.0726378	473.716	559.385	26.2838	40.6154	337.607	32.3917	255.007	79.9933	0.020952	1.35854	98.6414	468.134	408.347	3.66134e-07	8.40394e-07	3.80464e-05	2	2	1.68705e-07	6.96718e-07	1.68705e-07	6.96718e-07	96.1513	3.84871	1.77037	0.0360452	99.964	1.5049e-06	98.2296	100	96.1513	3.84871	499.444	0.383331	1.02683e-07	5.39348e-15	9.09361e-10	10.0034	10000	1000	1	1	5.08387e-06	5.08387e-06	2.30639e-17	1.01677e-05
