Time	[R]	[ins]	[IR]	[I2R]	[Rp]	[IRp]	[I2Rp]	[Ren]	[IRen]	[I2Ren]	[RPen]	[IRPen]	[I2RPen]
0	35.3837	100	0	0	0	0	0	4.6163	0	0	0	0	-4.44089e-15
1	32.0175	100	3.16622	0.160848	4.89321e-06	0.0366676	0.00249623	4.61596	0.000325896	1.09087e-05	5.29642e-09	9.4476e-06	4.12371e-07
2	28.9732	100	5.67472	0.585464	3.51972e-05	0.131877	0.0183154	4.61498	0.00120221	8.07797e-05	7.93103e-08	7.00003e-05	6.15043e-06
3	26.2201	100	7.63946	1.19975	0.00010695	0.26739	0.0567526	4.61342	0.00249789	0.000252562	3.76231e-07	0.000219158	2.90484e-05
4	23.7301	100	9.15579	1.94427	0.00022855	0.429351	0.123637	4.61135	0.00410607	0.000555044	1.11558e-06	0.00048267	8.57198e-05
5	21.4781	100	10.3034	2.77173	0.000402998	0.607364	0.222168	4.60881	0.00594002	0.00100589	2.55833e-06	0.000877304	0.000195557
6	19.4411	100	11.149	3.6448	0.000629592	0.793747	0.353574	4.60585	0.00792969	0.00161413	4.98905e-06	0.00141304	0.000379224
7	17.5986	100	11.7479	4.53431	0.000905211	0.982934	0.517642	4.60251	0.0100189	0.00238216	8.70277e-06	0.0020948	0.000657542
8	15.932	100	12.1466	5.41783	0.00122526	1.17099	0.713128	4.59883	0.0121628	0.0033074	1.39955e-05	0.00292379	0.00105068
9	14.4243	100	12.3834	6.27836	0.00158434	1.35525	0.938076	4.59484	0.0143261	0.00438361	2.11575e-05	0.00389859	0.0015776
10	13.0605	100	12.4902	7.10334	0.0019768	1.53396	1.19008	4.59057	0.0164811	0.00560196	3.04688e-05	0.00501594	0.00225566
11	11.8267	100	12.4935	7.8838	0.00239701	1.70613	1.46644	4.58606	0.0186067	0.00695182	4.21966e-05	0.00627137	0.00310041
12	10.7106	100	12.4151	8.61362	0.00283963	1.87126	1.76437	4.58132	0.0206867	0.00842152	5.65932e-05	0.00765967	0.00412548
13	9.70077	100	12.273	9.28897	0.00329972	2.02922	2.08103	4.57639	0.0227095	0.00999878	7.38956e-05	0.00917525	0.00534251
14	8.78719	100	12.0821	9.90785	0.00377286	2.18017	2.41366	4.57127	0.0246665	0.0116712	9.43252e-05	0.0108124	0.00676119
15	7.96062	100	11.8544	10.4696	0.00425516	2.32443	2.75961	4.56599	0.0265523	0.0134264	0.000118089	0.0125655	0.00838936
16	7.21276	100	11.5999	10.9748	0.00474325	2.46242	3.11639	4.56056	0.0283634	0.0152526	0.000145377	0.014429	0.0102331
17	6.5361	100	11.3265	11.4247	0.00523428	2.59465	3.48166	4.55501	0.0300981	0.0171383	0.00017637	0.0163977	0.0122967
18	5.92384	100	11.0408	11.8213	0.00572588	2.72162	3.85329	4.54933	0.0317564	0.0190729	0.000211232	0.0184668	0.0145831
19	5.36984	100	10.748	12.1668	0.00621609	2.84386	4.22934	4.54356	0.033339	0.0210462	0.000250117	0.0206317	0.0170939
20	4.86854	100	10.4522	12.4641	0.00670335	2.96186	4.60805	4.53769	0.0348476	0.0230491	0.000293169	0.0228883	0.0198292
21	4.41492	100	10.1567	12.7158	0.00718645	3.07608	4.98786	4.53173	0.0362846	0.0250731	0.000340522	0.0252326	0.0227881
22	4.00443	100	9.8641	12.925	0.00766446	3.18695	5.36738	4.5257	0.0376527	0.0271106	0.000392299	0.0276612	0.0259689
23	3.63296	100	9.57633	13.0946	0.00813669	3.29486	5.74538	4.51961	0.038955	0.0291547	0.000448618	0.0301708	0.0293688
24	3.29679	100	9.29487	13.2277	0.00860265	3.40014	6.1208	4.51346	0.0401948	0.0311992	0.000509589	0.0327586	0.0329843
25	2.99256	100	9.02083	13.3271	0.00906205	3.50309	6.49272	4.50726	0.0413756	0.0332387	0.000575314	0.0354219	0.0368113
26	2.71722	100	8.75498	13.3956	0.00951469	3.60396	6.86033	4.50101	0.0425009	0.0352685	0.000645892	0.0381584	0.0408453
27	2.46803	100	8.49783	13.4359	0.00996052	3.70297	7.22298	4.49472	0.0435742	0.0372845	0.000721413	0.0409657	0.045081
28	2.24249	100	8.24968	13.4506	0.0103995	3.8003	7.58009	4.48839	0.0445989	0.0392831	0.000801965	0.043842	0.0495131
29	2.03836	100	8.01069	13.4421	0.0108318	3.8961	7.93121	4.48204	0.0455786	0.0412614	0.000887632	0.0467853	0.0541358
30	1.8536	100	7.78086	13.4128	0.0112575	3.99047	8.27594	4.47566	0.0465164	0.043217	0.000978491	0.049794	0.0589431
31	1.68635	100	7.56013	13.3647	0.0116767	4.08352	8.61398	4.46925	0.0474156	0.0451477	0.00107462	0.0528665	0.0639289
32	1.53496	100	7.34831	13.2998	0.0120896	4.17532	8.9451	4.46283	0.0482793	0.047052	0.00117608	0.0560014	0.0690868
33	1.39792	100	7.1452	13.22	0.0124963	4.26591	9.26912	4.45639	0.0491105	0.0489288	0.00128295	0.0591971	0.0744106
34	1.27386	100	6.95053	13.1271	0.0128971	4.35533	9.58591	4.44993	0.0499119	0.050777	0.0013953	0.0624526	0.0798938
35	1.16155	100	6.76401	13.0226	0.013292	4.4436	9.89541	4.44347	0.0506863	0.0525963	0.00151318	0.0657665	0.08553
36	1.05987	100	6.58534	12.9079	0.0136813	4.53074	10.1976	4.43699	0.0514361	0.0543861	0.00163665	0.0691376	0.0913129
37	0.967812	100	6.41419	12.7844	0.014065	4.61674	10.4924	4.43051	0.0521639	0.0561466	0.00176577	0.0725648	0.0972362
38	0.884457	100	6.25023	12.6534	0.0144433	4.70161	10.7798	4.42402	0.0528719	0.0578778	0.0019006	0.0760471	0.103294
39	0.80898	100	6.09314	12.5159	0.0148164	4.78532	11.06	4.41753	0.0535623	0.05958	0.00204119	0.0795834	0.109479
40	0.740633	100	5.9426	12.373	0.0151842	4.86787	11.333	4.41104	0.054237	0.0612539	0.00218758	0.0831726	0.115786
41	0.678738	100	5.79829	12.2256	0.0155469	4.94923	11.5989	4.40454	0.054898	0.0628999	0.00233983	0.0868138	0.12221
42	0.622683	100	5.6599	12.0745	0.0159046	5.0294	11.8578	4.39805	0.0555472	0.0645188	0.00249797	0.0905059	0.128744
43	0.571912	100	5.52715	11.9205	0.0162573	5.10835	12.1097	4.39156	0.0561861	0.0661114	0.00266205	0.0942481	0.135382
44	0.525924	100	5.39975	11.7642	0.0166049	5.18607	12.3549	4.38507	0.0568164	0.0676788	0.00283212	0.0980393	0.142119
45	0.484265	100	5.27742	11.6064	0.0169477	5.26253	12.5934	4.37858	0.0574396	0.0692218	0.0030082	0.101879	0.148951
46	0.446524	100	5.15992	11.4475	0.0172855	5.33771	12.8253	4.3721	0.0580571	0.0707415	0.00319034	0.105765	0.155871
47	0.412329	100	5.04699	11.288	0.0176184	5.41161	13.0509	4.36563	0.0586702	0.072239	0.00337857	0.109698	0.162874
48	0.381345	100	4.9384	11.1285	0.0179464	5.4842	13.2703	4.35916	0.0592801	0.0737153	0.00357292	0.113676	0.169957
49	0.353266	100	4.83393	10.9692	0.0182695	5.55548	13.4836	4.35269	0.0598881	0.0751716	0.00377343	0.117698	0.177113
50	0.327816	100	4.73338	10.8105	0.0185877	5.62544	13.6909	4.34624	0.0604951	0.0766091	0.00398011	0.121764	0.184339
51	0.304748	100	4.63655	10.6527	0.018901	5.69406	13.8924	4.33979	0.0611021	0.0780288	0.004193	0.125873	0.191629
52	0.283834	100	4.54325	10.4962	0.0192093	5.76134	14.0882	4.33335	0.0617103	0.079432	0.00441212	0.130024	0.198981
53	0.264871	100	4.45332	10.3411	0.0195127	5.82728	14.2786	4.32692	0.0623203	0.0808196	0.00463749	0.134215	0.206389
54	0.247674	100	4.36658	10.1877	0.0198111	5.89187	14.4636	4.3205	0.0629331	0.0821929	0.00486913	0.138447	0.213851
55	0.232077	100	4.28289	10.0361	0.0201045	5.95513	14.6433	4.31408	0.0635494	0.0835528	0.00510707	0.142718	0.221361
56	0.217926	100	4.20211	9.88651	0.020393	6.01704	14.818	4.30768	0.06417	0.0849006	0.00535132	0.147028	0.228916
57	0.205087	100	4.12409	9.73904	0.0206765	6.07761	14.9877	4.30129	0.0647956	0.0862372	0.00560188	0.151375	0.236514
58	0.193434	100	4.0487	9.59381	0.020955	6.13686	15.1526	4.29491	0.0654267	0.0875636	0.00585879	0.155759	0.244149
59	0.182856	100	3.97584	9.45091	0.0212285	6.19478	15.3128	4.28853	0.0660641	0.0888809	0.00612205	0.160179	0.25182
60	0.17325	100	3.90539	9.31042	0.0214971	6.25139	15.4684	4.28217	0.0667081	0.0901899	0.00639166	0.164634	0.259523
61	0.164526	100	3.83724	9.17241	0.0217607	6.30669	15.6197	4.27582	0.0673594	0.0914916	0.00666765	0.169124	0.267256
62	0.1566	100	3.77128	9.03693	0.0220193	6.36071	15.7666	4.26948	0.0680185	0.0927869	0.00695001	0.173648	0.275014
63	0.149396	100	3.70744	8.90401	0.0222729	6.41345	15.9093	4.26316	0.0686857	0.0940767	0.00723875	0.178205	0.282796
64	0.142848	100	3.64562	8.77368	0.0225216	6.46494	16.0479	4.25684	0.0693615	0.0953616	0.00753387	0.182794	0.290599
65	0.136892	100	3.58573	8.64596	0.0227655	6.51517	16.1826	4.25054	0.0700464	0.0966426	0.00783539	0.187415	0.29842
66	0.131473	100	3.5277	8.52085	0.0230044	6.56418	16.3134	4.24425	0.0707405	0.0979204	0.0081433	0.192067	0.306256
67	0.126541	100	3.47146	8.39837	0.0232385	6.61198	16.4405	4.23797	0.0714444	0.0991956	0.0084576	0.196749	0.314107
68	0.122049	100	3.41693	8.2785	0.0234677	6.65859	16.5639	4.2317	0.0721583	0.100469	0.00877828	0.20146	0.321969
69	0.117957	100	3.36405	8.16124	0.0236922	6.70402	16.6838	4.22545	0.0728825	0.101741	0.00910536	0.206201	0.32984
70	0.114228	100	3.31276	8.04656	0.0239119	6.74829	16.8003	4.21921	0.0736172	0.103013	0.00943882	0.21097	0.337718
71	0.110826	100	3.26299	7.93445	0.024127	6.79144	16.9134	4.21298	0.0743627	0.104284	0.00977866	0.215767	0.345602
72	0.107722	100	3.21469	7.82488	0.0243374	6.83346	17.0233	4.20676	0.0751193	0.105556	0.0101249	0.220591	0.353489
