Time	[x]	[y]
0	-1	0.5
1	-1.39901	0.993888
2	-0.904674	1.30937
3	1.49248	1.21745
4	1.84921	0.584241
5	1.63121	0.144826
6	1.42369	-0.129612
7	1.22253	-0.280202
8	1.01888	-0.336639
9	0.782793	-0.316701
10	0.301051	-0.207673
11	-1.71825	0.258471
12	-1.50784	0.887138
13	-1.05876	1.26214
14	0.508089	1.31933
15	1.8999	0.712803
16	1.67987	0.228702
17	1.47022	-0.0792602
18	1.26814	-0.25507
19	1.06637	-0.33091
20	0.843406	-0.327667
21	0.474888	-0.2447
22	-1.41458	0.0942923
23	-1.58873	0.766653
24	-1.1831	1.19852
25	-0.208919	1.35628
26	1.94682	0.853297
27	1.72913	0.321668
28	1.51716	-0.0220945
29	1.3138	-0.22479
30	1.11299	-0.321139
31	0.898725	-0.334793
32	0.593944	-0.272793
33	-0.736597	-0.0403433
34	-1.66389	0.632489
35	-1.29032	1.1219
36	-0.59626	1.35363
37	1.96187	1.00544
38	1.779	0.424343
39	1.56456	0.0423495
40	1.35963	-0.18903
41	1.15905	-0.307128
42	0.950568	-0.338177
43	0.683866	-0.294563
44	-0.142352	-0.13061
45	-1.72702	0.484429
46	-1.38647	1.03254
47	-0.834294	1.32708
48	1.75501	1.16213
49	1.82947	0.537371
50	1.61245	0.114556
51	1.4057	-0.147435
52	1.2048	-0.288647
53	1.00009	-0.337811
54	0.757229	-0.311357
55	0.208497	-0.189882
56	-1.74578	0.32345
57	-1.47503	0.930353
58	-1.00366	1.28319
59	0.901711	1.28849
60	1.88029	0.661462
61	1.6609	0.195066
62	1.45209	-0.0996099
63	1.25042	-0.265429
64	1.04804	-0.333607
65	0.820612	-0.323873
66	0.415964	-0.231583
67	-1.58439	0.156438
68	-1.55789	0.815074
69	-1.13728	1.22482
70	0.0176809	1.34796
71	1.9297	0.79726
72	1.70992	0.284423
73	1.49887	-0.0451472
74	1.29604	-0.237189
75	1.09496	-0.325428
76	0.877728	-0.332472
77	0.552153	-0.262735
78	-1.01919	0.00662589
79	-1.63554	0.686267
80	-1.25023	1.15319
81	-0.470754	1.35808
82	1.96489	0.945085
83	1.75955	0.383254
84	1.54609	0.016415
85	1.3418	-0.203598
86	1.14121	-0.31309
87	0.930753	-0.337305
88	0.651402	-0.28675
89	-0.341264	-0.100182
90	-1.70491	0.543602
91	-1.35016	1.06877
92	-0.752823	1.3397
93	1.89129	1.102
94	1.80979	0.492176
95	1.59378	0.0855422
96	1.38776	-0.164316
97	1.18705	-0.296376
98	0.981072	-0.338403
99	0.730186	-0.305369
100	0.0949177	-0.169511
