Time	[G3P]	[PYR]	[ATP]	[NADHm]	[NADHc]	[Vm]	[Cam]
0	30	10	3700	50	10	100	0.2
1	29.8972	10.1024	3699.94	52.0849	10.0715	100.819	0.200006
2	29.7948	10.2048	3699.89	54.0196	10.1431	101.59	0.200012
3	29.6928	10.3069	3699.84	55.8191	10.2147	102.303	0.200018
4	29.5912	10.4089	3699.8	57.4962	10.2862	102.956	0.200024
5	29.4899	10.5107	3699.76	59.0623	10.3577	103.55	0.200031
6	29.3889	10.6122	3699.73	60.5273	10.4291	104.089	0.200037
7	29.2883	10.7135	3699.71	61.8999	10.5003	104.577	0.200043
8	29.1881	10.8144	3699.68	63.188	10.5714	105.02	0.200049
9	29.0883	10.9152	3699.66	64.3985	10.6423	105.423	0.200056
10	28.9888	11.0156	3699.65	65.5377	10.713	105.791	0.200062
11	28.8897	11.1157	3699.64	66.6112	10.7835	106.127	0.200068
12	28.7909	11.2154	3699.63	67.6241	10.8538	106.436	0.200074
13	28.6925	11.3149	3699.62	68.5812	10.9238	106.72	0.200081
14	28.5944	11.414	3699.62	69.4865	10.9936	106.983	0.200087
15	28.4967	11.5128	3699.62	70.3439	11.0632	107.227	0.200094
16	28.3994	11.6112	3699.62	71.157	11.1324	107.454	0.2001
17	28.3023	11.7093	3699.63	71.9289	11.2014	107.666	0.200106
18	28.2057	11.807	3699.63	72.6626	11.2701	107.865	0.200113
19	28.1094	11.9044	3699.64	73.3608	11.3385	108.051	0.200119
20	28.0135	12.0014	3699.65	74.0259	11.4066	108.226	0.200126
21	27.9179	12.098	3699.67	74.6603	11.4744	108.39	0.200132
22	27.8226	12.1943	3699.68	75.2659	11.5419	108.546	0.200138
23	27.7277	12.2901	3699.7	75.8448	11.6091	108.693	0.200145
24	27.6331	12.3857	3699.71	76.3988	11.6759	108.833	0.200151
25	27.5389	12.4808	3699.73	76.9295	11.7424	108.965	0.200158
26	27.445	12.5756	3699.75	77.4384	11.8086	109.091	0.200164
27	27.3515	12.6699	3699.77	77.9269	11.8745	109.211	0.200171
28	27.2583	12.764	3699.8	78.3964	11.94	109.326	0.200177
29	27.1655	12.8576	3699.82	78.848	12.0052	109.435	0.200184
30	27.073	12.9508	3699.84	79.2829	12.07	109.539	0.20019
31	26.9808	13.0437	3699.87	79.7021	12.1345	109.64	0.200197
32	26.889	13.1362	3699.9	80.1066	12.1987	109.736	0.200203
33	26.7975	13.2283	3699.93	80.4973	12.2625	109.828	0.20021
34	26.7063	13.32	3699.95	80.875	12.3259	109.917	0.200216
35	26.6155	13.4114	3699.98	81.2404	12.3891	110.003	0.200223
36	26.525	13.5024	3700.02	81.5944	12.4519	110.085	0.200229
37	26.4349	13.5929	3700.05	81.9375	12.5143	110.165	0.200236
38	26.3451	13.6831	3700.08	82.2704	12.5764	110.242	0.200242
39	26.2556	13.773	3700.11	82.5936	12.6381	110.316	0.200249
40	26.1664	13.8624	3700.15	82.9078	12.6995	110.388	0.200255
41	26.0776	13.9515	3700.18	83.2134	12.7605	110.458	0.200262
42	25.9891	14.0402	3700.22	83.5109	12.8212	110.526	0.200268
43	25.9009	14.1285	3700.26	83.8007	12.8815	110.592	0.200275
44	25.813	14.2164	3700.29	84.0832	12.9415	110.656	0.200282
45	25.7255	14.304	3700.33	84.3589	13.0011	110.719	0.200288
46	25.6383	14.3912	3700.37	84.628	13.0604	110.779	0.200295
47	25.5514	14.478	3700.41	84.8909	13.1193	110.839	0.200301
48	25.4649	14.5644	3700.45	85.1479	13.1779	110.896	0.200308
49	25.3787	14.6505	3700.49	85.3994	13.2362	110.953	0.200314
50	25.2928	14.7362	3700.53	85.6455	13.2941	111.008	0.200321
