Time	[Aux/IAA]	[ARF]	[Aux/IAA:Aux/IAA]	[Aux/IAA:ARF]	[mRNA]	[auxin]
0	10	10	10	10	1	0
1	10.1864	10.404	10.3242	10.5346	1.92971	0
2	10.5247	10.693	10.9892	11.1814	2.89833	0
3	11.0196	10.8893	12.018	11.9181	3.88936	0
4	11.6583	11.0013	13.4271	12.7363	4.8869	0
5	12.4237	11.0421	15.23	13.6228	5.87705	0
6	13.2973	11.027	17.4358	14.5625	6.84881	0
7	14.2604	10.9707	20.0484	15.5407	7.79427	0
8	15.2958	10.8859	23.0672	16.5446	8.70831	0
9	16.3881	10.7831	26.4872	17.5637	9.58814	0
10	17.5243	10.6701	30.3003	18.5903	10.4326	0
11	18.6935	10.5529	34.496	19.6184	11.242	0
12	19.8868	10.4353	39.0622	20.644	12.017	0
13	21.0971	10.3202	43.9859	21.6645	12.759	0
14	22.3186	10.2094	49.2538	22.6781	13.4698	0
15	23.5467	10.1037	54.8525	23.6837	14.151	0
16	24.7778	10.0039	60.7686	24.6808	14.8043	0
17	26.009	9.91016	66.9896	25.6692	15.4316	0
18	27.2379	9.82245	73.5029	26.6488	16.0345	0
19	28.4629	9.74068	80.2967	27.6198	16.6144	0
20	29.6825	9.66459	87.3597	28.5825	17.1728	0
21	30.8957	9.59392	94.6811	29.5371	17.7111	0
22	32.1015	9.52836	102.251	30.484	18.2305	0
23	33.2993	9.4676	110.059	31.4234	18.7321	0
24	34.4886	9.41132	118.096	32.3557	19.217	0
25	35.669	9.35921	126.353	33.2812	19.686	0
26	36.8403	9.311	134.823	34.2001	20.1402	0
27	38.0023	9.2664	143.497	35.1129	20.5802	0
28	39.1548	9.22516	152.367	36.0197	21.0069	0
29	40.2978	9.18704	161.427	36.9208	21.4209	0
30	41.4312	9.15181	170.67	37.8164	21.8228	0
31	42.5551	9.11927	180.089	38.7068	22.2133	0
32	43.6694	9.08924	189.678	39.592	22.5929	0
33	44.7743	9.06153	199.431	40.4724	22.962	0
34	45.8698	9.03598	209.342	41.3481	23.3212	0
35	46.9559	9.01245	219.406	42.2192	23.6709	0
36	48.0328	8.99079	229.618	43.0859	24.0114	0
37	49.1006	8.97088	239.972	43.9483	24.3433	0
38	50.1593	8.95261	250.464	44.8066	24.6667	0
39	51.2091	8.93586	261.09	45.6608	24.9821	0
40	52.2501	8.92053	271.844	46.5111	25.2898	0
41	53.2824	8.90654	282.723	47.3575	25.59	0
42	54.3061	8.8938	293.722	48.2002	25.883	0
43	55.3214	8.88222	304.837	49.0393	26.1691	0
44	56.3284	8.87174	316.065	49.8747	26.4485	0
45	57.3271	8.8623	327.402	50.7067	26.7215	0
46	58.3177	8.85382	338.844	51.5353	26.9883	0
47	59.3003	8.84624	350.388	52.3604	27.249	0
48	60.275	8.83953	362.03	53.1823	27.504	0
49	61.242	8.83361	373.768	54.0009	27.7532	0
50	62.2014	8.82846	385.598	54.8164	27.997	0
51	63.1532	8.82401	397.517	55.6287	28.2355	0
52	64.0975	8.82024	409.522	56.4379	28.4689	0
53	65.0345	8.81711	421.61	57.244	28.6972	0
54	65.9643	8.81457	433.778	58.0472	28.9207	0
55	66.887	8.8126	446.025	58.8474	29.1395	0
56	67.8026	8.81117	458.347	59.6446	29.3537	0
57	68.7114	8.81025	470.741	60.439	29.5635	0
58	69.6132	8.8098	483.205	61.2305	29.7689	0
59	70.5083	8.80981	495.737	62.0192	29.9702	0
60	71.3968	8.81025	508.335	62.8051	30.1673	0
61	72.2787	8.8111	520.996	63.5882	30.3604	0
62	73.1541	8.81233	533.717	64.3686	30.5496	0
63	74.0232	8.81393	546.498	65.1463	30.735	0
64	74.8859	8.81588	559.335	65.9213	30.9166	0
65	75.7424	8.81815	572.227	66.6937	31.0947	0
66	76.5927	8.82074	585.171	67.4634	31.2693	0
67	77.4369	8.82363	598.167	68.2305	31.4404	0
68	78.2752	8.82681	611.211	68.995	31.6081	0
69	79.1075	8.83025	624.301	69.7569	31.7726	0
70	79.934	8.83395	637.437	70.5163	31.9338	0
71	80.7547	8.8379	650.617	71.2732	32.0919	0
72	81.5697	8.84207	663.838	72.0275	32.247	0
73	82.379	8.84646	677.099	72.7794	32.3991	0
74	83.1828	8.85107	690.398	73.5288	32.5482	0
75	83.981	8.85588	703.734	74.2757	32.6944	0
76	84.7738	8.86088	717.106	75.0202	32.8379	0
77	85.5612	8.86606	730.511	75.7622	32.9786	0
78	86.3433	8.87141	743.948	76.5019	33.1166	0
79	87.1201	8.87693	757.416	77.2391	33.252	0
80	87.8917	8.88261	770.913	77.974	33.3848	0
81	88.6582	8.88844	784.438	78.7065	33.5151	0
82	89.4195	8.89441	797.99	79.4366	33.643	0
83	90.1759	8.90051	811.566	80.1644	33.7684	0
84	90.9272	8.90675	825.167	80.8899	33.8914	0
85	91.6736	8.91311	838.791	81.6131	34.0121	0
86	92.4152	8.91959	852.435	82.3339	34.1305	0
87	93.1519	8.92619	866.1	83.0525	34.2467	0
88	93.8838	8.93289	879.784	83.7687	34.3607	0
89	94.6111	8.93969	893.486	84.4827	34.4726	0
90	95.3336	8.9466	907.205	85.1945	34.5824	0
91	96.0515	8.95359	920.939	85.904	34.6901	0
92	96.7648	8.96068	934.687	86.6113	34.7957	0
93	97.4736	8.96785	948.449	87.3163	34.8994	0
94	98.1779	8.97511	962.223	88.0191	35.0011	0
95	98.8777	8.98244	976.009	88.7198	35.1009	0
96	99.5732	8.98984	989.805	89.4182	35.1989	0
97	100.264	8.99732	1003.61	90.1144	35.295	0
98	100.951	9.00487	1017.42	90.8085	35.3892	0
99	101.633	9.01247	1031.24	91.5004	35.4818	0
100	102.312	9.02015	1045.07	92.1901	35.5725	0
