Time	[H+]	[Starch]	[Starch Glucosyl unit]	[Starch exposed to Beta Amylase due to action of Isoamylase (Starch DB)]	[Maltose{Cytosol}]	[Maltose{"Chloroplast Stroma"}]	[Maltotriose]	[Maltopentaose]	[(D)-Glucose{"Chloroplast Stroma"}]	[(D)-Glucose{Cytosol}]	[Arabinogalactan (AG)]	[Glucosyl Arabinogalactan (GlcAG)]	[ATP pool]	[ADP pool]	[Orthophosphate(HPi) pool]	[Glutathione (reduced)]	[G1P pool]	[G6P pool]	[Beta amylase]	[Isoamylase]	[Disproportionating enzyme 1(DPE1)]	[Disproportionating enzyme 2(DPE2)]	[Cytosolic Glucan phosphorylase]	[Hexokinase]	[Maltose exporter (MEX)]	[Glucose transporter (pGlcT)]
0	0.1	0.161968	1000	0	10	10	100	1000	10	10	10000	10000	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
1	0.1	0.161968	1000	0.00023364	10.1234	10.961	100.532	999.692	7.80065	17.416	286.61	19713.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
2	0.1	0.161968	1000	0.00046728	10.5405	11.9194	101.049	999.391	6.0921	23.1334	18.888	19981.1	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
3	0.1	0.161968	1000	0.00070092	11.0937	12.8754	101.555	999.096	4.76495	27.7228	12.596	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
4	0.1	0.161968	1000	0.00093456	11.7371	13.829	102.052	998.805	3.73416	31.4815	12.4701	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
5	0.1	0.161968	1000	0.0011682	12.4543	14.78	102.542	998.518	2.93363	34.5964	12.4853	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
6	0.1	0.161968	1000	0.00140184	13.2328	15.7286	103.026	998.234	2.31201	37.2013	12.5007	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
7	0.1	0.161968	1000	0.00163548	14.0628	16.6748	103.506	997.953	1.82938	39.3957	12.5138	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
8	0.1	0.161968	1000	0.00186912	14.9366	17.6185	103.981	997.673	1.45473	41.2554	12.5248	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
9	0.1	0.161968	1000	0.00210276	15.8475	18.5599	104.454	997.395	1.16397	42.8393	12.5342	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
10	0.1	0.161968	1000	0.0023364	16.7902	19.4988	104.924	997.118	0.938394	44.194	12.5422	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
11	0.1	0.161968	1000	0.00257004	17.7603	20.4353	105.393	996.842	0.763446	45.357	12.5491	19987.5	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
12	0.1	0.161968	1000	0.00280368	18.7539	21.3694	105.859	996.567	0.62783	46.3584	12.555	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
13	0.1	0.161968	1000	0.00303732	19.7679	22.3011	106.324	996.293	0.522773	47.2231	12.5601	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
14	0.1	0.161968	1000	0.00327096	20.7996	23.2305	106.787	996.019	0.441454	47.9714	12.5645	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
15	0.1	0.161968	1000	0.0035046	21.8467	24.1574	107.25	995.747	0.378577	48.6203	12.5683	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
16	0.1	0.161968	1000	0.00373824	22.9073	25.082	107.711	995.474	0.330028	49.1841	12.5716	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
17	0.1	0.161968	1000	0.00397188	23.9797	26.0043	108.171	995.203	0.29261	49.6746	12.5745	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
18	0.1	0.161968	1000	0.00420552	25.0623	26.9242	108.63	994.932	0.263839	50.102	12.577	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
19	0.1	0.161968	1000	0.00443916	26.1541	27.8417	109.089	994.661	0.241786	50.4749	12.5792	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
20	0.1	0.161968	1000	0.0046728	27.2538	28.757	109.546	994.391	0.224953	50.8005	12.5811	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
21	0.1	0.161968	1000	0.00490644	28.3605	29.6699	110.003	994.121	0.212176	51.0851	12.5828	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
22	0.1	0.161968	1000	0.00514008	29.4735	30.5805	110.459	993.852	0.202549	51.3342	12.5842	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
23	0.1	0.161968	1000	0.00537372	30.592	31.4888	110.914	993.583	0.195372	51.5522	12.5855	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
24	0.1	0.161968	1000	0.00560736	31.7154	32.3948	111.369	993.315	0.190098	51.7432	12.5866	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
25	0.1	0.161968	1000	0.005841	32.8432	33.2985	111.822	993.047	0.186302	51.9107	12.5876	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
26	0.1	0.161968	1000	0.00607464	33.9749	34.1999	112.275	992.779	0.183656	52.0576	12.5884	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
27	0.1	0.161968	1000	0.00630828	35.11	35.099	112.728	992.512	0.181903	52.1866	12.5892	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
28	0.1	0.161968	1000	0.00654192	36.2483	35.9959	113.179	992.245	0.180846	52.2998	12.5898	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
29	0.1	0.161968	1000	0.00677556	37.3894	36.8905	113.63	991.978	0.180329	52.3993	12.5904	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
30	0.1	0.161968	1000	0.0070092	38.5331	37.7828	114.08	991.712	0.180232	52.4867	12.5909	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
31	0.1	0.161968	1000	0.00724284	39.679	38.6729	114.53	991.447	0.180462	52.5635	12.5914	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
32	0.1	0.161968	1000	0.00747648	40.827	39.5608	114.978	991.181	0.180947	52.6311	12.5917	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
33	0.1	0.161968	1000	0.00771012	41.9769	40.4464	115.426	990.917	0.181631	52.6906	12.5921	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
34	0.1	0.161968	1000	0.00794376	43.1285	41.3298	115.874	990.652	0.18247	52.743	12.5924	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
35	0.1	0.161968	1000	0.0081774	44.2818	42.211	116.32	990.388	0.183429	52.7891	12.5926	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
36	0.1	0.161968	1000	0.00841104	45.4365	43.09	116.766	990.125	0.184483	52.8297	12.5929	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
37	0.1	0.161968	1000	0.00864468	46.5925	43.9668	117.211	989.861	0.185611	52.8656	12.5931	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
38	0.1	0.161968	1000	0.00887832	47.7498	44.8414	117.656	989.598	0.186797	52.8971	12.5933	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
