Time	[VIIa_TF]	[X]	[VIIa_TF_X]	[VIIa_TF_Xa]	[Xa]	[TFPI]	[Xa_TFPI]	[Xa_TFPI_VIIa_TF]
0	1	170	0	0	0	2.4	0	0
1	0.378424	77.683	0.123629	0.287795	89.6563	0.150892	2.03896	0.210151
2	0.256641	44.8435	0.0483884	0.230589	122.484	0.00652195	1.9291	0.464381
3	0.188016	30.4719	0.0240846	0.180365	136.928	0.00493439	1.78753	0.607535
4	0.1476	22.7352	0.0141052	0.146423	144.709	0.0044085	1.70372	0.691871
5	0.122895	17.9417	0.00926737	0.124404	149.529	0.00412025	1.65245	0.743433
6	0.107448	14.6587	0.0066195	0.110255	152.828	0.0039439	1.62038	0.775677
7	0.0976516	12.241	0.00502354	0.101198	155.257	0.00382827	1.60004	0.796127
8	0.0913837	10.3652	0.00398061	0.0954235	157.139	0.00374848	1.58704	0.809212
9	0.0873501	8.85569	0.00325071	0.0917661	158.653	0.0036911	1.57868	0.817633
10	0.0847447	7.60968	0.00270998	0.0894729	159.902	0.00364839	1.57328	0.823072
11	0.0830578	6.56338	0.00229082	0.0880571	160.95	0.00361565	1.56979	0.826594
12	0.0819639	5.67462	0.00195451	0.0872034	161.84	0.00358992	1.56753	0.828878
13	0.0812538	4.91389	0.00167783	0.0867076	162.601	0.00356928	1.56607	0.830361
14	0.0807924	4.25948	0.00144612	0.0864374	163.256	0.00355244	1.56512	0.831324
15	0.0804925	3.69466	0.0012497	0.0863076	163.821	0.00353851	1.56451	0.83195
16	0.0802974	3.2061	0.00108182	0.0862632	164.31	0.00352687	1.56411	0.832357
17	0.0801705	2.78294	0.000937547	0.0862695	164.733	0.00351705	1.56386	0.832622
18	0.0800879	2.41607	0.000813112	0.0863041	165.1	0.00350871	1.5637	0.832795
19	0.0800341	2.09781	0.00070553	0.0863531	165.419	0.0035016	1.56359	0.832907
20	0.079999	1.82161	0.000612371	0.0864081	165.695	0.00349551	1.56352	0.83298
21	0.0799762	1.58185	0.00053162	0.086464	165.935	0.00349027	1.56348	0.833028
22	0.0799612	1.3737	0.000461579	0.0865178	166.143	0.00348577	1.56345	0.833059
23	0.0799515	1.19296	0.0004008	0.0865679	166.323	0.00348188	1.56344	0.833079
24	0.0799451	1.03602	0.000348044	0.0866137	166.48	0.00347852	1.56343	0.833093
25	0.0799409	0.89973	0.000302243	0.086655	166.617	0.00347561	1.56342	0.833102
26	0.0799381	0.781376	0.000262475	0.0866917	166.735	0.0034731	1.56342	0.833107
27	0.0799363	0.678593	0.000227944	0.0867243	166.838	0.00347092	1.56342	0.833111
28	0.0799351	0.589332	0.000197958	0.0867529	166.927	0.00346903	1.56342	0.833114
29	0.0799342	0.511813	0.000171917	0.0867781	167.005	0.0034674	1.56342	0.833115
30	0.0799337	0.444491	0.000149303	0.0868001	167.072	0.00346598	1.56342	0.833117
31	0.0799333	0.386025	0.000129664	0.0868193	167.13	0.00346475	1.56342	0.833117
32	0.0799331	0.335249	0.000112608	0.0868361	167.181	0.00346368	1.56342	0.833118
33	0.0799329	0.291152	9.77958e-05	0.0868507	167.225	0.00346275	1.56342	0.833118
34	0.0799327	0.252856	8.49322e-05	0.0868634	167.264	0.00346195	1.56342	0.833119
35	0.0799326	0.219597	7.37606e-05	0.0868745	167.297	0.00346125	1.56342	0.833119
36	0.0799326	0.190712	6.40585e-05	0.0868841	167.326	0.00346064	1.56342	0.833119
37	0.0799325	0.165627	5.56326e-05	0.0868925	167.351	0.00346012	1.56342	0.833119
38	0.0799325	0.143842	4.8315e-05	0.0868997	167.373	0.00345966	1.56342	0.833119
39	0.0799324	0.124922	4.196e-05	0.0869061	167.391	0.00345926	1.56342	0.833119
40	0.0799324	0.10849	3.64408e-05	0.0869116	167.408	0.00345892	1.56342	0.833119
41	0.0799324	0.0942202	3.16476e-05	0.0869163	167.422	0.00345862	1.56342	0.833119
42	0.0799324	0.0818271	2.74849e-05	0.0869205	167.435	0.00345836	1.56342	0.833119
43	0.0799324	0.0710641	2.38697e-05	0.0869241	167.445	0.00345814	1.56342	0.833119
44	0.0799324	0.0617168	2.07301e-05	0.0869272	167.455	0.00345794	1.56342	0.833119
45	0.0799323	0.053599	1.80034e-05	0.0869299	167.463	0.00345777	1.56342	0.833119
46	0.0799323	0.0465489	1.56353e-05	0.0869323	167.47	0.00345762	1.56342	0.833119
47	0.0799323	0.0404262	1.35787e-05	0.0869343	167.476	0.0034575	1.56342	0.833119
48	0.0799323	0.0351087	1.17927e-05	0.0869361	167.481	0.00345738	1.56342	0.833119
49	0.0799323	0.0304907	1.02415e-05	0.0869376	167.486	0.00345729	1.56342	0.83312
50	0.0799323	0.0264802	8.89442e-06	0.086939	167.49	0.0034572	1.56342	0.83312
51	0.0799323	0.0229971	7.7245e-06	0.0869401	167.493	0.00345713	1.56342	0.83312
52	0.0799323	0.0199722	6.70846e-06	0.0869412	167.496	0.00345707	1.56342	0.83312
53	0.0799323	0.0173452	5.82607e-06	0.086942	167.499	0.00345701	1.56342	0.83312
54	0.0799323	0.0150637	5.05975e-06	0.0869428	167.501	0.00345696	1.56342	0.83312
55	0.0799323	0.0130823	4.39423e-06	0.0869435	167.503	0.00345692	1.56342	0.83312
56	0.0799323	0.0113616	3.81624e-06	0.086944	167.505	0.00345689	1.56342	0.83312
57	0.0799323	0.00986715	3.31427e-06	0.0869445	167.507	0.00345686	1.56342	0.83312
58	0.0799323	0.00856929	2.87834e-06	0.086945	167.508	0.00345683	1.56342	0.83312
59	0.0799323	0.00744215	2.49974e-06	0.0869454	167.509	0.0034568	1.56342	0.83312
60	0.0799323	0.00646326	2.17094e-06	0.0869457	167.51	0.00345678	1.56342	0.83312
61	0.0799323	0.00561313	1.88539e-06	0.086946	167.511	0.00345677	1.56342	0.83312
62	0.0799323	0.00487481	1.6374e-06	0.0869462	167.512	0.00345675	1.56342	0.83312
63	0.0799323	0.00423362	1.42203e-06	0.0869464	167.512	0.00345674	1.56342	0.83312
64	0.0799323	0.00367676	1.23498e-06	0.0869466	167.513	0.00345673	1.56342	0.83312
65	0.0799323	0.00319314	1.07254e-06	0.0869468	167.513	0.00345672	1.56342	0.83312
66	0.0799323	0.00277314	9.31469e-07	0.0869469	167.514	0.00345671	1.56342	0.83312
67	0.0799323	0.00240838	8.08949e-07	0.086947	167.514	0.0034567	1.56342	0.83312
68	0.0799323	0.0020916	7.02547e-07	0.0869471	167.514	0.00345669	1.56342	0.83312
69	0.0799323	0.00181648	6.10136e-07	0.0869472	167.515	0.00345669	1.56342	0.83312
70	0.0799323	0.00157755	5.29884e-07	0.0869473	167.515	0.00345668	1.56342	0.83312
71	0.0799323	0.00137005	4.60187e-07	0.0869474	167.515	0.00345668	1.56342	0.83312
72	0.0799323	0.00118985	3.99657e-07	0.0869474	167.515	0.00345667	1.56342	0.83312
73	0.0799323	0.00103334	3.47088e-07	0.0869475	167.515	0.00345667	1.56342	0.83312
74	0.0799323	0.000897421	3.01435e-07	0.0869475	167.516	0.00345667	1.56342	0.83312
75	0.0799323	0.00077938	2.61786e-07	0.0869476	167.516	0.00345667	1.56342	0.83312
76	0.0799323	0.000676866	2.27352e-07	0.0869476	167.516	0.00345666	1.56342	0.83312
77	0.0799323	0.000587836	1.97448e-07	0.0869476	167.516	0.00345666	1.56342	0.83312
78	0.0799323	0.000510516	1.71477e-07	0.0869477	167.516	0.00345666	1.56342	0.83312
79	0.0799323	0.000443366	1.48922e-07	0.0869477	167.516	0.00345666	1.56342	0.83312
80	0.0799323	0.000385049	1.29334e-07	0.0869477	167.516	0.00345666	1.56342	0.83312
81	0.0799323	0.000334402	1.12322e-07	0.0869477	167.516	0.00345666	1.56342	0.83312
82	0.0799323	0.000290417	9.75482e-08	0.0869477	167.516	0.00345666	1.56342	0.83312
83	0.0799323	0.000252218	8.47174e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
84	0.0799323	0.000219043	7.35743e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
85	0.0799323	0.000190232	6.38969e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
86	0.0799323	0.00016521	5.54923e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
87	0.0799323	0.000143479	4.81933e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
88	0.0799323	0.000124607	4.18543e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
89	0.0799323	0.000108217	3.6349e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
90	0.0799323	9.39832e-05	3.15681e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
91	0.0799323	8.16213e-05	2.74157e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
92	0.0799323	7.08854e-05	2.38097e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
93	0.0799323	6.15616e-05	2.06779e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
94	0.0799323	5.34643e-05	1.79581e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
95	0.0799323	4.64319e-05	1.5596e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
96	0.0799323	4.03246e-05	1.35446e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
97	0.0799323	3.50206e-05	1.17631e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
98	0.0799323	3.04142e-05	1.02158e-08	0.0869478	167.516	0.00345665	1.56342	0.83312
99	0.0799323	2.64138e-05	8.87211e-09	0.0869478	167.516	0.00345665	1.56342	0.83312
100	0.0799323	2.29395e-05	7.70514e-09	0.0869478	167.516	0.00345665	1.56342	0.83312
