Time	[V_membrane]	[n]	[s]
0	-65	0.05	0.025
1	-65.2192	0.0480467	0.024999
2	-65.4219	0.0461698	0.0249979
3	-65.6095	0.0443663	0.0249969
4	-65.783	0.0426332	0.0249959
5	-65.9434	0.0409679	0.0249948
6	-66.0917	0.0393677	0.0249938
7	-66.2286	0.0378301	0.0249927
8	-66.355	0.0363527	0.0249917
9	-66.4716	0.0349331	0.0249906
10	-66.579	0.033569	0.0249896
11	-66.6779	0.0322582	0.0249885
12	-66.7688	0.0309988	0.0249874
13	-66.8522	0.0297887	0.0249864
14	-66.9287	0.028626	0.0249853
15	-66.9986	0.0275088	0.0249842
16	-67.0624	0.0264353	0.0249832
17	-67.1205	0.0254039	0.0249821
18	-67.1733	0.0244128	0.024981
19	-67.221	0.0234606	0.02498
20	-67.2639	0.0225457	0.0249789
21	-67.3025	0.0216666	0.0249778
22	-67.3368	0.020822	0.0249767
23	-67.3672	0.0200104	0.0249757
24	-67.394	0.0192306	0.0249746
25	-67.4172	0.0184814	0.0249735
26	-67.4373	0.0177616	0.0249724
27	-67.4542	0.0170699	0.0249713
28	-67.4683	0.0164054	0.0249703
29	-67.4796	0.0157669	0.0249692
30	-67.4884	0.0151534	0.0249681
31	-67.4947	0.014564	0.024967
32	-67.4988	0.0139977	0.0249659
33	-67.5007	0.0134536	0.0249649
34	-67.5007	0.0129308	0.0249638
35	-67.4987	0.0124286	0.0249627
36	-67.4949	0.011946	0.0249616
37	-67.4894	0.0114823	0.0249605
38	-67.4824	0.0110369	0.0249595
39	-67.4738	0.0106089	0.0249584
40	-67.4639	0.0101977	0.0249573
41	-67.4526	0.00980263	0.0249562
42	-67.44	0.00942306	0.0249552
43	-67.4263	0.00905838	0.0249541
44	-67.4114	0.00870802	0.024953
45	-67.3956	0.00837141	0.0249519
46	-67.3787	0.008048	0.0249508
47	-67.3609	0.0077373	0.0249498
48	-67.3423	0.0074388	0.0249487
49	-67.3228	0.00715202	0.0249476
50	-67.3026	0.0068765	0.0249465
51	-67.2817	0.0066118	0.0249455
52	-67.2601	0.0063575	0.0249444
53	-67.2379	0.00611319	0.0249433
54	-67.2151	0.00587848	0.0249423
55	-67.1917	0.00565299	0.0249412
56	-67.1679	0.00543636	0.0249401
57	-67.1436	0.00522825	0.024939
58	-67.1188	0.00502833	0.024938
59	-67.0936	0.00483626	0.0249369
60	-67.0681	0.00465175	0.0249358
61	-67.0422	0.0044745	0.0249348
62	-67.016	0.00430422	0.0249337
63	-66.9895	0.00414065	0.0249326
64	-66.9628	0.00398351	0.0249316
65	-66.9358	0.00383256	0.0249305
66	-66.9086	0.00368755	0.0249294
67	-66.8811	0.00354825	0.0249284
68	-66.8535	0.00341445	0.0249273
69	-66.8258	0.00328591	0.0249262
70	-66.7979	0.00316244	0.0249252
71	-66.7698	0.00304384	0.0249241
72	-66.7417	0.00292992	0.0249231
73	-66.7135	0.00282049	0.024922
74	-66.6852	0.00271538	0.0249209
75	-66.6568	0.00261442	0.0249199
76	-66.6284	0.00251745	0.0249188
77	-66.5999	0.0024243	0.0249178
78	-66.5714	0.00233484	0.0249167
79	-66.5429	0.00224891	0.0249156
80	-66.5145	0.00216639	0.0249146
81	-66.486	0.00208712	0.0249135
82	-66.4575	0.002011	0.0249125
83	-66.4291	0.00193788	0.0249114
84	-66.4007	0.00186767	0.0249104
85	-66.3723	0.00180023	0.0249093
86	-66.344	0.00173547	0.0249083
87	-66.3158	0.00167328	0.0249072
88	-66.2876	0.00161356	0.0249062
89	-66.2595	0.0015562	0.0249051
90	-66.2315	0.00150113	0.0249041
91	-66.2035	0.00144825	0.024903
92	-66.1757	0.00139746	0.024902
93	-66.1479	0.00134871	0.0249009
94	-66.1203	0.00130189	0.0248999
95	-66.0928	0.00125693	0.0248989
96	-66.0653	0.00121377	0.0248978
97	-66.038	0.00117234	0.0248968
98	-66.0109	0.00113255	0.0248957
99	-65.9838	0.00109436	0.0248947
100	-65.9569	0.0010577	0.0248936
