Time	[V]	[n]	[c]	[cer]	[g6p]	[fbp]	[adp]
0	-60	0.025	0.25	185	200	40	780
1	-60.4688	0.0237877	0.249002	185.019	199.998	39.9996	780.003
2	-60.9124	0.022634	0.248006	185.039	199.996	39.9992	780.005
3	-61.3322	0.021536	0.247013	185.058	199.995	39.9988	780.008
4	-61.7297	0.0204911	0.246022	185.077	199.993	39.9984	780.01
5	-62.1059	0.0194968	0.245034	185.096	199.991	39.998	780.013
6	-62.4621	0.0185505	0.244049	185.115	199.989	39.9976	780.015
7	-62.7993	0.0176502	0.243067	185.134	199.988	39.9971	780.018
8	-63.1188	0.0167934	0.242089	185.152	199.986	39.9967	780.021
9	-63.4214	0.0159782	0.241114	185.171	199.984	39.9963	780.023
10	-63.708	0.0152025	0.240143	185.189	199.982	39.9959	780.026
11	-63.9796	0.0144645	0.239176	185.208	199.981	39.9955	780.028
12	-64.2371	0.0137623	0.238213	185.226	199.979	39.9951	780.03
13	-64.481	0.0130942	0.237254	185.244	199.977	39.9947	780.033
14	-64.7123	0.0124585	0.236299	185.262	199.975	39.9943	780.035
15	-64.9316	0.0118537	0.235348	185.279	199.974	39.9939	780.038
16	-65.1396	0.0112783	0.234402	185.297	199.972	39.9935	780.04
17	-65.3368	0.0107308	0.23346	185.314	199.97	39.9931	780.043
18	-65.5238	0.0102099	0.232522	185.332	199.968	39.9927	780.045
19	-65.7012	0.00971438	0.231589	185.349	199.967	39.9922	780.047
20	-65.8695	0.00924292	0.230661	185.366	199.965	39.9918	780.05
21	-66.0292	0.00879437	0.229737	185.383	199.963	39.9914	780.052
22	-66.1807	0.00836763	0.228818	185.4	199.961	39.991	780.054
23	-66.3245	0.00796164	0.227903	185.417	199.96	39.9906	780.057
24	-66.4609	0.00757539	0.226993	185.434	199.958	39.9902	780.059
25	-66.5903	0.00720793	0.226088	185.451	199.956	39.9898	780.061
26	-66.7131	0.00685834	0.225187	185.467	199.954	39.9894	780.064
27	-66.8297	0.00652575	0.224292	185.483	199.953	39.989	780.066
28	-66.9402	0.00620934	0.223401	185.5	199.951	39.9886	780.068
29	-67.0451	0.00590832	0.222514	185.516	199.949	39.9882	780.07
30	-67.1447	0.00562195	0.221633	185.532	199.947	39.9878	780.073
31	-67.2391	0.00534951	0.220756	185.548	199.946	39.9873	780.075
32	-67.3286	0.00509032	0.219884	185.564	199.944	39.9869	780.077
33	-67.4135	0.00484375	0.219017	185.579	199.942	39.9865	780.079
34	-67.494	0.00460917	0.218154	185.595	199.94	39.9861	780.081
35	-67.5704	0.00438601	0.217296	185.611	199.939	39.9857	780.084
36	-67.6427	0.00417371	0.216443	185.626	199.937	39.9853	780.086
37	-67.7112	0.00397173	0.215595	185.641	199.935	39.9849	780.088
38	-67.7761	0.00377959	0.214751	185.656	199.933	39.9845	780.09
39	-67.8376	0.0035968	0.213913	185.671	199.932	39.9841	780.092
40	-67.8958	0.00342291	0.213079	185.686	199.93	39.9837	780.094
41	-67.9508	0.00325748	0.212249	185.701	199.928	39.9833	780.096
42	-68.0029	0.0031001	0.211425	185.716	199.926	39.9829	780.098
43	-68.0521	0.00295038	0.210605	185.731	199.925	39.9825	780.1
44	-68.0985	0.00280795	0.209789	185.745	199.923	39.982	780.103
45	-68.1424	0.00267246	0.208979	185.76	199.921	39.9816	780.105
46	-68.1838	0.00254356	0.208173	185.774	199.919	39.9812	780.107
47	-68.2228	0.00242093	0.207372	185.788	199.918	39.9808	780.109
48	-68.2596	0.00230428	0.206575	185.803	199.916	39.9804	780.111
49	-68.2942	0.0021933	0.205783	185.817	199.914	39.98	780.113
50	-68.3267	0.00208773	0.204995	185.831	199.912	39.9796	780.115
51	-68.3573	0.00198729	0.204213	185.844	199.911	39.9792	780.117
52	-68.3859	0.00189175	0.203434	185.858	199.909	39.9788	780.118
53	-68.4128	0.00180086	0.20266	185.872	199.907	39.9784	780.12
54	-68.4379	0.00171439	0.201891	185.885	199.905	39.978	780.122
55	-68.4614	0.00163214	0.201126	185.899	199.904	39.9776	780.124
56	-68.4833	0.00155389	0.200366	185.912	199.902	39.9771	780.126
57	-68.5037	0.00147945	0.19961	185.926	199.9	39.9767	780.128
58	-68.5226	0.00140863	0.198859	185.939	199.898	39.9763	780.13
59	-68.5401	0.00134127	0.198112	185.952	199.897	39.9759	780.132
60	-68.5563	0.00127718	0.197369	185.965	199.895	39.9755	780.134
61	-68.5712	0.00121622	0.196631	185.978	199.893	39.9751	780.136
62	-68.5849	0.00115823	0.195898	185.991	199.891	39.9747	780.137
