Time	[V]	[n]	[s1]	[s2]
0	-43	0.03	0.1	0.434
1	-42.9249	0.0302828	0.0999027	0.433997
2	-42.8495	0.0305603	0.099806	0.433994
3	-42.7737	0.0308334	0.0997098	0.433992
4	-42.6975	0.031103	0.0996143	0.433989
5	-42.6208	0.0313698	0.0995197	0.433987
6	-42.5435	0.0316347	0.0994259	0.433985
7	-42.4655	0.0318983	0.0993331	0.433983
8	-42.3867	0.0321613	0.0992416	0.433982
9	-42.3071	0.0324242	0.0991515	0.43398
10	-42.2266	0.0326877	0.099063	0.43398
11	-42.1452	0.0329522	0.0989765	0.433979
12	-42.0627	0.0332183	0.0988922	0.433979
13	-41.9791	0.0334866	0.0988107	0.43398
14	-41.8943	0.0337573	0.0987323	0.433981
15	-41.8084	0.0340311	0.0986577	0.433982
16	-41.7211	0.0343084	0.0985876	0.433984
17	-41.6324	0.0345895	0.0985228	0.433986
18	-41.5424	0.034875	0.0984645	0.433988
19	-41.4508	0.0351653	0.0984139	0.433991
20	-41.3576	0.0354607	0.0983724	0.433994
21	-41.2628	0.0357618	0.098342	0.433998
22	-41.1663	0.0360689	0.0983247	0.434002
23	-41.0679	0.0363824	0.0983232	0.434005
24	-40.9677	0.036703	0.0983405	0.434009
25	-40.8655	0.0370308	0.0983801	0.434014
26	-40.7612	0.0373666	0.098446	0.434018
27	-40.6549	0.0377107	0.0985429	0.434022
28	-40.5462	0.0380636	0.0986756	0.434027
29	-40.4353	0.0384259	0.0988495	0.434031
30	-40.3219	0.038798	0.0990698	0.434036
31	-40.206	0.0391807	0.0993417	0.434041
32	-40.0874	0.0395744	0.0996693	0.434045
33	-39.966	0.0399798	0.100056	0.43405
34	-39.8418	0.0403976	0.100503	0.434054
35	-39.7146	0.0408285	0.101012	0.434059
36	-39.5841	0.0412732	0.101578	0.434064
37	-39.4504	0.0417325	0.1022	0.434069
38	-39.3132	0.0422074	0.102872	0.434073
39	-39.1723	0.0426986	0.103589	0.434078
40	-39.0276	0.0432073	0.104342	0.434083
41	-38.8789	0.0437345	0.105127	0.434087
42	-38.7259	0.0442813	0.105938	0.434092
43	-38.5683	0.044849	0.106769	0.434097
44	-38.4061	0.0454391	0.107615	0.434102
45	-38.2387	0.0460529	0.108473	0.434106
46	-38.0661	0.0466922	0.10934	0.434111
47	-37.8877	0.0473587	0.110213	0.434116
48	-37.7033	0.0480545	0.11109	0.43412
49	-37.5124	0.0487817	0.11197	0.434125
50	-37.3147	0.0495427	0.112852	0.43413
51	-37.1096	0.0503403	0.113735	0.434135
52	-36.8966	0.0511773	0.114618	0.434139
53	-36.6752	0.0520571	0.115502	0.434144
54	-36.4448	0.0529834	0.116385	0.434149
55	-36.2046	0.0539604	0.117267	0.434153
56	-35.9538	0.0549926	0.118149	0.434158
57	-35.6917	0.0560854	0.11903	0.434163
58	-35.4173	0.0572446	0.119911	0.434168
59	-35.1294	0.0584771	0.12079	0.434172
60	-34.8271	0.0597905	0.121669	0.434177
61	-34.5088	0.0611936	0.122547	0.434182
62	-34.1732	0.0626966	0.123424	0.434186
63	-33.8187	0.0643112	0.1243	0.434191
64	-33.4432	0.066051	0.125175	0.434196
65	-33.0448	0.0679319	0.12605	0.434201
66	-32.6211	0.0699724	0.126923	0.434205
67	-32.1693	0.0721944	0.127796	0.43421
68	-31.6866	0.0746238	0.128667	0.434215
69	-31.1695	0.0772916	0.129538	0.434219
70	-30.6143	0.0802346	0.130408	0.434224
71	-30.017	0.0834971	0.131278	0.434229
72	-29.373	0.0871323	0.132146	0.434234
73	-28.6778	0.0912043	0.133013	0.434238
74	-27.9268	0.0957906	0.13388	0.434243
75	-27.1158	0.100984	0.134745	0.434248
76	-26.2419	0.106893	0.13561	0.434252
77	-25.3045	0.113646	0.136474	0.434257
78	-24.3067	0.121385	0.137337	0.434262
79	-23.2575	0.130259	0.1382	0.434267
80	-22.1742	0.140406	0.139061	0.434271
81	-21.0842	0.151922	0.139921	0.434276
82	-20.0254	0.164816	0.140781	0.434281
83	-19.0446	0.178953	0.14164	0.434285
84	-18.1925	0.194009	0.142498	0.43429
85	-17.5157	0.209451	0.143355	0.434295
86	-17.0495	0.224579	0.144211	0.4343
87	-16.812	0.238622	0.145066	0.434304
88	-16.8022	0.250864	0.145921	0.434309
89	-17.0033	0.260756	0.146775	0.434314
90	-17.3868	0.267978	0.147627	0.434318
91	-17.9194	0.272439	0.148479	0.434323
92	-18.5669	0.274246	0.14933	0.434328
93	-19.2986	0.273634	0.150181	0.434333
94	-20.0881	0.270916	0.15103	0.434337
95	-20.914	0.266434	0.151879	0.434342
96	-21.7595	0.260525	0.152726	0.434347
97	-22.6117	0.2535	0.153573	0.434351
98	-23.4609	0.245641	0.154419	0.434356
99	-24.2993	0.23719	0.155264	0.434361
100	-25.1213	0.228354	0.156109	0.434366
