Time	[M]	[Ma]	[Bn]	[Ba]	[Cy]
0	477000	0	0	0	0
1	468454	9094.13	404.381	5790.11	0.00061365
2	181948	307821	31887	852625	1.27433
3	10074.1	570243	285249	3.23745e+06	32.4373
4	12454.4	668442	227580	3.00369e+06	30.4994
5	13877.1	775181	197170	3.08212e+06	30.4903
6	13826.3	891591	193565	3.51441e+06	34.2994
7	13266.9	1.01726e+06	199759	4.12569e+06	40.3967
8	13466.6	1.15121e+06	196160	4.5423e+06	45.0635
9	15356.8	1.29253e+06	171581	4.41855e+06	44.506
10	20064.2	1.43985e+06	130494	3.7208e+06	37.9322
11	29563.8	1.59056e+06	87322.5	2.7504e+06	28.1773
12	46678.9	1.7406e+06	53973.7	1.87588e+06	19.1022
13	72967.9	1.88655e+06	33472.7	1.28199e+06	12.8206
14	105084	2.02986e+06	22621.1	950792	9.28292
15	136615	2.17598e+06	17097.9	782853	7.49113
16	165098	2.32726e+06	13979.4	691878	6.53621
17	192386	2.48174e+06	11868.6	631120	5.9126
18	220550	2.63676e+06	10243.8	582485	5.42021
19	250494	2.79052e+06	8925.1	540438	4.99698
20	282394	2.94181e+06	7835.77	503299	4.62428
21	316151	3.08965e+06	6928.98	470319	4.29406
22	351572	3.2332e+06	6170	440972	4.00082
23	388413	3.37172e+06	5531.66	414824	3.74007
24	426400	3.50454e+06	4992.36	391501	3.50794
25	465232	3.63113e+06	4534.79	370679	3.30109
26	504597	3.75107e+06	4145.02	352076	3.11661
27	544172	3.86406e+06	3811.77	335447	2.952
28	583642	3.96992e+06	3525.86	320575	2.80503
29	622699	4.06859e+06	3279.78	307271	2.67377
30	661056	4.16008e+06	3067.35	295368	2.55652
31	698453	4.24454e+06	2883.47	284718	2.45176
32	734658	4.32215e+06	2723.91	275189	2.35817
33	769474	4.39319e+06	2585.14	266666	2.27456
34	802741	4.45795e+06	2464.21	259043	2.19989
35	834333	4.5168e+06	2358.62	252229	2.1332
36	864164	4.5701e+06	2266.28	246139	2.07367
37	892177	4.61823e+06	2185.41	240699	2.02055
38	918349	4.66159e+06	2114.49	235842	1.97317
39	942683	4.70056e+06	2052.23	231508	1.93092
40	965208	4.73551e+06	1997.51	227642	1.89326
41	985971	4.76679e+06	1949.38	224196	1.85972
42	1.00504e+06	4.79475e+06	1907.01	221126	1.82986
43	1.02248e+06	4.81971e+06	1869.69	218392	1.80328
44	1.03839e+06	4.84196e+06	1836.8	215959	1.77964
45	1.05285e+06	4.86176e+06	1807.8	213795	1.75861
46	1.06596e+06	4.87939e+06	1782.22	211870	1.73993
47	1.07782e+06	4.89505e+06	1759.64	210160	1.72333
48	1.08852e+06	4.90896e+06	1739.71	208641	1.70859
49	1.09816e+06	4.92132e+06	1722.12	207292	1.69551
50	1.10682e+06	4.93227e+06	1706.58	206094	1.6839
51	1.11459e+06	4.942e+06	1692.85	205032	1.6736
52	1.12155e+06	4.95061e+06	1680.72	204090	1.66447
53	1.12777e+06	4.95825e+06	1670.01	203254	1.65637
54	1.13334e+06	4.96502e+06	1660.54	202513	1.64919
55	1.1383e+06	4.97101e+06	1652.17	201856	1.64283
56	1.14273e+06	4.97632e+06	1644.77	201274	1.63719
57	1.14667e+06	4.98102e+06	1638.23	200759	1.6322
58	1.15018e+06	4.98518e+06	1632.45	200302	1.62778
59	1.1533e+06	4.98886e+06	1627.34	199898	1.62386
60	1.15608e+06	4.99212e+06	1622.82	199540	1.62039
61	1.15854e+06	4.99501e+06	1618.83	199223	1.61732
62	1.16073e+06	4.99756e+06	1615.29	198942	1.61461
63	1.16268e+06	4.99982e+06	1612.17	198694	1.6122
64	1.1644e+06	5.00182e+06	1609.41	198474	1.61008
65	1.16593e+06	5.00359e+06	1606.97	198280	1.60819
66	1.16728e+06	5.00515e+06	1604.81	198107	1.60653
67	1.16848e+06	5.00654e+06	1602.9	197955	1.60505
68	1.16955e+06	5.00776e+06	1601.21	197820	1.60375
69	1.17049e+06	5.00885e+06	1599.72	197701	1.60259
70	1.17133e+06	5.00981e+06	1598.4	197595	1.60157
71	1.17206e+06	5.01065e+06	1597.23	197502	1.60067
72	1.17272e+06	5.0114e+06	1596.2	197420	1.59987
73	1.1733e+06	5.01207e+06	1595.28	197346	1.59916
74	1.17381e+06	5.01265e+06	1594.48	197282	1.59853
75	1.17427e+06	5.01317e+06	1593.76	197225	1.59798
76	1.17467e+06	5.01363e+06	1593.13	197174	1.59749
77	1.17502e+06	5.01404e+06	1592.57	197129	1.59706
78	1.17534e+06	5.0144e+06	1592.08	197090	1.59668
79	1.17562e+06	5.01471e+06	1591.64	197055	1.59634
80	1.17586e+06	5.01499e+06	1591.25	197024	1.59604
81	1.17608e+06	5.01524e+06	1590.91	196996	1.59577
82	1.17628e+06	5.01546e+06	1590.61	196972	1.59554
83	1.17645e+06	5.01566e+06	1590.34	196951	1.59533
84	1.1766e+06	5.01583e+06	1590.11	196932	1.59515
85	1.17673e+06	5.01598e+06	1589.9	196915	1.59498
86	1.17685e+06	5.01612e+06	1589.71	196900	1.59484
87	1.17695e+06	5.01623e+06	1589.55	196887	1.59471
88	1.17705e+06	5.01634e+06	1589.4	196876	1.5946
