Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]
0	2	2.4	0.21	245	210	0.29
1	2	3.1875	0.163745	245	210	0.336255
2	2	3.8267	0.163386	245	210	0.336614
3	2	4.32056	0.163383	245	210	0.336617
4	2	4.70189	0.163383	245	210	0.336617
5	2	4.99634	0.163383	245	210	0.336617
6	2	5.2237	0.163383	245	210	0.336617
7	2	5.39924	0.163383	245	210	0.336617
8	2	5.53479	0.163383	245	210	0.336617
9	2	5.63946	0.163383	245	210	0.336617
10	2	5.72027	0.163383	245	210	0.336617
11	2	5.78267	0.163383	245	210	0.336617
12	2	5.83085	0.163383	245	210	0.336617
13	2	5.86805	0.163383	245	210	0.336617
14	2	5.89678	0.163383	245	210	0.336617
15	2	5.91896	0.163383	245	210	0.336617
16	2	5.93609	0.163383	245	210	0.336617
17	2	5.94931	0.163383	245	210	0.336617
18	2	5.95952	0.163383	245	210	0.336617
19	2	5.96741	0.163383	245	210	0.336617
20	2	5.9735	0.163383	245	210	0.336617
21	2	5.9782	0.163383	245	210	0.336617
22	2	5.98183	0.163383	245	210	0.336617
23	2	5.98463	0.163383	245	210	0.336617
24	2	5.98679	0.163383	245	210	0.336617
25	2	5.98846	0.163383	245	210	0.336617
26	2	5.98975	0.163383	245	210	0.336617
27	2	5.99074	0.163383	245	210	0.336617
28	2	5.99152	0.163383	245	210	0.336617
29	2	5.99211	0.163383	245	210	0.336617
30	2	5.99257	0.163383	245	210	0.336617
31	2	5.99293	0.163383	245	210	0.336617
32	2	5.9932	0.163383	245	210	0.336617
33	2	5.99341	0.163383	245	210	0.336617
34	2	5.99358	0.163383	245	210	0.336617
35	2	5.9937	0.163383	245	210	0.336617
36	2	5.9938	0.163383	245	210	0.336617
37	2	5.99387	0.163383	245	210	0.336617
38	2	5.99393	0.163383	245	210	0.336617
39	2	5.99398	0.163383	245	210	0.336617
40	2	5.99401	0.163383	245	210	0.336617
41	2	5.99404	0.163383	245	210	0.336617
42	2	5.99406	0.163383	245	210	0.336617
43	2	5.99408	0.163383	245	210	0.336617
44	2	5.99409	0.163383	245	210	0.336617
45	2	5.9941	0.163383	245	210	0.336617
46	2	5.9941	0.163383	245	210	0.336617
47	2	5.99411	0.163383	245	210	0.336617
48	2	5.99411	0.163383	245	210	0.336617
49	2	5.99411	0.163383	245	210	0.336617
50	2	5.99412	0.163383	245	210	0.336617
51	2	5.99412	0.163383	245	210	0.336617
52	2	5.99412	0.163383	245	210	0.336617
53	2	5.99412	0.163383	245	210	0.336617
54	2	5.99412	0.163383	245	210	0.336617
55	2	5.99413	0.163383	245	210	0.336617
56	2	5.99413	0.163383	245	210	0.336617
57	2	5.99413	0.163383	245	210	0.336617
58	2	5.99413	0.163383	245	210	0.336617
59	2	5.99413	0.163383	245	210	0.336617
60	2	5.99413	0.163383	245	210	0.336617
61	2	5.99413	0.163383	245	210	0.336617
62	2	5.99413	0.163383	245	210	0.336617
63	2	5.99413	0.163383	245	210	0.336617
64	2	5.99413	0.163383	245	210	0.336617
65	2	5.99413	0.163383	245	210	0.336617
66	2	5.99413	0.163383	245	210	0.336617
67	2	5.99413	0.163383	245	210	0.336617
68	2	5.99413	0.163383	245	210	0.336617
69	2	5.99413	0.163383	245	210	0.336617
70	2	5.99413	0.163383	245	210	0.336617
71	2	5.99413	0.163383	245	210	0.336617
72	2	5.99413	0.163383	245	210	0.336617
73	2	5.99413	0.163383	245	210	0.336617
74	2	5.99413	0.163383	245	210	0.336617
75	2	5.99413	0.163383	245	210	0.336617
76	2	5.99413	0.163383	245	210	0.336617
77	2	5.99413	0.163383	245	210	0.336617
78	2	5.99413	0.163383	245	210	0.336617
79	2	5.99413	0.163383	245	210	0.336617
80	2	5.99413	0.163383	245	210	0.336617
81	2	5.99413	0.163383	245	210	0.336617
82	2	5.99413	0.163383	245	210	0.336617
83	2	5.99413	0.163383	245	210	0.336617
84	2	5.99413	0.163383	245	210	0.336617
85	2	5.99413	0.163383	245	210	0.336617
86	2	5.99413	0.163383	245	210	0.336617
87	2	5.99413	0.163383	245	210	0.336617
88	2	5.99413	0.163383	245	210	0.336617
89	2	5.99413	0.163383	245	210	0.336617
90	2	5.99413	0.163383	245	210	0.336617
91	2	5.99413	0.163383	245	210	0.336617
92	2	5.99413	0.163383	245	210	0.336617
93	2	5.99413	0.163383	245	210	0.336617
94	2	5.99413	0.163383	245	210	0.336617
95	2	5.99413	0.163383	245	210	0.336617
96	2	5.99413	0.163383	245	210	0.336617
97	2	5.99413	0.163383	245	210	0.336617
98	2	5.99413	0.163383	245	210	0.336617
99	2	5.99413	0.163383	245	210	0.336617
100	2	5.99413	0.163383	245	210	0.336617
