Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]	[starch]
0	2	2.4	0.21	24.5	21000	0.29	0.5
1	2	3.29432	0.122555	24.5	21000	0.377445	0.5
2	2	4.13398	0.120279	24.5	21000	0.379721	0.5
3	2	4.86358	0.12022	24.5	21000	0.37978	0.5
4	2	5.49566	0.120218	24.5	21000	0.379782	0.5
5	2	6.04317	0.120218	24.5	21000	0.379782	0.5
6	2	6.51744	0.120218	24.5	21000	0.379782	0.5
7	2	6.92826	0.120218	24.5	21000	0.379782	0.5
8	2	7.28412	0.120218	24.5	21000	0.379782	0.5
9	2	7.59238	0.120218	24.5	21000	0.379782	0.5
10	2	7.85939	0.120218	24.5	21000	0.379782	0.5
11	2	8.09068	0.120218	24.5	21000	0.379782	0.5
12	2	8.29103	0.120218	24.5	21000	0.379782	0.5
13	2	8.46458	0.120218	24.5	21000	0.379782	0.5
14	2	8.61491	0.120218	24.5	21000	0.379782	0.5
15	2	8.74513	0.120218	24.5	21000	0.379782	0.5
16	2	8.85792	0.120218	24.5	21000	0.379782	0.5
17	2	8.95563	0.120218	24.5	21000	0.379782	0.5
18	2	9.04027	0.120218	24.5	21000	0.379782	0.5
19	2	9.11358	0.120218	24.5	21000	0.379782	0.5
20	2	9.17709	0.120218	24.5	21000	0.379782	0.5
21	2	9.2321	0.120218	24.5	21000	0.379782	0.5
22	2	9.27976	0.120218	24.5	21000	0.379782	0.5
23	2	9.32103	0.120218	24.5	21000	0.379782	0.5
24	2	9.35678	0.120218	24.5	21000	0.379782	0.5
25	2	9.38776	0.120218	24.5	21000	0.379782	0.5
26	2	9.41459	0.120218	24.5	21000	0.379782	0.5
27	2	9.43782	0.120218	24.5	21000	0.379782	0.5
28	2	9.45795	0.120218	24.5	21000	0.379782	0.5
29	2	9.47539	0.120218	24.5	21000	0.379782	0.5
30	2	9.49049	0.120218	24.5	21000	0.379782	0.5
31	2	9.50358	0.120218	24.5	21000	0.379782	0.5
32	2	9.51492	0.120218	24.5	21000	0.379782	0.5
33	2	9.52474	0.120218	24.5	21000	0.379782	0.5
34	2	9.53325	0.120218	24.5	21000	0.379782	0.5
35	2	9.54061	0.120218	24.5	21000	0.379782	0.5
36	2	9.54699	0.120218	24.5	21000	0.379782	0.5
37	2	9.55252	0.120218	24.5	21000	0.379782	0.5
38	2	9.5573	0.120218	24.5	21000	0.379782	0.5
39	2	9.56145	0.120218	24.5	21000	0.379782	0.5
40	2	9.56504	0.120218	24.5	21000	0.379782	0.5
41	2	9.56815	0.120218	24.5	21000	0.379782	0.5
42	2	9.57085	0.120218	24.5	21000	0.379782	0.5
43	2	9.57319	0.120218	24.5	21000	0.379782	0.5
44	2	9.57522	0.120218	24.5	21000	0.379782	0.5
45	2	9.57697	0.120218	24.5	21000	0.379782	0.5
46	2	9.57849	0.120218	24.5	21000	0.379782	0.5
47	2	9.5798	0.120218	24.5	21000	0.379782	0.5
48	2	9.58094	0.120218	24.5	21000	0.379782	0.5
49	2	9.58192	0.120218	24.5	21000	0.379782	0.5
50	2	9.58278	0.120218	24.5	21000	0.379782	0.5
51	2	9.58352	0.120218	24.5	21000	0.379782	0.5
52	2	9.58416	0.120218	24.5	21000	0.379782	0.5
53	2	9.58471	0.120218	24.5	21000	0.379782	0.5
54	2	9.58519	0.120218	24.5	21000	0.379782	0.5
55	2	9.58561	0.120218	24.5	21000	0.379782	0.5
