Time	[Ca_cyt]	[CaER]	[CaM]	[CaPr]	[Pr]
0	0.35	0.76	0.29	85.45	34.55
1	0.232187	0.723865	0.307066	85.6441	34.3559
2	0.0569306	0.882173	0.299878	85.2149	34.7851
3	0.0715966	1.03788	0.297949	84.5851	35.4149
4	0.379085	0.729236	0.534429	84.5663	35.4337
5	0.257916	0.71685	0.518761	84.7996	35.2004
6	0.309077	0.716828	0.486809	84.8764	35.1236
7	0.251247	0.722345	0.459532	85.0212	34.9788
8	0.308124	0.713756	0.433456	85.103	34.897
9	0.237546	0.729765	0.409714	85.2045	34.7955
10	0.326248	0.716303	0.390625	85.246	34.754
11	0.220337	0.734269	0.373645	85.348	34.652
12	0.0573275	0.889781	0.364914	84.9239	35.0761
13	0.0723085	1.04438	0.362548	84.3	35.7
14	0.374297	0.72495	0.600589	84.3235	35.6765
15	0.266006	0.71444	0.576079	84.5719	35.4281
16	0.299459	0.712563	0.538448	84.6965	35.3035
17	0.26421	0.719553	0.504461	84.8397	35.1603
18	0.288667	0.712617	0.473274	84.9678	35.0322
19	0.26244	0.723673	0.443947	85.0671	34.9329
20	0.280588	0.713566	0.418466	85.1913	34.8087
21	0.260279	0.728775	0.393268	85.2516	34.7484
22	0.271738	0.714479	0.373206	85.3775	34.6225
23	0.243106	0.743879	0.351606	85.375	34.625
24	0.267695	0.71264	0.340026	85.5216	34.4784
25	0.0816302	0.819564	0.325494	85.3381	34.6619
26	0.0636516	0.985189	0.323462	84.7017	35.2983
27	0.4793	0.999319	0.328604	84.209	35.791
28	0.28837	0.706141	0.554643	84.6685	35.3315
29	0.268254	0.727868	0.518174	84.7476	35.2524
30	0.273418	0.712388	0.488224	84.9241	35.0759
31	0.282758	0.723692	0.457203	84.9937	35.0063
32	0.261118	0.717734	0.431848	85.1406	34.8594
33	0.295411	0.722316	0.405993	85.1914	34.8086
34	0.245903	0.723722	0.385675	85.3165	34.6835
35	0.275088	0.751948	0.364192	85.2603	34.7397
36	0.248218	0.718284	0.358421	85.445	34.555
37	0.0591118	0.856102	0.346679	85.1298	34.8702
38	0.067175	1.01508	0.34456	84.4942	35.5058
39	0.42819	0.775919	0.54625	84.2831	35.7169
40	0.274895	0.70985	0.567155	84.6171	35.3829
41	0.292297	0.719326	0.529582	84.7121	35.2879
42	0.265616	0.716528	0.497628	84.8778	35.1222
43	0.293446	0.715374	0.466476	84.9792	35.0208
44	0.257298	0.722386	0.438737	85.0982	34.9018
45	0.292932	0.713399	0.413531	85.1993	34.8007
46	0.244551	0.73041	0.389682	85.2751	34.7249
47	0.29551	0.71068	0.371018	85.3777	34.6223
48	0.206184	0.748612	0.350938	85.3956	34.6044
49	0.0582996	0.90418	0.343442	84.9512	35.0488
50	0.0758633	1.0567	0.34112	84.3329	35.6671
51	0.35515	0.714962	0.583683	84.4503	35.5497
52	0.259081	0.7183	0.553365	84.6543	35.3457
53	0.301101	0.710952	0.518566	84.7808	35.2192
54	0.25921	0.722699	0.48611	84.9056	35.0944
55	0.288633	0.711617	0.457189	85.0361	34.9639
56	0.257338	0.727492	0.429084	85.1164	34.8836
57	0.279494	0.712543	0.405833	85.247	34.753
58	0.248897	0.736693	0.381669	85.2777	34.7223
59	0.272349	0.712366	0.365084	85.4179	34.5821
60	0.150021	0.783212	0.346367	85.3317	34.6683
61	0.0608781	0.955883	0.343122	84.7431	35.2569
62	0.106798	1.09312	0.340238	84.1598	35.8402
63	0.309467	0.704344	0.579556	84.5549	35.4451
64	0.258899	0.725457	0.54158	84.673	35.327
65	0.285126	0.70993	0.508807	84.8399	35.1601
66	0.270556	0.724212	0.476031	84.9285	35.0715
67	0.272084	0.714286	0.448403	85.0772	34.9228
68	0.279549	0.724113	0.420654	85.1414	34.8586
69	0.259357	0.718817	0.398085	85.273	34.727
70	0.292655	0.726234	0.374795	85.3032	34.6968
71	0.242591	0.723965	0.358163	85.4289	34.5711
72	0.0717118	0.843154	0.344515	85.1776	34.8224
73	0.0658444	1.00515	0.342367	84.5441	35.4559
74	0.454742	0.814865	0.51034	84.2444	35.7556
75	0.279457	0.708315	0.567589	84.6169	35.3831
76	0.285814	0.721783	0.529854	84.7076	35.2924
77	0.268025	0.715142	0.498101	84.879	35.121
78	0.291944	0.717125	0.466639	84.973	35.027
79	0.258409	0.721016	0.439229	85.1006	34.8994
80	0.294897	0.714615	0.41365	85.192	34.808
81	0.244724	0.728727	0.390238	85.2794	34.7206
82	0.30232	0.711606	0.371198	85.3665	34.6335
83	0.211392	0.743597	0.351712	85.4074	34.5926
84	0.058036	0.898132	0.343823	84.9741	35.0259
85	0.0743761	1.0516	0.341536	84.3531	35.6469
86	0.362091	0.718289	0.582946	84.433	35.567
87	0.260502	0.717182	0.555069	84.6505	35.3495
88	0.301811	0.711674	0.519899	84.7719	35.2281
89	0.259359	0.722013	0.487542	84.9024	35.0976
90	0.290134	0.711758	0.458372	85.0293	34.9707
91	0.256418	0.72709	0.430286	85.1141	34.8859
92	0.281716	0.712274	0.406847	85.2418	34.7582
93	0.246873	0.736329	0.382671	85.2771	34.7229
94	0.275575	0.711689	0.365907	85.414	34.586
95	0.160385	0.777196	0.346792	85.3437	34.6563
96	0.0603961	0.949535	0.343176	84.7688	35.2312
97	0.0987905	1.09014	0.340409	84.179	35.821
98	0.314125	0.704538	0.580783	84.5446	35.4554
99	0.257495	0.724974	0.543046	84.6704	35.3296
100	0.287491	0.709619	0.510097	84.8336	35.1664
