Time	[RuBP]	[PGA]	[TP]	[Ru5P]	[Pi]	[ATP]	[ADP]	[RuBisCo]	[totRuBP]	[TPc]	[Pic]
0	2	2.4	0.5	0.0500747	5	0.68	0.82	3.56	3.68496	0.2	1.4
1	1.76265	3.05852	0.44928	0.362049	4.07208	1.16284	0.337156	3.56	3.44761	0.2	1.4
2	1.84162	3.56002	0.444471	0.368262	3.49198	1.0821	0.417902	3.56	3.52658	0.2	1.4
3	1.90301	4.05714	0.431908	0.356086	2.97369	1.00523	0.494771	3.56	3.58798	0.2	1.4
4	1.9293	4.54725	0.415845	0.34221	2.54293	0.923256	0.576744	3.56	3.61426	0.2	1.4
5	1.92	5.03027	0.397732	0.329096	2.19805	0.834934	0.665066	3.56	3.60496	0.2	1.4
6	1.87785	5.50651	0.378922	0.317619	1.92785	0.743483	0.756517	3.56	3.56281	0.2	1.4
7	1.80803	5.97454	0.360315	0.308028	1.71707	0.654059	0.845941	3.56	3.49299	0.2	1.4
8	1.71754	6.43011	0.342444	0.300133	1.55058	0.571738	0.928262	3.56	3.4025	0.2	1.4
9	1.61416	6.86633	0.325652	0.29355	1.41633	0.499891	1.00011	3.56	3.29912	0.2	1.4
10	1.50532	7.27533	0.310209	0.287919	1.30626	0.439715	1.06028	3.56	3.19028	0.2	1.4
11	1.39718	7.65031	0.296325	0.283007	1.21534	0.390745	1.10926	3.56	3.08214	0.2	1.4
12	1.29423	7.98676	0.284128	0.278701	1.14039	0.351639	1.14836	3.56	2.97919	0.2	1.4
13	1.19939	8.28282	0.273652	0.274961	1.07908	0.320786	1.17921	3.56	2.88435	0.2	1.4
14	1.11429	8.53886	0.264837	0.271769	1.0294	0.296631	1.20337	3.56	2.79925	0.2	1.4
15	1.03957	8.75689	0.257554	0.269103	0.989564	0.277815	1.22218	3.56	2.72454	0.2	1.4
16	0.975211	8.93999	0.251629	0.266921	0.957908	0.263205	1.23679	3.56	2.66017	0.2	1.4
17	0.920675	9.09186	0.246869	0.265166	0.932945	0.251884	1.24812	3.56	2.60564	0.2	1.4
18	0.875129	9.21645	0.243083	0.263778	0.913383	0.243124	1.25688	3.56	2.56009	0.2	1.4
19	0.837571	9.31767	0.240096	0.262692	0.898125	0.236351	1.26365	3.56	2.52253	0.2	1.4
20	0.806937	9.39921	0.237754	0.26185	0.886267	0.231117	1.26888	3.56	2.4919	0.2	1.4
21	0.782185	9.46443	0.235926	0.261201	0.877074	0.227073	1.27293	3.56	2.46715	0.2	1.4
22	0.762344	9.51627	0.234503	0.260703	0.86996	0.223948	1.27605	3.56	2.44731	0.2	1.4
23	0.746545	9.55727	0.233398	0.260321	0.864461	0.221535	1.27847	3.56	2.43151	0.2	1.4
24	0.734036	9.58955	0.232542	0.26003	0.860213	0.21967	1.28033	3.56	2.419	0.2	1.4
25	0.724177	9.61487	0.231879	0.259807	0.856933	0.21823	1.28177	3.56	2.40914	0.2	1.4
26	0.716436	9.63468	0.231366	0.259636	0.854401	0.217117	1.28288	3.56	2.4014	0.2	1.4
27	0.710377	9.65014	0.23097	0.259505	0.852446	0.216257	1.28374	3.56	2.39534	0.2	1.4
28	0.705647	9.66218	0.230663	0.259405	0.850937	0.215593	1.28441	3.56	2.39061	0.2	1.4
29	0.701961	9.67155	0.230426	0.259328	0.849772	0.21508	1.28492	3.56	2.38692	0.2	1.4
30	0.699095	9.67882	0.230243	0.259269	0.848872	0.214684	1.28532	3.56	2.38406	0.2	1.4
31	0.696868	9.68446	0.230102	0.259224	0.848178	0.214377	1.28562	3.56	2.38183	0.2	1.4
32	0.695141	9.68883	0.229993	0.259189	0.847641	0.21414	1.28586	3.56	2.3801	0.2	1.4
33	0.693801	9.69222	0.229908	0.259162	0.847227	0.213957	1.28604	3.56	2.37876	0.2	1.4
34	0.692763	9.69484	0.229843	0.259141	0.846907	0.213816	1.28618	3.56	2.37773	0.2	1.4
35	0.69196	9.69687	0.229793	0.259125	0.84666	0.213707	1.28629	3.56	2.37692	0.2	1.4
36	0.691338	9.69844	0.229754	0.259113	0.846469	0.213622	1.28638	3.56	2.3763	0.2	1.4
37	0.690857	9.69965	0.229724	0.259103	0.846321	0.213557	1.28644	3.56	2.37582	0.2	1.4
38	0.690485	9.70059	0.2297	0.259096	0.846208	0.213507	1.28649	3.56	2.37545	0.2	1.4
