Time	[PGA]	[DPGA]	[GAP]	[DHAP]	[TP]	[FBP]	[F6P]	[G6P]	[G1P]	[HeP]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[PeP]	[RuBP]	[ATP]	[ADP]	[NADPH]	[Pi]	[PGCA]	[GCA]	[GCEA]	[CO2]	[O2]	[NADP]	[HPRc]	[GCAc]	[GOAc]	[GLYc]	[SERc]	[GCEAc]	[PGAc]	[GAPc]	[DHAPc]	[TPc]	[FBPc]	[F6Pc]	[G6Pc]	[G1Pc]	[HePc]	[F26BPc]	[UDPGc]	[SucPc]	[Succ]	[UTPc]	[UDPc]	[NAD]	[NADH]	[GLUc]	[KGc]	[Pic]	[PiTc]	[ATPc]	[ADPc]	[PiPic]
0	2.4	0.0011	0.0238095	0.47619	0.5	0.67	0.640764	1.47376	0.085478	2.2	0.05	0.3	2	0.0747384	0.125187	0.0500747	0.25	2	0.68	0.82	0.21	0.9749	0.0029	0.36	0.1812	0.009	0.2646	0.29	0.0035	0.36	0.028	1.8	7.5	0.1812	0	0.109524	2.19048	2.3	2	1.68884	3.88432	0.226844	5.8	7.8e-06	0.57	0	0	0.75	0.18	0.4	0.47	24	0.4	1.79998	1.79998	0.35	0.65	2.70253e-07
1	0.427297	1.20336	0.0675097	1.35019	1.4177	0.0909008	0.63153	1.45252	0.0842461	2.16829	0.409953	0.210763	1.75858	0.139168	0.233106	0.0932426	0.465517	2.38565	0.354899	1.1451	0.21	0.216271	0.000140087	0.0685185	0.0656356	0.009	0.2646	0.29	0.00465437	0.0511664	0.0217715	2.12786	7.39203	0.1136	0.131494	0.1379	2.758	2.8959	1.94664	1.68735	3.8809	0.226645	5.7949	0.00491377	0.618327	0.00163283	0.0013426	0.75	0.131673	0.4	0.47	24	0.4	1.17296	1.17296	0.35	0.65	1.15139e-07
2	0.128522	0.731943	0.0841396	1.68279	1.76693	0.0194175	0.521771	1.20007	0.0696042	1.79145	0.507011	0.350414	1.50779	0.148379	0.248534	0.0994137	0.496327	2.9342	0.493484	1.00652	0.21	0.236391	0.000143341	0.0332825	0.0119353	0.009	0.2646	0.29	0.00227953	0.0225111	0.0102053	1.93438	7.51329	0.0241975	0.108643	0.167269	3.34538	3.51264	1.9057	1.68303	3.87096	0.226064	5.78005	0.0087913	0.665321	0.00225029	0.00348866	0.75	0.0846792	0.4	0.47	24	0.4	0.667434	0.667434	0.35	0.65	3.71798e-08
3	0.06328	0.00780635	0.0974055	1.94811	2.04551	0.0225631	0.420903	0.968077	0.0561485	1.44513	0.547	0.484226	1.21513	0.143798	0.240862	0.0963449	0.481006	3.59108	0.700736	0.799264	0.21	0.290717	0.000146374	0.0327285	0.00732284	0.009	0.2646	0.29	0.00226638	0.022084	0.00979686	1.72444	7.6354	0.0174313	0.0736165	0.18897	3.7794	3.96837	1.87199	1.67727	3.85772	0.225291	5.76028	0.0119692	0.710979	0.0026608	0.00555001	0.75	0.0390205	0.4	0.47	24	0.4	0.327162	0.327162	0.35	0.65	8.7913e-09
4	0.125122	0.00677673	0.0889118	1.77824	1.86715	0.0188272	0.350187	0.805429	0.0467149	1.20233	0.559239	0.550887	0.996834	0.143969	0.241148	0.0964591	0.481576	4.00643	0.437728	1.06227	0.21	0.164049	0.000140234	0.032923	0.00925607	0.009	0.2646	0.29	0.00229876	0.0221408	0.00966215	1.56149	7.73238	0.0191677	0.0490518	0.201881	4.03762	4.2395	1.84312	1.6706	3.84239	0.224396	5.73739	0.014679	0.755339	0.00301959	0.00742117	0.75	-0.005339	0.4	0.47	24	0.4	0.155446	0.155446	0.35	0.65	2.65524e-09
5	0.27609	0.00557299	0.0914827	1.82965	1.92114	0.0185336	0.301257	0.692892	0.0401877	1.03434	0.54209	0.575969	0.877519	0.154031	0.258002	0.103201	0.515234	4.12494	0.270992	1.22901	0.21	0.112424	0.000137509	0.0331989	0.0152256	0.009	0.2646	0.29	0.00231949	0.0221253	0.00953764	1.43589	7.80948	0.0247966	0.034257	0.209066	4.18132	4.39039	1.81773	1.66327	3.82552	0.223411	5.71221	0.0170736	0.798443	0.00335885	0.00912351	0.75	-0.0484426	0.4	0.47	24	0.4	0.0901912	0.0901912	0.35	0.65	3.41069e-10
6	0.538339	0.00477545	0.095291	1.90582	2.00111	0.0189324	0.266885	0.613836	0.0356025	0.916323	0.509609	0.582533	0.826022	0.16427	0.275152	0.110061	0.549483	4.07712	0.199571	1.30043	0.21	0.0926884	0.000136152	0.0336621	0.0274399	0.009	0.2646	0.29	0.0023293	0.0220427	0.00941429	1.33849	7.8715	0.0365535	0.026511	0.213709	4.27418	4.48789	1.795	1.65541	3.80744	0.222354	5.6852	0.0192461	0.840319	0.00369351	0.0106973	0.75	-0.0903188	0.4	0.47	24	0.4	0.0682184	0.0682184	0.35	0.65	3.27324e-10
7	0.846468	0.00460196	0.099379	1.98758	2.08696	0.0195239	0.241508	0.555469	0.0322172	0.829195	0.474875	0.575172	0.807953	0.170914	0.286281	0.114513	0.571708	3.96104	0.175273	1.32473	0.21	0.0867674	0.00013543	0.0342453	0.0433794	0.009	0.2646	0.29	0.00233469	0.0219538	0.0093089	1.26262	7.92196	0.052321	0.0236087	0.217324	4.34648	4.5638	1.77442	1.64711	3.78835	0.22124	5.6567	0.0212472	0.880982	0.00403305	0.0121852	0.75	-0.130982	0.4	0.47	24	0.4	0.0605148	0.0605148	0.35	0.65	4.92824e-10
8	1.15454	0.00459169	0.103713	2.07426	2.17797	0.0202662	0.221725	0.509968	0.0295781	0.761271	0.441755	0.560409	0.799119	0.175707	0.29431	0.117724	0.587741	3.8285	0.165186	1.33481	0.21	0.0847565	0.000134909	0.03486	0.0603309	0.009	0.2646	0.29	0.00233763	0.0218692	0.00922119	1.20342	7.96345	0.0692029	0.0236109	0.220475	4.40949	4.62997	1.75564	1.63845	3.76843	0.220076	5.62696	0.0231062	0.920439	0.00438221	0.0136247	0.75	-0.170439	0.4	0.47	24	0.4	0.0575826	0.0575826	0.35	0.65	5.62878e-10
9	1.45556	0.00458343	0.107794	2.15588	2.26368	0.0210132	0.20589	0.473546	0.0274657	0.706901	0.411548	0.541707	0.791665	0.179541	0.300731	0.120292	0.600564	3.69613	0.159399	1.3406	0.21	0.0836807	0.000134451	0.0354905	0.0776892	0.009	0.2646	0.29	0.00233862	0.0217877	0.00914695	1.15713	7.99797	0.0864469	0.0252395	0.223376	4.46753	4.6909	1.7384	1.62947	3.74779	0.218871	5.59614	0.0248425	0.958694	0.00474305	0.0150448	0.75	-0.208694	0.4	0.47	24	0.4	0.0564849	0.0564849	0.35	0.65	-3.27949e-10
10	1.7509	0.00456809	0.111358	2.22716	2.33852	0.0216794	0.193034	0.443978	0.0257507	0.662763	0.384711	0.520605	0.783931	0.182543	0.305759	0.122304	0.610606	3.56815	0.155499	1.3445	0.21	0.0829464	0.000134024	0.0361372	0.0954338	0.009	0.2646	0.29	0.00233814	0.0217089	0.0090832	1.12085	8.0271	0.10401	0.0277736	0.226121	4.52243	4.74855	1.72251	1.62023	3.72652	0.217629	5.56438	0.0264705	0.995751	0.00511645	0.0164667	0.75	-0.245751	0.4	0.47	24	0.4	0.0562302	0.0562302	0.35	0.65	9.40933e-10
11	2.04102	0.00455536	0.114372	2.28744	2.40181	0.0222436	0.182457	0.41965	0.0243397	0.626447	0.361101	0.498197	0.775614	0.184784	0.309512	0.123805	0.618101	3.44531	0.15274	1.34726	0.21	0.0824311	0.000133614	0.0367972	0.113538	0.009	0.2646	0.29	0.00233652	0.0216322	0.00902752	1.09232	8.05201	0.12187	0.0308174	0.228757	4.57514	4.80389	1.70779	1.61073	3.70469	0.216354	5.53177	0.0280015	1.03161	0.00550283	0.0179054	0.75	-0.281612	0.4	0.47	24	0.4	0.0564295	0.0564295	0.35	0.65	9.93694e-12
