Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin{"Plasma Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
0	0	0	3	0	3	1	3	1	0	0	1	3	0	3	3	4	0	0	2	2	2	2	0	4	5	5	0	0	0	0	0	0	0	0	0	5	1	5	5	0	0	3	0	0	2	0	0	0	0.5	0
1	1.1127	0.551572	1.75192	0.69651	2.30349	0.342417	2.82295	0.578923	0.421077	0.00587239	0.599455	1.81094	0.271826	2.9437	2.63691	1.4261	0.00985552	0.0425071	1.35222	1.86327	1.58943	1.01639	0.0469765	2.22983	2.63922	0.357528	0.984299	0.341383	0.68119	0.306348	0.786565	0.335821	0.237212	0.273841	0.0595519	4.21226	0.432203	0.357528	0.357528	0.236044	0.229319	2.63691	0.120755	0.0504227	1.21402	0.727422	0.727422	0.00848954	0.5	0.0897544
2	1.18828	0.70934	1.05741	1.23325	1.76675	0.137649	2.6769	0.5538	0.4462	0.0242107	0.616476	1.70786	0.543501	2.85493	2.62039	1.61235	0.0272166	0.193416	0.783719	1.43712	1.0032	0.515667	0.367166	1.75475	1.86913	0.184409	0.711984	0.300607	0.559269	0.260696	0.760916	0.268052	0.21948	0.433924	0.0883593	4.10774	0.196587	0.184409	0.184409	0.189374	0.350085	2.62039	0.178031	0.12086	1.12075	0.81628	0.81628	0.0196528	0.5	0.195711
3	1.21885	0.772952	0.808495	1.41855	1.58145	0.0718967	2.59752	0.571936	0.428064	0.0402599	0.650314	1.70881	0.657605	2.79697	2.61476	1.77737	0.039151	0.335129	0.508805	1.10128	0.688564	0.291661	0.735367	1.45908	1.58965	0.140875	0.581755	0.258627	0.476309	0.295253	0.832584	0.217144	0.179758	0.412721	0.107136	4.08387	0.117453	0.140875	0.140875	0.157277	0.322475	2.61476	0.199448	0.162773	1.11592	0.832388	0.832388	0.0231822	0.5	0.163348
4	1.23285	0.796831	0.724056	1.47911	1.52089	0.0502628	2.55592	0.598063	0.401937	0.0502581	0.676342	1.72757	0.718074	2.76465	2.608	1.90184	0.0464382	0.440743	0.356667	0.870851	0.507968	0.17597	1.01314	1.23882	1.4912	0.120149	0.502073	0.228544	0.420469	0.346394	0.937154	0.180697	0.151301	0.362882	0.123507	4.06939	0.0823879	0.120149	0.120149	0.133889	0.277331	2.608	0.208726	0.185094	1.12203	0.836572	0.836572	0.0221906	0.5	0.11601
5	1.23838	0.805144	0.695906	1.49895	1.50105	0.0429896	2.53396	0.621826	0.378174	0.0558286	0.695326	1.74817	0.756427	2.74734	2.6	1.99482	0.0511413	0.520698	0.26537	0.709978	0.395052	0.114558	1.20845	1.07891	1.45753	0.108534	0.448675	0.206812	0.380665	0.401168	1.03565	0.150812	0.129682	0.314926	0.137759	4.05657	0.0636835	0.108534	0.108534	0.114739	0.235729	2.6	0.213383	0.196826	1.12805	0.83838	0.83838	0.0195559	0.5	0.081569
6	1.24036	0.807952	0.686562	1.50549	1.49451	0.0405528	2.52178	0.640579	0.359421	0.0588449	0.709022	1.76614	0.783648	2.73798	2.59085	2.06349	0.054486	0.583797	0.20735	0.594137	0.320016	0.0808198	1.34715	0.965321	1.4462	0.101745	0.411671	0.1909	0.351632	0.453882	1.1155	0.12653	0.112666	0.274121	0.150012	4.0451	0.0522938	0.101745	0.101745	0.0985843	0.199851	2.59085	0.2162	0.203179	1.13287	0.839491	0.839491	0.0166521	0.5	0.0587103
7	1.24104	0.80889	0.683461	1.50765	1.49235	0.0398226	2.51429	0.654558	0.345442	0.0605221	0.718743	1.7803	0.804469	2.73258	2.58074	2.11325	0.057084	0.634983	0.168485	0.508118	0.267664	0.0610781	1.44837	0.884865	1.44243	0.0977692	0.385788	0.179242	0.330401	0.501226	1.17621	0.107406	0.0991798	0.240454	0.160625	4.03498	0.0445414	0.0977692	0.0977692	0.0848311	0.169486	2.58074	0.218285	0.206899	1.13667	0.840254	0.840254	0.0140045	0.5	0.0435113
8	1.24126	0.809202	0.682432	1.50837	1.49163	0.0397314	2.509	0.664732	0.335268	0.061534	0.72546	1.79071	0.821183	2.72909	2.56988	2.14842	0.0592318	0.677182	0.141162	0.442425	0.2296	0.0486486	1.52441	0.827432	1.44117	0.0955037	0.367745	0.170767	0.315001	0.54176	1.22122	0.092513	0.0884387	0.212824	0.16998	4.02604	0.0387365	0.0955037	0.0955037	0.0731068	0.144001	2.56988	0.220092	0.209372	1.13972	0.840779	0.840779	0.0117589	0.5	0.0331654
9	1.24134	0.809306	0.682091	1.5086	1.4914	0.0398957	2.50469	0.672061	0.327939	0.062228	0.729912	1.79786	0.835025	2.7265	2.55849	2.17245	0.0610755	0.712342	0.12113	0.39099	0.200934	0.0402811	1.58309	0.785952	1.44075	0.0943026	0.355322	0.164686	0.303995	0.575352	1.25433	0.0808493	0.0798037	0.190055	0.178393	4.01808	0.0340553	0.0943026	0.0943026	0.0631157	0.122683	2.55849	0.221805	0.211273	1.14224	0.841126	0.841126	0.00990987	0.5	0.0259237
