Time	[NICD]	[Notch]	[Notch TM]	[Gamma secretase]	[DAPT]	[RBP-jk]	[Complex NICD-RBP]	[Hes-1]	[Shh]	[Ptch1]	[Complex Shh Ptch1]	[smo]	[SAG]	[EGF]	[EGFR]	[Complex EGF-EGFR]	[Erlotinib]	[Wnt]	[Frzzl]	[Complex Wnt-Frzzl]	[Dishevelled]	[FRAT-CK2]	[Complex Dishevelled-FRAT-CK2]	[GSK3B]	[Beta-catenin]	[Complex GSK3B-Bcatenin]	[6 bromoindirubin 3`oxime]
0	0	5	0	5	100	5	0	0	5	5	0	5	0	5	5	0	100	5	5	0	5	5	0	5	5	0	100
1	0.103317	4.95923	0.0407729	5	100	5.06254	0.602894	1.23711	1.81067	1.81067	3.18933	5	0	4.76786	4.76786	0.792399	100	1.81067	1.81067	3.18933	3.41113	3.41113	1.58887	4.8889	2.42609	0.111097	100
2	0.191085	4.91962	0.0803811	5	100	5.1107	0.997501	1.28711	1.79149	1.79149	3.20851	5	0	4.56282	4.56282	1.22299	100	1.79149	1.79149	3.20851	2.34204	2.34204	2.65796	4.85872	1.6776	0.141284	100
3	0.23464	4.88089	0.119105	5	100	5.11553	1.19313	1.32634	1.79129	1.79129	3.20871	5	0	4.37812	4.37812	1.39354	100	1.79129	1.79129	3.20871	1.94867	1.94867	3.05133	4.84016	1.43348	0.15984	100
4	0.25887	4.84285	0.157148	5	100	5.10172	1.30192	1.36785	1.79129	1.79129	3.20871	5	0	4.20988	4.20988	1.4719	100	1.79129	1.79129	3.20871	1.83361	1.83361	3.16639	4.82438	1.37111	0.175621	100
5	0.274802	4.8054	0.1946	5	100	5.0802	1.37246	1.40843	1.79129	1.79129	3.20871	5	0	4.05566	4.05566	1.51796	100	1.79129	1.79129	3.20871	1.80248	1.80248	3.19752	4.8092	1.37449	0.190795	100
6	0.286975	4.7685	0.231504	5	100	5.05547	1.4252	1.44689	1.79129	1.79129	3.20871	5	0	3.91371	3.91371	1.55212	100	1.79129	1.79129	3.20871	1.79423	1.79423	3.20577	4.79399	1.40059	0.206013	100
7	0.297293	4.73212	0.267881	5	100	5.02941	1.4688	1.48291	1.79129	1.79129	3.20871	5	0	3.78266	3.78266	1.58129	100	1.79129	1.79129	3.20871	1.79206	1.79206	3.20794	4.77853	1.43345	0.221469	100
8	0.306573	4.69626	0.303743	5	100	5.00283	1.50703	1.51654	1.79129	1.79129	3.20871	5	0	3.66133	3.66133	1.60781	100	1.79129	1.79129	3.20871	1.79149	1.79149	3.20851	4.76279	1.46724	0.237208	100
9	0.315182	4.6609	0.339099	5	100	4.97608	1.54161	1.54791	1.79129	1.79129	3.20871	5	0	3.54874	3.54874	1.63252	100	1.79129	1.79129	3.20871	1.79134	1.79134	3.20866	4.74677	1.49992	0.253228	100
