Time	[IAAm]	[IAAp]	[AuxTIR1]	[AuxTIAA]	[IAAs]	[ARFIAA]	[ARF2]	[Aux]	[PINm]	[PINp]	[ARm]	[ARp]	[TIR1]	[ARF]	[CRm]	[CRp]	[AHKph]	[Ck]	[ARRBph]	[ARRAph]	[ARRAm]	[ARRAp]	[ARRBp]	[CkAHKph]	[CkAHK]	[F1]	[F2]	[F3]	[F4]	[F5a]	[F5b]	[F6]
0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	2	0	0	0.47619	0.47619	0	0	0.47619	0.47619	0
1	6.41732	465.415	0.000517968	0.10948	0.109374	0.969283	0.0143137	6.94352e-06	6.71253	6.71348	0.134251	0.13427	0.890002	0.00208937	0.182738	0.183521	0.117507	0.193213	0.0501624	0.810362	32.052	31.7956	1.94984	0.0219692	0.860524	0.000933962	0.0639853	0.022423	0.052224	0.000955385	0.0654529	0.573141
2	4.78585	1032.46	0.000255348	0.119743	0.119642	0.988508	0.00526679	4.03805e-06	4.91722	4.94164	0.0983444	0.0988328	0.880001	0.000958489	0.118862	0.119313	0.0757159	0.230607	0.0373338	0.869708	45.8083	45.7674	1.96267	0.0172418	0.907042	0.000441889	0.0242817	0.0172119	0.0370728	0.000449628	0.024707	0.497065
3	2.68334	1388.31	0.000205822	0.129793	0.129693	0.995407	0.00193795	3.51519e-06	2.72543	2.74356	0.0545087	0.0548713	0.870001	0.00071728	0.091083	0.0912156	0.0638025	0.292626	0.0397284	0.87784	43.1569	43.2334	1.96027	0.0186296	0.917568	0.000333457	0.00900959	0.0184694	0.0390425	0.000339732	0.00917912	0.354302
4	1.34717	1569.83	0.00019605	0.139803	0.139703	0.997938	0.000713207	3.44243e-06	1.34307	1.35314	0.0268613	0.0270629	0.860001	0.000635791	0.0899398	0.0898411	0.0653832	0.361531	0.0505615	0.86035	32.9308	33.0473	1.94944	0.0237056	0.910911	0.000295119	0.00331073	0.0234695	0.0500158	0.000302212	0.0033903	0.212988
5	0.65505	1651.29	0.000199697	0.149799	0.149699	0.99887	0.000262615	3.52584e-06	0.620808	0.625774	0.0124162	0.0125155	0.850001	0.000604937	0.111667	0.111326	0.0769035	0.433328	0.0722421	0.817368	21.5916	21.6971	1.92776	0.0334866	0.88961	0.000278354	0.00120855	0.0332413	0.0730006	0.000287925	0.00125011	0.111233
6	0.340204	1683.32	0.000208954	0.15979	0.15969	0.999213	9.68366e-05	3.67802e-06	0.276232	0.278523	0.00552463	0.00557045	0.840001	0.000593609	0.161956	0.161275	0.0976561	0.507073	0.109788	0.742787	12.6309	12.7057	1.89021	0.0497696	0.852574	0.000268626	0.000438375	0.0496823	0.115254	0.00028267	0.000461293	0.0527653
7	0.222716	1693.83	0.00022063	0.169778	0.169678	0.999338	3.58451e-05	3.863e-06	0.12042	0.121433	0.00240839	0.00242867	0.830002	0.00058999	0.254203	0.253021	0.12623	0.581223	0.167865	0.632224	6.80198	6.84782	1.83214	0.0736816	0.800089	0.000260194	0.000158236	0.0740308	0.186498	0.000280997	0.000170886	0.0237108
8	0.205052	1697.17	0.000233144	0.179765	0.179665	0.999384	1.34062e-05	4.06271e-06	0.052409	0.0528447	0.00104818	0.00105689	0.820002	0.000588857	0.404142	0.402326	0.158627	0.651913	0.245577	0.49206	3.45883	3.4846	1.75442	0.103735	0.737638	0.000251104	5.73154e-05	0.104721	0.293178	0.000280475	6.40196e-05	0.0104584
9	0.235153	1700.44	0.000245616	0.189753	0.189653	0.999402	5.15061e-06	4.26685e-06	0.0234545	0.0236379	0.00046909	0.000472759	0.810002	0.000587731	0.616621	0.614234	0.188878	0.713784	0.332046	0.343986	1.6971	1.71088	1.66795	0.13509	0.676032	0.000241716	2.1325e-05	0.136561	0.427876	0.000279946	2.46977e-05	0.00470534
10	0.281978	1706.77	0.00025758	0.199741	0.199641	0.99941	2.11229e-06	4.46973e-06	0.0113508	0.0114269	0.000227016	0.000228537	0.800002	0.000585557	0.869976	0.867381	0.211967	0.762925	0.410029	0.216103	0.821837	0.828927	1.58997	0.161901	0.626132	0.00023334	8.55397e-06	0.163393	0.564676	0.000278913	1.02246e-05	0.00228016
11	0.32665	1716.79	0.000268877	0.209729	0.209629	0.999416	9.9241e-07	4.66931e-06	0.00635645	0.00638768	0.000127129	0.000127754	0.790002	0.000582144	1.11832	1.11602	0.226264	0.799024	0.467	0.125842	0.405029	0.408533	1.533	0.180893	0.592842	0.000226831	3.99895e-06	0.181965	0.674035	0.000277287	4.88848e-06	0.00127591
12	0.360523	1729.77	0.000279564	0.219719	0.219619	0.999421	5.77486e-07	4.86619e-06	0.00431016	0.00432294	8.62031e-05	8.64588e-05	0.780002	0.000577779	1.31906	1.31736	0.2333	0.824797	0.501736	0.0724961	0.212642	0.214301	1.49826	0.192468	0.574232	0.000222123	2.34845e-06	0.192889	0.744159	0.000275208	2.90969e-06	0.000863841
13	0.382635	1744.53	0.000289796	0.229708	0.229608	0.999426	4.21412e-07	5.06226e-06	0.00346966	0.00347495	6.93933e-05	6.94991e-05	0.770002	0.000572891	1.45669	1.45561	0.235753	0.843779	0.520428	0.0448855	0.125849	0.126607	1.47957	0.198933	0.565313	0.000218673	1.73381e-06	0.198647	0.78223	0.000272879	2.1636e-06	0.000694508
14	0.395704	1760.03	0.000299731	0.239698	0.239598	0.999431	3.60375e-07	5.2596e-06	0.00311716	0.00311943	6.23431e-05	6.23886e-05	0.760002	0.00056785	1.53996	1.53933	0.235833	0.858708	0.529916	0.0317461	0.0872825	0.0876214	1.47008	0.202505	0.561662	0.000215966	1.49322e-06	0.201539	0.800886	0.000270477	1.87013e-06	0.000623497
15	0.402991	1775.52	0.000309495	0.249688	0.249589	0.999436	3.34331e-07	5.45991e-06	0.00296082	0.00296188	5.92164e-05	5.92376e-05	0.750002	0.000562898	1.58612	1.58579	0.234861	0.871224	0.53477	0.0257642	0.0702423	0.070393	1.46523	0.204604	0.560535	0.000213688	1.38947e-06	0.20301	0.809602	0.000268118	1.7434e-06	0.000592026
16	0.406972	1790.56	0.00031917	0.259679	0.259579	0.999441	3.21317e-07	5.66443e-06	0.00288335	0.00288392	5.7667e-05	5.76784e-05	0.740002	0.000558172	1.61033	1.61016	0.233505	0.882188	0.537437	0.0230765	0.0626416	0.0627097	1.46256	0.205981	0.560513	0.000211679	1.3367e-06	0.203815	0.813665	0.000265867	1.67888e-06	0.000576452
17	0.40919	1804.9	0.000328811	0.269669	0.269569	0.999446	3.13314e-07	5.8741e-06	0.00283804	0.00283841	5.67608e-05	5.67681e-05	0.730002	0.00055374	1.62267	1.62258	0.232068	0.892031	0.539087	0.0218464	0.0591283	0.0591607	1.46091	0.206998	0.560934	0.000209866	1.30366e-06	0.204313	0.815645	0.000263755	1.63841e-06	0.000567359
18	0.410504	1818.42	0.000338454	0.279659	0.279559	0.99945	3.07398e-07	6.08961e-06	0.00280643	0.00280671	5.61287e-05	5.61342e-05	0.720002	0.000549627	1.62896	1.62892	0.230676	0.900981	0.540255	0.0212488	0.0573739	0.0573909	1.45975	0.207821	0.561504	0.000208215	1.27895e-06	0.204665	0.816707	0.000261795	1.60807e-06	0.000561027
19	0.411362	1831.04	0.000348125	0.28965	0.28955	0.999454	3.02497e-07	6.31158e-06	0.00278127	0.0027815	5.56255e-05	5.56301e-05	0.710002	0.000545841	1.63229	1.63226	0.229374	0.909166	0.541176	0.0209241	0.0563804	0.0563907	1.45882	0.208526	0.5621	0.000206708	1.25838e-06	0.204942	0.817363	0.000259991	1.58275e-06	0.000555991
20	0.411983	1842.73	0.000357843	0.29964	0.29954	0.999457	2.98212e-07	6.54057e-06	0.0027597	0.00275991	5.51941e-05	5.51981e-05	0.700002	0.000542379	1.63418	1.63417	0.228176	0.916671	0.541955	0.0207191	0.0557248	0.0557321	1.45805	0.209151	0.562674	0.000205336	1.24036e-06	0.205176	0.81783	0.000258342	1.56054e-06	0.000551677
21	0.412477	1853.48	0.000367625	0.30963	0.30953	0.99946	2.9439e-07	6.77713e-06	0.00274059	0.00274077	5.48117e-05	5.48154e-05	0.690003	0.000539235	1.6354	1.63539	0.22708	0.923559	0.542639	0.0205694	0.0552297	0.0552355	1.45736	0.209711	0.563208	0.000204093	1.22428e-06	0.205382	0.818203	0.000256844	1.54072e-06	0.000547853
22	0.412894	1863.28	0.000377487	0.31962	0.31952	0.999463	2.90965e-07	7.02183e-06	0.00272345	0.00272362	5.44691e-05	5.44723e-05	0.680003	0.000536401	1.63627	1.63627	0.226081	0.929883	0.543252	0.020448	0.0548208	0.0548257	1.45675	0.210219	0.5637	0.000202973	1.20988e-06	0.205566	0.81852	0.000255494	1.52295e-06	0.000544427
23	0.413259	1872.11	0.000387445	0.32961	0.32951	0.999466	2.87904e-07	7.27526e-06	0.0027081	0.00270824	5.4162e-05	5.41649e-05	0.670003	0.00053387	1.63697	1.63696	0.22517	0.93569	0.543805	0.020344	0.054467	0.0544713	1.4562	0.210681	0.564149	0.000201973	1.19702e-06	0.205732	0.8188	0.000254288	1.50708e-06	0.000541356
24	0.413585	1879.99	0.000397513	0.3396	0.3395	0.999468	2.85187e-07	7.53803e-06	0.00269441	0.00269454	5.38883e-05	5.38908e-05	0.660003	0.000531636	1.63755	1.63755	0.22434	0.94102	0.544306	0.0202527	0.0541551	0.0541589	1.45569	0.211101	0.564559	0.00020109	1.18562e-06	0.205882	0.819049	0.000253224	1.493e-06	0.000538618
25	0.413879	1886.89	0.000407706	0.349589	0.349489	0.99947	2.828e-07	7.81081e-06	0.00268233	0.00268245	5.36467e-05	5.36489e-05	0.650003	0.000529692	1.63806	1.63806	0.223583	0.945913	0.544761	0.0201723	0.0538792	0.0538825	1.45524	0.211483	0.564934	0.00020032	1.1756e-06	0.206019	0.819272	0.000252298	1.48064e-06	0.000536202
26	0.414145	1892.82	0.000418039	0.359579	0.359479	0.999471	2.80731e-07	8.0943e-06	0.00267181	0.00267191	5.34363e-05	5.34383e-05	0.640003	0.000528032	1.63852	1.63851	0.222893	0.950403	0.545174	0.0201019	0.0536364	0.0536393	1.45483	0.211831	0.565276	0.000199661	1.16693e-06	0.206142	0.819471	0.000251507	1.46995e-06	0.000534097
27	0.414386	1897.78	0.000428527	0.369568	0.369468	0.999473	2.78971e-07	8.38925e-06	0.00266282	0.00266291	5.32565e-05	5.32581e-05	0.630003	0.000526653	1.63892	1.63891	0.222262	0.954524	0.545548	0.0200414	0.0534253	0.0534279	1.45445	0.212148	0.565589	0.000199111	1.15957e-06	0.206255	0.819646	0.00025085	1.46088e-06	0.000532298
28	0.414605	1901.77	0.000439185	0.379558	0.379458	0.999474	2.77513e-07	8.69646e-06	0.00265533	0.0026554	5.31067e-05	5.3108e-05	0.620003	0.000525551	1.63927	1.63927	0.221686	0.958304	0.545886	0.0199904	0.053245	0.0532471	1.45411	0.212437	0.565877	0.000198669	1.15347e-06	0.206356	0.819801	0.000250325	1.45338e-06	0.000530798
29	0.414804	1904.77	0.000450029	0.389547	0.389447	0.999475	2.7635e-07	9.0168e-06	0.00264932	0.00264937	5.29864e-05	5.29875e-05	0.610003	0.000524722	1.63958	1.63958	0.221159	0.961771	0.546192	0.019949	0.0530948	0.0530965	1.45381	0.2127	0.566141	0.000198332	1.14861e-06	0.206448	0.819934	0.00024993	1.44742e-06	0.000529594
30	0.414984	1906.8	0.000461076	0.399535	0.399436	0.999475	2.75478e-07	9.35119e-06	0.00264477	0.00264481	5.28954e-05	5.28961e-05	0.600004	0.000524165	1.63985	1.63985	0.220678	0.96495	0.546467	0.0199172	0.0529741	0.0529755	1.45353	0.212938	0.566384	0.000198101	1.14497e-06	0.20653	0.820048	0.000249664	1.44299e-06	0.000528682
31	0.415147	1907.84	0.000472342	0.409524	0.409424	0.999476	2.74892e-07	9.70063e-06	0.00264167	0.00264169	5.28333e-05	5.28338e-05	0.590004	0.000523878	1.64008	1.64007	0.220236	0.967866	0.546714	0.0198949	0.0528827	0.0528837	1.45329	0.213155	0.566609	0.000197974	1.14253e-06	0.206604	0.820142	0.000249528	1.44006e-06	0.000528059
32	0.415294	1907.9	0.000483845	0.419512	0.419412	0.999476	2.7459e-07	1.00662e-05	0.00264	0.00264001	5.28001e-05	5.28003e-05	0.580004	0.000523862	1.64026	1.64026	0.219832	0.97054	0.546935	0.0198821	0.0528204	0.0528209	1.45307	0.213352	0.566817	0.000197952	1.14129e-06	0.20667	0.820217	0.00024952	1.43861e-06	0.000527724
33	0.415427	1906.98	0.000495602	0.4295	0.429401	0.999475	2.74573e-07	1.04491e-05	0.00263978	0.00263977	5.27956e-05	5.27955e-05	0.570004	0.000524115	1.64042	1.64041	0.219461	0.97299	0.547131	0.0198789	0.0527868	0.052787	1.45287	0.21353	0.56701	0.000198033	1.14124e-06	0.206729	0.820274	0.000249641	1.43866e-06	0.000527676
34	0.415546	1905.06	0.000507633	0.439488	0.439388	0.999475	2.74839e-07	1.08505e-05	0.00264099	0.00264097	5.28199e-05	5.28195e-05	0.560004	0.000524641	1.64053	1.64053	0.21912	0.975236	0.547304	0.0198855	0.052782	0.0527818	1.4527	0.21369	0.56719	0.000198218	1.14238e-06	0.206781	0.820313	0.000249891	1.44019e-06	0.000527916
35	0.415652	1902.17	0.000519958	0.449476	0.449376	0.999474	2.75391e-07	1.12718e-05	0.00264365	0.00264362	5.28731e-05	5.28724e-05	0.550004	0.00052544	1.64061	1.64061	0.218806	0.977295	0.547456	0.0199018	0.052806	0.0528054	1.45254	0.213835	0.567358	0.000198509	1.14472e-06	0.206827	0.820334	0.000250272	1.44322e-06	0.000528445
36	0.415747	1898.28	0.000532597	0.459463	0.459363	0.999473	2.76232e-07	1.17146e-05	0.00264777	0.00264772	5.29554e-05	5.29544e-05	0.540004	0.000526515	1.64065	1.64065	0.218518	0.979181	0.547588	0.019928	0.0528589	0.052858	1.45241	0.213966	0.567516	0.000198905	1.14827e-06	0.206866	0.820337	0.000250784	1.44776e-06	0.000529264
37	0.415831	1893.4	0.000545573	0.46945	0.46935	0.999472	2.77365e-07	1.21805e-05	0.00265336	0.00265329	5.30671e-05	5.30658e-05	0.530005	0.00052787	1.64066	1.64066	0.218252	0.98091	0.547701	0.0199643	0.052941	0.0529396	1.4523	0.214083	0.567665	0.000199409	1.15304e-06	0.2069	0.820323	0.00025143	1.45384e-06	0.000530377
38	0.415905	1887.54	0.000558908	0.479436	0.479337	0.99947	2.78798e-07	1.26712e-05	0.00266043	0.00266035	5.32086e-05	5.32071e-05	0.520005	0.00052951	1.64063	1.64063	0.218006	0.982493	0.547796	0.0200108	0.0530525	0.0530507	1.4522	0.214187	0.567807	0.000200021	1.15907e-06	0.206929	0.820291	0.000252211	1.46149e-06	0.000531788
39	0.415969	1880.68	0.000572629	0.489422	0.489323	0.999468	2.80535e-07	1.31886e-05	0.00266902	0.00266893	5.33805e-05	5.33786e-05	0.510005	0.000531441	1.64057	1.64057	0.217779	0.983943	0.547874	0.0200676	0.0531938	0.0531916	1.45213	0.21428	0.567942	0.000200745	1.16637e-06	0.206952	0.820242	0.000253131	1.47074e-06	0.000533501
40	0.416024	1872.82	0.000586759	0.499408	0.499308	0.999466	2.82588e-07	1.3735e-05	0.00267916	0.00267905	5.35832e-05	5.3581e-05	0.500005	0.000533667	1.64047	1.64047	0.217568	0.98527	0.547935	0.0201352	0.0533654	0.0533628	1.45206	0.214361	0.568071	0.000201581	1.17499e-06	0.206971	0.820176	0.000254192	1.48165e-06	0.000535523
41	0.416071	1863.98	0.000601329	0.509393	0.509294	0.999463	2.84965e-07	1.43126e-05	0.00269088	0.00269075	5.38176e-05	5.38151e-05	0.490005	0.000536198	1.64033	1.64034	0.217372	0.986486	0.547981	0.0202135	0.0535679	0.0535649	1.45202	0.214433	0.568195	0.000202534	1.18498e-06	0.206985	0.820092	0.000255398	1.49427e-06	0.000537861
42	0.416109	1854.14	0.000616367	0.519378	0.519278	0.99946	2.87679e-07	1.49241e-05	0.00270422	0.00270408	5.40844e-05	5.40816e-05	0.480006	0.000539042	1.64017	1.64017	0.21719	0.987598	0.548012	0.0203031	0.0538021	0.0537986	1.45199	0.214495	0.568315	0.000203606	1.19637e-06	0.206994	0.81999	0.000256753	1.50865e-06	0.000540524
43	0.41614	1843.31	0.000631907	0.529362	0.529263	0.999457	2.90745e-07	1.55723e-05	0.00271923	0.00271908	5.43847e-05	5.43815e-05	0.470006	0.000542209	1.63996	1.63997	0.21702	0.988617	0.548028	0.0204042	0.0540688	0.0540649	1.45197	0.214548	0.568433	0.000204801	1.20924e-06	0.206999	0.819871	0.000258261	1.52489e-06	0.00054352
