Time	[Target]
0	10
1	14.2802
2	18.153
3	21.6573
4	24.8282
5	27.6972
6	30.2933
7	32.6424
8	34.7678
9	36.6909
10	38.4311
11	40.0057
12	41.4305
13	42.7196
14	43.8861
15	44.9416
16	45.8966
17	46.7608
18	47.5427
19	48.2502
20	48.8904
21	49.4696
22	49.9938
23	50.468
24	50.8972
25	51.2855
26	51.6368
27	51.9547
28	52.2423
29	52.5026
30	52.7381
31	52.9512
32	53.1441
33	53.3185
34	53.4764
35	53.6193
36	53.7485
37	53.8655
38	53.9713
39	54.067
40	54.1537
41	54.2321
42	54.303
43	54.3672
44	54.4252
45	54.4778
46	54.5253
47	54.5684
48	54.6073
49	54.6425
50	54.6744
51	54.7032
52	54.7293
53	54.7529
54	54.7743
55	54.7936
56	54.8111
57	54.827
58	54.8413
59	54.8542
60	54.866
61	54.8766
62	54.8862
63	54.8949
64	54.9027
65	54.9098
66	54.9163
67	54.9221
68	54.9274
69	54.9321
70	54.9364
71	54.9403
72	54.9439
73	54.9471
74	54.95
75	54.9526
76	54.9549
77	54.9571
78	54.959
79	54.9608
80	54.9624
81	54.9638
82	54.9651
83	54.9663
84	54.9673
85	54.9683
86	54.9692
87	54.97
88	54.9707
89	54.9713
90	54.9719
91	54.9724
92	54.9729
93	54.9733
94	54.9737
95	54.9741
96	54.9744
97	54.9747
98	54.975
99	54.9752
100	54.9754
