Time	[P]
0	10
1	10.5287
2	11.0591
3	11.5934
4	12.1336
5	12.6816
6	13.2393
7	13.8088
8	14.3921
9	14.9912
10	15.6083
11	16.2455
12	16.9052
13	17.5896
14	18.3011
15	19.0421
16	19.8151
17	20.6227
18	21.4671
19	22.3508
20	23.2761
21	24.245
22	25.2592
23	26.3204
24	27.4294
25	28.5869
26	29.7926
27	31.0457
28	32.3448
29	33.6875
30	35.0706
31	36.4903
32	37.9421
33	39.4206
34	40.9202
35	42.4347
36	43.9579
37	45.4835
38	47.005
39	48.5163
40	50.0118
41	51.4861
42	52.9342
43	54.3518
44	55.7351
45	57.081
46	58.3867
47	59.6501
48	60.8697
49	62.0441
50	63.1727
51	64.2552
52	65.2916
53	66.2821
54	67.2273
55	68.128
56	68.9851
57	69.7997
58	70.5731
59	71.3065
60	72.0014
61	72.6591
62	73.2812
63	73.8691
64	74.4243
65	74.9483
66	75.4424
67	75.9082
68	76.3471
69	76.7603
70	77.1492
71	77.5151
72	77.8592
73	78.1827
74	78.4867
75	78.7723
76	79.0406
77	79.2925
78	79.5289
79	79.7508
80	79.9589
81	80.1542
82	80.3374
83	80.5091
84	80.6702
85	80.8211
86	80.9626
87	81.0952
88	81.2194
89	81.3358
90	81.4449
91	81.547
92	81.6427
93	81.7323
94	81.8162
95	81.8947
96	81.9683
97	82.0372
98	82.1017
99	82.162
100	82.2185
