Time	[IR]	[IRins]	[IRp]	[IRiP]	[IRi]	[IRS]	[IRSiP]	[X]	[Xp]
0	8.94068	0.59689	0.0383526	0.424077	4.83864e-06	9.43998	0.560018	9.99636	0.00364114
1	0.216443	7.44212	0.486179	1.85522	3.62579e-05	6.09845	3.90155	9.99375	0.00625353
2	0.264253	7.06358	0.454256	2.21785	5.82294e-05	6.52769	3.47231	9.99158	0.00841905
3	0.282846	7.20842	0.461703	2.04696	6.44053e-05	6.67586	3.32414	9.98989	0.0101063
4	0.288787	7.41277	0.474932	1.82344	6.51959e-05	6.75305	3.24695	9.9885	0.0115003
5	0.29126	7.57051	0.485447	1.65272	6.50079e-05	6.81433	3.18567	9.98733	0.0126663
6	0.292895	7.6819	0.492896	1.53225	6.48448e-05	6.86776	3.13224	9.98636	0.0136411
7	0.29421	7.76154	0.498206	1.44598	6.47907e-05	6.91371	3.08629	9.98555	0.0144544
8	0.295295	7.82026	0.502106	1.38228	6.47983e-05	6.95249	3.04751	9.98487	0.0151325
9	0.296185	7.86474	0.505053	1.33396	6.48321e-05	6.9849	3.0151	9.9843	0.0156975
10	0.296913	7.89913	0.507327	1.29657	6.48748e-05	7.01186	2.98814	9.98383	0.0161684
11	0.297509	7.92614	0.50911	1.26718	6.49181e-05	7.03424	2.96576	9.98344	0.0165609
12	0.297997	7.94761	0.510525	1.2438	6.49586e-05	7.05282	2.94718	9.98311	0.016888
13	0.298398	7.96483	0.511659	1.22504	6.4995e-05	7.06824	2.93176	9.98284	0.0171608
14	0.298728	7.97875	0.512575	1.20988	6.50268e-05	7.08104	2.91896	9.98261	0.0173883
15	0.299	7.99007	0.513319	1.19755	6.50544e-05	7.09169	2.90831	9.98242	0.0175781
16	0.299224	7.99931	0.513927	1.18747	6.50779e-05	7.10054	2.89946	9.98226	0.0177365
17	0.299411	8.00689	0.514425	1.17921	6.5098e-05	7.1079	2.8921	9.98213	0.0178686
18	0.299565	8.01313	0.514834	1.17241	6.51149e-05	7.11403	2.88597	9.98202	0.0179789
19	0.299693	8.01827	0.515172	1.1668	6.51292e-05	7.11914	2.88086	9.98193	0.0180709
20	0.299799	8.02252	0.515451	1.16216	6.51413e-05	7.12339	2.87661	9.98185	0.0181477
21	0.299887	8.02604	0.515682	1.15832	6.51514e-05	7.12694	2.87306	9.98179	0.0182118
22	0.299961	8.02896	0.515874	1.15514	6.51599e-05	7.1299	2.8701	9.98173	0.0182654
23	0.300022	8.03138	0.516033	1.1525	6.51671e-05	7.13236	2.86764	9.98169	0.0183101
24	0.300073	8.0334	0.516165	1.1503	6.51731e-05	7.13442	2.86558	9.98165	0.0183474
25	0.300116	8.03507	0.516275	1.14847	6.51781e-05	7.13614	2.86386	9.98162	0.0183786
26	0.300151	8.03647	0.516366	1.14695	6.51822e-05	7.13757	2.86243	9.9816	0.0184046
27	0.300181	8.03763	0.516442	1.14569	6.51858e-05	7.13876	2.86124	9.98157	0.0184263
28	0.300205	8.03859	0.516506	1.14463	6.51887e-05	7.13976	2.86024	9.98156	0.0184445
29	0.300226	8.0394	0.516558	1.14375	6.51912e-05	7.14059	2.85941	9.98154	0.0184596
30	0.300243	8.04007	0.516603	1.14302	6.51932e-05	7.14129	2.85871	9.98153	0.0184722
31	0.300257	8.04063	0.516639	1.14241	6.51949e-05	7.14187	2.85813	9.98152	0.0184828
32	0.300269	8.0411	0.51667	1.1419	6.51964e-05	7.14235	2.85765	9.98151	0.0184916
33	0.300279	8.04149	0.516695	1.14147	6.51976e-05	7.14276	2.85724	9.9815	0.018499
34	0.300288	8.04181	0.516717	1.14112	6.51986e-05	7.14309	2.85691	9.98149	0.0185052
35	0.300295	8.04208	0.516735	1.14082	6.51994e-05	7.14338	2.85662	9.98149	0.0185103
36	0.3003	8.04231	0.51675	1.14057	6.52001e-05	7.14361	2.85639	9.98149	0.0185146
37	0.300305	8.0425	0.516762	1.14037	6.52007e-05	7.14381	2.85619	9.98148	0.0185182
38	0.300309	8.04266	0.516772	1.14019	6.52012e-05	7.14397	2.85603	9.98148	0.0185212
39	0.300313	8.04279	0.516781	1.14005	6.52016e-05	7.14411	2.85589	9.98148	0.0185237
40	0.300315	8.0429	0.516788	1.13993	6.52019e-05	7.14422	2.85578	9.98147	0.0185257
41	0.300318	8.04299	0.516794	1.13983	6.52022e-05	7.14432	2.85568	9.98147	0.0185275
42	0.30032	8.04307	0.516799	1.13975	6.52024e-05	7.1444	2.8556	9.98147	0.0185289
43	0.300321	8.04313	0.516803	1.13968	6.52026e-05	7.14447	2.85553	9.98147	0.0185302
44	0.300323	8.04319	0.516807	1.13962	6.52028e-05	7.14452	2.85548	9.98147	0.0185312
45	0.300324	8.04323	0.51681	1.13957	6.52029e-05	7.14457	2.85543	9.98147	0.018532
46	0.300325	8.04327	0.516812	1.13953	6.5203e-05	7.14461	2.85539	9.98147	0.0185327
47	0.300326	8.0433	0.516814	1.13949	6.52031e-05	7.14464	2.85536	9.98147	0.0185333
48	0.300326	8.04333	0.516816	1.13947	6.52032e-05	7.14467	2.85533	9.98147	0.0185338
49	0.300327	8.04335	0.516817	1.13944	6.52033e-05	7.14469	2.85531	9.98147	0.0185342
50	0.300327	8.04337	0.516819	1.13942	6.52033e-05	7.14471	2.85529	9.98147	0.0185346
51	0.300328	8.04338	0.51682	1.13941	6.52034e-05	7.14472	2.85528	9.98147	0.0185349
52	0.300328	8.04339	0.51682	1.13939	6.52034e-05	7.14474	2.85526	9.98146	0.0185351
53	0.300328	8.0434	0.516821	1.13938	6.52035e-05	7.14475	2.85525	9.98146	0.0185353
54	0.300329	8.04341	0.516822	1.13937	6.52035e-05	7.14476	2.85524	9.98146	0.0185355
55	0.300329	8.04342	0.516822	1.13936	6.52035e-05	7.14477	2.85523	9.98146	0.0185356
56	0.300329	8.04343	0.516823	1.13936	6.52035e-05	7.14477	2.85523	9.98146	0.0185357
57	0.300329	8.04343	0.516823	1.13935	6.52035e-05	7.14478	2.85522	9.98146	0.0185358
