Time	[EGFR_active]	[D_SOS]	[A_SOS]	[Raf]	[Ras_active]	[Mek_active]	[ERK]	[ERK_active]	[IGFR_active]	[PI3KCA]	[PI3KCA_active]	[AKT_active]	[AKT]	[PP2A]	[Ras]	[Raf_active]	[Mek]	[RasGapActive]	[RafPP]	[P90RskInactive]	[P90Rsk_Active]
0	8000	120000	0	120000	0	0	600000	0	800	120000	0	0	600000	120000	120000	0	600000	120000	120000	120000	0
1	7841.59	29282.4	90717.6	118083	17538.8	17875.2	579381	20619	784.159	0.169037	120000	3237.63	596762	120000	102461	1917.17	582125	120000	120000	119985	14.8065
2	7686.32	109750	10249.7	119899	2036.34	20407.9	516459	83540.9	768.632	0.175936	120000	6451.13	593549	120000	117964	100.979	579592	120000	120000	119829	170.717
3	7534.12	116254	3745.61	119970	740.611	11549.9	494171	105829	753.412	0.183116	120000	9639.49	590361	120000	119259	30.0512	588450	120000	120000	119548	452.288
4	7384.93	117797	2203.13	119983	434.795	6386.45	497180	102820	738.493	0.190589	120000	12802.8	587197	120000	119565	16.6034	593614	120000	120000	119245	754.503
5	7238.7	118415	1584.84	119989	312.468	3540.39	510110	89890.4	723.87	0.198366	120000	15941.4	584059	120000	119688	11.4666	596460	120000	120000	118971	1029.15
6	7095.36	118730	1269.79	119991	250.21	1995.5	525618	74382	709.536	0.206462	120000	19055.2	580945	120000	119750	8.89261	598004	120000	120000	118740	1259.94
7	6954.87	118914	1085.52	119993	213.823	1160.02	540403	59597	695.487	0.214887	120000	22144.5	577856	120000	119786	7.38912	598840	120000	120000	118555	1445.31
8	6817.15	119032	967.578	119994	190.545	706.906	553183	46817.2	681.715	0.223657	120000	25209.3	574791	120000	119809	6.41798	599293	120000	120000	118410	1589.9
9	6682.16	119113	887.015	119994	174.651	459.111	563659	36341.3	668.216	0.232784	120000	28250	571750	120000	119825	5.7433	599541	120000	120000	118300	1700.36
10	6549.85	119171	829.119	119995	163.233	321.63	571976	28024.3	654.985	0.242284	120000	31266.5	568733	120000	119837	5.24729	599678	120000	120000	118217	1783.4
11	6420.15	119214	785.706	119995	154.673	243.655	578445	21554.8	642.015	0.252172	120000	34259.1	565741	120000	119845	4.86544	599756	120000	120000	118155	1844.93
12	6293.02	119248	751.916	119995	148.013	198.006	583411	16589.3	629.302	0.262463	120000	37227.8	562772	120000	119852	4.55989	599802	120000	120000	118110	1889.87
13	6168.41	119275	724.712	119996	142.652	170.107	587189	12811.4	616.841	0.273174	120000	40173	559827	120000	119857	4.30727	599830	120000	120000	118078	1922.17
14	6046.27	119298	702.122	119996	138.201	152.101	590047	9953.04	604.627	0.284322	120000	43094.5	556905	120000	119862	4.09254	599848	120000	120000	118055	1944.88
15	5926.55	119317	682.831	119996	134.401	139.723	592202	7797.53	592.655	0.295925	120000	45992.8	554007	120000	119866	3.90571	599860	120000	120000	118040	1960.37
16	5809.19	119334	665.938	119996	131.074	130.633	593825	6174.52	580.919	0.308002	120000	48867.8	551132	120000	119869	3.73999	599869	120000	120000	118030	1970.42
17	5694.16	119349	650.818	119996	128.097	123.531	595047	4952.55	569.416	0.320571	120000	51719.7	548280	120000	119872	3.59061	599876	120000	120000	118024	1976.38
18	5581.41	119363	637.031	119997	125.382	117.68	595969	4031.41	558.141	0.333653	120000	54548.7	545451	120000	119875	3.45423	599882	120000	120000	118021	1979.28
19	5470.89	119376	624.261	119997	122.868	112.655	596665	3335.32	547.089	0.34727	120000	57354.9	542645	120000	119877	3.32842	599887	120000	120000	118020	1979.88
20	5362.56	119388	612.283	119997	120.51	108.205	597193	2807.35	536.256	0.361441	120000	60138.4	539862	120000	119879	3.21137	599892	120000	120000	118021	1978.73
21	5256.37	119399	600.933	119997	118.276	104.176	597595	2404.86	525.637	0.376192	120000	62899.4	537101	120000	119882	3.10176	599896	120000	120000	118024	1976.27
22	5152.29	119410	590.09	119997	116.142	100.468	597904	2096.02	515.229	0.391544	120000	65638.1	534362	120000	119884	2.99857	599900	120000	120000	118027	1972.82
23	5050.27	119420	579.668	119997	114.091	97.0197	598143	1857.13	505.027	0.407522	120000	68354.6	531645	120000	119886	2.90102	599903	120000	120000	118031	1968.61
24	4950.27	119430	569.601	119997	112.109	93.7858	598329	1670.53	495.027	0.424153	120000	71048.9	528951	120000	119888	2.80848	599906	120000	120000	118036	1963.81
25	4852.25	119440	559.84	119997	110.188	90.7355	598477	1523.09	485.225	0.441462	120000	73721.4	526279	120000	119890	2.72047	599909	120000	120000	118041	1958.57
26	4756.16	119450	550.348	119997	108.32	87.846	598595	1405.05	475.616	0.459478	120000	76372	523628	120000	119892	2.63657	599912	120000	120000	118047	1952.97
27	4661.99	119459	541.098	119997	106.5	85.0996	598691	1309.16	466.199	0.478229	120000	79001	520999	120000	119894	2.55645	599915	120000	120000	118053	1947.1
28	4569.67	119468	532.067	119998	104.722	82.4828	598770	1230.02	456.967	0.497745	120000	81608.4	518392	120000	119895	2.47983	599918	120000	120000	118059	1941.01
29	4479.19	119477	523.24	119998	102.985	79.9842	598836	1163.61	447.919	0.518057	119999	84194.5	515805	120000	119897	2.40645	599920	120000	120000	118065	1934.74
30	4390.49	119485	514.603	119998	101.285	77.5947	598893	1106.94	439.049	0.539198	119999	86759.3	513241	120000	119899	2.3361	599922	120000	120000	118072	1928.33
31	4303.56	119494	506.144	119998	99.6206	75.3064	598942	1057.79	430.356	0.561202	119999	89303.1	510697	120000	119900	2.26859	599925	120000	120000	118078	1921.8
32	4218.34	119502	497.856	119998	97.9894	73.1125	598986	1014.48	421.834	0.584104	119999	91825.8	508174	120000	119902	2.20376	599927	120000	120000	118085	1915.17
33	4134.81	119510	489.73	119998	96.3903	71.0071	599024	975.762	413.481	0.607941	119999	94327.8	505672	120000	119904	2.14144	599929	120000	120000	118092	1908.46
34	4052.94	119518	481.761	119998	94.8219	68.9847	599059	940.703	405.294	0.63275	119999	96809	503191	120000	119905	2.08151	599931	120000	120000	118098	1901.68
35	3972.68	119526	473.943	119998	93.2832	67.0408	599091	908.594	397.268	0.658571	119999	99269.7	500730	120000	119907	2.02383	599933	120000	120000	118105	1894.83
36	3894.02	119534	466.271	119998	91.7733	65.1709	599121	878.9	389.402	0.685446	119999	101710	498290	120000	119908	1.96829	599935	120000	120000	118112	1887.94
37	3816.91	119541	458.74	119998	90.2912	63.3711	599149	851.213	381.691	0.713418	119999	104130	495870	120000	119910	1.91478	599937	120000	120000	118119	1880.99
38	3741.33	119549	451.347	119998	88.8362	61.6377	599175	825.22	374.133	0.742532	119999	106530	493470	120000	119911	1.8632	599938	120000	120000	118126	1874
39	3667.25	119556	444.088	119998	87.4076	59.9674	599199	800.681	366.725	0.772833	119999	108910	491090	120000	119913	1.81346	599940	120000	120000	118133	1866.98
40	3594.63	119563	436.959	119998	86.0046	58.3572	599223	777.408	359.463	0.804371	119999	111270	488730	120000	119914	1.76546	599942	120000	120000	118140	1859.92
41	3523.45	119570	429.958	119998	84.6266	56.804	599245	755.252	352.345	0.837195	119999	113610	486390	120000	119915	1.71913	599943	120000	120000	118147	1852.83
42	3453.68	119577	423.081	119998	83.2731	55.3051	599266	734.095	345.368	0.871359	119999	115930	484070	120000	119917	1.67439	599945	120000	120000	118154	1845.72
43	3385.3	119584	416.325	119998	81.9435	53.8581	599286	713.844	338.53	0.906917	119999	118231	481769	120000	119918	1.63116	599946	120000	120000	118161	1838.58
44	3318.26	119590	409.687	119998	80.6372	52.4606	599306	694.418	331.826	0.943926	119999	120513	479487	120000	119919	1.58939	599948	120000	120000	118169	1831.42
45	3252.56	119597	403.166	119998	79.3537	51.1103	599324	675.755	325.256	0.982446	119999	122776	477224	120000	119921	1.549	599949	120000	120000	118176	1824.24
46	3188.15	119603	396.758	119998	78.0925	49.8051	599342	657.8	318.815	1.02254	119999	125019	474981	120000	119922	1.50994	599950	120000	120000	118183	1817.05
47	3125.02	119610	390.46	119999	76.8532	48.5431	599359	640.505	312.502	1.06426	119999	127243	472757	120000	119923	1.47214	599951	120000	120000	118190	1809.84
48	3063.14	119616	384.272	119999	75.6352	47.3223	599376	623.831	306.314	1.10769	119999	129449	470551	120000	119924	1.43556	599953	120000	120000	118197	1802.62
49	3002.49	119622	378.189	119999	74.4381	46.1411	599392	607.741	300.249	1.15289	119999	131636	468364	120000	119926	1.40015	599954	120000	120000	118205	1795.39
50	2943.04	119628	372.211	119999	73.2614	44.9977	599408	592.206	294.304	1.19994	119999	133804	466196	120000	119927	1.36585	599955	120000	120000	118212	1788.15
51	2884.76	119634	366.334	119999	72.1049	43.8906	599423	577.195	288.476	1.2489	119999	135954	464046	120000	119928	1.33262	599956	120000	120000	118219	1780.9
52	2827.64	119639	360.557	119999	70.9679	42.8182	599437	562.683	282.764	1.29987	119999	138086	461914	120000	119929	1.30042	599957	120000	120000	118226	1773.65
53	2771.65	119645	354.878	119999	69.8502	41.7792	599451	548.647	277.165	1.35291	119999	140199	459801	120000	119930	1.26921	599958	120000	120000	118234	1766.39
54	2716.76	119651	349.295	119999	68.7514	40.7723	599465	535.065	271.676	1.40812	119999	142295	457705	120000	119931	1.23894	599959	120000	120000	118241	1759.13
55	2662.97	119656	343.806	119999	67.6711	39.796	599478	521.917	266.297	1.46558	119999	144372	455628	120000	119932	1.20959	599960	120000	120000	118248	1751.87
56	2610.24	119662	338.409	119999	66.6088	38.8494	599491	509.184	261.024	1.52538	119998	146432	453568	120000	119933	1.18111	599961	120000	120000	118255	1744.6
57	2558.55	119667	333.102	119999	65.5644	37.9311	599503	496.848	255.855	1.58762	119998	148474	451526	120000	119934	1.15347	599962	120000	120000	118263	1737.34
58	2507.89	119672	327.884	119999	64.5373	37.0401	599515	484.894	250.789	1.65241	119998	150498	449502	120000	119935	1.12664	599963	120000	120000	118270	1730.08
59	2458.23	119677	322.753	119999	63.5274	36.1753	599527	473.304	245.823	1.71983	119998	152505	447495	120000	119936	1.10059	599964	120000	120000	118277	1722.82
60	2409.55	119682	317.706	119999	62.5342	35.3358	599538	462.066	240.955	1.79001	119998	154495	445505	120000	119937	1.07529	599965	120000	120000	118284	1715.56
61	2361.84	119687	312.744	119999	61.5574	34.5207	599549	451.164	236.184	1.86305	119998	156467	443533	120000	119938	1.05072	599965	120000	120000	118292	1708.31
62	2315.07	119692	307.863	119999	60.5968	33.7289	599559	440.586	231.507	1.93907	119998	158422	441578	120000	119939	1.02684	599966	120000	120000	118299	1701.07
63	2269.23	119697	303.062	119999	59.652	32.9598	599570	430.319	226.923	2.0182	119998	160361	439639	120000	119940	1.00363	599967	120000	120000	118306	1693.83
64	2224.3	119702	298.341	119999	58.7228	32.2123	599580	420.352	222.43	2.10055	119998	162282	437718	120000	119941	0.981076	599968	120000	120000	118313	1686.6
65	2180.25	119706	293.697	119999	57.8087	31.4859	599589	410.674	218.025	2.18625	119998	164187	435813	120000	119942	0.959143	599969	120000	120000	118321	1679.37
66	2137.08	119711	289.129	119999	56.9097	30.7797	599599	401.273	213.708	2.27546	119998	166075	433925	120000	119943	0.937813	599969	120000	120000	118328	1672.16
67	2094.77	119715	284.636	119999	56.0253	30.093	599608	392.14	209.477	2.36831	119998	167947	432053	120000	119944	0.917066	599970	120000	120000	118335	1664.95
68	2053.29	119720	280.216	119999	55.1554	29.4251	599617	383.265	205.329	2.46494	119998	169803	430197	120000	119945	0.89688	599971	120000	120000	118342	1657.76
69	2012.63	119724	275.867	119999	54.2996	28.7754	599625	374.638	201.263	2.56552	119997	171642	428358	120000	119946	0.877238	599971	120000	120000	118349	1650.57
70	1972.78	119728	271.59	119999	53.4577	28.1433	599634	366.251	197.278	2.6702	119997	173465	426535	120000	119947	0.858121	599972	120000	120000	118357	1643.4
71	1933.71	119733	267.382	119999	52.6294	27.5281	599642	358.095	193.371	2.77914	119997	175272	424728	120000	119947	0.83951	599972	120000	120000	118364	1636.24
72	1895.42	119737	263.242	119999	51.8146	26.9294	599650	350.162	189.542	2.89254	119997	177064	422936	120000	119948	0.821391	599973	120000	120000	118371	1629.09
73	1857.89	119741	259.169	119999	51.0129	26.3464	599658	342.445	185.789	3.01056	119997	178839	421161	120000	119949	0.803745	599974	120000	120000	118378	1621.96
74	1821.1	119745	255.161	119999	50.2241	25.7788	599665	334.937	182.11	3.13339	119997	180599	419401	120000	119950	0.786558	599974	120000	120000	118385	1614.84
75	1785.04	119749	251.218	119999	49.4481	25.226	599672	327.629	178.504	3.26123	119997	182344	417656	120000	119951	0.769815	599975	120000	120000	118392	1607.73
76	1749.7	119753	247.339	119999	48.6845	24.6876	599679	320.515	174.97	3.39429	119997	184073	415927	120000	119951	0.753502	599975	120000	120000	118399	1600.64
77	1715.05	119756	243.522	119999	47.9332	24.163	599686	313.59	171.505	3.53278	119996	185786	414214	120000	119952	0.737605	599976	120000	120000	118406	1593.56
78	1681.09	119760	239.766	119999	47.1939	23.6519	599693	306.846	168.109	3.67691	119996	187485	412515	120000	119953	0.722111	599976	120000	120000	118413	1586.5
79	1647.8	119764	236.07	119999	46.4665	23.1537	599700	300.277	164.78	3.82692	119996	189168	410832	120000	119954	0.707007	599977	120000	120000	118421	1579.46
80	1615.17	119768	232.433	119999	45.7507	22.6682	599706	293.879	161.517	3.98305	119996	190837	409163	120000	119954	0.692281	599977	120000	120000	118428	1572.43
81	1583.19	119771	228.854	119999	45.0463	22.1948	599712	287.645	158.319	4.14555	119996	192491	407509	120000	119955	0.677921	599978	120000	120000	118435	1565.42
82	1551.84	119775	225.332	119999	44.3531	21.7333	599718	281.571	155.184	4.31468	119996	194129	405871	120000	119956	0.663916	599978	120000	120000	118442	1558.43
83	1521.11	119778	221.867	119999	43.671	21.2832	599724	275.65	152.111	4.4907	119996	195754	404246	120000	119956	0.650256	599979	120000	120000	118449	1551.46
84	1490.99	119782	218.456	119999	42.9997	20.8442	599730	269.88	149.099	4.67391	119995	197364	402636	120000	119957	0.63693	599979	120000	120000	118456	1544.5
85	1461.47	119785	215.1	119999	42.3391	20.4161	599736	264.253	146.147	4.86458	119995	198959	401041	120000	119958	0.623928	599980	120000	120000	118462	1537.56
86	1432.53	119788	211.797	119999	41.6889	19.9983	599741	258.767	143.253	5.06303	119995	200540	399460	120000	119958	0.61124	599980	120000	120000	118469	1530.64
87	1404.16	119791	208.546	119999	41.0491	19.5907	599747	253.417	140.416	5.26957	119995	202107	397893	120000	119959	0.598857	599980	120000	120000	118476	1523.74
88	1376.36	119795	205.347	119999	40.4194	19.1929	599752	248.199	137.636	5.48454	119995	203660	396340	120000	119960	0.58677	599981	120000	120000	118483	1516.86
89	1349.11	119798	202.198	119999	39.7996	18.8047	599757	243.108	134.911	5.70827	119994	205199	394801	120000	119960	0.574971	599981	120000	120000	118490	1510
90	1322.39	119801	199.099	119999	39.1897	18.4257	599762	238.142	132.239	5.94113	119994	206724	393276	120000	119961	0.563451	599982	120000	120000	118497	1503.15
91	1296.21	119804	196.049	119999	38.5893	18.0557	599767	233.295	129.621	6.18347	119994	208235	391765	120000	119961	0.552202	599982	120000	120000	118504	1496.33
92	1270.54	119807	193.046	119999	37.9984	17.6945	599771	228.566	127.054	6.4357	119994	209733	390267	120000	119962	0.541216	599982	120000	120000	118510	1489.53
93	1245.38	119810	190.092	119999	37.4168	17.3417	599776	223.949	124.538	6.69822	119993	211217	388783	120000	119963	0.530486	599983	120000	120000	118517	1482.75
