Time	[FA]	[HETE]	[PGH2]	[PGE2]	[PGF2a]	[PGD2]	[PGJ2]	[dPGJ2]	[Arachidonic acid]	[LPS]	[DG]	[GPCho]	[dPGD2]
0	1	0	0	0	0	0	0	0	25	0.5	0	1	0
1	1	0.762816	10.6574	0.845212	0.252735	12.6283	0.182068	0.00128083	236.808	0.5	-1.09332e-15	0.832698	0.0981893
2	1	2.49028	13.7063	3.61231	1.08015	52.2416	1.87897	0.0290538	304.539	0.5	-2.18737e-15	0.749838	1.0186
3	1	3.87226	11.125	6.10766	1.82631	84.6058	5.49985	0.141109	263.778	0.5	-3.25782e-15	0.749838	3.00097
4	1	4.77844	9.47663	8.20324	2.45293	108.55	10.4786	0.380671	228.974	0.5	-4.23697e-15	0.749838	5.75835
5	1	5.32382	8.28859	10.0085	2.99274	126.341	16.3891	0.77004	198.748	0.5	-5.21918e-15	0.749838	9.07338
6	1	5.59521	7.30438	11.5971	3.46775	139.542	22.9198	1.31737	172.108	0.5	-6.29898e-15	0.749838	12.7861
7	1	5.66102	6.42264	12.9956	3.88594	148.909	29.8279	2.02116	148.69	0.5	-7.47638e-15	0.749838	16.7705
8	1	5.57577	5.63264	14.2237	4.25318	155.034	36.9134	2.87302	128.158	0.5	-8.75138e-15	0.749838	20.9212
9	1	5.3827	4.91248	15.2982	4.57446	158.42	44.0121	3.85965	110.238	0.5	-1.01106e-14	0.749838	25.1499
10	1	5.11601	4.27086	16.2335	4.85414	159.498	50.9898	4.96445	94.6622	0.5	-1.1541e-14	0.749838	29.383
11	1	4.8023	3.70601	17.0459	5.09706	158.691	57.7393	6.16876	81.1484	0.5	-1.30424e-14	0.749838	33.5602
12	1	4.46191	3.20995	17.7502	5.30767	156.365	64.1783	7.45295	69.4452	0.5	-1.4615e-14	0.749838	37.6332
13	1	4.11016	2.77904	18.3601	5.49002	152.841	70.2453	8.79726	59.3193	0.5	-1.62652e-14	0.749838	41.5647
14	1	3.75838	2.40231	18.8877	5.6478	148.394	75.8966	10.1824	50.567	0.5	-1.8e-14	0.749838	45.3261
15	1	3.41476	2.07212	19.3434	5.78405	143.246	81.1033	11.59	43.0186	0.5	-1.98194e-14	0.749838	48.8965
16	1	3.08509	1.78339	19.736	5.90144	137.585	85.8482	13.0031	36.5229	0.5	-2.17234e-14	0.749838	52.2613
17	1	2.77327	1.53152	20.0735	6.00237	131.569	90.1238	14.406	30.945	0.5	-2.3712e-14	0.749838	55.4107
18	1	2.48172	1.31234	20.3631	6.08895	125.329	93.9305	15.7849	26.1659	0.5	-2.57852e-14	0.749838	58.3396
19	1	2.21171	1.12207	20.6109	6.16306	118.976	97.2753	17.1274	22.0799	0.5	-2.7943e-14	0.749838	61.0463
20	1	1.96368	0.957296	20.8226	6.22636	112.599	100.17	18.4228	18.5942	0.5	-3.01854e-14	0.749838	63.5318
21	1	1.73746	0.814937	21.003	6.28031	106.272	102.63	19.6621	15.6271	0.5	-3.25124e-14	0.749838	65.7996
22	1	1.53238	0.69224	21.1564	6.32618	100.054	104.675	20.8378	13.1067	0.5	-3.4924e-14	0.749838	67.8552
23	1	1.34748	0.586739	21.2866	6.36511	93.9909	106.325	21.9439	10.9706	0.5	-3.74202e-14	0.749838	69.7053
24	1	1.18159	0.496238	21.3968	6.39807	88.1184	107.604	22.9756	9.16396	0.5	-4.0001e-14	0.749838	71.3577
25	1	1.03341	0.418789	21.49	6.42592	82.4633	108.533	23.9296	7.63933	0.5	-4.26664e-14	0.749838	72.8211
26	1	0.901587	0.352663	21.5685	6.44939	77.0446	109.137	24.8036	6.35544	0.5	-4.54164e-14	0.749838	74.1047
27	1	0.78474	0.296337	21.6345	6.46914	71.8749	109.44	25.5963	5.2766	0.5	-4.8251e-14	0.749838	75.218
28	1	0.681523	0.248471	21.6899	6.48572	66.9618	109.466	26.3072	4.372	0.5	-5.11702e-14	0.749838	76.1706
29	1	0.590635	0.207887	21.7364	6.4996	62.3081	109.236	26.9369	3.61514	0.5	-5.4174e-14	0.749838	76.9722
30	1	0.510838	0.173559	21.7752	6.51121	57.9135	108.774	27.4864	2.98324	0.5	-5.72624e-14	0.749838	77.6324
31	1	0.440974	0.144588	21.8075	6.52088	53.7746	108.101	27.9574	2.4568	0.5	-6.04354e-14	0.749838	78.1606
32	1	0.379965	0.120194	21.8345	6.52894	49.8858	107.238	28.352	2.01915	0.5	-6.3693e-14	0.749838	78.5658
33	1	0.326819	0.0997022	21.8569	6.53563	46.2399	106.203	28.6728	1.6561	0.5	-6.70352e-14	0.749838	78.857
34	1	0.280632	0.0825268	21.8754	6.54117	42.8283	105.016	28.9227	1.35557	0.5	-7.0462e-14	0.749838	79.0425
35	1	0.240581	0.0681642	21.8907	6.54575	39.6414	103.693	29.1049	1.10733	0.5	-7.39734e-14	0.749838	79.1305
36	1	0.205923	0.0561809	21.9034	6.54953	36.6691	102.251	29.2226	0.902714	0.5	-7.75694e-14	0.749838	79.1285
37	1	0.175994	0.0462055	21.9138	6.55265	33.9009	100.705	29.2795	0.734413	0.5	-8.125e-14	0.749838	79.044
38	1	0.150196	0.0379203	21.9223	6.55521	31.3259	99.0689	29.2789	0.596278	0.5	-8.50152e-14	0.749838	78.8838
39	1	0.128002	0.0310545	21.9293	6.5573	28.9335	97.3557	29.2246	0.483142	0.5	-8.8865e-14	0.749838	78.6543
40	1	0.108941	0.0253777	21.9351	6.55902	26.713	95.5774	29.1202	0.390679	0.5	-9.27994e-14	0.749838	78.3616
41	1	0.092598	0.0206946	21.9398	6.56042	24.6539	93.745	28.9692	0.31527	0.5	-9.68184e-14	0.749838	78.0113
42	1	0.0786089	0.0168399	21.9436	6.56156	22.7461	91.8686	28.7752	0.253901	0.5	-1.00922e-13	0.749838	77.6089
43	1	0.0666531	0.013674	21.9467	6.56249	20.9798	89.9574	28.5416	0.204063	0.5	-1.0511e-13	0.749838	77.1591
44	1	0.0564503	0.0110799	21.9492	6.56324	19.3456	88.02	28.2717	0.163675	0.5	-1.09383e-13	0.749838	76.6667
45	1	0.0477561	0.00895884	21.9512	6.56385	17.8346	86.0638	27.9689	0.131014	0.5	-1.1374e-13	0.749838	76.1359
46	1	0.0403577	0.00722849	21.9529	6.56434	16.4381	84.0959	27.6363	0.104658	0.5	-1.18182e-13	0.749838	75.5706
47	1	0.0340703	0.00582003	21.9542	6.56474	15.1483	82.1226	27.2768	0.083434	0.5	-1.22709e-13	0.749838	74.9745
48	1	0.028734	0.0046761	21.9553	6.56506	13.9573	80.1494	26.8933	0.0663794	0.5	-1.2732e-13	0.749838	74.351
49	1	0.0242104	0.00374908	21.9561	6.56531	12.8582	78.1814	26.4886	0.0527038	0.5	-1.32016e-13	0.749838	73.7032
50	1	0.0203803	0.00299949	21.9568	6.56552	11.8441	76.2232	26.0652	0.0417607	0.5	-1.36796e-13	0.749838	73.034
51	1	0.0171411	0.00239472	21.9574	6.56568	10.9087	74.2787	25.6254	0.0330228	0.5	-1.41661e-13	0.749838	72.346
