Time	[L_WCC]	[L_WCCVVDn]	[Period]	[T]	[VVDc]	[VVDn]	[WC1c]	[WC2c]	[X]	[Y]	[active_hypoWCCn]	[c_hypoFRQ_to_hyperFRQ]	[cycle]	[degraded_L_WCCCVVDn]	[degraded_VVDc]	[degraded_VVDn]	[degraded_WC1c]	[degraded_WC2c]	[degraded_active_hypoWCCn]	[degraded_frq_mRNA]	[degraded_hyperFFCn]	[degraded_hyperFRQc]	[degraded_hyperWCCc]	[degraded_hyperWCCn]	[degraded_vvd_mRNA]	[degraded_wc1_mRNA]	[degraded_wc2_mRNA]	[frq_gene]	[frq_level_A]	[frq_mRNA]	[hyperFRQc]	[hyperFRQn]	[hyperWCCc]	[hyperWCCn]	[hypoFRQc]	[hypoFRQn]	[hypoWCCc]	[hypoWCCn]	[n_hypoFRQ_to_hyperFRQ]	[time]	[total_FRQ]	[total_FRQc]	[total_FRQn]	[total_VVD]	[total_WC1]	[total_WC2]	[total_WCCn]	[total_hyper_FRQ]	[total_hypoWCC]	[total_hypo_FRQ]	[vvd_gene]	[vvd_mRNA]	[wc1_gene]	[wc1_mRNA]	[wc2_gene]	[wc2_mRNA]	[line]	[line2]	[line3]	[total_hyperWCC]	[hyper_hypo_WCC]
0	0	0	0	0	0	0	0.039	6.11815	0	0	0.05281	1.68275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.22321	0.368117	0.07298	0.496374	0.15732	0.619449	0.394774	0.4285	0.47086	5.40935	0	1.45532	0.987566	0.467754	0	1.64486	7.72401	0.68099	0.441097	0.89936	1.01422	1	0	1	0.5218	1	0.636098	1.8728	0.985	1.67	0.653694	0.726844
1	0	0	0	1	0	0	0.0390646	6.12097	0	0	0.0558816	1.65737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.267677	0.352458	0.0706473	0.493825	0.130933	0.584154	0.3776	0.431718	0.504258	5.34486	0	1.38486	0.936612	0.448247	0	1.65568	7.73759	0.691072	0.423106	0.935976	0.961754	1	0	1	0.523117	1	0.635328	1.8728	0.985	1.67	0.624758	0.667493
2	0	0	0	2	0	0	0.039175	6.12249	0	0	0.0597382	1.67055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.337634	0.337419	0.0680352	0.486115	0.105444	0.563676	0.36102	0.432471	0.540939	5.30637	0	1.33015	0.901096	0.429055	0	1.66388	7.74719	0.706121	0.405455	0.97341	0.924696	1	0	1	0.524895	1	0.634463	1.8728	0.985	1.67	0.591559	0.607718
3	0	0	0	3	0	0	0.0393172	6.12267	0	0	0.0638888	1.72592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.428853	0.324185	0.0653657	0.474686	0.0829774	0.559516	0.346345	0.430947	0.577162	5.29858	0	1.29541	0.883701	0.411711	0	1.66898	7.75233	0.724028	0.389551	1.00811	0.905862	1	0	1	0.526916	1	0.633599	1.8728	0.985	1.67	0.557663	0.553178
4	0	0	0	4	0	0	0.0394745	6.12164	0	0	0.0679466	1.82263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.533224	0.313796	0.0628587	0.460989	0.064445	0.571934	0.334734	0.427548	0.610445	5.32518	0	1.28332	0.88573	0.397593	0	1.67085	7.75301	0.742837	0.376655	1.03799	0.906668	1	0	1	0.528969	1	0.632804	1.8728	0.985	1.67	0.525434	0.506202
5	0	0	0	5	0	0	0.0396329	6.11956	0	0	0.0716557	1.95277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.640483	0.307054	0.0607165	0.446267	0.0499014	0.599607	0.327084	0.422768	0.639435	5.38706	0	1.29446	0.906662	0.3878	0	1.66966	7.74959	0.760992	0.367771	1.0622	0.926691	1	0	1	0.530898	1	0.632124	1.8728	0.985	1.67	0.496169	0.467113
6	0	0	0	6	0	0	0.0397828	6.11669	0	0	0.0748734	2.10151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.741068	0.304437	0.0591076	0.431474	0.0389809	0.639778	0.323939	0.417099	0.663551	5.48049	0	1.32726	0.944214	0.383046	0	1.66576	7.74267	0.777406	0.363544	1.08065	0.963716	1	0	1	0.53261	1	0.631583	1.8728	0.985	1.67	0.470455	0.435345
7	0	0	0	7	0	0	0.0399179	6.11326	0	0	0.0775354	2.25053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.82808	0.306057	0.0581525	0.417293	0.0312343	0.688789	0.325448	0.410979	0.682637	5.59645	0	1.37845	0.994846	0.3836	0	1.6596	7.73294	0.791406	0.364209	1.09362	1.01424	1	0	1	0.534057	1	0.631189	1.8728	0.985	1.67	0.448527	0.410133
8	0	0	0	8	0	0	0.0400347	6.10953	0	0	0.0796188	2.38291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.897599	0.311689	0.0579146	0.404211	0.026355	0.742729	0.331385	0.404771	0.696655	5.72196	0	1.44372	1.05442	0.3893	0	1.65165	7.72114	0.802629	0.369604	1.10143	1.07411	1	0	1	0.535219	1	0.630944	1.8728	0.985	1.67	0.430566	0.390917
9	0	0	0	9	0	0	0.0401309	6.1057	0	0	0.0811083	2.48691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.947798	0.320835	0.0583994	0.392617	0.0243567	0.797887	0.341219	0.398765	0.705416	5.84286	0	1.51834	1.11872	0.399619	0	1.64239	7.70797	0.810881	0.379234	1.10418	1.13911	1	0	1	0.536088	1	0.630843	1.8728	0.985	1.67	0.416974	0.377632
