Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]
0	1000	0	4000	0	0	1000	0	0	100	500	500
1	997.564	2.43579	3999.89	0.111907	1.64266e-06	1000	3.15366e-08	5.11329e-19	100	500	500
2	995.158	4.84192	3999.59	0.412176	2.33004e-05	1000	8.75494e-07	4.0082e-16	100	500	500
3	992.78	7.21943	3999.14	0.856803	0.000104911	1000	5.78295e-06	1.78693e-14	100	500	500
4	990.431	9.5693	3998.59	1.41189	0.000295865	1000	2.12553e-05	2.46585e-13	100	500	500
5	988.107	11.8925	3997.95	2.05139	0.000646666	1000	5.67346e-05	1.79361e-12	100	500	500
6	985.81	14.1898	3997.24	2.75537	0.00120441	1000	0.000123824	8.71787e-12	100	500	500
7	983.538	16.4621	3996.49	3.50855	0.00201065	1000	0.000235403	3.21329e-11	100	500	500
8	981.29	18.7101	3995.7	4.29924	0.00310068	999.999	0.000404827	9.68573e-11	100	500	500
9	979.065	20.9347	3994.88	5.11852	0.00450366	999.999	0.000645278	2.50664e-10	100	500	500
10	976.863	23.1365	3994.03	5.95956	0.00624316	999.999	0.000969295	5.75764e-10	100	500	500
11	974.684	25.3162	3993.17	6.81713	0.00833786	999.999	0.00138846	1.20188e-09	100	500	500
12	972.526	27.4744	3992.3	7.68723	0.0108023	999.998	0.00191322	2.32013e-09	100	500	500
13	970.388	29.6117	3991.42	8.56681	0.0136477	999.997	0.00255283	4.197e-09	100	500	500
14	968.271	31.7288	3990.53	9.45353	0.0168824	999.997	0.00331532	7.18757e-09	100	500	500
15	966.174	33.8261	3989.63	10.3456	0.0205128	999.996	0.00420758	1.1748e-08	100	500	500
16	964.096	35.9042	3988.73	11.2417	0.0245434	999.995	0.00523544	1.84462e-08	100	500	500
17	962.036	37.9636	3987.83	12.1408	0.0289774	999.993	0.00640379	2.79713e-08	100	500	500
18	959.995	40.0049	3986.92	13.042	0.0338173	999.992	0.00771666	4.11414e-08	100	500	500
19	957.972	42.0283	3986.02	13.9449	0.0390645	999.991	0.00917736	5.89104e-08	100	500	500
20	955.965	44.0345	3985.11	14.8489	0.0447203	999.989	0.0107886	8.23723e-08	100	500	500
21	953.976	46.0238	3984.2	15.7537	0.0507852	999.987	0.0125525	1.12766e-07	100	500	500
22	952.003	47.9966	3983.28	16.6592	0.0572599	999.985	0.0144709	1.51477e-07	100	500	500
23	950.047	49.9534	3982.37	17.565	0.0641446	999.983	0.0165452	2.00042e-07	100	500	500
24	948.106	51.8944	3981.46	18.4712	0.0714398	999.981	0.0187764	2.60148e-07	100	500	500
25	946.18	53.8201	3980.54	19.3776	0.0791455	999.979	0.0211655	3.33636e-07	100	500	500
