Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
0	49.9345	0.000931222	0	0.011815	0.0527894	86.2419	0.000952724	0.00891531	13.7482	99.9987	0.00132871	78.0219	12.2197	9.69634	0.0619925	96.9271	3.07295	99.9045	0.0954776	95.4699	4.5301	4.58809	45.4119	99.8297	0.170314	98.2038	1.79624
1	5.99684	0.0194143	43.4791	0.157826	0.346841	81.9911	0.0104159	1.95786	16.0407	99.9978	0.00224178	16.0248	26.6096	35.9601	21.4056	38.2217	61.7783	99.2883	0.711669	45.5961	54.4039	27.4075	22.5925	99.7683	0.231659	97.615	2.38499
2	5.95286	0.0192984	43.2198	0.108275	0.699726	79.0035	0.00702849	1.39181	19.5977	99.9969	0.0031491	8.10195	8.56485	58.6865	24.6467	35.0479	64.9521	99.0944	0.905583	40.6809	59.3191	28.4751	21.5249	99.6289	0.371079	96.2094	3.79057
3	5.94675	0.0192298	43.0657	0.0898847	0.878426	77.9805	0.005775	1.05394	20.9598	99.9963	0.00367783	9.58993	8.3182	62.2735	19.8184	40.1067	59.8933	99.1821	0.817939	44.0036	55.9964	27.7658	22.2342	99.5033	0.496708	94.971	5.02897
4	5.94335	0.0191929	42.9828	0.0808414	0.973829	77.7294	0.00520805	0.883982	21.3814	99.996	0.00404749	11.8106	9.33716	62.2167	16.6356	44.2834	55.7166	99.275	0.725032	46.6727	53.3273	27.1612	22.8388	99.3936	0.606418	93.9156	6.08441
5	5.94158	0.0191731	42.9382	0.0752581	1.02582	77.8496	0.00488331	0.779464	21.366	99.9957	0.00432635	13.7931	10.3128	61.3948	14.4992	47.5969	52.4031	99.3425	0.657481	48.7077	51.2923	26.6777	23.3223	99.297	0.702958	93.0064	6.99362
6	5.9407	0.0191625	42.9145	0.0714407	1.05423	78.1418	0.00467547	0.708885	21.1447	99.9955	0.004545	15.4261	11.1106	60.4582	13.0051	50.2189	49.7811	99.3892	0.610844	50.2687	49.7313	26.2928	23.7072	99.2114	0.788633	92.2144	7.78563
7	5.9403	0.0191571	42.9022	0.0686692	1.06971	78.5008	0.00453276	0.658538	20.8361	99.9953	0.00472055	16.735	11.7361	59.6024	11.9265	52.2955	47.7045	99.4218	0.578203	51.4759	48.5241	25.9862	24.0138	99.1347	0.865299	91.5172	8.4828
8	5.94016	0.0191544	42.8961	0.0665763	1.07806	78.8709	0.00442975	0.621246	20.5035	99.9951	0.00486373	17.7773	12.2219	58.8741	11.1266	53.9483	46.0517	99.4454	0.554631	52.4191	47.5809	25.7411	24.2589	99.0656	0.934428	90.8977	9.10229
9	5.94015	0.0191531	42.8933	0.0649516	1.08249	79.2234	0.00435259	0.592824	20.1794	99.995	0.00498177	18.6109	12.6014	58.2688	10.5189	55.2746	44.7254	99.463	0.537044	53.1653	46.8347	25.5437	24.4563	99.0028	0.997186	90.3426	9.65735
10	5.9402	0.0191526	42.8922	0.0636652	1.08478	79.5451	0.00429314	0.570663	19.8799	99.9949	0.00507984	19.2832	12.9013	57.7682	10.0473	56.3491	43.6509	99.4765	0.523547	53.7631	46.2369	25.3831	24.6169	98.9455	1.0545	89.8418	10.1582
11	5.94027	0.0191526	42.892	0.0626312	1.08591	79.831	0.00424632	0.553066	19.6117	99.9948	0.00516178	19.8309	13.1412	57.3534	9.67453	57.2279	42.7721	99.487	0.512954	54.2478	45.7522	25.2515	24.7485	98.8929	1.1071	89.387	10.613
12	5.94035	0.0191527	42.8923	0.0617907	1.08641	80.0809	0.00420883	0.538885	19.376	99.9948	0.00523052	20.2809	13.3355	57.0081	9.37553	57.9526	42.0474	99.4955	0.504494	54.6447	45.3553	25.1425	24.8575	98.8444	1.15559	88.9718	11.0282
13	5.94042	0.0191529	42.8927	0.0611015	1.08659	80.297	0.00417842	0.527327	19.1715	99.9947	0.00528838	20.6535	13.4944	56.7193	9.1328	58.5544	41.4456	99.5024	0.497649	54.9725	45.0275	25.0519	24.9481	98.7995	1.20045	88.5912	11.4088
14	5.94049	0.0191531	42.8932	0.0605325	1.08661	80.4824	0.00415349	0.517819	18.9957	99.9947	0.00533719	20.9639	13.6253	56.4769	8.93385	59.057	40.943	99.5079	0.492054	55.245	44.755	24.976	25.024	98.7579	1.2421	88.2408	11.7592
15	5.94055	0.0191533	42.8937	0.0600602	1.08655	80.6406	0.00413289	0.509941	18.8453	99.9946	0.00537843	21.2238	13.734	56.2727	8.76954	59.4785	40.5215	99.5126	0.487444	55.4727	44.5273	24.9122	25.0878	98.7191	1.28088	87.9171	12.0829
16	5.9406	0.0191535	42.8941	0.0596663	1.08646	80.7752	0.00411577	0.503379	18.7173	99.9946	0.00541334	21.4421	13.8246	56.1002	8.63303	59.8332	40.1668	99.5164	0.483625	55.6638	44.3362	24.8585	25.1415	98.6829	1.31708	87.617	12.383
17	5.94065	0.0191537	42.8945	0.0593368	1.08637	80.8894	0.00410146	0.497887	18.6086	99.9946	0.00544292	21.6261	13.9005	55.9544	8.51908	60.1326	39.8674	99.5196	0.480444	55.8246	44.1754	24.813	25.187	98.6491	1.35094	87.3382	12.6618
18	5.94069	0.0191538	42.8948	0.0590604	1.08628	80.9862	0.00408946	0.493276	18.5164	99.9945	0.00546799	21.7815	13.9641	55.8308	8.42361	60.3857	39.6143	99.5222	0.477786	55.9603	44.0397	24.7746	25.2254	98.6173	1.38269	87.0784	12.9216
19	5.94072	0.0191539	42.8951	0.0588279	1.08619	81.0681	0.00407937	0.489395	18.4384	99.9945	0.00548927	21.9129	14.0177	55.726	8.34339	60.6	39.4	99.5244	0.475557	56.075	43.925	24.742	25.258	98.5875	1.41252	86.8358	13.1642
20	5.94075	0.019154	42.8953	0.0586321	1.08612	81.1375	0.00407086	0.48612	18.3723	99.9945	0.00550733	22.0242	14.063	55.6371	8.27582	60.7817	39.2183	99.5263	0.473684	56.1721	43.8279	24.7143	25.2857	98.5594	1.44058	86.6087	13.3913
21	5.94077	0.0191541	42.8956	0.0584668	1.08605	81.1961	0.00406367	0.483352	18.3164	99.9945	0.00552266	22.1185	14.1011	55.5615	8.21879	60.9359	39.0641	99.5279	0.472106	56.2544	43.7456	24.6908	25.3092	98.533	1.46703	86.3959	13.6041
22	5.94079	0.0191542	42.8957	0.0583271	1.086	81.2458	0.00405759	0.48101	18.2692	99.9945	0.00553569	22.1986	14.1334	55.4974	8.1706	61.0668	38.9332	99.5292	0.470775	56.3242	43.6758	24.6709	25.3291	98.508	1.49199	86.1959	13.8041
23	5.94081	0.0191543	42.8959	0.058209	1.08595	81.2878	0.00405244	0.479026	18.2292	99.9945	0.00554676	22.2666	14.1608	55.4428	8.12982	61.178	38.822	99.5303	0.469651	56.3834	43.6166	24.6539	25.3461	98.4844	1.51557	86.0079	13.9921
24	5.94082	0.0191543	42.896	0.058109	1.08591	81.3233	0.00404807	0.477344	18.1953	99.9944	0.00555616	22.3243	14.1839	55.3964	8.09528	61.2725	38.7275	99.5313	0.468701	56.4337	43.5663	24.6395	25.3605	98.4621	1.53788	85.8307	14.1693
25	5.94083	0.0191544	42.8961	0.0580243	1.08588	81.3534	0.00404437	0.475918	18.1666	99.9944	0.00556416	22.3734	14.2036	55.357	8.066	61.3528	38.6472	99.5321	0.467896	56.4764	43.5236	24.6272	25.3728	98.441	1.55901	85.6636	14.3364
26	5.94084	0.0191544	42.8962	0.0579525	1.08585	81.3789	0.00404123	0.474707	18.1424	99.9944	0.00557095	22.4151	14.2202	55.3235	8.04116	61.4212	38.5788	99.5328	0.467214	56.5127	43.4873	24.6168	25.3832	98.421	1.57904	85.5059	14.4941
27	5.94085	0.0191545	42.8963	0.0578915	1.08583	81.4005	0.00403856	0.473679	18.1218	99.9944	0.00557673	22.4505	14.2344	55.295	8.02009	61.4792	38.5208	99.5334	0.466637	56.5436	43.4564	24.6079	25.3921	98.402	1.59804	85.3567	14.6433
28	5.94086	0.0191545	42.8963	0.0578399	1.08581	81.4188	0.00403629	0.472805	18.1044	99.9944	0.00558164	22.4807	14.2464	55.2708	8.0022	61.5286	38.4714	99.5339	0.466147	56.5698	43.4302	24.6004	25.3996	98.3839	1.61608	85.2156	14.7844
29	5.94086	0.0191545	42.8964	0.057796	1.08579	81.4343	0.00403437	0.472063	18.0896	99.9944	0.00558582	22.5063	14.2566	55.2501	7.98701	61.5706	38.4294	99.5343	0.465731	56.5921	43.4079	24.594	25.406	98.3668	1.63322	85.082	14.918
30	5.94087	0.0191545	42.8964	0.0577588	1.08578	81.4474	0.00403273	0.471433	18.0771	99.9944	0.00558937	22.5281	14.2652	55.2326	7.97411	61.6064	38.3936	99.5346	0.465378	56.6111	43.3889	24.5885	25.4115	98.3505	1.64951	84.9553	15.0447
31	5.94087	0.0191546	42.8965	0.0577271	1.08577	81.4586	0.00403134	0.470897	18.0665	99.9944	0.00559239	22.5466	14.2726	55.2177	7.96314	61.6367	38.3633	99.5349	0.465079	56.6272	43.3728	24.5839	25.4161	98.335	1.66501	84.8352	15.1648
32	5.94088	0.0191546	42.8965	0.0577003	1.08576	81.468	0.00403016	0.470442	18.0575	99.9944	0.00559495	22.5623	14.2788	55.205	7.95383	61.6626	38.3374	99.5352	0.464825	56.6409	43.3591	24.5799	25.4201	98.3202	1.67976	84.7212	15.2788
33	5.94088	0.0191546	42.8965	0.0576774	1.08575	81.4761	0.00402916	0.470055	18.0498	99.9944	0.00559714	22.5757	14.2841	55.1942	7.94591	61.6846	38.3154	99.5354	0.464609	56.6526	43.3474	24.5766	25.4234	98.3062	1.6938	84.613	15.387
34	5.94088	0.0191546	42.8966	0.0576581	1.08574	81.4829	0.0040283	0.469725	18.0434	99.9944	0.00559899	22.5871	14.2886	55.185	7.93918	61.7033	38.2967	99.5356	0.464425	56.6625	43.3375	24.5737	25.4263	98.2928	1.70717	84.5101	15.4899
35	5.94089	0.0191546	42.8966	0.0576416	1.08573	81.4887	0.00402758	0.469446	18.0378	99.9944	0.00560057	22.5968	14.2925	55.1772	7.93347	61.7191	38.2809	99.5357	0.464269	56.6709	43.3291	24.5713	25.4287	98.2801	1.71992	84.4124	15.5876
36	5.94089	0.0191546	42.8966	0.0576276	1.08573	81.4936	0.00402696	0.469208	18.0332	99.9944	0.00560191	22.605	14.2957	55.1706	7.92861	61.7327	38.2673	99.5359	0.464137	56.6781	43.3219	24.5692	25.4308	98.2679	1.73207	84.3194	15.6806
37	5.94089	0.0191546	42.8966	0.0576157	1.08572	81.4978	0.00402643	0.469006	18.0292	99.9944	0.00560305	22.612	14.2985	55.165	7.92447	61.7442	38.2558	99.536	0.464024	56.6842	43.3158	24.5675	25.4325	98.2564	1.74365	84.2309	15.7691
