Time	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[KLF2]	[eNOS-Cav-1]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[Shear Stress]
0	0	10000	0	0	50	0.006	0	10	34.98	819.25	18	0.605	72	57	299.706	98.514	157.162	299.997	0.288	1.486	0.616	119.384	0.003	10	3.214	0	0	0.857	3.23	15.962	5.577	1.193	0	0
1	8.9992e-05	10000	-1	1	50	0.00599013	1.19707e-09	10.0005	34.9847	798.276	18.0544	0.736387	71.9456	32.7738	299.706	98.5146	153.996	299.997	0.28802	1.48536	0.595602	119.404	0.0030009	10.0005	3.214	1.59713e-14	-9.00021e-05	1.63586	1.71763	37.8111	7.04386	1.23852	-9.00021e-05	0
2	0.000179984	9999.99	-2	2	50	0.00598046	2.38857e-09	10.0009	34.9894	790.352	18.1338	0.726568	71.8662	28.0325	299.706	98.5151	157.131	299.997	0.288036	1.48494	0.611204	119.389	0.00300178	10.0009	3.214	6.37773e-14	-0.000180008	1.76833	1.56104	42.3111	7.1626	1.27636	-0.000180008	0
3	0.000269976	9999.99	-3	3	50	0.00597101	3.57453e-09	10.0014	34.9942	784.054	18.2265	0.725905	71.7735	25.1035	299.706	98.5149	160.485	299.997	0.288051	1.4851	0.631156	119.369	0.00300264	10.0014	3.214	1.43257e-13	-0.000270019	1.84729	1.47881	45.0929	7.23139	1.28979	-0.000270019	0
4	0.000359968	9999.98	-4	4	50	0.00596186	4.75502e-09	10.0018	34.9989	778.877	18.3291	0.727024	71.6709	22.9941	299.706	98.5141	163.548	299.997	0.288068	1.48592	0.652463	119.348	0.00300348	10.0018	3.214	2.54251e-13	-0.000360033	1.90059	1.42501	47.1005	7.27874	1.29625	-0.000360033	0
5	0.00044996	9999.98	-5	5	50	0.00595304	5.93012e-09	10.0023	35.0036	774.573	18.4395	0.728556	71.5605	21.3596	299.706	98.5126	166.215	299.997	0.288089	1.4874	0.674135	119.326	0.00300429	10.0023	3.214	3.96603e-13	-0.000450052	1.93854	1.38601	48.6601	7.31416	1.29983	-0.000450052	0
6	0.000539952	9999.97	-6	6	50	0.00594463	7.09991e-09	10.0028	35.0083	770.973	18.5568	0.730109	71.4432	20.0368	299.706	98.5104	168.492	299.997	0.288118	1.48956	0.695759	119.304	0.0030051	10.0028	3.214	5.70156e-13	-0.000540074	1.96619	1.35597	49.9259	7.34202	1.30201	-0.000540074	0
7	0.000629944	9999.97	-7	7	50	0.00593667	8.26447e-09	10.0032	35.0131	767.946	18.6799	0.731556	71.3201	18.9346	299.706	98.5076	170.417	299.997	0.288157	1.49237	0.71715	119.283	0.00300588	10.0032	3.214	7.74758e-13	-0.000630101	1.98643	1.3319	50.9838	7.36465	1.30345	-0.000630101	0
8	0.000719936	9999.96	-8	8	50	0.00592922	9.42393e-09	10.0037	35.0178	765.39	18.8082	0.732857	71.1918	17.997	299.706	98.5042	172.035	299.997	0.28821	1.49582	0.738225	119.262	0.00300665	10.0037	3.214	1.01026e-12	-0.000720132	2.00107	1.31204	51.8866	7.38349	1.30447	-0.000720132	0
9	0.000809928	9999.96	-9	9	50	0.00592233	1.05784e-08	10.0041	35.0225	763.222	18.9413	0.734008	71.0587	17.1867	299.706	98.5001	173.394	299.997	0.288279	1.4999	0.758951	119.241	0.0030074	10.0041	3.214	1.27651e-12	-0.000810167	2.01133	1.2953	52.6695	7.39945	1.30525	-0.000810167	0
10	0.00089992	9999.95	-10	10	50	0.00591606	1.1728e-08	10.0046	35.0272	761.374	19.0787	0.735018	70.9213	16.4779	299.706	98.4954	174.533	299.997	0.288366	1.50458	0.779322	119.221	0.00300813	10.0046	3.214	1.57337e-12	-0.000900207	2.01807	1.28096	53.3568	7.41316	1.30588	-0.000900207	0
11	0.000989912	9999.95	-11	11	50	0.00591045	1.28729e-08	10.0051	35.032	759.792	19.2201	0.7359	70.7799	15.8519	299.706	98.4902	175.489	299.997	0.288474	1.50984	0.799345	119.201	0.00300886	10.0051	3.214	1.9007e-12	-0.00099025	2.02194	1.26851	53.9662	7.42507	1.30642	-0.00099025	0
12	0.0010799	9999.94	-12	12	50	0.00590556	1.40131e-08	10.0055	35.0367	758.432	19.3651	0.73667	70.6349	15.2944	299.705	98.4843	176.293	299.997	0.288605	1.51568	0.819032	119.181	0.00300957	10.0055	3.214	2.25836e-12	-0.0010803	2.02343	1.25758	54.511	7.43552	1.30689	-0.0010803	0
13	0.0011699	9999.94	-13	13	50	0.00590142	1.5149e-08	10.006	35.0414	757.255	19.5137	0.737341	70.4863	14.7948	299.705	98.4779	176.97	299.997	0.28876	1.52206	0.838401	119.162	0.00301027	10.006	3.214	2.64622e-12	-0.00117035	2.0229	1.24791	55.0012	7.44476	1.30733	-0.00117035	0
14	0.00125989	9999.93	-14	14	50	0.00589809	1.62806e-08	10.0064	35.0461	756.232	19.6654	0.737926	70.3346	14.3444	299.705	98.471	177.542	299.997	0.288943	1.52899	0.857467	119.143	0.00301096	10.0064	3.214	3.06415e-12	-0.00126041	2.02067	1.23927	55.445	7.45299	1.30774	-0.00126041	0
