Time	[Ca_c]	[pp-AKT:PI3P]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[sa49_degraded]	[s117]	[s118]
0	117.2	1.723	0.0415	2.827	347.52	2.12	34.98	7635.36	199987	1.037	0.0089	10.98	0.106	500000	0	0.643	0.083	0	0	0
1	117.2	1.723	0.0414807	2.82714	347.52	2.121	34.9761	7635.36	199987	1.03722	0.00885624	10.9775	0.105845	499978	22.2358	0.643612	0.0830848	0.00330542	0.000204354	6.86433e-05
2	117.2	1.723	0.0414762	2.82714	347.52	2.12078	34.9725	7635.36	199987	1.03711	0.00885372	10.9763	0.105815	499956	44.4715	0.643983	0.0831466	0.00661049	0.000408698	0.000137338
3	117.2	1.723	0.0414718	2.82714	347.52	2.12055	34.969	7635.36	199987	1.037	0.00885353	10.9751	0.105813	499933	66.7067	0.644259	0.0831902	0.00991522	0.00061302	0.000206067
4	117.2	1.723	0.0414675	2.82714	347.52	2.12033	34.9655	7635.37	199987	1.03689	0.0088537	10.9739	0.105815	499911	88.9412	0.644477	0.0832231	0.0132196	0.00081732	0.000274823
5	117.2	1.723	0.0414632	2.82714	347.521	2.1201	34.9621	7635.37	199987	1.03678	0.00885384	10.9728	0.105817	499889	111.175	0.644652	0.083249	0.0165237	0.0010216	0.000343601
6	117.2	1.723	0.0414589	2.82714	347.521	2.11989	34.9587	7635.37	199987	1.03667	0.00885391	10.9716	0.105818	499867	133.407	0.644791	0.0832696	0.0198275	0.00122586	0.000412395
7	117.2	1.723	0.0414547	2.82715	347.521	2.11967	34.9553	7635.37	199987	1.03657	0.00885391	10.9705	0.105819	499844	155.638	0.644902	0.083286	0.0231309	0.00143009	0.000481203
8	117.2	1.723	0.0414505	2.82715	347.521	2.11945	34.9519	7635.37	199987	1.03646	0.00885384	10.9694	0.105818	499822	177.868	0.644989	0.0832989	0.026434	0.00163431	0.000550022
9	117.2	1.723	0.0414463	2.82715	347.521	2.11924	34.9485	7635.37	199987	1.03636	0.00885372	10.9683	0.105817	499800	200.096	0.645056	0.083309	0.0297368	0.0018385	0.000618849
10	117.2	1.723	0.0414421	2.82715	347.521	2.11903	34.9452	7635.37	199987	1.03625	0.00885356	10.9672	0.105815	499778	222.323	0.645107	0.0833168	0.0330393	0.00204268	0.000687683
11	117.2	1.723	0.041438	2.82715	347.521	2.11881	34.9419	7635.38	199987	1.03615	0.00885336	10.9661	0.105813	499755	244.548	0.645144	0.0833226	0.0363415	0.00224683	0.000756521
12	117.2	1.723	0.0414339	2.82715	347.521	2.1186	34.9385	7635.38	199987	1.03604	0.00885313	10.965	0.10581	499733	266.771	0.64517	0.0833268	0.0396433	0.00245097	0.000825362
13	117.2	1.723	0.0414298	2.82715	347.521	2.11839	34.9352	7635.38	199987	1.03594	0.00885287	10.9639	0.105807	499711	288.993	0.645187	0.0833298	0.0429448	0.00265508	0.000894206
14	117.2	1.723	0.0414257	2.82715	347.521	2.11819	34.9319	7635.38	199987	1.03584	0.0088526	10.9628	0.105804	499689	311.213	0.645196	0.0833316	0.046246	0.00285917	0.000963052
15	117.2	1.723	0.0414217	2.82715	347.521	2.11798	34.9285	7635.38	199987	1.03574	0.00885231	10.9617	0.105801	499667	333.431	0.645199	0.0833325	0.049547	0.00306325	0.0010319
16	117.2	1.723	0.0414176	2.82715	347.521	2.11777	34.9252	7635.38	199987	1.03563	0.008852	10.9606	0.105797	499644	355.647	0.645197	0.0833327	0.0528475	0.0032673	0.00110074
17	117.2	1.723	0.0414136	2.82715	347.521	2.11756	34.9219	7635.38	199987	1.03553	0.00885169	10.9596	0.105794	499622	377.862	0.645191	0.0833322	0.0561478	0.00347133	0.00116959
18	117.2	1.723	0.0414096	2.82715	347.521	2.11736	34.9186	7635.38	199987	1.03543	0.00885136	10.9585	0.10579	499600	400.074	0.645181	0.0833313	0.0594478	0.00367534	0.00123843
19	117.2	1.723	0.0414055	2.82715	347.521	2.11715	34.9153	7635.39	199987	1.03533	0.00885103	10.9574	0.105786	499578	422.285	0.645168	0.0833299	0.0627474	0.00387934	0.00130728
20	117.2	1.723	0.0414015	2.82715	347.521	2.11694	34.912	7635.39	199987	1.03523	0.00885069	10.9563	0.105782	499556	444.494	0.645152	0.0833282	0.0660468	0.00408331	0.00137612
21	117.2	1.723	0.0413975	2.82715	347.522	2.11674	34.9086	7635.39	199987	1.03513	0.00885034	10.9553	0.105778	499533	466.701	0.645135	0.0833262	0.0693458	0.00428727	0.00144496
22	117.2	1.723	0.0413935	2.82715	347.522	2.11653	34.9053	7635.39	199987	1.03503	0.00884999	10.9542	0.105774	499511	488.906	0.645116	0.083324	0.0726445	0.0044912	0.0015138
23	117.2	1.723	0.0413895	2.82716	347.522	2.11633	34.902	7635.39	199987	1.03493	0.00884964	10.9531	0.10577	499489	511.109	0.645095	0.0833215	0.0759429	0.00469511	0.00158264
